datetime,open,high,low,close,volume
2014-12-11 10:00:00,96.0,96.0,96.0,96.0,2
2014-12-11 11:00:00,100.0,100.0,100.0,100.0,1
2014-12-11 16:00:00,95.0,95.0,95.0,95.0,28
2014-12-12 17:00:00,99.0,99.0,99.0,99.0,5
2014-12-12 18:00:00,99.0,99.0,99.0,99.0,1
2014-12-15 13:00:00,96.0,96.0,96.0,96.0,1
2014-12-15 17:00:00,95.0,95.0,95.0,95.0,10
2014-12-15 18:00:00,95.0,95.0,95.0,95.0,4
2014-12-16 10:00:00,95.0,95.0,95.0,95.0,1
2014-12-16 11:00:00,96.0,96.0,95.0,95.0,19
2014-12-16 15:00:00,95.0,95.0,95.0,95.0,1
2014-12-16 17:00:00,95.0,95.0,95.0,95.0,4
2014-12-17 18:00:00,105.0,105.0,105.0,105.0,4
2014-12-18 10:00:00,99.0,99.0,98.0,98.0,2
2014-12-18 11:00:00,98.0,98.0,95.0,95.0,3
2014-12-18 13:00:00,100.0,100.0,100.0,100.0,1
2014-12-18 14:00:00,96.0,96.0,96.0,96.0,11
2014-12-19 11:00:00,96.0,96.0,96.0,96.0,1
2014-12-19 12:00:00,95.0,95.0,95.0,95.0,6
2014-12-22 17:00:00,100.0,100.0,100.0,100.0,3
2014-12-26 13:00:00,96.0,96.0,96.0,96.0,3
2014-12-29 16:00:00,95.0,95.0,95.0,95.0,1
2014-12-29 18:00:00,95.0,95.0,95.0,95.0,6
2014-12-30 15:00:00,95.0,95.0,95.0,95.0,13
2015-02-09 14:00:00,105.0,105.0,105.0,105.0,4
2015-02-11 16:00:00,105.0,108.0,105.0,107.0,40
2015-02-11 18:00:00,100.0,100.0,99.0,100.0,10
2015-02-12 10:00:00,100.0,100.0,100.0,100.0,2
2015-02-12 12:00:00,97.0,97.0,97.0,97.0,1
2015-02-12 15:00:00,105.0,105.0,105.0,105.0,4
2015-02-13 10:00:00,105.0,108.0,105.0,107.0,14
2015-02-13 13:00:00,111.0,111.0,111.0,111.0,1
2015-02-13 18:00:00,110.0,110.0,110.0,110.0,4
2015-02-17 16:00:00,102.0,102.0,101.0,101.0,7
2015-02-19 14:00:00,106.0,106.0,106.0,106.0,21
2015-02-19 16:00:00,107.0,107.0,107.0,107.0,3
2015-02-20 10:00:00,97.0,97.0,97.0,97.0,1
2015-02-20 11:00:00,104.0,104.0,104.0,104.0,1
2015-02-20 18:00:00,108.0,108.0,108.0,108.0,3
2015-02-26 15:00:00,98.0,98.0,98.0,98.0,4
2015-02-27 16:00:00,101.0,101.0,101.0,101.0,4
2015-03-03 12:00:00,99.0,99.0,99.0,99.0,9
2015-03-04 13:00:00,100.0,100.0,100.0,100.0,5
2015-03-05 16:00:00,100.0,100.0,100.0,100.0,3
2015-03-06 12:00:00,106.0,106.0,106.0,106.0,1
2015-03-06 17:00:00,106.0,106.0,106.0,106.0,3
2015-03-11 10:00:00,107.0,107.0,107.0,107.0,3
2015-03-11 14:00:00,106.0,106.0,106.0,106.0,3
2015-03-12 13:00:00,101.0,101.0,101.0,101.0,7
2015-03-13 11:00:00,100.0,100.0,100.0,100.0,1
2015-03-13 12:00:00,100.0,100.0,100.0,100.0,2
2015-03-13 16:00:00,106.0,106.0,106.0,106.0,1
2015-03-13 17:00:00,100.0,100.0,100.0,100.0,4
2015-03-17 11:00:00,106.0,106.0,106.0,106.0,1
2015-03-17 12:00:00,106.0,107.0,99.0,99.0,12
2015-03-17 18:00:00,99.0,99.0,99.0,99.0,3
2015-03-19 11:00:00,106.0,106.0,106.0,106.0,3
2015-03-23 16:00:00,107.0,107.0,107.0,107.0,3
2015-03-24 10:00:00,99.0,99.0,85.0,86.0,8
2015-03-24 11:00:00,92.0,93.0,92.0,92.0,3
2015-03-24 13:00:00,94.0,94.0,94.0,94.0,3
2015-03-25 11:00:00,98.0,98.0,98.0,98.0,1
2015-03-25 12:00:00,100.0,100.0,94.0,94.0,4
2015-03-26 14:00:00,96.0,96.0,93.0,93.0,4
2015-03-27 11:00:00,91.0,91.0,91.0,91.0,1
2015-03-27 13:00:00,95.0,95.0,95.0,95.0,3
2015-03-30 11:00:00,90.0,90.0,90.0,90.0,3
2015-03-31 18:00:00,99.0,99.0,99.0,99.0,6
2015-04-06 11:00:00,91.0,91.0,90.0,90.0,10
2015-04-06 14:00:00,94.0,94.0,94.0,94.0,1
2015-04-06 15:00:00,92.0,92.0,92.0,92.0,3
