datetime,open,high,low,close,volume
2014-12-11 10:00:00,976.0,981.0,941.0,941.0,89
2014-12-11 17:00:00,946.0,946.0,946.0,946.0,1
2014-12-11 18:00:00,916.0,936.0,916.0,936.0,29
2014-12-12 09:00:00,905.0,905.0,905.0,905.0,20
2014-12-12 10:00:00,910.0,910.0,870.0,895.0,684
2014-12-12 11:00:00,905.0,910.0,900.0,905.0,71
2014-12-12 12:00:00,895.0,900.0,890.0,890.0,40
2014-12-12 13:00:00,890.0,890.0,870.0,870.0,113
2014-12-12 14:00:00,885.0,895.0,865.0,885.0,55
2014-12-12 15:00:00,885.0,890.0,885.0,885.0,23
2014-12-12 16:00:00,895.0,905.0,890.0,905.0,534
2014-12-12 17:00:00,905.0,910.0,905.0,910.0,34
2014-12-12 18:00:00,910.0,910.0,885.0,910.0,40
2014-12-15 10:00:00,900.0,900.0,895.0,895.0,33
2014-12-15 11:00:00,895.0,895.0,895.0,895.0,9
2014-12-15 12:00:00,890.0,895.0,865.0,880.0,172
2014-12-15 13:00:00,890.0,890.0,890.0,890.0,15
2014-12-15 14:00:00,895.0,895.0,875.0,895.0,96
2014-12-15 15:00:00,890.0,890.0,875.0,875.0,33
2014-12-15 16:00:00,890.0,890.0,890.0,890.0,5
2014-12-15 17:00:00,895.0,895.0,880.0,885.0,6
2014-12-15 18:00:00,880.0,880.0,865.0,875.0,101
2014-12-16 10:00:00,850.0,850.0,810.0,810.0,196
2014-12-16 11:00:00,825.0,835.0,605.0,760.0,656
2014-12-16 12:00:00,760.0,820.0,760.0,820.0,353
2014-12-16 13:00:00,820.0,825.0,805.0,805.0,32
2014-12-16 14:00:00,795.0,805.0,770.0,770.0,15
2014-12-16 15:00:00,745.0,745.0,745.0,745.0,5
2014-12-16 16:00:00,750.0,750.0,750.0,750.0,111
2014-12-16 17:00:00,765.0,765.0,765.0,765.0,3
2014-12-16 18:00:00,780.0,790.0,750.0,790.0,147
2014-12-17 11:00:00,777.0,777.0,777.0,777.0,1
2014-12-17 14:00:00,732.0,747.0,702.0,742.0,113
2014-12-17 15:00:00,737.0,742.0,737.0,742.0,8
2014-12-17 16:00:00,742.0,757.0,742.0,757.0,120
2014-12-17 17:00:00,757.0,757.0,757.0,757.0,1
2014-12-17 18:00:00,757.0,762.0,752.0,762.0,35
2014-12-18 10:00:00,770.0,832.0,770.0,817.0,70
2014-12-18 11:00:00,832.0,842.0,762.0,777.0,50
2014-12-18 13:00:00,797.0,797.0,797.0,797.0,6
2014-12-18 15:00:00,797.0,812.0,697.0,697.0,391
2014-12-18 16:00:00,767.0,787.0,757.0,787.0,94
2014-12-18 17:00:00,787.0,832.0,787.0,832.0,243
2014-12-18 18:00:00,807.0,827.0,767.0,787.0,118
2014-12-19 10:00:00,797.0,797.0,752.0,777.0,114
2014-12-19 11:00:00,797.0,797.0,797.0,797.0,16
2014-12-19 12:00:00,782.0,802.0,782.0,802.0,171
2014-12-19 14:00:00,802.0,802.0,792.0,797.0,26
2014-12-19 15:00:00,797.0,827.0,797.0,812.0,40
2014-12-19 16:00:00,812.0,1092.0,812.0,1092.0,1788
2014-12-19 17:00:00,1092.0,1092.0,942.0,957.0,1599
2014-12-19 18:00:00,962.0,962.0,927.0,947.0,208
2014-12-22 10:00:00,978.0,997.0,942.0,947.0,307
2014-12-22 11:00:00,952.0,957.0,807.0,917.0,531
2014-12-22 12:00:00,922.0,922.0,897.0,902.0,218
2014-12-22 13:00:00,902.0,902.0,902.0,902.0,87
2014-12-22 14:00:00,902.0,902.0,902.0,902.0,131
2014-12-22 15:00:00,902.0,912.0,892.0,912.0,43
2014-12-22 16:00:00,902.0,907.0,897.0,902.0,200
2014-12-22 17:00:00,912.0,927.0,912.0,927.0,39
2014-12-22 18:00:00,927.0,927.0,902.0,927.0,269
2014-12-23 11:00:00,922.0,922.0,922.0,922.0,10
2014-12-23 12:00:00,907.0,907.0,907.0,907.0,227
