datetime,open,high,low,close,volume
2014-12-11 14:00:00,0.984,0.986,0.984,0.986,103
2014-12-11 15:00:00,0.986,0.986,0.986,0.986,1
2014-12-11 16:00:00,0.986,0.986,0.985,0.985,26
2014-12-11 17:00:00,0.985,0.985,0.985,0.985,172
2014-12-11 18:00:00,0.985,0.985,0.985,0.985,4
2014-12-12 13:00:00,0.976,0.977,0.975,0.975,172
2014-12-12 14:00:00,0.998,1.09,0.998,1.085,32
2014-12-12 15:00:00,1.051,1.051,1.05,1.05,6
2014-12-15 14:00:00,0.986,0.986,0.975,0.975,200
2014-12-15 16:00:00,0.975,0.975,0.975,0.975,200
2014-12-15 18:00:00,0.936,0.975,0.935,0.975,240
2014-12-16 11:00:00,0.916,0.98,0.869,0.98,103
2014-12-16 12:00:00,0.845,0.968,0.845,0.968,14
2014-12-16 14:00:00,0.929,0.985,0.929,0.985,15
2014-12-16 17:00:00,0.949,0.985,0.949,0.985,20
2014-12-16 18:00:00,0.98,0.98,0.98,0.98,160
2014-12-17 12:00:00,0.98,0.98,0.98,0.98,256
2014-12-17 13:00:00,0.98,0.98,0.98,0.98,560
2014-12-18 10:00:00,0.927,0.98,0.926,0.98,6
2014-12-18 13:00:00,0.99,0.99,0.98,0.98,5003
2014-12-19 16:00:00,0.998,1.0,0.998,1.0,200
2014-12-19 17:00:00,1.0,1.0,1.0,1.0,6
2014-12-22 13:00:00,1.0,1.0,1.0,1.0,300
2014-12-22 17:00:00,1.0,1.0,1.0,1.0,103
2014-12-23 12:00:00,1.0,1.0,1.0,1.0,230
2014-12-23 16:00:00,1.0,1.0,1.0,1.0,590
2014-12-24 15:00:00,1.0,1.0,1.0,1.0,180
2014-12-24 16:00:00,1.0,1.0,1.0,1.0,200
2014-12-24 17:00:00,1.0,1.0,1.0,1.0,66
2014-12-25 13:00:00,0.98,0.98,0.98,0.98,14
2014-12-25 16:00:00,0.962,0.962,0.955,0.955,383
2014-12-26 15:00:00,0.979,1.0,0.979,0.999,101
2014-12-26 17:00:00,0.933,1.0,0.932,1.0,300
2014-12-29 12:00:00,0.951,1.053,0.903,1.053,50
2014-12-29 15:00:00,0.919,0.919,0.904,0.904,10
2014-12-29 16:00:00,0.904,0.939,0.9,0.939,131
2014-12-29 17:00:00,0.949,0.999,0.949,0.999,350
2014-12-29 18:00:00,0.999,0.999,0.93,0.93,53
2014-12-30 12:00:00,0.998,0.999,0.998,0.999,100
2014-12-30 14:00:00,0.998,1.0,0.998,1.0,150
2014-12-30 15:00:00,0.999,0.999,0.999,0.999,350
2014-12-30 16:00:00,0.998,0.998,0.998,0.998,50
2014-12-30 18:00:00,0.999,1.0,0.999,1.0,445
2015-02-05 14:00:00,0.878,0.888,0.872,0.888,6
2015-02-05 15:00:00,0.872,0.872,0.867,0.867,8
2015-02-06 15:00:00,0.894,0.9,0.894,0.9,903
2015-02-09 12:00:00,0.957,0.957,0.957,0.957,2
2015-02-09 13:00:00,0.913,0.913,0.913,0.913,1
2015-02-09 14:00:00,0.928,0.96,0.91,0.95,151
2015-02-09 15:00:00,0.911,0.911,0.911,0.911,2
2015-02-09 16:00:00,0.901,0.926,0.901,0.913,15
2015-02-09 17:00:00,0.915,0.93,0.915,0.927,19
2015-02-09 18:00:00,0.917,0.96,0.917,0.96,38
2015-02-10 11:00:00,0.945,0.945,0.92,0.94,17
2015-02-10 12:00:00,0.921,0.944,0.92,0.941,29
2015-02-10 13:00:00,0.923,0.941,0.923,0.941,31
2015-02-10 14:00:00,0.93,0.941,0.93,0.935,15
2015-02-10 15:00:00,0.931,0.96,0.931,0.96,100
2015-02-10 16:00:00,0.951,0.951,0.93,0.95,5
2015-02-10 17:00:00,0.941,0.941,0.941,0.941,1
2015-02-10 18:00:00,0.959,0.96,0.959,0.96,125
2015-02-11 10:00:00,0.95,0.95,0.95,0.95,1
2015-02-11 11:00:00,0.947,0.947,0.934,0.934,2
2015-02-11 12:00:00,0.944,0.944,0.944,0.944,1
2015-02-11 13:00:00,0.94,0.945,0.94,0.945,4
2015-02-12 14:00:00,0.931,0.931,0.92,0.92,117
2015-02-12 16:00:00,0.916,0.916,0.916,0.916,2
2015-02-12 17:00:00,0.918,0.918,0.918,0.918,7
2015-02-12 18:00:00,0.918,0.918,0.918,0.918,16
2015-02-13 11:00:00,0.94,0.94,0.94,0.94,21
2015-02-13 12:00:00,0.915,0.915,0.915,0.915,22
2015-02-13 13:00:00,0.915,0.915,0.915,0.915,1
2015-02-13 15:00:00,0.915,0.915,0.915,0.915,108
2015-02-13 17:00:00,0.915,0.915,0.915,0.915,10
2015-02-13 18:00:00,0.915,0.915,0.914,0.914,62
2015-02-16 10:00:00,0.95,0.95,0.92,0.92,320
2015-02-16 12:00:00,0.919,0.92,0.911,0.911,51
2015-02-16 15:00:00,0.92,0.92,0.92,0.92,266
2015-02-16 16:00:00,0.92,0.92,0.92,0.92,20
2015-02-16 17:00:00,0.915,0.915,0.913,0.913,17
2015-02-16 18:00:00,0.92,0.92,0.92,0.92,12
2015-02-17 13:00:00,0.918,0.918,0.918,0.918,9
2015-02-17 14:00:00,0.919,0.919,0.919,0.919,30
2015-02-17 16:00:00,0.919,0.92,0.919,0.92,2
2015-02-17 17:00:00,0.92,0.92,0.92,0.92,396
2015-02-19 10:00:00,0.92,0.92,0.92,0.92,1
2015-02-19 18:00:00,0.906,0.906,0.899,0.899,25
2015-02-20 10:00:00,0.902,0.902,0.899,0.9,40
2015-02-20 12:00:00,0.9,0.9,0.9,0.9,3
2015-02-20 14:00:00,0.899,0.899,0.899,0.899,1
2015-02-20 16:00:00,0.899,0.9,0.899,0.9,100
2015-02-20 17:00:00,0.896,0.896,0.84,0.877,277
2015-02-20 18:00:00,0.879,0.879,0.879,0.879,36
2015-02-24 13:00:00,0.855,0.855,0.855,0.855,13
2015-02-24 14:00:00,0.855,0.9,0.855,0.9,129
2015-02-25 10:00:00,0.858,0.858,0.85,0.85,58
2015-02-25 11:00:00,0.849,0.85,0.849,0.85,150
2015-02-25 12:00:00,0.849,0.85,0.849,0.85,40
2015-02-25 13:00:00,0.85,0.85,0.85,0.85,120
2015-02-25 14:00:00,0.85,0.85,0.85,0.85,11
2015-02-25 16:00:00,0.85,0.85,0.85,0.85,100
2015-02-25 17:00:00,0.85,0.88,0.85,0.88,176
2015-02-26 11:00:00,0.85,0.85,0.85,0.85,20
2015-02-26 12:00:00,0.85,0.85,0.85,0.85,90
2015-02-26 13:00:00,0.85,0.85,0.85,0.85,10
2015-02-26 14:00:00,0.85,0.85,0.85,0.85,1
2015-02-26 15:00:00,0.837,0.85,0.835,0.85,54
2015-02-27 18:00:00,0.879,0.879,0.879,0.879,20
2015-03-02 14:00:00,0.851,0.851,0.846,0.85,11
2015-03-02 15:00:00,0.846,0.846,0.846,0.846,3
2015-03-03 12:00:00,0.85,0.85,0.85,0.85,68
2015-03-03 13:00:00,0.849,0.85,0.849,0.85,2
2015-03-03 14:00:00,0.85,0.85,0.849,0.849,51
2015-03-03 15:00:00,0.85,0.85,0.849,0.849,2
2015-03-03 16:00:00,0.85,0.85,0.85,0.85,4
2015-03-03 17:00:00,0.849,0.849,0.849,0.849,2
2015-03-03 18:00:00,0.85,0.85,0.85,0.85,12
2015-03-04 10:00:00,0.847,0.847,0.847,0.847,1
2015-03-04 16:00:00,0.849,0.849,0.849,0.849,10
2015-03-04 18:00:00,0.848,0.848,0.848,0.848,28
2015-03-05 12:00:00,0.849,0.989,0.849,0.955,662
2015-03-05 13:00:00,0.96,0.96,0.95,0.95,368
2015-03-05 14:00:00,0.95,0.95,0.95,0.95,2
2015-03-05 15:00:00,0.95,0.95,0.95,0.95,6
2015-03-05 17:00:00,0.95,0.95,0.95,0.95,420
2015-03-05 18:00:00,0.957,0.989,0.957,0.989,413
2015-03-06 10:00:00,0.999,0.999,0.903,0.998,411
2015-03-06 11:00:00,0.998,1.05,0.922,1.05,1176
2015-03-06 12:00:00,1.051,1.298,1.051,1.17,766
2015-03-06 13:00:00,1.15,1.167,1.135,1.135,116
2015-03-06 14:00:00,1.119,1.119,1.1,1.101,330
2015-03-06 15:00:00,1.131,1.131,1.1,1.12,23
2015-03-06 16:00:00,1.101,1.1400000000000001,1.1,1.1400000000000001,543
2015-03-06 17:00:00,1.135,1.135,1.135,1.135,1
2015-03-06 18:00:00,1.105,1.139,1.104,1.104,8
2015-03-10 10:00:00,1.003,1.124,0.925,0.99,58
2015-03-10 12:00:00,1.1,1.1,1.1,1.1,228
2015-03-10 13:00:00,1.1,1.121,1.1,1.1,67
2015-03-10 14:00:00,1.1,1.1,1.1,1.1,182
2015-03-10 16:00:00,1.1,1.1,1.1,1.1,2
2015-03-10 17:00:00,1.1,1.1,1.1,1.1,30
2015-03-10 18:00:00,1.1,1.1,1.1,1.1,67
2015-03-11 13:00:00,1.11,1.11,1.1,1.1,133
2015-03-11 14:00:00,1.117,1.117,1.117,1.117,1
2015-03-11 16:00:00,1.101,1.101,1.1,1.1,16
2015-03-11 17:00:00,1.1,1.1,1.1,1.1,101
2015-03-11 18:00:00,1.1,1.114,1.1,1.1,180
2015-03-12 14:00:00,1.1179999999999999,1.139,1.1179999999999999,1.139,941
2015-03-12 15:00:00,1.139,1.139,1.139,1.139,1
2015-03-12 16:00:00,1.138,1.145,1.12,1.12,275
2015-03-12 18:00:00,1.138,1.138,1.138,1.138,80
2015-03-13 10:00:00,1.1400000000000001,1.1400000000000001,1.1400000000000001,1.1400000000000001,1
2015-03-13 12:00:00,1.143,1.154,1.143,1.154,61
2015-03-13 13:00:00,1.153,1.153,1.153,1.153,1
2015-03-13 15:00:00,1.15,1.2,1.15,1.2,231
2015-03-13 16:00:00,1.19,1.203,1.17,1.17,677
2015-03-13 17:00:00,1.173,1.2,1.173,1.198,460
2015-03-13 18:00:00,1.199,1.24,1.181,1.181,123
2015-03-16 10:00:00,1.22,1.221,1.22,1.22,107
2015-03-16 12:00:00,1.229,1.245,1.229,1.24,413
2015-03-16 13:00:00,1.24,1.24,1.24,1.24,5
2015-03-16 15:00:00,1.241,1.268,1.24,1.268,38
2015-03-16 16:00:00,1.24,1.28,1.24,1.28,1316
2015-03-16 17:00:00,1.28,1.32,1.28,1.31,1575
2015-03-16 18:00:00,1.3,1.3,1.3,1.3,9
2015-03-17 10:00:00,1.319,1.319,1.2770000000000001,1.319,20
2015-03-17 11:00:00,1.31,1.31,1.3,1.3,25
2015-03-17 12:00:00,1.3,1.3,1.3,1.3,9
2015-03-17 14:00:00,1.3,1.3,1.3,1.3,123
2015-03-17 15:00:00,1.28,1.419,1.27,1.419,1486
2015-03-17 16:00:00,1.4,1.41,1.32,1.41,1752
2015-03-17 17:00:00,1.4,1.4,1.4,1.4,377
2015-03-17 18:00:00,1.409,1.409,1.353,1.353,27
2015-03-18 10:00:00,1.399,1.408,1.33,1.4,58
2015-03-18 11:00:00,1.37,1.4,1.37,1.4,7
2015-03-18 12:00:00,1.399,1.415,1.399,1.404,541
2015-03-18 13:00:00,1.408,1.474,1.3980000000000001,1.4729999999999999,398
2015-03-18 14:00:00,1.468,1.4689999999999999,1.432,1.4689999999999999,23
2015-03-18 15:00:00,1.44,1.45,1.403,1.45,111
2015-03-18 17:00:00,1.445,1.47,1.445,1.47,81
2015-03-19 10:00:00,1.413,1.428,1.413,1.428,5
2015-03-19 11:00:00,1.428,1.428,1.366,1.421,31
2015-03-19 15:00:00,1.399,1.42,1.399,1.42,137
2015-03-19 16:00:00,1.42,1.42,1.42,1.42,40
2015-03-19 17:00:00,1.42,1.42,1.42,1.42,91
2015-03-19 18:00:00,1.42,1.43,1.42,1.43,6
2015-03-20 13:00:00,1.45,1.45,1.45,1.45,1
2015-03-20 14:00:00,1.403,1.403,1.4020000000000001,1.403,9
2015-03-20 15:00:00,1.437,1.475,1.404,1.468,80
2015-03-23 10:00:00,1.487,1.4969999999999999,1.487,1.4969999999999999,8
2015-03-23 16:00:00,1.407,1.407,1.407,1.407,1
2015-03-23 17:00:00,1.468,1.468,1.468,1.468,15
2015-03-24 10:00:00,1.49,1.49,1.49,1.49,7
2015-03-24 11:00:00,1.4889999999999999,1.4889999999999999,1.4889999999999999,1.4889999999999999,3
2015-03-24 12:00:00,1.423,1.423,1.421,1.421,5
2015-03-24 16:00:00,1.35,1.35,1.35,1.35,49
2015-03-24 17:00:00,1.308,1.308,1.305,1.305,64
2015-03-25 10:00:00,1.409,1.409,1.409,1.409,10
2015-03-25 16:00:00,1.318,1.32,1.3,1.319,96
2015-03-25 18:00:00,1.32,1.32,1.251,1.251,123
2015-03-26 10:00:00,1.297,1.298,1.297,1.298,6
2015-03-26 15:00:00,1.25,1.25,1.236,1.236,12
2015-03-27 15:00:00,1.245,1.25,1.245,1.25,119
2015-03-27 18:00:00,1.226,1.226,1.226,1.226,3
2015-03-30 10:00:00,1.24,1.24,1.24,1.24,2
2015-03-30 13:00:00,1.23,1.2349999999999999,1.206,1.206,38
2015-03-30 18:00:00,1.21,1.21,1.21,1.21,60
2015-03-31 18:00:00,1.134,1.134,1.1320000000000001,1.1320000000000001,90
2015-04-01 10:00:00,1.127,1.127,1.127,1.127,1
2015-04-01 14:00:00,1.127,1.127,1.101,1.101,27
2015-04-01 16:00:00,1.227,1.227,1.121,1.121,4
2015-04-02 11:00:00,1.12,1.12,1.12,1.12,13
2015-04-02 15:00:00,1.22,1.222,1.22,1.222,3
2015-04-02 18:00:00,1.224,1.228,1.224,1.228,149
2015-04-03 12:00:00,1.229,1.23,1.229,1.23,200
2015-04-03 14:00:00,1.151,1.22,1.106,1.22,835
2015-04-06 12:00:00,1.176,1.178,1.176,1.178,3
2015-04-06 13:00:00,1.151,1.151,1.151,1.151,19
2015-04-07 12:00:00,1.151,1.228,1.151,1.228,37
2015-04-07 13:00:00,1.21,1.21,1.21,1.21,5
2015-04-09 18:00:00,1.152,1.207,1.103,1.11,353
2015-04-10 11:00:00,1.11,1.11,1.11,1.11,5
2015-04-10 13:00:00,1.11,1.194,1.11,1.194,22
2015-04-13 14:00:00,1.1219999999999999,1.1400000000000001,1.1219999999999999,1.1400000000000001,4
2015-04-13 15:00:00,1.1400000000000001,1.1400000000000001,1.1400000000000001,1.1400000000000001,8
2015-04-13 16:00:00,1.123,1.123,1.112,1.112,201
2015-04-14 13:00:00,1.222,1.223,1.222,1.223,3
2015-04-14 14:00:00,1.222,1.222,1.222,1.222,1
2015-04-14 18:00:00,1.145,1.145,1.145,1.145,5
2015-04-15 15:00:00,1.111,1.111,1.015,1.049,169
2015-04-15 16:00:00,1.141,1.141,1.073,1.075,10
2015-04-15 17:00:00,1.06,1.06,1.06,1.06,64
2015-04-16 10:00:00,1.124,1.125,1.001,1.001,103
2015-04-16 13:00:00,1.035,1.038,1.03,1.03,50
2015-04-16 14:00:00,1.03,1.03,1.026,1.03,175
2015-04-16 15:00:00,1.03,1.03,1.03,1.03,5
2015-04-16 18:00:00,1.049,1.05,1.049,1.05,31
2015-04-17 10:00:00,1.05,1.05,1.05,1.05,1
2015-04-17 13:00:00,1.054,1.147,1.054,1.147,5
2015-04-17 15:00:00,1.056,1.056,1.05,1.05,2
2015-04-17 17:00:00,1.009,1.009,1.007,1.007,10
2015-04-17 18:00:00,1.066,1.066,1.066,1.066,3
2015-04-20 13:00:00,1.075,1.144,1.075,1.144,4
2015-04-21 18:00:00,1.135,1.135,1.135,1.135,21
2015-04-22 10:00:00,1.099,1.1,1.099,1.1,6
2015-04-22 12:00:00,1.099,1.099,1.099,1.099,5
2015-04-22 13:00:00,1.021,1.021,1.02,1.02,10
2015-04-22 14:00:00,1.099,1.1,1.02,1.022,42
2015-04-22 17:00:00,1.023,1.024,1.023,1.023,50
2015-04-22 18:00:00,1.024,1.09,1.024,1.09,50
2015-04-23 12:00:00,1.085,1.147,1.026,1.026,7
2015-04-23 13:00:00,1.025,1.05,0.971,1.05,159
2015-04-23 14:00:00,1.05,1.05,1.015,1.015,17
2015-04-23 18:00:00,1.015,1.015,1.015,1.015,35
2015-04-24 10:00:00,1.001,1.001,1.0,1.0,558
2015-04-24 12:00:00,1.019,1.019,1.019,1.019,6
2015-04-24 13:00:00,1.019,1.019,1.019,1.019,3
2015-04-27 13:00:00,1.055,1.07,1.055,1.07,18
2015-04-28 15:00:00,1.02,1.02,1.02,1.02,15
2015-04-29 10:00:00,1.005,1.005,1.001,1.001,10
2015-04-29 12:00:00,1.002,1.002,1.001,1.001,18
2015-04-29 14:00:00,1.03,1.03,1.03,1.03,2
2015-04-29 16:00:00,1.01,1.01,1.005,1.005,2
2015-04-29 17:00:00,1.005,1.005,1.005,1.005,46
2015-04-30 12:00:00,1.005,1.005,1.005,1.005,46
2015-04-30 13:00:00,1.042,1.042,1.042,1.042,3
2015-05-05 11:00:00,1.006,1.033,1.005,1.033,4
2015-05-05 12:00:00,1.033,1.033,1.033,1.033,8
2015-05-05 13:00:00,1.022,1.022,1.022,1.022,1
2015-05-05 15:00:00,1.023,1.029,1.023,1.029,2
2015-05-05 16:00:00,1.029,1.029,1.029,1.029,1
2015-05-05 17:00:00,1.03,1.03,1.03,1.03,1
2015-05-05 18:00:00,1.022,1.022,1.022,1.022,24
2015-05-06 11:00:00,1.018,1.018,1.018,1.018,4
2015-05-06 18:00:00,1.01,1.01,1.01,1.01,2
2015-05-07 13:00:00,1.002,1.02,1.002,1.02,8
2015-05-07 14:00:00,1.002,1.002,1.002,1.002,64
2015-05-08 11:00:00,1.001,1.002,1.0,1.002,6
2015-05-08 13:00:00,1.021,1.028,1.002,1.002,7
2015-05-08 17:00:00,1.002,1.002,1.0,1.0,42
2015-05-12 10:00:00,1.001,1.001,1.001,1.001,20
2015-05-12 11:00:00,0.985,1.001,0.981,0.981,40
2015-05-12 12:00:00,0.998,1.007,0.998,1.007,4
2015-05-12 14:00:00,1.007,1.01,1.0,1.01,23
2015-05-12 17:00:00,0.992,0.992,0.94,0.94,55
2015-05-12 18:00:00,0.97,0.97,0.97,0.97,6
2015-05-13 11:00:00,0.984,0.984,0.94,0.94,37
2015-05-13 13:00:00,0.975,0.975,0.97,0.97,2
2015-05-13 18:00:00,0.97,0.97,0.97,0.97,3
2015-05-14 10:00:00,0.972,0.972,0.97,0.97,11
2015-05-14 13:00:00,0.97,0.97,0.97,0.97,5
2015-05-14 15:00:00,0.97,0.97,0.97,0.97,5
2015-05-14 16:00:00,0.97,0.97,0.97,0.97,15
2015-05-15 10:00:00,0.969,0.97,0.969,0.97,5
2015-05-15 13:00:00,0.97,0.97,0.97,0.97,3
2015-05-18 10:00:00,0.972,0.972,0.97,0.97,153
2015-05-19 12:00:00,0.987,0.993,0.97,0.97,19
2015-05-19 17:00:00,0.97,0.97,0.961,0.961,22
2015-05-20 10:00:00,0.944,0.944,0.936,0.936,31
2015-05-20 11:00:00,0.94,0.94,0.94,0.94,1
2015-05-20 12:00:00,0.912,0.912,0.912,0.912,35
2015-05-20 16:00:00,0.919,0.927,0.919,0.927,6
2015-05-20 17:00:00,0.91,0.91,0.907,0.907,15
2015-05-21 11:00:00,0.904,0.904,0.903,0.903,3
2015-05-21 12:00:00,0.903,0.903,0.85,0.874,137
2015-05-21 13:00:00,0.89,0.89,0.89,0.89,80
2015-05-21 18:00:00,0.865,0.865,0.865,0.865,1
2015-05-22 11:00:00,0.929,0.93,0.929,0.93,11
2015-05-22 12:00:00,0.95,0.972,0.944,0.944,27
2015-05-22 16:00:00,0.902,0.902,0.902,0.902,4
2015-05-25 12:00:00,0.959,0.959,0.959,0.959,2
2015-05-25 18:00:00,0.945,0.945,0.945,0.945,4
2015-05-26 12:00:00,0.962,0.962,0.962,0.962,2
2015-05-26 17:00:00,0.949,0.949,0.949,0.949,1
2015-05-26 18:00:00,0.905,0.905,0.905,0.905,4
2015-05-28 12:00:00,0.915,0.915,0.915,0.915,3
2015-05-29 12:00:00,0.959,0.959,0.959,0.959,3
2015-06-01 18:00:00,0.908,0.908,0.908,0.908,5
2015-06-02 12:00:00,0.908,0.908,0.908,0.908,2
