datetime,open,high,low,close,volume
2011-12-21,1114.0,1114.0,1069.5,1069.5,200
2011-12-27,1274.0,1486.0,1274.0,1284.0,51
2011-12-28,1300.0,2015.0,1300.0,1300.0,127
2011-12-29,1300.0,2600.0,1300.0,1300.0,325
2012-01-19,1500.0,1500.0,1500.0,1500.0,1
2012-01-20,1052.0,1052.0,1052.0,1052.0,1
2012-01-27,1150.0,1472.0,1150.0,1472.0,11
2012-01-30,1450.0,2019.0,1450.0,1700.0,448
2012-01-31,1699.9,1699.9,1501.0,1501.0,3
2012-02-01,1250.0,1250.0,1250.0,1250.0,1
2012-02-02,1230.0,1230.0,1230.0,1230.0,1
2012-02-03,1078.1,1200.0,1078.1,1200.0,4
2012-02-08,1350.0,1350.0,1350.0,1350.0,1
2012-02-09,1250.0,1250.0,1250.0,1250.0,1
2012-02-16,1500.0,1500.0,1500.0,1500.0,2
2012-02-27,1599.7,1599.7,1599.7,1599.7,2
2012-02-29,1550.0,2234.5,1550.0,2234.5,1288
2012-03-01,1500.1,1525.2,1350.0,1520.0,53
2012-03-02,1510.0,1510.0,1510.0,1510.0,1
2012-03-05,1799.4,2105.0,1799.4,2105.0,480
2012-03-06,2105.0,2388.8,1550.0,1855.2,55
2012-03-07,1500.1,1500.2,1482.5,1500.2,22
2012-03-11,1510.0,1510.0,1510.0,1510.0,1
2012-03-12,1600.0,2001.4,1503.8,2001.4,21
2012-03-13,1600.7,1600.7,1470.0,1480.0,163
2012-03-14,1480.0,1480.0,1350.0,1420.0,177
2012-03-15,1400.0,1425.0,1400.0,1425.0,117
2012-03-21,1380.0,1420.0,1380.0,1420.0,11
2012-03-22,1404.9,1404.9,1290.0,1300.0,18
2012-03-23,1244.0,1244.0,1234.9,1236.0,15
2012-03-26,1205.1,1205.2,1205.0,1205.0,33
2012-03-27,1221.0,1221.1,1221.0,1221.1,4
2012-03-28,1279.9,1279.9,1279.9,1279.9,3
2012-03-29,1188.1,1789.0,1105.0,1349.8,1647
2012-03-30,1500.0,1500.0,1230.0,1266.5,265
2012-04-02,1349.9,1349.9,1349.9,1349.9,1
2012-04-03,1226.1,1300.0,1217.6,1295.4,86
2012-04-04,1259.5,1275.0,1259.5,1275.0,4
2012-04-05,1275.0,1284.9,1271.0,1284.9,13
2012-04-09,1222.6,1222.6,1213.5,1213.5,12
2012-04-10,1112.5,1112.5,1112.5,1112.5,2
