datetime,open,high,low,close,volume
2011-12-18,1114.0,1114.0,1069.5,1069.5,200
2011-12-25,1274.0,2600.0,1274.0,1300.0,503
2012-01-15,1500.0,1500.0,1052.0,1052.0,2
2012-01-22,1150.0,1472.0,1150.0,1472.0,11
2012-01-29,1450.0,2019.0,1078.1,1200.0,457
2012-02-05,1350.0,1350.0,1250.0,1250.0,2
2012-02-12,1500.0,1500.0,1500.0,1500.0,2
2012-02-26,1599.7,2234.5,1350.0,1510.0,1344
2012-03-04,1799.4,2388.8,1482.5,1500.2,557
2012-03-11,1510.0,2001.4,1350.0,1425.0,479
2012-03-18,1380.0,1420.0,1234.9,1236.0,44
2012-03-25,1205.1,1789.0,1105.0,1266.5,1952
2012-04-01,1349.9,1349.9,1217.6,1284.9,104
2012-04-08,1222.6,1222.6,1015.0,1153.2,125
2012-04-15,1160.7,1160.7,1150.5,1150.9,5
2012-04-22,1007.2,1667.0,1007.1,1085.0,2148
2012-04-29,1085.0,1155.0,1022.0,1155.0,12
2012-05-06,1033.0,1190.0,1033.0,1190.0,325
2012-05-13,1055.0,1098.6,960.0,960.0,30
2012-05-20,933.5,1150.0,933.5,1150.0,282
2012-05-27,1050.0,1875.0,1050.0,1189.2,10793
2012-06-03,1077.4,1100.0,1056.0,1060.0,14
2012-06-10,1065.3,1065.3,1059.0,1059.0,2
2012-06-17,1055.1,1055.1,1050.0,1050.0,14
2012-06-24,1100.0,1610.0,960.0,1499.0,3415
2012-07-15,1153.1,1400.0,1153.1,1220.0,534
2012-07-22,1167.6,1449.0,1167.6,1449.0,387
2012-07-29,1300.1,1475.0,1227.0,1475.0,12862
2012-08-05,1260.5,1469.0,1260.5,1354.2,94
2012-08-12,1350.0,1398.3,1280.0,1397.9,472
2012-08-19,1327.1,1388.9,1283.6,1330.0,286
2012-08-26,1320.0,1399.7,1300.6,1389.7,1319
2012-09-02,1306.3,1320.0,1285.9,1290.6,55
2012-09-09,1293.3,1349.8,1215.0,1348.8,5
2012-09-16,1348.5,1363.0,1300.4,1360.0,495
2012-09-23,1380.0,1380.0,1231.0,1353.9,1867
2012-09-30,1262.6,1319.8,1168.2,1168.2,327
2012-10-07,1134.0,1209.3,1100.0,1179.9,15
2012-10-14,1100.0,1177.1,987.7,1155.0,1966
2012-10-21,1151.0,1196.7,957.0,1007.9,1148
2012-10-28,998.8,1089.0,933.6,997.9,129
2012-11-04,940.3,1032.9,917.5,999.9,44
2012-11-11,920.5,986.1,714.7,960.0,795
2012-11-18,817.3,887.0,718.0,886.0,65
2012-11-25,766.1,808.0,715.1,750.0,210
2012-12-02,732.7,732.7,720.0,720.0,59
2012-12-09,715.0,749.9,711.7,749.9,19
2012-12-16,760.0,760.0,677.9,677.9,645
2012-12-23,676.0,744.0,564.9,744.0,952
2013-01-06,635.1,749.9,634.9,710.9,269
2013-01-13,700.5,739.0,645.1,739.0,169
2013-01-20,692.7,775.7,686.0,717.1,177
2013-01-27,733.1,819.9,733.1,774.8,223
2013-02-03,747.1,759.9,557.0,750.0,560
2013-02-10,634.1,772.0,634.1,700.0,172
2013-02-17,657.7,737.9,558.8,675.1,1044
2013-02-24,607.1,657.0,607.0,627.3,86
2013-03-03,627.1,630.0,599.0,616.0,493
2013-03-10,626.7,651.5,600.0,619.7,297
2013-03-17,635.1,635.1,501.2,501.2,983
2013-03-24,533.0,548.6,470.1,515.0,130
2013-03-31,510.0,624.9,480.0,511.3,781
2013-04-07,480.0,558.5,474.4,549.0,722
2013-04-14,500.2,638.0,445.0,638.0,421
2013-04-21,501.1,530.0,501.1,530.0,6
2013-04-28,530.0,530.0,490.0,490.0,3
2013-05-05,510.0,510.1,510.0,510.1,6
2013-05-12,530.0,559.9,444.1,559.9,6
2013-05-19,510.1,629.9,475.2,629.9,1123
2013-05-26,595.0,595.0,529.1,589.0,153
2013-06-02,555.2,584.7,530.0,584.7,8
2013-06-09,526.1,599.0,511.3,599.0,367
2013-06-16,504.3,580.0,504.3,580.0,158
2013-06-23,505.3,569.7,505.0,569.7,131
2013-06-30,508.4,570.0,485.0,568.9,312
2013-07-07,503.6,547.0,492.0,492.1,8
2013-07-14,569.9,590.0,485.0,590.0,434
2013-07-21,503.5,530.0,500.0,530.0,275
2013-08-18,491.8,564.0,475.6,564.0,116
2013-08-25,500.0,549.7,487.0,529.9,157
2013-09-01,548.9,549.7,475.0,533.7,129
2013-09-08,470.0,535.0,460.0,495.0,80
2013-09-15,497.0,525.0,401.0,417.5,4513
2013-09-22,420.5,421.0,390.0,390.0,327
2013-09-29,385.2,429.9,369.6,427.7,922
2013-10-06,426.9,428.0,370.0,398.5,163
2013-10-13,388.5,400.0,377.0,396.4,81
2013-10-20,386.0,419.9,355.0,394.0,1162
2013-10-27,380.0,391.0,380.0,385.0,9
2013-11-03,375.7,375.7,367.0,370.0,69
2013-11-10,374.6,374.6,334.0,349.6,39
2013-11-17,340.1,346.0,300.1,310.0,405
2013-11-24,301.0,301.0,271.1,298.0,14
2013-12-01,270.0,341.9,270.0,341.9,20
2013-12-08,340.7,340.7,291.0,300.3,36
2013-12-15,333.9,333.9,300.3,326.0,18
2013-12-22,301.0,348.7,300.0,348.7,23
2013-12-29,346.5,347.5,346.5,347.5,6
2014-01-05,330.0,335.0,330.0,333.0,5
2014-01-19,302.0,392.7,262.9,333.0,1054
2014-01-26,303.4,337.6,303.4,320.0,16
2014-02-02,305.0,305.0,220.0,226.9,4301
2014-02-09,231.9,274.7,225.3,264.0,1211
2014-02-16,273.0,273.0,249.1,264.8,67
2014-02-23,274.9,295.0,258.0,276.5,1254
2014-03-02,248.8,272.4,210.0,223.0,805
2014-03-09,212.2,226.0,212.2,226.0,693
2014-03-16,222.5,239.6,221.1,230.0,149
2014-03-23,230.0,235.1,230.0,230.0,52
2014-03-30,220.6,236.0,210.0,213.0,373
2014-04-06,200.1,225.0,200.1,220.0,180
2014-04-13,219.8,226.0,219.8,220.0,12
2014-04-20,220.0,220.0,210.1,219.9,31
2014-04-27,205.0,205.0,205.0,205.0,1
2014-05-04,220.0,220.0,202.0,210.0,6
2014-05-11,219.9,272.0,219.9,269.3,537
2014-05-18,250.0,254.6,248.0,252.0,121
2014-06-01,253.7,264.6,223.2,264.6,30
2014-06-15,225.0,268.0,216.2,268.0,76
2014-06-22,269.8,269.8,269.8,269.8,1
2014-06-29,200.7,289.0,200.7,276.8,147
2014-07-06,279.9,348.0,234.7,330.0,415
2014-07-13,285.0,285.0,270.0,270.0,3
2014-07-20,213.3,310.0,213.1,310.0,804
2014-07-27,240.1,309.9,240.1,309.9,3
2014-08-03,226.3,329.0,226.2,325.5,20
2014-08-10,240.7,240.7,235.0,237.0,14
2014-08-17,287.0,372.5,285.9,310.0,27
2014-08-24,317.9,345.0,317.9,345.0,91
2014-08-31,345.0,345.0,260.1,288.0,48
2014-09-07,300.0,333.0,300.0,333.0,21
2014-09-14,368.3,368.3,368.3,368.3,52
2014-09-21,268.3,268.3,265.6,265.6,3
2014-09-28,330.0,372.5,330.0,372.5,9
2014-10-05,280.0,280.0,280.0,280.0,1
2014-10-12,280.0,320.0,271.0,290.0,418
2014-10-19,290.0,290.0,290.0,290.0,125
2014-10-26,273.0,321.0,272.0,321.0,22
2014-11-02,271.0,296.0,271.0,296.0,4
2014-11-09,270.0,319.0,269.0,305.0,294
2014-11-16,295.0,295.0,275.0,275.0,3
2014-11-23,255.0,279.0,221.0,270.0,362
2014-11-30,280.0,280.0,260.0,260.0,39
2014-12-07,247.0,295.0,230.0,295.0,389
2014-12-14,246.0,246.0,155.0,241.0,413
2014-12-21,203.0,260.0,181.0,228.0,619
2015-01-04,207.0,259.0,206.0,215.0,45
2015-01-11,249.0,252.0,220.0,230.0,34
2015-01-18,241.0,255.0,210.0,249.0,67
2015-01-25,234.0,275.0,220.0,275.0,440
2015-02-01,284.0,349.0,246.0,349.0,3876
2015-02-08,336.0,376.0,233.0,350.0,1739
2015-02-15,350.0,375.0,340.0,363.0,65
2015-02-22,370.0,390.0,313.0,357.0,301
2015-03-01,350.0,400.0,345.0,396.0,425
2015-03-08,341.0,385.0,280.0,340.0,1215
2015-03-15,340.0,387.0,340.0,360.0,438
2015-03-22,399.0,445.0,355.0,397.0,2467
2015-03-29,429.0,430.0,391.0,429.0,1135
2015-04-05,391.0,430.0,390.0,418.0,964
2015-04-12,411.0,440.0,410.0,430.0,1011
2015-04-19,438.0,443.0,413.0,422.0,450
2015-04-26,421.0,423.0,410.0,420.0,655
2015-05-03,406.0,429.0,342.0,429.0,2574
2015-05-10,430.0,430.0,410.0,410.0,23
2015-05-17,430.0,445.0,390.0,390.0,1482
2015-05-24,410.0,429.0,400.0,410.0,34
2015-05-31,390.0,449.0,390.0,420.0,21
2015-06-07,411.0,425.0,411.0,411.0,3
2015-06-14,411.0,430.0,395.0,430.0,65
2015-06-21,420.0,494.0,420.0,460.0,525
2015-06-28,439.0,440.0,394.0,412.0,1151
2015-07-05,411.0,419.0,400.0,400.0,813
2015-07-12,430.0,591.0,391.0,550.0,2448
2015-07-19,530.0,535.0,475.0,500.0,1074
2015-07-26,471.0,587.0,411.0,587.0,863
2015-08-02,553.0,553.0,470.0,493.0,166
2015-08-09,493.0,550.0,491.0,531.0,146
2015-08-16,549.0,825.0,511.0,799.0,926
2015-08-23,704.0,713.0,602.0,713.0,109
2015-08-30,616.0,735.0,612.0,660.0,2674
2015-09-06,629.0,719.0,623.0,670.0,5567
2015-09-13,661.0,750.0,599.0,640.0,2691
2015-09-20,650.0,680.0,622.0,641.0,812
2015-09-27,637.0,654.0,600.0,610.0,239
2015-10-04,591.0,626.0,558.0,617.0,1403
2015-10-11,601.0,623.0,573.0,601.0,566
2015-10-18,601.0,601.0,429.0,587.0,106
2015-10-25,599.0,609.0,575.0,586.0,23
2015-11-01,586.0,612.0,574.0,574.0,32
2015-11-08,575.0,626.0,567.0,606.0,1020
2015-11-15,606.0,635.0,604.0,607.0,943
2015-11-22,618.0,738.0,618.0,638.0,304
2015-11-29,624.0,636.0,575.0,629.0,196
2015-12-06,630.0,630.0,550.0,615.0,1617
2015-12-13,603.0,641.0,550.0,611.0,472
2015-12-20,604.0,635.0,521.0,635.0,279
2015-12-27,605.0,605.0,605.0,605.0,1
2016-01-03,577.0,657.0,577.0,645.0,495
2016-01-10,604.0,604.0,582.0,590.0,44
2016-01-17,590.0,597.0,571.0,582.0,37
2016-01-24,574.0,611.0,538.0,594.0,245
2016-01-31,587.0,588.0,520.0,577.0,75
2016-02-07,563.0,579.0,556.0,579.0,5
2016-02-14,575.0,867.0,568.0,734.0,10162
2016-02-21,737.0,771.0,650.0,677.0,4134
2016-02-28,688.0,745.0,607.0,684.0,6009
2016-03-06,673.0,679.0,625.0,633.0,3138
2016-03-13,631.0,700.0,600.0,664.0,582
2016-03-20,667.0,705.0,622.0,663.0,301
2016-03-27,668.0,715.0,628.0,687.0,1062
2016-04-03,686.0,850.0,618.0,673.0,746
2016-04-10,668.0,678.0,616.0,648.0,296
2016-04-17,644.0,679.0,623.0,630.0,292
2016-04-24,648.0,648.0,574.0,593.0,1565
2016-05-01,592.0,608.0,590.0,608.0,41
2016-05-08,596.0,658.0,504.0,589.0,284
2016-05-15,598.0,598.0,504.0,570.0,403
2016-05-22,574.0,594.0,522.0,542.0,623
2016-05-29,523.0,569.0,523.0,564.0,147
2016-06-05,554.0,593.0,526.0,553.0,195
2016-06-12,533.0,578.0,514.0,559.0,51
2016-06-19,545.0,591.0,500.0,505.0,422
2016-06-26,521.0,600.0,484.0,564.0,921
2016-07-03,538.0,585.0,481.0,585.0,178
2016-07-10,585.0,614.0,513.0,614.0,260
2016-07-17,628.0,658.0,555.0,658.0,281
2016-07-24,645.0,645.0,576.0,600.0,64
2016-07-31,633.0,633.0,573.0,597.0,533
2016-08-07,591.0,591.0,558.0,570.0,747
2016-08-14,562.0,570.0,527.0,543.0,649
2016-08-21,544.0,578.0,500.0,532.0,1792
2016-08-28,527.0,598.0,500.0,561.0,2047
2016-09-04,561.0,561.0,532.0,532.0,311
2016-09-11,542.0,564.0,506.0,529.0,452
2016-09-18,531.0,541.0,506.0,524.0,118
2016-09-25,529.0,595.0,515.0,573.0,1342
2016-10-02,572.0,578.0,510.0,541.0,503
2016-10-09,535.0,547.0,521.0,531.0,170
2016-10-16,533.0,536.0,519.0,523.0,41
2016-10-23,524.0,570.0,502.0,528.0,3156
2016-10-30,529.0,673.0,529.0,541.0,2331
2016-11-06,555.0,593.0,532.0,589.0,1937
2016-11-13,560.0,610.0,545.0,597.0,1553
2016-11-20,580.0,625.0,558.0,586.0,1004
2016-11-27,585.0,631.0,566.0,622.0,4529
2016-12-04,616.0,645.0,595.0,625.0,510
2016-12-11,625.0,655.0,455.0,620.0,1109
2016-12-18,627.0,655.0,597.0,616.0,3427
2016-12-25,612.0,643.0,599.0,643.0,1426
2017-01-01,644.0,700.0,641.0,687.0,1074
2017-01-08,675.0,748.0,665.0,721.0,4271
2017-01-15,715.0,740.0,685.0,720.0,1444
2017-01-22,720.0,750.0,700.0,740.0,2337
2017-01-29,745.0,790.0,740.0,762.0,4253
2017-02-05,756.0,760.0,701.0,744.0,1757
2017-02-12,747.0,769.0,725.0,730.0,1665
2017-02-19,740.0,740.0,684.0,704.0,2106
2017-02-26,697.0,734.0,650.0,722.0,1573
2017-03-05,718.0,718.0,670.0,675.0,1226
2017-03-12,668.0,705.0,668.0,700.0,1223
2017-03-19,701.0,720.0,610.0,660.0,3505
2017-03-26,660.0,710.0,630.0,678.0,1886
2017-04-02,680.0,700.0,655.0,679.0,1441
2017-04-09,676.0,680.0,622.0,638.0,993
2017-04-16,640.0,830.0,632.0,677.0,1947
2017-04-23,684.0,788.0,650.0,703.0,1550
2017-04-30,700.0,703.0,680.0,685.0,213
2017-05-07,684.0,687.0,671.0,680.0,87
2017-05-14,684.0,698.0,643.0,651.0,785
2017-05-21,658.0,667.0,616.0,638.0,2109
2017-05-28,635.0,739.0,617.0,633.0,1466
2017-06-04,631.0,684.0,614.0,614.0,1117
2017-06-11,625.0,636.0,594.0,636.0,815
2017-06-18,639.0,662.0,611.0,662.0,70
2017-06-25,648.0,858.0,638.0,691.0,2744
2017-07-02,692.0,782.0,644.0,688.0,1731
2017-07-09,678.0,699.0,664.0,682.0,826
2017-07-16,688.0,700.0,652.0,675.0,968
2017-07-23,688.0,688.0,654.0,679.0,2019
2017-07-30,660.0,683.0,628.0,656.0,1727
