datetime,open,high,low,close,volume
2014-12-11 17:00:00,31.3,31.3,31.1,31.1,20
2014-12-11 18:00:00,30.1,30.3,30.0,30.3,116
2014-12-15 12:00:00,35.0,35.1,35.0,35.0,160
2014-12-15 15:00:00,30.2,30.2,30.0,30.0,52
2014-12-15 16:00:00,30.0,30.0,30.0,30.0,186
2014-12-15 18:00:00,29.9,30.0,29.9,30.0,2060
2014-12-16 10:00:00,34.8,35.0,34.8,35.0,1000
2014-12-16 11:00:00,30.2,30.2,30.0,30.0,50
2014-12-16 12:00:00,30.0,30.0,30.0,30.0,2
2014-12-16 13:00:00,30.0,30.0,30.0,30.0,7
2014-12-16 14:00:00,29.9,29.9,29.9,29.9,5
2014-12-16 16:00:00,29.9,29.9,29.9,29.9,45
2014-12-16 17:00:00,29.9,29.9,29.9,29.9,1150
2014-12-16 18:00:00,34.5,35.1,34.5,35.0,2536
2014-12-17 11:00:00,35.0,35.0,34.9,35.0,1815
2014-12-17 15:00:00,35.0,35.0,35.0,35.0,1743
2014-12-18 10:00:00,30.8,35.0,30.8,33.0,236
2014-12-18 16:00:00,34.9,35.1,34.9,35.0,1325
2014-12-18 17:00:00,35.0,35.0,35.0,35.0,375
2014-12-22 12:00:00,36.5,36.8,36.5,36.8,130
2014-12-22 13:00:00,36.5,36.5,36.5,36.5,240
2014-12-23 10:00:00,36.6,36.9,36.6,36.9,260
2014-12-23 11:00:00,36.0,36.0,36.0,36.0,300
2014-12-24 11:00:00,36.0,36.0,36.0,36.0,30
2014-12-26 11:00:00,35.0,35.0,35.0,35.0,10
2014-12-26 12:00:00,35.0,35.0,35.0,35.0,60
2014-12-29 15:00:00,37.0,37.0,37.0,37.0,3
2014-12-30 17:00:00,37.0,37.0,37.0,37.0,3
2015-02-05 12:00:00,35.1,35.1,35.1,35.1,8
2015-02-09 17:00:00,35.2,35.2,35.2,35.2,3
2015-02-09 18:00:00,35.1,35.1,35.1,35.1,8
2015-02-11 15:00:00,35.3,35.3,35.3,35.3,12
2015-02-13 12:00:00,38.6,45.0,38.6,45.0,600
2015-02-13 18:00:00,38.5,38.5,38.5,38.5,4
2015-02-16 10:00:00,45.0,45.0,45.0,45.0,10
2015-02-16 14:00:00,36.7,36.7,36.0,36.1,141
2015-02-27 11:00:00,38.2,38.2,38.2,38.2,2
2015-02-27 17:00:00,38.3,38.3,38.2,38.2,720
2015-03-02 18:00:00,43.3,43.5,43.3,43.5,11
2015-03-03 13:00:00,38.1,38.1,38.0,38.0,400
2015-03-04 18:00:00,44.4,45.0,44.4,45.0,11
2015-03-05 14:00:00,38.2,38.2,38.2,38.2,100
2015-03-05 15:00:00,44.5,44.5,44.5,44.5,2
2015-03-05 17:00:00,40.5,40.5,38.0,38.0,101
2015-03-05 18:00:00,38.0,38.0,37.5,37.5,4
2015-03-06 11:00:00,36.1,36.1,36.0,36.0,8
2015-03-11 18:00:00,35.2,35.2,35.2,35.2,6
2015-03-12 13:00:00,35.1,35.1,35.1,35.1,520
2015-03-13 18:00:00,35.1,35.1,35.1,35.1,3
2015-03-16 16:00:00,35.1,35.1,35.1,35.1,238
2015-03-18 10:00:00,38.8,38.9,38.8,38.9,50
2015-03-18 12:00:00,38.8,38.8,38.8,38.8,15
2015-03-20 10:00:00,31.1,31.8,31.1,31.8,2
2015-03-20 18:00:00,33.4,33.4,33.4,33.4,3
2015-03-26 10:00:00,35.0,35.0,35.0,35.0,600
2015-03-26 11:00:00,35.0,35.0,35.0,35.0,300
2015-03-31 17:00:00,35.0,35.0,35.0,35.0,3
2015-04-02 17:00:00,34.1,34.1,33.0,33.0,131
2015-04-02 18:00:00,33.0,33.0,32.5,32.5,573
2015-04-03 10:00:00,32.6,32.6,32.5,32.5,150
2015-04-03 13:00:00,32.6,32.6,32.5,32.5,244
2015-04-06 10:00:00,32.0,37.3,30.0,37.3,2646
2015-04-06 15:00:00,32.7,32.7,32.6,32.6,10
2015-04-06 18:00:00,33.0,33.0,33.0,33.0,1
2015-04-08 14:00:00,36.8,36.9,36.8,36.8,3832
2015-04-10 12:00:00,32.1,32.1,32.0,32.0,694
2015-04-10 14:00:00,36.6,36.7,36.6,36.7,14
2015-04-13 16:00:00,33.1,33.1,31.0,31.0,5388
2015-04-14 10:00:00,31.1,31.1,30.5,30.5,1200
2015-04-14 12:00:00,32.0,33.0,32.0,33.0,8
2015-04-15 12:00:00,32.1,32.1,32.1,32.1,4
2015-04-15 18:00:00,34.8,35.2,34.8,35.2,10
2015-04-20 15:00:00,33.0,33.0,31.2,31.2,13
2015-04-20 18:00:00,31.5,34.3,31.2,34.3,18
2015-04-21 11:00:00,31.3,31.3,31.0,31.0,23
2015-04-21 12:00:00,33.9,35.0,31.0,32.4,1058
2015-04-21 13:00:00,32.5,32.5,32.5,32.5,4
2015-04-21 14:00:00,32.5,32.6,32.5,32.6,2
2015-04-21 16:00:00,31.5,31.5,31.2,31.2,4
2015-04-21 18:00:00,31.3,31.3,31.3,31.3,6
2015-04-22 13:00:00,33.0,33.0,33.0,33.0,2
2015-04-24 11:00:00,30.2,30.2,30.2,30.2,7
2015-04-24 18:00:00,30.7,30.7,30.7,30.7,2
2015-04-27 10:00:00,30.4,30.4,30.4,30.4,1
2015-04-27 15:00:00,30.5,30.5,30.5,30.5,12
2015-04-28 12:00:00,31.5,33.0,31.5,33.0,5
2015-05-05 17:00:00,31.9,32.0,31.9,32.0,16
2015-05-13 10:00:00,30.2,33.0,30.0,33.0,156
2015-05-13 17:00:00,30.0,30.0,30.0,30.0,16
2015-05-14 12:00:00,30.0,30.0,30.0,30.0,9
2015-05-15 15:00:00,30.0,30.0,30.0,30.0,1
2015-05-15 16:00:00,29.0,29.0,28.2,28.2,2001
2015-05-25 18:00:00,29.9,29.9,29.9,29.9,4
2015-05-27 14:00:00,28.1,28.1,28.0,28.0,19
2015-05-28 14:00:00,28.7,28.7,28.7,28.7,5
2015-05-28 15:00:00,28.6,28.7,28.6,28.7,118
2015-06-01 16:00:00,27.8,27.8,27.8,27.8,4
2015-06-02 17:00:00,27.9,27.9,27.9,27.9,4
2015-06-03 15:00:00,28.0,28.0,28.0,28.0,3
2015-06-05 13:00:00,27.9,27.9,27.9,27.9,1
2015-06-05 17:00:00,28.0,28.0,28.0,28.0,1
2015-06-05 18:00:00,28.1,28.1,28.1,28.1,3
2015-06-09 11:00:00,28.0,28.0,28.0,28.0,3
2015-06-09 18:00:00,28.6,28.6,28.6,28.6,4
2015-06-10 10:00:00,29.9,29.9,29.9,29.9,5
2015-06-10 15:00:00,28.1,28.1,28.1,28.1,3
2015-06-10 18:00:00,28.1,28.1,28.0,28.0,5
2015-06-11 16:00:00,28.7,28.8,28.7,28.8,4
2015-06-16 18:00:00,28.1,28.1,28.0,28.0,4
2015-06-17 13:00:00,27.8,27.8,27.8,27.8,1
2015-06-17 17:00:00,28.0,28.0,28.0,28.0,1
2015-06-17 18:00:00,27.3,27.3,27.0,27.0,10
2015-06-24 16:00:00,27.0,27.0,27.0,27.0,4
2015-06-26 17:00:00,27.5,27.5,27.5,27.5,63
2015-07-13 17:00:00,27.1,27.1,27.0,27.0,4
2015-07-21 12:00:00,27.4,27.5,27.4,27.5,91
2015-07-22 18:00:00,27.5,27.5,27.5,27.5,15
2015-07-29 16:00:00,27.0,27.0,27.0,27.0,150
2015-08-11 15:00:00,27.3,27.3,27.3,27.3,480
2015-08-14 15:00:00,28.0,28.0,28.0,28.0,1
2015-08-14 17:00:00,28.4,28.4,28.4,28.4,60
2015-08-17 11:00:00,27.8,27.8,27.8,27.8,3
2015-08-19 17:00:00,27.5,27.5,27.5,27.5,3
2015-08-20 10:00:00,27.4,27.4,27.4,27.4,3
2015-08-21 18:00:00,27.4,27.4,27.4,27.4,6
2015-08-25 14:00:00,28.2,28.2,28.2,28.2,2
2015-08-31 10:00:00,26.6,28.9,26.5,28.9,16
2015-09-03 11:00:00,28.0,28.0,28.0,28.0,1
2015-09-03 18:00:00,28.0,28.0,28.0,28.0,8
2015-09-07 12:00:00,28.0,28.0,28.0,28.0,2
2015-09-07 14:00:00,27.0,27.0,27.0,27.0,1
2015-09-07 16:00:00,27.0,27.0,27.0,27.0,1
2015-09-07 17:00:00,27.0,27.0,27.0,27.0,1
2015-09-07 18:00:00,26.5,28.0,24.0,28.0,37
2015-09-08 12:00:00,27.0,27.0,27.0,27.0,2
2015-09-08 14:00:00,27.0,27.0,27.0,27.0,5
2015-09-09 15:00:00,27.0,27.0,27.0,27.0,35
2015-09-14 12:00:00,28.0,28.0,28.0,28.0,30
2015-09-15 13:00:00,26.1,26.1,26.1,26.1,1
2015-09-15 15:00:00,26.1,26.1,26.1,26.1,6
2015-09-16 11:00:00,26.1,26.1,26.1,26.1,1
2015-09-16 14:00:00,26.1,26.1,26.1,26.1,1
2015-09-16 15:00:00,26.1,26.1,26.1,26.1,2
2015-09-16 16:00:00,26.1,26.1,26.1,26.1,16
2015-09-21 10:00:00,26.1,26.1,26.1,26.1,1
2015-09-21 16:00:00,26.1,26.1,26.1,26.1,3
2015-09-22 15:00:00,26.9,26.9,26.1,26.1,4
2015-09-23 10:00:00,26.1,26.1,26.1,26.1,2
2015-09-23 12:00:00,26.5,26.5,26.5,26.5,12
2015-09-23 14:00:00,26.5,26.5,26.5,26.5,26
2015-09-28 14:00:00,25.3,25.5,25.3,25.5,21
2015-09-29 17:00:00,26.0,26.0,26.0,26.0,40
2015-09-30 14:00:00,26.3,26.3,26.3,26.3,70
2015-09-30 15:00:00,26.3,26.3,26.3,26.3,30
2015-10-01 11:00:00,26.2,26.2,26.2,26.2,1
2015-10-01 12:00:00,26.0,26.0,26.0,26.0,15
2015-10-05 10:00:00,27.8,27.9,27.8,27.9,5
2015-10-05 16:00:00,26.0,26.0,26.0,26.0,1
2015-10-05 17:00:00,25.9,25.9,25.9,25.9,3
2015-10-06 10:00:00,26.0,26.0,26.0,26.0,13
2015-10-06 15:00:00,26.1,26.1,26.0,26.0,4
2015-10-06 16:00:00,26.0,26.0,26.0,26.0,1
2015-10-06 18:00:00,26.1,26.1,26.1,26.1,3
2015-10-07 11:00:00,26.9,28.7,26.1,26.1,7
2015-10-08 12:00:00,25.4,25.4,25.4,25.4,3
2015-10-09 10:00:00,26.5,26.5,26.5,26.5,70
2015-10-09 17:00:00,26.1,26.5,26.1,26.5,24
2015-10-12 15:00:00,26.1,26.1,26.1,26.1,42
2015-10-14 11:00:00,26.1,26.1,26.1,26.1,1
2015-10-14 12:00:00,26.9,27.8,26.9,27.8,5
2015-10-14 13:00:00,26.7,26.7,26.5,26.5,50
2015-10-14 14:00:00,26.1,26.4,22.7,26.4,95
2015-10-14 15:00:00,25.7,25.7,25.7,25.7,2
2015-10-14 17:00:00,25.9,25.9,25.9,25.9,3
2015-10-15 12:00:00,26.4,27.6,26.4,27.0,11
2015-10-15 15:00:00,25.6,25.6,25.0,25.0,9
2015-10-15 16:00:00,24.9,24.9,24.6,24.6,29
2015-10-19 16:00:00,25.9,26.0,25.9,26.0,34
2015-10-20 10:00:00,26.3,29.3,26.3,29.3,33
2015-10-20 18:00:00,29.0,29.0,29.0,29.0,2
2015-10-23 13:00:00,27.9,27.9,27.9,27.9,4
2015-10-26 14:00:00,26.3,26.3,26.3,26.3,1
2015-10-26 18:00:00,26.0,26.0,26.0,26.0,3
2015-10-29 12:00:00,26.0,26.0,26.0,26.0,10
2015-10-29 13:00:00,27.0,27.0,27.0,27.0,2
2015-10-29 16:00:00,26.0,26.0,26.0,26.0,1
2015-10-29 18:00:00,26.0,27.0,26.0,27.0,18
2015-10-30 10:00:00,26.3,26.3,26.3,26.3,1
2015-10-30 13:00:00,25.3,25.3,25.3,25.3,3
2015-11-02 18:00:00,26.0,26.0,26.0,26.0,3
2015-11-03 10:00:00,25.5,25.5,25.5,25.5,1
2015-11-03 14:00:00,26.4,26.4,26.4,26.4,1
2015-11-03 18:00:00,25.5,25.5,25.5,25.5,4
2015-11-05 11:00:00,25.1,25.1,23.5,23.5,20
2015-11-05 16:00:00,24.6,24.6,24.6,24.6,1
2015-11-05 18:00:00,25.4,26.0,25.4,26.0,32
2015-11-11 11:00:00,26.4,26.4,26.4,26.4,1
2015-11-11 16:00:00,26.5,26.5,26.5,26.5,4
2015-11-12 17:00:00,27.9,27.9,26.0,26.0,20
2015-11-13 13:00:00,25.5,25.5,25.5,25.5,7
2015-11-13 14:00:00,25.0,25.0,25.0,25.0,61
2015-11-16 12:00:00,24.3,24.3,24.0,24.0,34
2015-11-17 14:00:00,25.0,25.0,23.3,23.3,61
2015-11-17 17:00:00,24.9,24.9,24.9,24.9,4
2015-11-18 13:00:00,25.4,28.0,25.4,28.0,20
2015-11-18 14:00:00,25.6,25.6,25.5,25.5,2
2015-11-18 15:00:00,25.0,25.0,25.0,25.0,1
2015-11-18 17:00:00,27.3,27.3,27.3,27.3,3
2015-11-19 16:00:00,25.5,26.5,23.2,26.5,74
2015-11-20 10:00:00,26.0,27.0,26.0,27.0,297
2015-11-23 14:00:00,24.8,26.8,24.0,26.8,135
2015-11-23 15:00:00,25.6,27.9,24.0,27.9,345
2015-11-23 16:00:00,25.6,25.6,25.6,25.6,1
2015-11-23 18:00:00,25.0,25.0,25.0,25.0,15
2015-11-24 18:00:00,24.5,24.5,24.1,24.1,34
2015-11-25 17:00:00,24.5,24.5,23.6,24.4,12
2015-11-25 18:00:00,24.3,24.3,24.2,24.2,4
2015-11-26 18:00:00,24.5,24.5,23.5,23.5,260
2015-11-27 10:00:00,24.8,25.5,24.8,25.5,3
2015-11-27 12:00:00,25.4,27.5,25.4,27.4,16
2015-11-27 13:00:00,25.9,25.9,23.1,23.1,35
2015-11-27 14:00:00,24.0,24.1,23.5,24.1,173
2015-11-27 15:00:00,26.0,26.0,26.0,26.0,22
2015-11-27 16:00:00,26.0,26.0,26.0,26.0,9
2015-11-27 17:00:00,24.0,24.0,24.0,24.0,2
2015-11-27 18:00:00,25.3,25.4,25.3,25.4,26
2015-11-30 15:00:00,24.1,24.2,23.6,23.6,7
2015-11-30 16:00:00,24.2,24.2,24.2,24.2,3
2015-12-01 17:00:00,25.2,25.2,25.2,25.2,1
2015-12-01 18:00:00,25.2,26.0,25.2,26.0,10
2015-12-03 09:00:00,24.0,24.0,24.0,24.0,1
2015-12-03 10:00:00,24.0,24.0,24.0,24.0,13
2015-12-03 12:00:00,24.0,24.0,24.0,24.0,3
2015-12-03 17:00:00,23.9,23.9,23.5,23.5,4
2015-12-03 18:00:00,24.0,24.3,24.0,24.3,11
2015-12-04 10:00:00,24.0,24.0,24.0,24.0,200
2015-12-04 11:00:00,24.0,24.0,24.0,24.0,387
2015-12-04 14:00:00,24.4,24.4,24.4,24.4,1
2015-12-04 17:00:00,24.4,24.4,24.2,24.2,23
2015-12-07 18:00:00,24.1,24.1,24.1,24.1,2
2015-12-08 10:00:00,25.2,28.0,25.2,28.0,428
2015-12-08 11:00:00,26.0,27.3,26.0,27.3,12
2015-12-08 13:00:00,27.1,27.2,27.1,27.2,12
2015-12-08 14:00:00,26.0,26.0,26.0,26.0,1
2015-12-08 15:00:00,26.4,27.2,26.4,27.2,8
2015-12-08 17:00:00,26.0,26.0,26.0,26.0,31
2015-12-09 10:00:00,24.1,24.9,24.1,24.7,12
2015-12-09 12:00:00,26.3,27.0,26.3,27.0,5
2015-12-09 14:00:00,26.1,26.1,24.0,24.0,160
2015-12-09 15:00:00,24.4,25.0,24.4,24.9,6
2015-12-11 10:00:00,24.1,24.1,24.1,24.1,1
2015-12-11 11:00:00,24.9,25.0,24.9,25.0,13
2015-12-15 10:00:00,25.0,28.0,25.0,28.0,210
2015-12-15 11:00:00,26.1,26.1,25.7,25.7,3
2015-12-15 16:00:00,25.0,25.0,25.0,25.0,9
2015-12-17 10:00:00,26.3,27.5,26.3,27.5,13
2015-12-17 12:00:00,26.1,26.1,26.0,26.0,2
2015-12-17 13:00:00,25.0,25.0,25.0,25.0,1
2015-12-17 14:00:00,25.0,25.0,25.0,25.0,5
2015-12-22 13:00:00,24.8,26.0,24.0,24.9,115
2015-12-22 14:00:00,24.6,24.6,24.6,24.6,1
2015-12-22 17:00:00,24.1,24.1,24.0,24.0,171
2015-12-23 13:00:00,24.1,24.1,24.1,24.1,2
2015-12-23 16:00:00,24.7,25.0,24.7,25.0,5
2015-12-23 18:00:00,24.3,24.3,24.2,24.2,5
2015-12-24 10:00:00,24.8,25.1,24.8,25.1,5
2015-12-25 11:00:00,24.5,24.5,24.5,24.5,150
2015-12-28 12:00:00,24.2,24.2,24.2,24.2,5
2015-12-30 14:00:00,24.4,24.4,24.1,24.1,5
2016-01-04 17:00:00,24.2,24.2,24.1,24.1,12
2016-01-05 13:00:00,24.7,27.5,24.7,27.5,205
2016-01-05 16:00:00,27.7,29.0,27.7,28.9,26
2016-01-06 18:00:00,28.8,28.8,28.8,28.8,3
2016-01-11 10:00:00,24.1,26.4,24.0,26.4,16
2016-01-11 11:00:00,26.0,26.0,26.0,26.0,2
2016-01-11 12:00:00,25.0,25.0,25.0,25.0,6
2016-01-11 13:00:00,25.5,26.0,25.5,26.0,6
2016-01-11 17:00:00,26.0,26.0,26.0,26.0,4
2016-01-11 18:00:00,26.4,26.4,26.4,26.4,3
2016-01-13 14:00:00,25.7,25.7,25.7,25.7,3
2016-01-15 14:00:00,25.7,25.7,25.7,25.7,3
2016-01-18 10:00:00,24.6,25.6,24.0,25.6,32
2016-01-18 11:00:00,26.5,26.5,24.8,24.8,7
2016-01-19 15:00:00,24.7,24.7,24.7,24.7,3
2016-01-20 14:00:00,24.4,24.4,24.0,24.0,108
2016-01-22 14:00:00,25.1,25.1,25.1,25.1,1
2016-01-22 16:00:00,25.2,25.3,25.2,25.3,3
2016-01-22 18:00:00,25.3,25.3,25.3,25.3,10
2016-01-25 13:00:00,24.7,24.7,24.7,24.7,3
2016-01-27 10:00:00,24.5,24.5,24.3,24.3,2
2016-01-27 11:00:00,25.0,25.0,25.0,25.0,6
2016-02-02 14:00:00,25.4,25.4,25.4,25.4,3
2016-02-03 10:00:00,26.0,26.6,26.0,26.5,60
2016-02-03 11:00:00,26.5,26.5,26.5,26.5,15
2016-02-03 12:00:00,26.4,26.5,26.4,26.5,7
2016-02-09 11:00:00,25.5,25.5,25.5,25.5,1
2016-02-09 18:00:00,25.2,25.2,25.2,25.2,4
2016-02-16 11:00:00,25.3,25.3,25.2,25.2,2
2016-02-16 16:00:00,24.8,24.8,24.4,24.4,5
2016-02-17 10:00:00,25.3,26.5,25.3,25.5,10
2016-02-17 14:00:00,25.8,26.5,25.5,25.5,863
2016-02-17 17:00:00,25.2,25.2,25.0,25.0,10
2016-02-19 14:00:00,24.8,24.8,24.4,24.4,126
2016-02-29 18:00:00,24.1,24.5,23.2,24.5,15
2016-03-01 10:00:00,24.1,24.1,24.1,24.1,1
2016-03-01 12:00:00,24.0,24.0,24.0,24.0,500
2016-03-01 13:00:00,24.4,24.4,24.2,24.2,6
2016-03-03 12:00:00,24.9,24.9,24.9,24.9,3
2016-03-04 16:00:00,24.9,24.9,24.9,24.9,12
2016-03-07 11:00:00,25.0,25.0,25.0,25.0,1
2016-03-07 16:00:00,25.0,25.0,25.0,25.0,1
2016-03-07 17:00:00,25.0,25.0,25.0,25.0,2
2016-03-09 11:00:00,25.0,25.0,25.0,25.0,20
2016-03-09 12:00:00,25.0,25.0,25.0,25.0,10
2016-03-09 16:00:00,25.0,25.0,25.0,25.0,15
2016-03-10 10:00:00,25.0,25.0,25.0,25.0,10
2016-03-10 15:00:00,25.0,25.0,25.0,25.0,15
2016-03-10 16:00:00,25.0,25.0,25.0,25.0,30
2016-03-11 10:00:00,25.0,25.0,25.0,25.0,10
2016-03-11 11:00:00,25.1,26.0,25.1,26.0,31
2016-03-11 15:00:00,25.5,25.5,25.5,25.5,5
2016-03-11 16:00:00,25.5,25.5,25.5,25.5,16
2016-03-14 10:00:00,25.0,25.0,25.0,25.0,5
2016-03-14 11:00:00,25.4,25.5,25.4,25.5,6
2016-03-14 14:00:00,25.9,25.9,25.9,25.9,1
2016-03-14 15:00:00,25.5,25.5,25.0,25.0,19
2016-03-14 17:00:00,25.0,25.0,25.0,25.0,4
2016-03-15 10:00:00,25.0,25.0,25.0,25.0,6
2016-03-15 11:00:00,25.0,25.0,25.0,25.0,4
2016-03-15 12:00:00,25.0,25.0,25.0,25.0,5
2016-03-15 14:00:00,25.0,25.0,25.0,25.0,6
2016-03-15 15:00:00,25.0,25.0,25.0,25.0,3
2016-03-15 18:00:00,25.0,25.0,25.0,25.0,23
2016-03-16 10:00:00,25.0,25.0,25.0,25.0,30
2016-03-16 11:00:00,25.0,25.0,25.0,25.0,2
2016-03-16 12:00:00,24.9,25.5,24.6,25.5,7
2016-03-16 15:00:00,25.5,26.0,25.0,25.0,33
2016-03-17 14:00:00,25.5,25.5,25.5,25.5,10
2016-03-17 15:00:00,25.5,25.5,25.5,25.5,6
2016-03-18 13:00:00,26.0,26.0,26.0,26.0,43
2016-03-18 15:00:00,26.0,26.0,26.0,26.0,13
2016-03-18 16:00:00,26.0,26.0,26.0,26.0,40
2016-03-21 10:00:00,25.2,25.2,25.1,25.1,4
2016-03-21 15:00:00,25.7,25.7,25.7,25.7,5
2016-03-21 18:00:00,25.8,26.5,25.8,26.5,18
2016-03-22 16:00:00,25.5,25.5,25.0,25.0,24
2016-03-23 11:00:00,25.1,25.1,25.0,25.0,28
2016-03-23 16:00:00,25.0,25.0,25.0,25.0,18
2016-03-24 10:00:00,25.5,25.5,25.5,25.5,3
2016-03-25 11:00:00,25.5,25.5,25.5,25.5,2
2016-03-25 18:00:00,26.0,26.0,26.0,26.0,14
2016-03-28 10:00:00,25.5,25.5,25.5,25.5,25
2016-03-28 11:00:00,25.5,25.6,25.5,25.6,6
2016-03-28 15:00:00,25.6,25.6,25.6,25.6,3
2016-03-29 10:00:00,25.3,25.3,25.3,25.3,1
2016-03-29 11:00:00,25.8,25.8,25.8,25.8,3
2016-03-30 15:00:00,25.5,25.5,25.5,25.5,9
2016-03-30 16:00:00,25.4,25.4,25.4,25.4,3
2016-03-31 10:00:00,25.5,25.5,25.4,25.4,17
2016-04-01 16:00:00,26.1,26.1,26.1,26.1,10
2016-04-04 10:00:00,25.5,25.5,25.2,25.2,5
2016-04-04 13:00:00,25.5,25.5,25.5,25.5,45
2016-04-06 12:00:00,25.2,25.2,25.0,25.0,13
2016-04-08 11:00:00,24.9,24.9,24.8,24.8,3
2016-04-08 17:00:00,24.8,24.8,24.8,24.8,3
2016-04-11 10:00:00,25.8,25.8,25.8,25.8,1
2016-04-11 11:00:00,24.9,24.9,24.1,24.1,25
2016-04-11 12:00:00,24.3,24.3,24.2,24.2,10
2016-04-12 17:00:00,24.2,24.2,24.2,24.2,4
2016-04-14 16:00:00,24.1,24.1,24.0,24.0,178
2016-04-15 10:00:00,24.0,24.0,23.1,23.1,132
2016-04-15 16:00:00,24.2,24.8,24.2,24.5,8
2016-04-19 17:00:00,23.9,23.9,23.7,23.7,2
2016-04-19 18:00:00,23.9,23.9,23.9,23.9,27
2016-04-21 17:00:00,24.2,24.2,23.4,23.4,7
2016-04-25 10:00:00,24.3,24.3,24.3,24.3,1
2016-04-25 17:00:00,24.0,24.0,24.0,24.0,3
2016-04-27 11:00:00,23.4,23.4,23.0,23.0,70
2016-04-27 12:00:00,23.9,23.9,23.9,23.9,1
2016-04-27 13:00:00,24.0,24.0,24.0,24.0,3
2016-04-27 14:00:00,24.0,24.0,24.0,24.0,3
2016-04-28 11:00:00,24.0,24.0,24.0,24.0,3
2016-04-29 12:00:00,23.3,23.3,23.3,23.3,405
2016-05-05 18:00:00,23.5,23.5,23.5,23.5,438
2016-05-06 11:00:00,24.2,24.2,24.2,24.2,3
2016-05-12 10:00:00,23.4,23.4,23.4,23.4,3
2016-05-17 14:00:00,23.2,23.2,23.0,23.0,22
2016-05-19 16:00:00,23.7,24.0,23.7,24.0,16
2016-05-23 12:00:00,24.3,24.4,24.3,24.4,4
2016-05-25 13:00:00,23.8,23.8,23.8,23.8,3
2016-05-26 10:00:00,24.0,24.0,24.0,24.0,1
