datetime,open,high,low,close,volume
2008-12-09,0.6,0.689,0.527,0.527,2623
2008-12-10,0.525,0.6,0.502,0.512,7826
2008-12-11,0.512,0.55,0.475,0.505,3328
2008-12-12,0.505,0.505,0.49,0.492,1160
2008-12-15,0.497,0.51,0.48,0.496,285
2008-12-16,0.482,0.482,0.42,0.453,5773
2008-12-17,0.469,0.469,0.4,0.408,2515
2008-12-18,0.411,0.417,0.375,0.381,2976
2008-12-19,0.38,0.429,0.352,0.397,4292
2008-12-22,0.378,0.406,0.36,0.374,1811
2008-12-23,0.36,0.38,0.345,0.362,2971
2008-12-24,0.369,0.369,0.353,0.36,271
2008-12-25,0.369,0.369,0.341,0.348,928
2008-12-26,0.335,0.337,0.325,0.326,1970
2008-12-29,0.32,0.336,0.32,0.333,705
2008-12-30,0.33,0.353,0.322,0.348,2209
2008-12-31,0.355,0.355,0.335,0.34,1723
2009-01-11,0.336,0.363,0.331,0.345,648
2009-01-12,0.363,0.4,0.328,0.349,727
2009-01-13,0.333,0.372,0.311,0.336,1056
2009-01-14,0.337,0.369,0.321,0.321,2566
2009-01-15,0.326,0.35,0.322,0.343,1188
2009-01-16,0.332,0.36,0.329,0.349,1481
2009-01-19,0.385,0.39,0.331,0.35,1993
2009-01-20,0.335,0.35,0.303,0.34,1501
2009-01-21,0.36,0.37,0.321,0.354,1485
2009-01-22,0.344,0.355,0.336,0.347,995
2009-01-23,0.335,0.345,0.3,0.343,3515
2009-01-26,0.34,0.353,0.339,0.353,1441
2009-01-27,0.35,0.368,0.339,0.354,710
2009-01-28,0.367,0.367,0.338,0.347,253
2009-01-29,0.348,0.348,0.333,0.341,37
2009-01-30,0.341,0.348,0.317,0.347,669
2009-02-02,0.32,0.385,0.311,0.338,2223
2009-02-03,0.333,0.36,0.329,0.34,1532
2009-02-04,0.34,0.355,0.339,0.349,1443
2009-02-05,0.349,0.37,0.34,0.352,6504
2009-02-06,0.347,0.367,0.337,0.365,333
2009-02-09,0.398,0.399,0.341,0.37,1353
2009-02-10,0.378,0.378,0.365,0.376,161
2009-02-11,0.361,0.389,0.351,0.388,868
2009-02-12,0.393,0.42,0.35,0.401,3843
2009-02-13,0.425,0.429,0.403,0.429,843
2009-02-16,0.43,0.43,0.393,0.4,2689
2009-02-17,0.397,0.4,0.36,0.4,1290
2009-02-18,0.39,0.399,0.368,0.399,599
2009-02-19,0.389,0.41,0.379,0.388,986
2009-02-20,0.37,0.41,0.37,0.39,1884
2009-02-24,0.376,0.408,0.376,0.408,2353
2009-02-25,0.35,0.421,0.35,0.421,498
2009-02-26,0.42,0.444,0.417,0.43,1535
2009-02-27,0.445,0.448,0.417,0.428,1270
2009-03-02,0.42,0.447,0.39,0.412,3494
2009-03-03,0.412,0.42,0.403,0.419,1978
2009-03-04,0.408,0.418,0.391,0.409,45
2009-03-05,0.41,0.41,0.38,0.38,2075
2009-03-06,0.4,0.4,0.38,0.398,1272
2009-03-10,0.398,0.418,0.378,0.409,6156
2009-03-11,0.408,0.44,0.405,0.44,1532
2009-03-12,0.416,0.416,0.39,0.409,1309
