datetime,open,high,low,close,volume
2017-02-05,50.0,50.0,6.51,7.5600000000000005,4770
2017-02-12,7.742,7.742,6.009,6.165,4637
2017-02-19,6.153,6.243,5.525,5.88,388
2017-02-26,5.898,6.9,5.151,5.755,1311
2017-03-05,5.799,5.834,5.288,5.687,321
2017-03-12,5.77,5.798,5.318,5.496,144
2017-03-19,5.729,5.745,5.364,5.459,89
2017-03-26,5.371,7.925,4.535,7.92,13267
2017-04-02,7.299,7.8,6.104,6.31,11878
2017-04-09,6.067,6.367,5.295,5.504,1405
2017-04-16,5.151,6.899,5.151,5.891,4447
2017-04-23,5.85,8.93,5.85,8.17,19483
2017-04-30,8.06,8.28,6.71,7.1,3805
2017-05-07,7.03,7.23,6.66,7.09,561
2017-05-14,7.16,8.88,6.37,7.1,5428
2017-05-21,6.97,8.21,6.91,7.3,2879
2017-05-28,7.49,7.5,6.45,6.71,1509
2017-06-04,6.54,7.14,6.16,6.65,1211
2017-06-11,6.44,6.7,6.0,6.49,1481
2017-06-18,6.37,6.59,6.02,6.15,593
2017-06-25,6.01,6.57,6.0,6.1,660
2017-07-02,6.07,6.7,6.0,6.09,1135
2017-07-09,6.08,6.7,5.9399999999999995,6.29,641
2017-07-16,6.1,6.27,5.62,5.98,828
2017-07-23,6.15,6.18,5.76,6.09,1337
2017-07-30,6.1,6.99,5.87,6.04,1437
2017-08-06,6.04,6.29,5.87,5.97,451
2017-08-13,5.9,6.19,5.84,6.14,380
2017-08-20,6.13,6.5,5.5,6.0,1096
2017-08-27,5.95,6.04,5.33,5.44,2226
2017-09-03,5.48,5.5,4.7,4.99,3652
2017-09-10,5.12,5.28,4.97,5.18,849
2017-09-17,5.1,5.49,4.95,5.0,1356
2017-09-24,5.0,5.27,4.98,5.15,866
2017-10-01,5.11,5.39,4.9,5.2,3764
2017-10-08,5.04,5.5,4.96,5.05,3186
2017-10-15,5.11,5.3,5.04,5.2,2057
2017-10-22,5.15,5.38,5.15,5.26,1279
2017-10-29,5.25,5.5,5.2,5.29,3192
2017-11-05,5.3,5.4,5.1,5.29,2034
2017-11-12,5.25,5.32,5.0,5.04,1662
2017-11-19,5.06,5.25,4.98,5.08,944
2017-11-26,5.09,5.2,4.92,5.12,769
2017-12-03,5.13,5.13,4.8,5.0,1268
2017-12-10,4.87,5.09,4.65,4.87,4271
2017-12-17,4.8100000000000005,5.06,4.6899999999999995,4.99,3691
2017-12-24,4.99,5.04,4.71,4.99,1364
2017-12-31,5.0,5.15,4.88,5.02,292
2018-01-07,5.01,5.1,3.5,4.74,3232
2018-01-14,4.74,4.99,4.6,4.9,566
2018-01-21,4.95,4.95,4.53,4.76,733
2018-01-28,4.79,4.79,4.45,4.59,1633
2018-02-04,4.59,4.65,4.39,4.49,1297
2018-02-11,4.5,4.95,4.35,4.47,449
2018-02-18,4.45,4.78,4.33,4.39,1646
2018-02-25,4.39,4.64,4.3,4.38,784
2018-03-04,4.37,4.59,4.3,4.42,1414
2018-03-11,4.37,4.43,4.25,4.33,625
2018-03-18,4.32,4.54,4.27,4.27,1013
2018-03-25,4.34,4.35,3.95,4.1,2728
2018-04-01,4.18,4.25,3.89,3.9699999999999998,1698
2018-04-08,3.92,4.07,3.66,3.76,1045
2018-04-15,3.79,4.04,3.65,3.79,1051
2018-04-22,3.83,3.9699999999999998,3.75,3.8,991
2018-04-29,3.8,4.09,3.8,3.91,218
2018-05-06,3.91,3.99,3.7,3.87,620
2018-05-13,3.87,3.88,3.77,3.88,155
2018-05-20,3.8,3.87,3.66,3.79,1439
2018-05-27,3.79,3.89,3.7,3.74,323
2018-06-03,3.84,3.84,3.25,3.35,4104
2018-06-10,3.34,3.34,3.0,3.11,990
2018-06-17,3.1,3.24,3.0,3.14,2039
2018-06-24,3.17,3.36,3.17,3.33,966
2018-07-01,3.33,3.65,3.3,3.4,615
2018-07-08,3.4,4.41,3.35,3.9,7570
2018-07-15,3.99,5.59,3.98,4.38,19637
2018-07-22,4.46,5.47,4.28,4.58,7881
2018-07-29,4.38,4.57,4.12,4.26,2351
2018-08-05,4.28,4.28,3.8,3.85,1151
2018-08-12,3.81,4.48,3.81,4.18,1226
2018-08-19,4.44,5.1,4.19,4.85,2722
2018-08-26,4.65,4.86,4.4,4.59,878
2018-09-02,4.63,5.21,4.6,4.91,1195
2018-09-09,5.18,5.2,4.58,4.64,1237
2018-09-16,4.6,4.75,3.7199999999999998,4.43,1309
2018-09-23,4.28,4.47,4.2,4.42,380
2018-09-30,4.45,4.45,4.2,4.33,279
2018-10-07,4.27,4.5,4.0,4.44,1153
2018-10-14,4.29,4.43,4.11,4.22,310
2018-10-21,4.23,4.32,3.92,3.92,1137
2018-10-28,3.92,4.07,3.92,3.9699999999999998,201
2018-11-04,3.98,3.99,3.805,3.935,326
2018-11-11,3.9,5.235,3.8449999999999998,4.045,11908
2018-11-18,4.09,5.19,3.95,4.49,30971
2018-11-25,4.49,4.97,4.385,4.6899999999999995,4391
2018-12-02,4.54,4.6,4.215,4.36,2992
2018-12-09,4.215,4.36,4.17,4.2,656
2018-12-16,4.18,4.36,4.04,4.17,540
2018-12-23,4.165,4.38,4.035,4.3,1179
2018-12-30,4.34,4.34,4.245,4.27,316
2019-01-06,4.27,4.395,4.23,4.335,1412
2019-01-13,4.36,4.86,4.325,4.78,9081
2019-01-20,4.775,4.95,4.65,4.725,7391
2019-01-27,4.715,4.95,2.955,4.68,4493
2019-02-03,4.7,4.75,4.505,4.655,2009
2019-02-10,4.63,4.7,4.46,4.52,767
2019-02-17,4.605,4.945,4.515,4.57,735
