datetime,open,high,low,close,volume
2005-02-27,3200.0,4000.0,3050.0,3050.0,156
2005-03-06,3580.0,3580.0,3006.0,3275.0,14
2005-03-13,3300.0,3400.0,3200.0,3300.0,30
2005-03-20,3400.0,3400.0,3250.0,3250.0,54
2005-03-27,3120.0,3120.0,3110.0,3110.0,52
2005-04-03,3300.0,3300.0,3120.0,3250.0,129
2005-04-10,3170.0,3345.0,3111.0,3345.0,106
2005-04-24,2811.0,2811.0,2811.0,2811.0,60
2005-05-01,2970.0,2970.0,2970.0,2970.0,14
2005-05-08,3100.0,3100.0,3100.0,3100.0,2
2005-05-29,3000.0,3000.0,3000.0,3000.0,1
2005-06-05,3000.0,3000.0,3000.0,3000.0,2
2005-06-19,3150.0,3555.0,3089.0,3200.0,1443
2005-06-26,3235.0,3300.0,3230.0,3300.0,652
2005-07-03,3330.0,3950.0,3330.0,3560.0,655
2005-07-10,3530.0,3570.0,3386.0,3570.0,127
2005-07-17,3890.0,4000.0,3600.0,3996.0,341
2005-07-24,4000.0,4000.0,3700.0,3790.0,1662
2005-07-31,3790.0,4700.0,3720.0,4290.0,2719
2005-08-07,4190.0,4498.0,3960.0,4100.0,1776
2005-08-14,4370.0,4465.0,4003.0,4195.0,1749
2005-08-21,4106.0,4630.0,4106.0,4400.0,5127
2005-08-28,4315.0,4600.0,4315.0,4341.0,3182
2005-09-04,4200.0,4400.0,4000.0,4400.0,723
2005-09-11,4400.0,4500.0,4305.0,4400.0,681
2005-09-18,4200.0,4495.0,4100.0,4330.0,462
2005-09-25,4325.0,4899.0,4140.0,4899.0,856
2005-10-02,4910.0,5120.0,4505.0,4600.0,1121
2005-10-09,4650.0,4700.0,4160.0,4460.0,2817
2006-01-22,4901.0,7000.0,4901.0,5525.0,2772
2006-01-29,5700.0,5884.0,5270.0,5341.0,5006
2006-02-05,5341.0,5650.0,5300.0,5400.0,4781
2006-02-12,5440.0,6700.0,5420.0,6600.0,16157
2006-02-19,6889.0,6889.0,6265.0,6300.0,5456
2006-02-26,6500.0,6650.0,5661.0,5899.0,9848
2006-03-05,6000.0,6000.0,5402.0,5555.0,2051
2006-03-12,5600.0,6000.0,5420.0,5930.0,3092
2006-03-19,6030.0,6100.0,5800.0,5900.0,4366
2006-03-26,5900.0,6500.0,5850.0,6375.0,4629
2006-04-02,6450.0,6530.0,6251.0,6415.0,2599
2006-04-09,6416.0,6900.0,6333.0,6875.0,4970
2006-04-16,6905.0,7135.0,6801.0,6989.0,4497
2006-04-23,6989.0,7020.0,6510.0,6550.0,2755
2006-04-30,6770.0,6799.0,6500.0,6500.0,2748
2006-05-07,6645.0,6770.0,6490.0,6770.0,6128
2006-05-14,6545.0,6980.0,6300.0,6494.0,10773
2006-05-21,6367.0,6367.0,5307.0,5850.0,22494
2006-05-28,5930.0,6000.0,5650.0,5800.0,4784
2006-06-04,5800.0,5800.0,5100.0,5337.0,3866
2006-06-11,4860.0,5900.0,4765.0,5400.0,14078
2006-06-18,5500.0,5515.0,4800.0,5297.0,4652
2006-06-25,5050.0,5390.0,5000.0,5170.0,7686
2006-07-02,5200.0,5202.0,4805.0,5079.0,6090
2006-07-09,5000.0,5200.0,4950.0,5100.0,5447
2006-07-16,5100.0,5750.0,5000.0,5750.0,6433
2006-07-23,5860.0,5860.0,5302.0,5690.0,3363
2006-07-30,5759.0,6150.0,5684.0,6065.0,5800
2006-08-06,6000.0,6000.0,5610.0,5930.0,2559
2006-08-13,6000.0,6100.0,5850.0,5990.0,3532
2006-08-20,5920.0,6100.0,5900.0,6010.0,4501
2006-08-27,5931.0,6050.0,5930.0,6019.0,4080
2006-09-03,6010.0,6400.0,6010.0,6360.0,13323
2006-09-10,6060.0,6850.0,6051.0,6575.0,7370
2006-09-17,6600.0,6888.0,6590.0,6850.0,16961
2006-09-24,6777.0,6820.0,6300.0,6670.0,2735
2006-10-01,6600.0,6690.0,6100.0,6449.0,7356
2006-10-08,6270.0,6400.0,6100.0,6390.0,2761
2006-10-15,6390.0,6700.0,6390.0,6590.0,4126
2006-10-22,6500.0,6550.0,6200.0,6310.0,4787
2006-10-29,6163.0,6282.0,5850.0,5998.0,20363
2006-11-05,5925.0,6775.0,5925.0,6725.0,24481
2006-11-12,6680.0,6848.0,6556.0,6739.0,14064
2006-11-19,6789.0,6789.0,6550.0,6750.0,3907
2006-11-26,6670.0,6870.0,6572.0,6700.0,4970
2006-12-03,6700.0,7200.0,6700.0,7010.0,14520
2006-12-10,7000.0,7250.0,6901.0,7050.0,5564
2006-12-17,7100.0,8000.0,6950.0,7500.0,41036
2006-12-24,7700.0,7950.0,7000.0,7735.0,6377
2007-01-07,7700.0,8197.0,7305.0,7777.0,2542
2007-01-14,7850.0,8000.0,7700.0,7830.0,15874
2007-01-21,7830.0,8040.0,7780.0,7870.0,15360
2007-01-28,7950.0,7985.0,7745.0,7900.0,3446
2007-02-04,7900.0,8100.0,7800.0,8000.0,10301
2007-02-11,8000.0,8140.0,7700.0,8000.0,2992
2007-02-18,7950.0,8700.0,7950.0,8450.0,15638
2007-02-25,8500.0,8652.0,7770.0,8652.0,10781
2007-03-04,7900.0,8650.0,7450.0,7900.0,11956
2007-03-11,7900.0,8100.0,7700.0,7970.0,7945
2007-03-18,8200.0,8500.0,7950.0,8235.0,7638
2007-03-25,8160.0,8355.0,8001.0,8350.0,3409
2007-04-01,8350.0,8450.0,8000.0,8300.0,1436
2007-04-08,8300.0,8300.0,8115.0,8195.0,9097
2007-04-15,8140.0,8200.0,7901.0,7930.0,3163
2007-04-22,7930.0,7979.0,7710.0,7750.0,3441
2007-04-29,7750.0,7800.0,7700.0,7700.0,931
2007-05-06,7725.0,7800.0,7700.0,7715.0,5833
2007-05-13,7760.0,7950.0,7700.0,7840.0,4416
2007-05-20,7810.0,7875.0,7530.0,7797.0,3162
2007-05-27,7800.0,7800.0,7200.0,7539.0,1405
2007-06-03,7600.0,7670.0,7390.0,7480.0,1612
2007-06-10,7450.0,7700.0,7431.0,7700.0,2284
2007-06-17,7800.0,7800.0,7501.0,7775.0,2268
2007-06-24,7700.0,7900.0,7700.0,7810.0,2612
2007-07-01,7810.0,8100.0,7810.0,7950.0,8352
2007-07-08,7880.0,8070.0,7800.0,7970.0,3577
2007-07-15,7901.0,8000.0,7710.0,7949.0,4175
2007-07-22,7900.0,8020.0,7561.0,7561.0,3101
2007-07-29,7715.0,7720.0,7450.0,7600.0,1973
2007-08-05,7401.0,7599.0,7001.0,7116.0,1432
2007-08-12,7250.0,7599.0,7010.0,7170.0,3576
2007-08-19,7100.0,7200.0,7010.0,7115.0,1186
2007-08-26,7115.0,7460.0,7100.0,7320.0,809
2007-09-02,7475.0,7565.0,7300.0,7365.0,4814
2007-09-09,7370.0,7460.0,7251.0,7355.0,7096
2007-09-16,7350.0,7500.0,7111.0,7250.0,7770
2007-09-23,7300.0,7777.0,7180.0,7777.0,4190
2007-09-30,7500.0,7500.0,7161.0,7300.0,1039
2007-10-07,7300.0,7450.0,7200.0,7401.0,3204
2007-10-14,7495.0,7799.0,7399.0,7491.0,7343
2007-10-21,7491.0,7725.0,7491.0,7690.0,3128
2007-10-28,7650.0,7935.0,7634.0,7900.0,6365
2007-11-04,7940.0,8140.0,7800.0,7800.0,2089
2007-11-11,7800.0,7950.0,7650.0,7850.0,3032
2007-11-18,7900.0,8036.0,7700.0,7700.0,9014
2007-11-25,7730.0,7935.0,7491.0,7935.0,1317
2007-12-02,7750.0,7750.0,7500.0,7700.0,2706
2007-12-09,7750.0,7940.0,7450.0,7550.0,3240
2007-12-16,7550.0,7696.0,7490.0,7671.0,7805
2007-12-23,7560.0,7950.0,7451.0,7950.0,12530
2008-01-06,7605.0,7719.0,7605.0,7635.0,1111
2008-01-13,7600.0,7720.0,7225.0,7500.0,3971
2008-01-20,7350.0,7400.0,6301.0,6350.0,8148
2008-01-27,6300.0,6478.0,5900.0,6201.0,8145
2008-02-03,6210.0,6698.0,6150.0,6201.0,14043
2008-02-10,6201.0,6391.0,6200.0,6230.0,4345
2008-02-17,6270.0,6470.0,6200.0,6350.0,8180
2008-02-24,6350.0,6490.0,6125.0,6160.0,3121
2008-03-02,6100.0,6975.0,5850.0,6249.0,5973
2008-03-09,6450.0,6450.0,5803.0,5900.0,4040
2008-03-16,5900.0,5900.0,5557.0,5700.0,1896
2008-03-23,5700.0,5770.0,5307.0,5307.0,3930
2008-03-30,5332.0,5430.0,5230.0,5255.0,3125
2008-04-06,5349.0,5349.0,5100.0,5250.0,2287
2008-04-13,5370.0,5520.0,5112.0,5321.0,3185
2008-04-20,5351.0,5390.0,5095.0,5201.0,2468
2008-04-27,5171.0,5305.0,5103.0,5220.0,1093
2008-05-04,5200.0,5290.0,5142.0,5165.0,2924
2008-05-11,5177.0,5400.0,5117.0,5209.0,9388
2008-05-18,5299.0,5322.0,5053.0,5071.0,7667
2008-05-25,5053.0,5053.0,4696.0,4988.0,4096
2008-06-01,4950.0,5150.0,4620.0,4695.0,7926
2008-06-08,4744.0,4830.0,4601.0,4799.0,2399
2008-06-15,4900.0,4950.0,4613.0,4689.0,3797
2008-06-22,4699.0,4718.0,3930.0,4000.0,12429
2008-06-29,4115.0,4400.0,3350.0,3415.0,19424
2008-07-06,3518.0,3520.0,3181.0,3234.0,11117
2008-07-13,3234.0,3499.0,3100.0,3420.0,18927
2008-07-20,3421.0,3475.0,3170.0,3181.0,19240
2008-07-27,3295.0,3448.0,2945.0,3260.0,8068
2008-08-03,3215.0,3380.0,3100.0,3199.0,18658
2008-08-10,3013.0,3405.0,2880.0,3323.0,12360
2008-08-17,3290.0,3494.0,3280.0,3422.0,14127
2008-08-24,3388.0,3417.0,3250.0,3353.0,19583
2008-08-31,3378.0,3440.0,3056.0,3342.0,17254
2008-09-07,3350.0,3350.0,3022.0,3119.0,23708
2008-09-14,3050.0,3051.0,2300.0,2950.0,3683
2008-09-21,3000.0,3050.0,2720.0,2800.0,11011
2008-09-28,2860.0,2988.0,2600.0,2665.0,25485
2008-10-05,2560.0,2630.0,2365.0,2460.0,12647
2008-10-12,2460.0,2700.0,2000.0,2001.0,30747
2008-10-19,2011.0,2201.0,1700.0,1797.0,11448
2008-10-26,1700.0,1850.0,1440.0,1640.0,2197
2008-11-02,1700.0,1800.0,1470.0,1510.0,5437
2008-11-09,1540.0,1650.0,1200.0,1400.0,2709
2008-11-16,1250.0,1286.0,900.0,1000.0,2489
2008-11-23,1055.0,1201.0,950.0,1000.0,6308
2008-11-30,982.0,1039.0,850.0,1000.0,3727
2008-12-07,950.0,1065.0,900.0,939.0,22136
2008-12-14,920.0,984.0,832.0,840.0,14383
2008-12-21,831.0,970.0,805.0,897.0,4197
2008-12-28,900.0,950.0,885.0,917.0,1616
2009-01-11,940.0,1040.0,913.0,925.0,10352
2009-01-18,925.0,943.0,782.0,818.0,4348
2009-01-25,849.0,889.0,812.0,865.0,3489
2009-02-01,901.0,901.0,818.0,885.0,9044
2009-02-08,899.0,969.0,870.0,905.0,16598
2009-02-15,910.0,970.0,746.0,762.0,36040
2009-02-22,746.0,746.0,665.0,675.0,29912
2009-03-01,685.0,719.0,634.0,638.0,25749
2009-03-08,645.0,678.0,633.0,665.0,39562
2009-03-15,659.0,700.0,651.0,670.0,29061
2009-03-22,672.0,795.0,672.0,773.0,80540
2009-03-29,770.0,779.0,730.0,757.0,18967
2009-04-05,762.0,870.0,745.0,870.0,41602
2009-04-12,885.0,1099.0,885.0,1099.0,170921
2009-04-19,1129.0,1290.0,1040.0,1186.0,237286
2009-04-26,1186.0,1270.0,1060.0,1238.0,84857
2009-05-03,1250.0,1374.0,1212.0,1330.0,162222
2009-05-10,1314.0,1590.0,1260.0,1422.0,144957
2009-05-17,1395.0,1665.0,1362.0,1612.0,80841
2009-05-24,1643.0,1730.0,1572.0,1715.0,53903
2009-05-31,1729.0,1885.0,1729.0,1884.0,83619
2009-06-07,1885.0,2630.0,1845.0,2477.0,112591
2009-06-14,2480.0,2480.0,2135.0,2251.0,92615
2009-06-21,2260.0,2300.0,1700.0,2070.0,51398
2009-06-28,2070.0,2200.0,1970.0,2080.0,17445
2009-07-05,2040.0,2148.0,1976.0,1989.0,53434
2009-07-12,1902.0,2175.0,1835.0,2063.0,54999
2009-07-19,2098.0,2139.0,2030.0,2100.0,27596
2009-07-26,2100.0,2200.0,1971.0,2075.0,22514
2009-08-02,2120.0,2250.0,2066.0,2185.0,54785
2009-08-09,2200.0,2255.0,2051.0,2116.0,39837
2009-08-16,2100.0,2100.0,2005.0,2090.0,13336
2009-08-23,2090.0,2118.0,1950.0,2025.0,35645
2009-08-30,2002.0,2019.0,1915.0,1950.0,35529
2009-09-06,1959.0,2060.0,1940.0,2046.0,43610
2009-09-13,2052.0,2072.0,1962.0,2068.0,49889
2009-09-20,2077.0,2340.0,2020.0,2175.0,80426
2009-09-27,2150.0,2270.0,2070.0,2090.0,32810
2009-10-04,2138.0,2430.0,2100.0,2324.0,78621
2009-10-11,2358.0,2399.0,2220.0,2300.0,51104
2009-10-18,2335.0,2335.0,2210.0,2275.0,32720
2009-10-25,2270.0,2316.0,1990.0,2007.0,62545
2009-11-01,2008.0,2146.0,1981.0,2061.0,10669
2009-11-08,2093.0,2249.0,2087.0,2100.0,35070
2009-11-15,2144.0,2180.0,2050.0,2075.0,57808
2009-11-22,2081.0,2105.0,1800.0,1995.0,39156
2009-11-29,2009.0,2018.0,1901.0,1969.0,32643
2009-12-06,1973.0,2090.0,1946.0,2056.0,32251
2009-12-13,2059.0,2149.0,2021.0,2100.0,33061
2009-12-20,2125.0,2144.0,1961.0,1998.0,21626
2009-12-27,2020.0,2140.0,1980.0,2101.0,21996
2010-01-10,2118.0,2680.0,2111.0,2600.0,127998
2010-01-17,2550.0,2679.0,2365.0,2390.0,94057
2010-01-24,2378.0,2481.0,2290.0,2465.0,78067
2010-01-31,2421.0,2630.0,2400.0,2494.0,83580
2010-02-07,2452.0,2847.0,2451.0,2782.0,109197
2010-02-14,2761.0,3480.0,2761.0,3380.0,140813
2010-02-21,3400.0,3660.0,3303.0,3526.0,46006
2010-02-28,3546.0,3598.0,3333.0,3598.0,42823
2010-03-07,3593.0,3599.0,3425.0,3507.0,13848
2010-03-14,3503.0,3563.0,3305.0,3350.0,20655
2010-03-21,3350.0,3478.0,3301.0,3327.0,11259
2010-03-28,3323.0,3648.0,3316.0,3630.0,32429
2010-04-04,3589.0,3603.0,3400.0,3470.0,29125
2010-04-11,3487.0,3550.0,3380.0,3452.0,21358
2010-04-18,3431.0,3490.0,3310.0,3490.0,16877
2010-04-25,3489.0,4100.0,3489.0,3920.0,49082
2010-05-02,3904.0,3959.0,3012.0,3101.0,20151
2010-05-09,3300.0,3490.0,3100.0,3270.0,37889
2010-05-16,3150.0,3520.0,2989.0,3200.0,24065
2010-05-23,3245.0,3292.0,2740.0,3207.0,19040
2010-05-30,3160.0,3235.0,2900.0,2900.0,20127
2010-06-06,2850.0,3080.0,2780.0,3001.0,12791
2010-06-13,3001.0,3136.0,2936.0,2950.0,16822
2010-06-20,3000.0,3148.0,2961.0,3030.0,14256
2010-06-27,3132.0,3132.0,2718.0,2800.0,6862
2010-07-04,2800.0,3000.0,2780.0,2900.0,6735
2010-07-11,2900.0,3019.0,2860.0,2860.0,7980
2010-07-18,2800.0,3000.0,2800.0,2999.0,13021
2010-07-25,3000.0,3040.0,2931.0,3005.0,32895
2010-08-01,3040.0,3040.0,2951.0,2990.0,21757
2010-08-08,2992.0,2992.0,2880.0,2935.0,5864
2010-08-15,2935.0,3007.0,2915.0,2968.0,21254
2010-08-22,2935.0,2985.0,2860.0,2920.0,6212
2010-08-29,2935.0,2956.0,2870.0,2898.0,15784
2010-09-05,2901.0,2985.0,2880.0,2964.0,30886
2010-09-12,2980.0,3009.0,2867.0,2880.0,13936
2010-09-19,2910.0,2915.0,2850.0,2879.0,9060
2010-09-26,2897.0,2900.0,2778.0,2846.0,17440
2010-10-03,2850.0,2892.0,2820.0,2837.0,20609
2010-10-10,2855.0,2899.0,2825.0,2859.0,15566
2010-10-17,2860.0,3189.0,2840.0,2890.0,67276
2010-10-24,2910.0,3000.0,2891.0,2960.0,14397
2010-10-31,2959.0,3026.0,2959.0,2979.0,6824
2010-11-07,3017.0,3020.0,2900.0,2940.0,24454
2010-11-14,2933.0,3070.0,2925.0,3030.0,45556
2010-11-21,3055.0,3155.0,3020.0,3124.0,110695
2010-11-28,3121.0,3388.0,3104.0,3280.0,85396
2010-12-05,3275.0,3677.0,3270.0,3675.0,112388
2010-12-12,3675.0,3835.0,3570.0,3642.0,78603
2010-12-19,3603.0,3698.0,3545.0,3599.0,44854
2010-12-26,3610.0,3610.0,3457.0,3585.0,31849
2011-01-09,3555.0,3760.0,3550.0,3725.0,39046
2011-01-16,3720.0,3720.0,3530.0,3675.0,23068
2011-01-23,3675.0,3675.0,3510.0,3510.0,33031
2011-01-30,3500.0,3698.0,3488.0,3591.0,39346
2011-02-06,3591.0,3610.0,3400.0,3500.0,36522
2011-02-13,3549.0,3599.0,3451.0,3484.0,37664
2011-02-20,3485.0,3506.0,3345.0,3425.0,14625
2011-02-27,3428.0,3458.0,3280.0,3333.0,37423
2011-03-06,3340.0,3388.0,3302.0,3342.0,17551
2011-03-13,3335.0,3375.0,3138.0,3260.0,25186
2011-03-20,3240.0,3354.0,3240.0,3328.0,18967
2011-03-27,3349.0,3556.0,3341.0,3500.0,57929
2011-04-03,3501.0,3510.0,3350.0,3442.0,16576
2011-04-10,3450.0,3493.0,3382.0,3430.0,36110
2011-04-17,3455.0,3578.0,3350.0,3540.0,35886
2011-04-24,3543.0,3635.0,3430.0,3475.0,38911
2011-05-01,3450.0,3500.0,3316.0,3351.0,42919
2011-05-08,3347.0,3540.0,3328.0,3440.0,29113
2011-05-15,3420.0,3800.0,3420.0,3750.0,64580
2011-05-22,3749.0,4070.0,3601.0,4030.0,81921
2011-05-29,4030.0,4190.0,3922.0,4100.0,62171
2011-06-05,4121.0,4130.0,3913.0,4070.0,60399
2011-06-12,4001.0,4261.0,3936.0,4200.0,33069
2011-06-19,4210.0,4690.0,4100.0,4604.0,57879
2011-06-26,4600.0,4700.0,4160.0,4225.0,36234
2011-07-03,4210.0,4771.0,4200.0,4770.0,41313
2011-07-10,4750.0,5150.0,4746.0,5055.0,45858
2011-07-17,5072.0,5185.0,4782.0,4812.0,15964
2011-07-24,4770.0,5050.0,4675.0,4825.0,9364
2011-07-31,4875.0,5034.0,4324.0,4545.0,20043
2011-08-07,4352.0,4500.0,3570.0,4198.0,31355
