datetime,open,high,low,close,volume
2014-12-11,4.7,4.7,4.48,4.48,149
2014-12-12,4.4,4.45,4.08,4.14,1288
2014-12-15,4.1,4.17,3.75,3.75,681
2014-12-16,3.71,4.05,3.2,3.6,47232
2014-12-17,3.56,4.35,3.56,4.35,255
2014-12-18,4.5,5.0,3.89,5.0,2347
2014-12-19,4.87,5.3,4.87,5.3,636
2014-12-22,5.35,5.55,5.0,5.0,1093
2014-12-23,5.32,5.35,4.84,4.84,438
2014-12-24,4.92,5.25,4.9,5.12,147
2014-12-25,5.24,5.58,5.13,5.58,2453
2014-12-26,5.6,6.0,5.03,6.0,3531
2014-12-29,5.72,6.2,5.42,6.2,6807
2014-12-30,6.2,6.77,5.0,5.33,5262
2015-02-05,5.75,5.8,5.5,5.5,247
2015-02-06,5.65,5.88,5.53,5.68,144
2015-02-09,5.55,5.92,5.55,5.6899999999999995,48
2015-02-10,5.79,5.8,5.6,5.8,344
2015-02-11,5.9,5.95,5.5,5.61,400
2015-02-12,5.77,5.79,5.7,5.73,83
2015-02-13,5.82,5.9,5.71,5.71,38
2015-02-16,5.65,5.65,5.61,5.61,31
2015-02-17,5.72,5.9,5.72,5.79,160
2015-02-18,5.79,5.79,5.79,5.79,300
2015-02-19,5.8,5.8,5.72,5.72,6
2015-02-20,5.61,5.7,5.48,5.6,561
2015-02-24,5.47,5.47,4.97,5.17,18605
2015-02-25,5.13,5.28,5.13,5.28,197
2015-02-26,5.27,5.39,5.08,5.2,1180
2015-02-27,5.28,5.28,5.05,5.27,561
2015-03-02,5.1,5.22,5.1,5.2,227
2015-03-03,5.29,5.32,5.18,5.3,370
2015-03-04,5.45,5.65,5.4,5.57,1801
2015-03-05,5.65,5.71,5.27,5.5600000000000005,63
2015-03-06,5.48,5.67,5.48,5.67,7
2015-03-10,5.2,5.7,4.91,5.3,366
2015-03-11,5.29,5.5,5.17,5.5,576
2015-03-12,5.44,5.45,5.3,5.3,193
2015-03-13,5.21,5.45,5.21,5.45,64
2015-03-16,5.3,5.32,5.3,5.31,5
2015-03-17,5.26,5.3,5.26,5.3,35
2015-03-18,5.47,5.47,5.2,5.2,79
2015-03-19,5.4,5.63,5.4,5.5,209
2015-03-20,5.27,5.42,5.04,5.27,120
2015-03-23,5.21,5.21,4.67,5.05,423
2015-03-24,5.32,5.32,4.95,5.16,145
2015-03-25,5.27,5.27,5.07,5.1,374
2015-03-26,5.07,5.3,4.98,5.3,628
2015-03-27,5.14,5.14,5.05,5.07,34
2015-03-30,5.19,5.75,5.0,5.25,452
2015-03-31,5.27,5.53,5.19,5.53,511
2015-04-01,5.29,5.31,5.28,5.29,46
2015-04-02,5.25,5.67,5.21,5.31,358
2015-04-03,5.48,5.57,5.41,5.46,105
2015-04-06,5.22,5.4,5.15,5.25,509
2015-04-07,5.26,5.39,5.25,5.39,104
2015-04-08,5.41,5.41,5.15,5.23,72
2015-04-09,5.16,5.26,5.11,5.11,115
2015-04-10,5.1,5.19,5.1,5.19,29
2015-04-13,5.17,5.4,5.07,5.2,1102
2015-04-14,5.39,5.4,5.14,5.14,355
2015-04-15,5.2,5.28,5.02,5.1,1649
2015-04-16,5.25,5.35,5.24,5.26,537
2015-04-17,5.21,5.31,5.2,5.27,280
2015-04-20,5.21,5.3,5.12,5.27,416
2015-04-21,5.19,5.65,5.19,5.26,1307
2015-04-22,5.54,5.54,5.23,5.26,319
2015-04-23,5.2,5.25,5.15,5.22,589
2015-04-24,5.22,5.24,5.09,5.23,108
2015-04-27,5.12,5.29,5.11,5.26,128
2015-04-28,5.26,5.26,5.03,5.1,4453
2015-04-29,5.18,5.35,5.12,5.35,468
2015-04-30,5.21,5.25,5.18,5.18,13
2015-05-05,5.18,5.18,5.13,5.16,29
2015-05-06,5.16,5.16,5.15,5.16,15
2015-05-07,5.07,5.16,5.07,5.12,34
2015-05-08,5.1,5.15,5.04,5.15,96
2015-05-12,5.15,5.19,5.15,5.19,51
2015-05-13,5.18,5.19,5.07,5.15,184
2015-05-14,5.16,5.6899999999999995,5.08,5.49,1616
