datetime,open,high,low,close,volume
2021-05-26,444.4,444.4,444.4,444.4,8
2021-05-27,458.1,458.1,283.6,444.6,18
2021-05-28,400.0,621.5,400.0,600.0,199
2021-05-31,540.1,839.1,422.6,429.1,3588
2021-06-01,433.0,433.0,372.9,382.4,1921
2021-06-02,382.0,382.5,372.5,377.0,603
2021-06-03,382.2,396.2,375.2,388.7,607
2021-06-04,391.1,405.5,378.0,398.0,889
2021-06-07,399.9,401.9,389.9,398.4,326
2021-06-08,400.3,400.3,374.5,381.0,1495
2021-06-09,376.3,376.3,370.0,374.5,683
2021-06-10,375.4,388.4,372.4,373.9,1072
2021-06-11,382.7,383.7,375.7,381.2,350
2021-06-14,383.3,392.8,377.3,381.3,1725
2021-06-15,384.0,389.0,374.0,378.0,1558
2021-06-16,372.0,383.0,368.0,376.0,1560
2021-06-17,363.3,366.8,348.8,356.8,1408
2021-06-18,350.1,354.6,340.6,348.1,279
2021-06-21,346.1,354.6,342.6,346.6,409
2021-06-22,340.0,342.0,330.5,341.0,279
2021-06-23,330.6,340.1,329.6,329.6,763
2021-06-24,330.0,340.5,321.5,329.0,1103
2021-06-25,323.6,329.1,316.6,324.1,629
2021-06-28,328.7,332.7,323.2,324.2,266
2021-06-29,320.3,328.8,320.3,324.3,170
2021-06-30,330.5,330.5,321.0,327.0,68
2021-07-01,329.0,330.0,324.5,325.5,35
2021-07-02,325.5,325.5,320.0,322.5,286
2021-07-05,319.4,322.4,319.4,322.4,45
2021-07-06,322.0,328.5,320.5,324.0,62
2021-07-07,319.6,327.6,319.6,325.1,67
2021-07-08,320.1,325.1,319.6,324.1,91
2021-07-09,325.1,325.1,319.1,320.6,52
2021-07-12,324.0,324.0,319.0,319.5,111
2021-07-13,316.6,320.6,316.1,320.1,304
2021-07-14,320.5,320.5,318.0,318.0,36
2021-07-15,321.0,321.0,314.0,316.5,433
2021-07-16,320.0,325.5,317.0,321.0,395
2021-07-19,319.5,325.0,315.5,318.0,225
2021-07-20,314.5,324.5,314.5,324.5,355
2021-07-21,318.2,329.2,318.2,320.2,56
2021-07-22,323.3,325.8,320.8,320.8,49
2021-07-23,325.0,325.0,319.0,320.5,74
2021-07-26,318.6,324.1,318.6,321.6,48
2021-07-27,321.8,321.8,319.8,319.8,16
2021-07-28,320.0,325.0,319.0,320.5,32
2021-07-29,318.4,323.4,318.4,319.9,21
2021-07-30,320.0,323.0,319.0,320.0,55
2021-08-02,321.5,325.0,319.5,325.0,113
2021-08-03,324.5,325.0,319.0,321.5,43
2021-08-04,320.0,322.0,320.0,322.0,28
2021-08-05,318.5,321.0,318.5,319.5,31
2021-08-06,324.0,325.0,313.5,321.0,140
2021-08-09,314.5,324.0,314.5,322.0,97
2021-08-10,320.5,324.0,320.5,322.5,190
2021-08-11,319.5,324.0,318.0,318.0,157
2021-08-12,319.0,323.0,317.5,317.5,122
2021-08-13,318.5,323.5,318.0,323.0,68
2021-08-16,323.5,323.5,319.5,321.0,22
2021-08-17,320.5,321.0,319.5,321.0,28
2021-08-18,323.0,325.0,321.5,323.0,45
2021-08-19,320.5,325.0,317.0,318.5,244
2021-08-20,317.0,321.5,317.0,318.5,58
2021-08-23,316.0,323.5,316.0,321.0,75
2021-08-24,322.0,322.5,320.0,322.5,14
2021-08-25,322.5,322.5,316.0,321.5,113
2021-08-26,321.5,323.5,321.5,323.5,29
2021-08-27,324.0,327.5,323.0,327.5,174
2021-08-30,317.5,344.0,317.5,335.5,465
2021-08-31,344.5,356.5,339.5,341.0,177
2021-09-01,341.0,349.5,327.0,345.0,117
2021-09-02,340.0,342.0,334.5,340.5,41
2021-09-03,334.5,345.5,334.5,335.5,65
2021-09-06,335.0,336.0,325.0,336.0,127
2021-09-07,330.0,346.0,330.0,340.5,104
2021-09-08,344.0,344.0,331.0,335.5,78
2021-09-09,339.5,339.5,327.5,330.0,141
2021-09-10,333.5,333.5,330.0,330.5,56
2021-09-13,322.5,338.5,322.5,338.5,53
2021-09-14,340.0,347.0,331.5,335.5,74
2021-09-15,333.0,343.0,331.5,337.0,62
2021-09-16,339.0,339.0,332.0,334.0,26
2021-09-17,339.0,339.5,330.5,334.5,42
2021-09-20,330.0,338.0,330.0,334.0,49
2021-09-21,335.0,339.0,331.5,336.0,33
2021-09-22,339.5,339.5,331.5,337.5,25
2021-09-23,338.0,343.0,335.5,338.5,28
2021-09-24,336.0,343.0,327.0,332.5,303
2021-09-27,339.5,339.5,327.5,330.5,65
2021-09-28,334.0,342.0,328.0,328.0,23
2021-09-29,327.0,333.5,323.0,328.0,77
2021-09-30,327.0,338.0,327.0,328.5,32
2021-10-01,328.5,329.0,322.5,326.0,50
2021-10-04,327.0,332.5,327.0,332.5,21
2021-10-05,332.5,334.0,328.5,330.0,106
2021-10-06,333.5,334.0,329.0,329.5,21
2021-10-07,331.0,332.5,329.5,332.5,34
2021-10-08,328.5,332.5,328.5,331.0,60
2021-10-11,330.5,333.0,328.5,333.0,23
2021-10-12,332.5,334.0,330.5,330.5,20
2021-10-13,331.0,335.0,330.0,330.0,144
2021-10-14,330.0,335.0,330.0,330.5,94
2021-10-15,327.0,334.5,327.0,331.0,65
2021-10-18,332.5,338.0,330.5,332.5,92
2021-10-19,337.0,338.0,334.5,335.0,140
2021-10-20,335.5,345.0,335.0,339.0,331
2021-10-21,338.0,348.5,338.0,340.0,114
2021-10-22,340.5,348.5,338.0,338.0,56
2021-10-25,336.5,340.0,327.0,340.0,97
2021-10-26,343.0,351.5,328.0,341.0,182
2021-10-27,337.0,345.0,337.0,340.0,59
2021-10-28,343.0,343.5,336.0,341.5,54
2021-10-29,335.0,335.5,327.5,327.5,292
2021-11-01,339.0,346.5,328.0,332.5,182
2021-11-02,344.0,344.0,329.5,333.0,82
2021-11-03,331.5,335.0,328.5,330.0,13
2021-11-05,327.5,330.0,320.0,320.0,166
2021-11-08,327.0,332.5,323.0,329.0,158
2021-11-09,331.0,331.0,325.0,327.0,65
2021-11-10,326.0,329.5,321.0,321.0,57
2021-11-11,327.5,327.5,322.0,323.5,23
2021-11-12,328.5,328.5,320.5,321.0,155
2021-11-15,325.5,326.5,321.5,325.0,80
2021-11-16,326.0,328.0,325.0,325.0,19
2021-11-17,328.0,328.0,322.0,322.0,25
2021-11-18,328.5,335.0,322.0,325.5,173
2021-11-19,332.5,333.0,325.0,325.5,52
2021-11-22,325.0,327.5,320.0,327.5,90
2021-11-23,322.5,330.0,322.5,328.5,48
2021-11-24,330.5,331.0,324.5,327.0,20
2021-11-25,331.0,331.0,326.0,326.0,14
2021-11-26,326.0,328.5,314.0,314.0,80
2021-11-29,313.5,323.0,313.5,316.0,91
2021-11-30,316.5,321.5,301.0,308.5,137
2021-12-01,315.5,317.0,310.5,313.5,110
2021-12-02,314.0,316.5,313.5,316.0,19
2021-12-03,319.0,323.0,317.0,320.0,59
2021-12-06,315.5,315.5,315.0,315.0,10
2021-12-07,319.0,319.0,311.0,315.5,193
2021-12-08,321.0,321.0,315.0,315.0,52
2021-12-09,315.5,315.5,305.0,311.0,93
2021-12-10,305.5,310.5,305.5,306.0,34
2021-12-13,310.0,315.0,306.0,306.0,43
2021-12-14,301.5,301.5,296.5,297.0,161
2021-12-15,288.5,295.5,288.0,289.0,86
2021-12-16,295.0,300.0,290.5,296.0,80
2021-12-17,299.0,299.0,297.0,298.5,13
2021-12-20,286.0,300.0,286.0,291.0,182
2021-12-21,299.5,400.0,290.0,312.5,2663
2021-12-22,306.0,326.0,303.0,318.0,1499
2021-12-23,312.5,329.5,293.0,310.0,412
2021-12-24,310.5,310.5,300.0,302.0,191
2021-12-27,294.5,316.5,294.5,302.0,120
2021-12-28,309.0,309.5,298.0,299.0,80
2021-12-29,298.5,308.0,293.0,303.5,253
2021-12-30,298.5,307.0,293.0,303.5,89
2022-01-03,304.0,315.0,304.0,314.5,27
2022-01-04,314.5,315.0,308.0,309.0,63
2022-01-05,309.5,314.0,309.0,309.0,10
2022-01-06,308.5,308.5,299.0,305.5,29
2022-01-10,313.0,313.5,302.0,305.0,32
2022-01-11,305.0,313.5,304.0,306.0,83
2022-01-12,312.5,313.5,303.0,313.0,46
2022-01-13,337.5,344.5,301.0,301.0,195
2022-01-14,304.0,304.0,290.0,290.0,98
2022-01-17,297.0,297.0,290.0,294.5,90
2022-01-18,299.5,299.5,287.5,287.5,53
2022-01-19,281.5,292.0,281.5,289.5,139
2022-01-20,289.5,291.5,283.5,291.0,14
2022-01-21,281.0,288.5,281.0,283.5,65
2022-01-24,283.5,289.5,260.5,270.0,71
2022-01-25,271.5,276.0,271.5,276.0,36
2022-01-26,283.0,283.0,279.0,280.0,52
2022-01-27,278.0,284.0,274.0,280.0,11
2022-01-28,283.0,300.0,283.0,290.5,69
2022-01-31,295.0,295.0,293.5,295.0,8
2022-02-01,305.0,307.5,286.0,293.0,26
2022-02-02,293.5,293.5,293.5,293.5,4
2022-02-03,285.0,290.0,285.0,289.0,11
2022-02-04,300.0,300.0,289.5,289.5,7
2022-02-07,285.5,303.0,285.5,303.0,20
