datetime,open,high,low,close,volume
2014-12-16,50.0,50.0,50.0,50.0,100
2014-12-25,50.0,50.0,50.0,50.0,200
2014-12-29,52.5,52.5,52.5,52.5,3
2015-02-13,51.8,56.0,51.8,56.0,133
2015-02-17,57.0,58.5,57.0,58.5,9
2015-02-18,60.0,64.0,60.0,64.0,4
2015-02-19,57.0,57.0,57.0,57.0,3
2015-02-20,52.0,52.0,52.0,52.0,3
2015-02-24,54.0,54.0,52.3,52.3,4
2015-02-27,56.0,56.0,56.0,56.0,40
2015-03-02,56.0,56.0,56.0,56.0,24
2015-03-18,52.1,52.1,52.0,52.0,13
2015-03-27,51.2,51.2,51.2,51.2,15
2015-03-30,51.7,53.0,51.7,51.9,25
2015-04-01,53.0,53.0,53.0,53.0,90
2015-04-02,53.0,53.0,53.0,53.0,20
2015-04-03,53.0,53.0,51.5,52.9,15
2015-04-06,53.0,53.0,53.0,53.0,8
2015-04-09,52.9,52.9,52.9,52.9,20
2015-04-20,50.0,50.0,50.0,50.0,3
2015-04-21,52.7,53.0,52.7,53.0,5
2015-04-23,45.0,53.0,45.0,53.0,4
2015-04-27,53.0,53.0,53.0,53.0,9
2015-04-28,43.8,43.8,43.8,43.8,2
2015-05-05,50.0,50.0,50.0,50.0,3
2015-05-13,50.0,50.0,50.0,50.0,3
2015-05-14,50.0,50.0,50.0,50.0,3
2015-05-15,49.0,49.0,42.0,48.0,19
2015-05-18,48.0,48.0,48.0,48.0,6
2015-05-20,48.0,48.0,48.0,48.0,5
2015-05-22,50.0,54.0,50.0,54.0,8
2015-05-26,50.0,50.0,50.0,50.0,6
2015-05-27,50.0,50.1,50.0,50.0,29
2015-05-28,53.0,53.0,53.0,53.0,3
2015-06-01,54.0,54.0,54.0,54.0,16
2015-06-02,54.0,55.0,54.0,55.0,13
2015-06-03,55.0,55.0,54.6,54.6,15
2015-06-04,55.2,55.2,55.2,55.2,6
2015-06-05,56.0,56.0,52.0,52.0,7
2015-06-08,56.0,56.0,53.3,53.3,8
2015-06-16,53.2,53.2,53.2,53.2,4
2015-06-19,54.0,54.0,54.0,54.0,80
