datetime,open,high,low,close,volume
2013-02-08,74.68,80.91,74.68,80.91,2
2014-12-11,23.46,23.8,22.85,23.37,50694
2014-12-12,23.23,23.75,22.0,22.5,213056
2014-12-15,22.54,23.58,20.03,21.29,291895
2014-12-16,21.79,22.0,17.19,19.76,666745
2014-12-17,19.86,23.47,19.83,23.47,217212
2014-12-18,23.5,24.68,22.12,22.49,442074
2014-12-19,22.91,26.79,21.58,25.0,687662
2014-12-22,26.0,26.0,23.6,24.1,211726
2014-12-23,23.88,25.0,23.3,23.89,141631
2014-12-24,23.78,24.76,22.56,23.63,124335
2014-12-25,23.76,24.47,22.8,24.26,145257
2014-12-26,24.05,24.99,23.72,24.54,79420
2014-12-29,24.75,24.92,23.82,24.3,76242
2014-12-30,23.92,23.92,22.72,23.0,82399
2015-02-05,30.89,31.87,29.7,31.85,288630
2015-02-06,31.9,32.6,31.06,31.92,304403
2015-02-09,31.79,32.54,30.4,31.61,332303
2015-02-10,31.66,32.09,31.07,32.04,137639
2015-02-11,32.55,32.55,31.5,31.7,106260
2015-02-12,32.01,32.23,30.15,31.29,285720
2015-02-13,31.5,32.12,31.1,31.7,119419
2015-02-16,31.7,37.77,31.16,36.13,989493
2015-02-17,38.12,39.9,36.26,37.77,803383
2015-02-18,37.93,39.38,37.1,37.94,243972
2015-02-19,37.86,42.2,37.37,38.69,646010
2015-02-20,39.08,41.5,39.0,40.83,489437
2015-02-24,39.51,41.0,38.13,40.27,293396
2015-02-25,40.36,41.31,39.3,39.77,193318
2015-02-26,40.49,45.01,39.77,45.01,772303
2015-02-27,45.0,48.0,43.48,44.8,872869
2015-03-02,43.41,49.39,43.41,48.94,554674
2015-03-03,48.83,51.9,48.83,50.93,827123
2015-03-04,51.46,52.88,47.62,48.09,620567
2015-03-05,48.15,49.77,45.6,48.9,1059405
2015-03-06,49.15,51.45,44.79,47.18,522505
2015-03-10,46.5,46.7,41.28,42.39,594094
2015-03-11,42.36,47.43,40.3,45.99,768310
2015-03-12,46.53,48.35,45.0,45.18,346837
2015-03-13,45.22,45.8,42.3,42.78,267902
2015-03-16,42.78,44.3,42.0,43.09,229194
2015-03-17,43.08,44.98,42.53,43.66,143807
2015-03-18,44.03,44.88,43.71,44.14,129434
