datetime,open,high,low,close,volume
2014-12-11,3.41,3.8,3.41,3.8,40
2014-12-12,3.71,3.82,3.55,3.8,101
2014-12-15,3.5,3.75,3.5,3.75,55
2014-12-16,3.61,3.84,3.01,3.5300000000000002,262
2014-12-17,3.69,3.7,3.69,3.7,7
2014-12-18,3.74,4.07,3.66,3.9,109
2014-12-19,3.91,3.91,3.82,3.82,93
2014-12-22,3.9699999999999998,3.98,3.6,3.85,32
2014-12-23,3.73,3.74,3.34,3.54,380
2014-12-24,3.51,3.59,3.4,3.4,1925
2014-12-25,3.4,3.54,3.3,3.45,970
2014-12-26,3.5,4.82,3.49,4.82,203925
2014-12-29,5.4,6.68,5.0,5.22,3195
2014-12-30,6.35,6.35,4.5,4.88,1284
2015-02-05,3.87,3.9699999999999998,3.82,3.92,360
2015-02-06,3.91,3.93,3.81,3.84,849
2015-02-09,3.88,3.99,3.84,3.85,1515
2015-02-10,3.88,4.42,3.86,4.16,11223
2015-02-11,4.2,4.29,3.92,4.13,4246
2015-02-12,4.02,4.11,3.85,3.91,4632
2015-02-13,3.9,4.14,3.89,3.94,1322
2015-02-16,3.92,4.05,3.86,4.0,2951
2015-02-17,3.9699999999999998,4.0,3.9,3.95,913
2015-02-18,3.95,4.0,3.86,4.0,1303
2015-02-19,4.0,4.15,3.9,3.99,4630
2015-02-20,3.96,4.09,3.94,4.04,616
2015-02-24,3.95,4.07,3.91,4.0,2049
2015-02-25,4.0,4.5600000000000005,3.9699999999999998,4.12,6672
2015-02-26,4.15,5.7,4.15,4.9,13585
2015-02-27,5.38,5.38,4.1,4.6,7595
2015-03-02,4.79,4.8100000000000005,4.4,4.5600000000000005,785
2015-03-03,4.52,4.58,4.31,4.45,755
2015-03-04,4.47,4.58,4.38,4.45,235
2015-03-05,4.5,4.75,4.4,4.45,1184
2015-03-06,4.5,5.26,4.5,4.99,1470
2015-03-10,4.79,5.1,4.3,4.48,826
2015-03-11,4.48,4.59,4.43,4.49,207
2015-03-12,4.51,4.58,4.4,4.51,252
2015-03-13,4.5,4.65,4.32,4.41,96
2015-03-16,4.42,4.43,3.85,4.2,3335
2015-03-17,4.2,4.2,4.1,4.2,97
2015-03-18,4.2,4.21,4.03,4.19,324
2015-03-19,4.2,4.25,4.19,4.19,1098
2015-03-20,4.19,4.22,4.15,4.16,158
2015-03-23,4.2,4.76,4.2,4.34,1872
2015-03-24,4.29,4.47,4.16,4.3,1282
2015-03-25,4.65,4.65,4.22,4.3,61
2015-03-26,4.23,4.54,4.22,4.34,849
2015-03-27,4.28,4.65,4.28,4.49,695
2015-03-30,4.45,4.66,4.35,4.43,290
2015-03-31,4.41,4.55,4.28,4.4,481
2015-04-01,4.35,4.46,4.3,4.41,734
2015-04-02,4.4,4.41,4.31,4.37,131
2015-04-03,4.32,4.32,4.19,4.23,258
2015-04-06,4.3,4.9399999999999995,4.15,4.77,3360
2015-04-07,4.52,4.61,4.2,4.45,562
2015-04-08,4.43,4.43,4.25,4.34,403
2015-04-09,4.22,4.43,4.22,4.26,1044
2015-04-10,4.71,4.72,4.22,4.3,380
2015-04-13,4.37,4.4,4.26,4.4,110
2015-04-14,4.34,4.43,4.22,4.3,1118
2015-04-15,4.3,4.3,4.2,4.26,367
2015-04-16,4.25,4.25,4.02,4.13,3280
2015-04-17,4.15,4.15,4.05,4.13,290
2015-04-20,4.12,4.14,4.1,4.13,59
2015-04-21,4.12,4.13,4.12,4.13,16
2015-04-22,4.1,4.16,4.07,4.07,209
2015-04-23,4.15,4.15,4.04,4.1,220
2015-04-24,4.04,4.11,4.03,4.04,552
2015-04-27,4.1,4.18,4.08,4.1,189
2015-04-28,4.1,4.1,4.07,4.09,88
2015-04-29,4.11,4.15,4.09,4.15,591
2015-04-30,4.13,4.14,4.07,4.1,297
2015-05-05,4.1,4.36,4.1,4.2,971
2015-05-06,4.16,4.24,4.15,4.2,68
2015-05-07,4.18,4.18,4.08,4.09,253
2015-05-08,4.09,4.14,4.09,4.1,158
2015-05-12,4.13,4.13,4.0,4.09,332
2015-05-13,3.96,4.13,3.96,4.11,143
2015-05-14,4.13,4.13,4.11,4.12,19
2015-05-15,4.11,4.19,3.01,4.07,811
2015-05-18,4.1,4.16,4.1,4.16,14
2015-05-19,4.1,4.15,4.01,4.15,50
2015-05-20,4.1,4.3,4.1,4.1,14
2015-05-21,4.06,4.16,3.93,4.14,133
2015-05-22,4.42,4.42,4.02,4.08,101
2015-05-25,4.09,4.16,3.99,4.02,427
2015-05-26,4.04,4.07,4.02,4.03,86
2015-05-27,4.08,4.11,4.05,4.11,57
2015-05-28,4.06,4.08,4.0,4.08,307
2015-05-29,4.04,4.11,4.0,4.07,268
2015-06-01,4.07,4.09,4.05,4.05,7
2015-06-02,4.02,4.05,3.99,4.05,62
2015-06-03,4.04,4.11,4.0,4.05,318
2015-06-04,4.01,4.04,3.99,4.04,65
2015-06-05,4.01,4.08,4.0,4.05,122
2015-06-08,4.01,4.06,3.98,4.05,84
2015-06-09,4.01,4.05,3.9,4.03,318
2015-06-10,4.01,4.04,4.01,4.04,4
2015-06-11,4.04,4.1,4.0,4.07,124
2015-06-15,4.08,4.11,4.01,4.09,93
2015-06-16,4.06,4.09,4.06,4.09,5
2015-06-17,4.02,4.05,3.99,4.02,30
2015-06-18,4.04,4.29,4.03,4.1,2092
2015-06-19,4.1,4.17,4.1,4.17,267
2015-06-22,4.07,4.09,4.02,4.09,65
2015-06-23,4.07,4.09,4.07,4.09,6
2015-06-24,4.03,4.07,4.03,4.04,6
2015-06-25,4.1,4.12,4.1,4.12,1452
2015-06-26,4.13,4.31,4.12,4.2,663
2015-06-29,4.19,4.21,4.1,4.15,611
