datetime,open,high,low,close,volume
2020-10-07,104.99,105.0,91.56,100.5,104205760
2020-10-08,99.41,100.5,98.3,100.5,795906
2020-10-09,100.5,103.29,100.13,103.0,3170188
2020-10-12,103.25,104.5,103.01,103.55,1290656
2020-10-13,103.66,103.92,102.12,103.2,557798
2020-10-14,103.37,103.38,102.5,103.0,171612
2020-10-15,102.99,102.99,100.06,100.26,404913
2020-10-16,100.88,101.93,100.06,100.47,196839
2020-10-19,100.65,101.25,100.27,100.4,71188
2020-10-20,100.3,100.54,100.0,100.07,206968
2020-10-21,100.4,100.48,98.4,98.59,276888
2020-10-22,98.48,98.5,95.5,96.5,400414
2020-10-23,96.69,96.71,95.6,96.31,191979
2020-10-26,96.26,99.57,95.51,99.1,235982
2020-10-27,99.11,99.53,97.95,98.6,201671
2020-10-28,98.01,98.59,95.5,97.3,240622
2020-10-29,97.3,98.4,97.0,97.89,66224
2020-10-30,98.18,98.2,97.0,98.09,43394
2020-11-02,98.17,98.35,97.0,97.96,69799
2020-11-03,98.34,98.34,97.25,97.31,72447
2020-11-05,97.7,98.43,97.5,97.55,95328
2020-11-06,97.79,97.79,96.56,97.03,80316
2020-11-09,97.08,97.86,96.65,96.65,147406
2020-11-10,96.67,97.0,96.5,96.8,100669
2020-11-11,97.0,97.72,96.56,96.67,84694
2020-11-12,97.05,97.48,96.52,96.57,91165
2020-11-13,96.7,96.9,96.51,96.59,100381
2020-11-16,96.96,98.47,96.66,97.7,215976
2020-11-17,98.03,100.87,97.7,97.77,744130
2020-11-18,97.79,99.29,95.9,95.98,566524
2020-11-19,96.2,97.0,96.0,96.9,120725
2020-11-20,97.0,99.0,96.68,97.51,133302
2020-11-23,97.56,98.27,97.3,97.52,66253
2020-11-24,97.89,97.89,97.11,97.31,71274
2020-11-25,97.5,97.73,97.01,97.45,90798
2020-11-26,97.6,97.69,97.01,97.41,82654
2020-11-27,97.41,97.71,97.01,97.19,51251
2020-11-30,97.41,97.44,96.27,96.29,117037
2020-12-01,96.5,97.17,96.41,96.9,100898
2020-12-02,96.9,97.0,96.57,96.75,126420
2020-12-03,96.75,97.06,96.75,96.95,105040
2020-12-04,97.01,97.43,96.76,96.98,75400
2020-12-07,97.2,97.2,96.1,96.16,155113
2020-12-08,96.17,96.79,96.01,96.11,106360
2020-12-09,96.53,96.53,96.05,96.1,107206
2020-12-10,96.05,96.24,95.77,95.89,111943
2020-12-11,95.98,96.04,95.69,95.76,91235
2020-12-14,95.9,96.1,95.02,95.02,159835
2020-12-15,95.55,95.72,94.5,94.85,149068
2020-12-16,94.87,95.02,94.31,94.48,98675
2020-12-17,94.69,94.93,93.26,93.69,178842
2020-12-18,93.81,94.0,92.98,93.45,181917
2020-12-21,93.6,93.69,92.55,92.57,136112
2020-12-22,92.56,93.02,92.05,92.7,197188
2020-12-23,92.98,93.18,91.6,92.0,334778
2020-12-24,92.08,92.38,90.16,90.9,305815
2020-12-25,90.54,92.87,90.0,92.0,288906
2020-12-28,92.5,92.63,90.45,90.61,475164
2020-12-29,90.95,91.18,90.51,90.54,201350
2020-12-30,90.54,91.37,90.09,90.58,271857
2021-01-04,90.91,92.65,90.73,92.1,134272
2021-01-05,92.07,93.58,91.81,93.58,218072
2021-01-06,93.67,94.5,93.13,93.3,279206
2021-01-08,93.86,94.85,93.5,93.5,310002
2021-01-11,93.5,94.33,93.16,93.59,206279
2021-01-12,93.82,94.2,92.0,92.27,159211
2021-01-13,92.46,93.33,92.3,92.6,267560
2021-01-14,92.96,92.99,92.41,92.49,66684
2021-01-15,92.59,92.79,88.56,91.35,226541
2021-01-18,91.49,92.0,91.4,92.0,49428
2021-01-19,92.47,92.68,91.41,91.42,85462
2021-01-20,92.17,92.39,91.5,91.62,98933
2021-01-21,92.45,92.45,91.02,91.42,121573
2021-01-22,91.75,91.94,90.32,91.04,223698
2021-01-25,91.11,91.77,90.8,90.84,111966
2021-01-26,90.91,91.31,90.7,90.89,85453
2021-01-27,91.23,91.24,90.57,90.69,94625
2021-01-28,90.7,91.7,90.62,91.4,121647
2021-01-29,91.39,92.0,91.02,91.52,118089
2021-02-01,91.51,92.0,91.28,91.5,92074
2021-02-02,91.7,91.97,91.4,91.49,67268
2021-02-03,91.4,91.98,90.72,91.1,61435
2021-02-04,91.22,91.22,90.82,90.92,72602
2021-02-05,91.23,91.23,90.65,90.65,84790
2021-02-08,90.96,91.1,90.81,91.0,77068
2021-02-09,91.05,91.22,90.71,90.93,94339
2021-02-10,90.96,91.23,90.08,90.08,227692
2021-02-11,90.5,90.55,89.9,90.05,183517
2021-02-12,90.06,90.22,89.5,89.81,77298
2021-02-15,90.07,90.48,89.5,90.02,72316
2021-02-16,90.2,90.37,90.01,90.14,56753
2021-02-17,90.25,90.27,89.79,89.85,74222
2021-02-18,90.0,90.0,89.0,89.08,117873
2021-02-19,89.49,93.78,89.1,91.39,1123446
2021-02-20,91.36,92.84,90.68,92.06,249371
2021-02-22,92.59,92.83,89.6,89.65,261405
2021-02-24,89.99,91.2,89.8,90.16,112177
2021-02-25,90.42,91.6,90.4,90.52,118568
2021-02-26,90.42,90.77,89.81,90.2,94652
2021-03-01,90.99,91.63,90.61,90.92,136836
2021-03-02,90.81,93.3,90.8,93.2,328429
2021-03-03,93.35,93.35,91.47,91.6,119250
2021-03-04,91.6,92.03,90.23,90.65,112928
2021-03-05,90.49,90.65,90.0,90.16,128881
2021-03-09,90.32,91.5,90.3,90.41,87987
2021-03-10,90.75,90.97,90.33,90.64,70988
2021-03-11,90.94,91.14,90.51,90.69,121856
2021-03-12,90.71,91.31,90.59,90.7,111397
2021-03-15,92.2,93.5,91.0,91.12,428710
2021-03-16,91.57,91.79,91.12,91.3,137005
2021-03-17,91.3,91.98,90.7,90.85,159792
2021-03-18,91.36,91.44,90.5,90.96,102201
2021-03-19,92.08,92.5,90.7,90.7,307771
2021-03-22,91.2,91.22,90.2,90.3,159446
2021-03-23,90.15,90.49,89.9,90.0,166680
2021-03-24,90.0,90.29,89.13,89.15,183386
2021-03-25,89.8,90.03,89.14,89.93,262227
2021-03-26,90.18,90.49,89.6,89.97,116565
2021-03-29,90.2,90.39,89.86,89.99,93414
2021-03-30,90.4,90.46,89.97,90.39,76266
2021-03-31,90.4,90.58,89.94,90.3,83510
2021-04-01,90.4,90.87,89.18,89.29,324600
2021-04-02,89.65,89.93,89.25,89.56,130179
2021-04-05,89.78,89.92,89.4,89.8,110795
2021-04-06,89.9,89.91,89.08,89.24,162834
2021-04-07,89.4,89.43,89.05,89.15,52113
2021-04-08,89.45,89.75,89.25,89.41,81485
2021-04-09,89.59,89.78,89.41,89.6,98109
2021-04-12,89.8,90.48,89.71,90.48,156941
2021-04-13,90.49,90.59,89.6,89.91,144105
2021-04-14,90.42,90.62,90.2,90.51,166010
2021-04-15,90.22,92.4,90.02,91.2,405554
2021-04-16,91.63,92.0,90.35,90.49,195991
2021-04-19,90.97,90.99,89.8,89.9,186533
2021-04-20,90.29,90.29,89.21,89.21,195926
2021-04-21,89.67,89.68,89.1,89.34,159933
2021-04-22,89.6,89.65,89.21,89.5,160865
2021-04-23,89.62,89.68,89.3,89.48,55990
2021-04-26,89.57,89.93,89.5,89.51,132558
2021-04-27,89.8,89.83,89.22,89.28,87450
2021-04-28,89.3,89.52,89.13,89.17,87025
2021-04-29,89.49,89.5,89.0,89.02,150347
2021-04-30,89.09,89.14,88.73,88.84,104077
2021-05-04,89.25,89.26,88.52,88.63,182086
2021-05-05,88.92,89.0,88.01,88.99,105245
2021-05-06,88.99,89.05,88.7,88.75,81311
2021-05-07,88.76,89.2,88.6,88.99,110988
2021-05-10,89.05,89.48,88.87,88.94,85631
2021-05-11,88.92,89.9,88.9,89.8,385574
2021-05-12,90.02,90.32,88.88,89.5,346232
2021-05-13,89.6,89.6,88.98,89.45,85668
2021-05-14,89.67,90.0,89.13,89.87,246204
2021-05-17,89.97,90.25,89.5,89.97,190524
2021-05-18,90.18,90.34,89.71,90.34,161281
2021-05-19,90.05,90.33,88.89,89.34,265486
2021-05-20,89.39,89.44,89.03,89.26,90035
2021-05-21,89.38,90.89,89.19,90.8,190522
2021-05-24,90.96,91.5,90.33,90.7,164258
2021-05-25,91.0,91.12,90.27,90.86,141060
2021-05-26,90.8,91.46,90.51,91.4,201236
2021-05-27,91.88,94.09,91.05,94.09,817625
2021-05-28,92.9,92.99,91.81,92.19,249366
2021-05-31,91.81,94.84,91.63,93.9,391793
2021-06-01,94.01,94.7,93.51,94.32,305064
2021-06-02,94.4,94.7,94.1,94.7,176423
2021-06-03,94.9,95.0,94.32,94.67,146675
2021-06-04,94.88,94.97,94.47,94.76,90460
2021-06-07,94.69,94.93,94.0,94.35,87607
2021-06-08,94.35,94.45,93.4,93.72,94570
2021-06-09,93.87,94.2,93.16,93.56,126821
2021-06-10,94.1,94.19,93.56,94.12,94177
2021-06-11,94.2,94.74,93.99,94.5,102321
2021-06-14,94.95,95.0,94.62,94.98,88160
2021-06-15,95.0,95.15,94.3,94.74,139859
2021-06-16,94.63,95.4,94.5,95.02,149943
2021-06-17,95.0,96.53,94.32,95.5,296298
2021-06-18,95.51,97.1,93.42,93.42,1082723
2021-06-21,95.0,96.17,93.7,93.92,215261
2021-06-22,94.63,94.99,93.82,93.96,70828
2021-06-23,94.44,94.69,93.83,93.98,84938
2021-06-24,94.28,94.39,93.19,93.64,115660
2021-06-25,93.69,94.19,93.5,93.79,73218
2021-06-28,93.8,94.22,93.05,93.3,129832
2021-06-29,93.73,93.73,92.0,92.19,253604
2021-06-30,92.64,93.7,92.02,92.99,167384
2021-07-01,93.1,94.99,92.77,93.01,321510
2021-07-02,88.09,89.96,88.06,89.0,595930
2021-07-05,89.25,89.9,89.04,89.42,94941
2021-07-06,89.45,89.6,88.8,88.99,95750
2021-07-07,89.09,89.39,88.5,88.52,129736
2021-07-08,88.95,89.07,88.51,88.79,85173
2021-07-09,88.9,89.46,88.76,89.14,74725
2021-07-12,89.27,89.49,89.0,89.32,45713
2021-07-13,89.32,89.42,88.55,89.1,66937
2021-07-14,89.39,89.4,88.7,89.1,105480
2021-07-15,89.09,89.5,88.15,88.68,51649
2021-07-16,88.68,89.09,88.15,88.72,102668
2021-07-19,88.94,88.95,87.3,87.88,213289
2021-07-20,88.01,88.4,87.5,87.58,43877
2021-07-21,87.69,88.32,87.5,87.82,37182
2021-07-22,88.3,88.5,87.52,87.7,38532
2021-07-23,87.71,87.99,87.5,87.58,26784
2021-07-26,87.4,87.65,87.1,87.1,37389
2021-07-27,87.1,87.62,87.06,87.2,68323
2021-07-28,87.2,87.48,86.2,86.48,163716
2021-07-29,86.77,86.77,86.0,86.5,90335
2021-07-30,86.5,87.49,86.25,87.13,71514
2021-08-02,87.49,87.51,85.58,87.06,61706
2021-08-03,86.95,88.09,86.8,87.4,45583
2021-08-04,87.72,89.0,87.3,88.9,137894
2021-08-05,88.8,89.12,88.13,88.99,52234
2021-08-06,88.91,89.15,87.5,87.7,33100
2021-08-09,88.11,88.7,87.22,88.22,50069
2021-08-10,88.41,88.6,87.48,87.79,33626
2021-08-11,87.79,88.0,87.12,87.8,31990
2021-08-12,87.68,87.77,86.6,86.75,55632
2021-08-13,86.69,87.34,86.6,86.88,36369
2021-08-16,87.19,87.2,86.11,86.3,50814
2021-08-17,86.48,86.66,86.0,86.4,61706
2021-08-18,86.4,86.59,86.0,86.05,40062
2021-08-19,86.04,86.4,85.51,85.7,90312
2021-08-20,85.75,86.8,85.51,86.8,53295
2021-08-23,86.78,87.0,86.1,86.73,48148
2021-08-24,86.74,87.34,86.0,86.49,48821
2021-08-25,86.44,87.05,86.44,86.83,46528
2021-08-26,87.15,88.29,86.72,86.75,106001
2021-08-27,87.16,87.8,86.5,87.66,79116
2021-08-30,87.66,87.97,87.01,87.5,71644
2021-08-31,87.5,88.0,87.18,88.0,80079
2021-09-01,87.98,88.39,87.06,87.54,59101
2021-09-02,87.54,88.11,87.1,87.7,44105
2021-09-03,87.32,88.0,87.1,87.37,55556
2021-09-06,87.51,87.88,86.66,87.3,79113
2021-09-07,87.52,87.69,86.8,87.05,90448
2021-09-08,87.49,87.49,86.8,86.9,33704
2021-09-09,86.99,87.18,86.34,86.5,34028
2021-09-10,86.61,86.83,86.23,86.26,36710
2021-09-13,86.58,86.68,86.2,86.25,28605
2021-09-14,86.45,86.45,85.95,86.08,79200
2021-09-15,86.12,87.1,86.0,86.3,66084
2021-09-16,86.79,86.79,86.3,86.53,41511
2021-09-17,86.5,86.9,86.25,86.39,56398
2021-09-20,86.5,86.63,85.05,85.21,125181
2021-09-21,85.79,85.98,85.26,85.45,31726
2021-09-22,85.73,85.9,85.25,85.68,51940
2021-09-23,85.8,85.9,84.53,85.39,117075
2021-09-24,85.46,86.19,84.51,84.75,60073
2021-09-27,85.1,85.18,84.06,84.29,59795
2021-09-28,84.5,84.65,83.51,83.54,81937
2021-09-29,83.54,84.67,83.54,84.44,55648
2021-09-30,84.53,84.84,83.6,84.28,88610
2021-10-01,84.28,84.34,83.6,83.95,30193
2021-10-04,84.43,84.6,83.0,83.99,84751
2021-10-05,84.18,84.41,83.75,84.18,69418
2021-10-06,83.75,84.4,83.03,84.08,102192
2021-10-07,84.23,85.5,84.18,85.5,96652
2021-10-08,85.05,87.88,84.8,87.88,211921
2021-10-11,87.93,89.99,87.6,89.99,293142
2021-10-12,89.58,90.0,87.0,87.3,225974
2021-10-13,87.31,89.82,87.01,89.32,136911
2021-10-14,89.52,89.76,88.1,88.5,80674
2021-10-15,88.44,88.96,85.4,87.3,85577
2021-10-18,86.73,87.74,86.62,86.84,52963
2021-10-19,87.41,87.74,86.5,86.59,49165
2021-10-20,86.6,87.46,85.82,86.21,52420
2021-10-21,86.22,86.94,86.22,86.68,36011
2021-10-22,86.54,86.93,86.37,86.75,32083
2021-10-25,86.9,87.42,86.45,87.05,40015
2021-10-26,87.0,87.17,86.58,87.03,28136
2021-10-27,86.88,86.89,85.81,86.07,32009
2021-10-28,85.64,86.28,85.02,85.21,35161
2021-10-29,85.25,85.41,84.3,85.2,84775
2021-11-01,85.3,86.56,85.09,86.05,48622
2021-11-02,86.05,86.92,85.61,85.9,46702
2021-11-03,86.44,87.0,85.7,87.0,45565
2021-11-05,86.21,86.98,85.68,85.84,25583
2021-11-08,86.0,86.58,85.03,85.84,40150
2021-11-09,85.84,85.84,85.16,85.59,24378
2021-11-10,85.99,85.99,84.36,84.83,59428
2021-11-11,84.46,85.24,84.44,84.72,42269
2021-11-12,84.99,85.02,84.27,84.39,46121
2021-11-15,84.39,84.99,84.08,84.5,54999
2021-11-16,84.69,85.29,84.0,84.09,92969
2021-11-17,84.03,84.48,83.7,83.8,52887
2021-11-18,84.0,84.2,83.58,84.02,45355
2021-11-19,84.02,84.6,83.33,83.78,64302
2021-11-22,83.5,84.14,82.36,82.81,94959
2021-11-23,82.81,85.03,79.95,83.0,118123
2021-11-24,83.01,84.18,82.66,82.75,42089
2021-11-25,83.0,83.31,81.9,82.5,68351
2021-11-26,82.5,82.5,81.02,81.52,88156
2021-11-29,81.99,82.16,81.0,81.94,58233
2021-11-30,81.0,81.83,80.24,80.24,87013
2021-12-01,80.26,82.1,80.26,82.1,54202
2021-12-02,82.08,82.13,80.38,81.39,56610
2021-12-03,81.39,81.99,80.57,80.71,38065
2021-12-06,80.71,81.79,80.12,80.16,41234
2021-12-07,80.18,80.48,78.6,79.36,132807
2021-12-08,79.45,80.0,78.3,78.6,107880
2021-12-09,78.09,79.77,77.61,79.55,98997
2021-12-10,78.95,79.78,77.51,78.9,110857
2021-12-13,79.01,79.46,75.07,75.07,216217
2021-12-14,75.05,75.64,73.89,74.01,152481
2021-12-15,74.77,75.17,72.78,72.78,118971
2021-12-16,73.65,74.6,73.21,73.62,181852
2021-12-17,74.11,75.3,72.25,72.6,213887
2021-12-20,73.19,78.58,70.87,78.4,747734
2021-12-21,78.28,79.18,75.56,76.04,339297
2021-12-22,76.6,77.9,72.95,73.5,345889
2021-12-23,73.95,76.59,73.3,76.26,340078
2021-12-24,76.26,77.34,75.2,77.1,237697
2021-12-27,77.14,77.87,75.05,75.05,369818
2021-12-28,75.0,75.6,73.83,75.45,620644
2021-12-29,75.52,77.8,75.52,77.0,331022
2021-12-30,77.0,77.64,72.69,73.21,646477
2022-01-03,74.04,76.3,73.5,76.2,160637
2022-01-04,76.17,77.0,75.53,76.18,72357
2022-01-05,75.94,76.85,75.71,76.4,41525
2022-01-06,76.37,76.97,74.87,76.92,64094
2022-01-10,76.98,78.36,73.45,75.59,134727
2022-01-11,76.05,77.05,75.05,76.26,71030
2022-01-12,76.26,77.0,75.1,77.0,176586
2022-01-13,76.51,77.34,75.39,75.6,100740
2022-01-14,76.3,76.39,72.89,73.08,130927
2022-01-17,73.61,74.67,72.52,72.72,80591
2022-01-18,72.87,73.11,69.5,70.07,166741
2022-01-19,69.7,72.86,69.5,72.0,106032
2022-01-20,72.3,75.0,71.04,72.46,87611
2022-01-21,72.46,74.95,70.71,71.3,69951
2022-01-24,71.4,71.74,66.54,68.87,124396
2022-01-25,69.0,72.42,68.08,72.42,84278
2022-01-26,71.47,71.47,69.59,69.81,58517
2022-01-27,69.82,71.47,69.2,70.51,74017
2022-01-28,70.99,71.9,69.66,71.9,66413
2022-01-31,71.96,72.89,71.65,72.24,25436
2022-02-01,72.24,73.09,71.81,72.39,33745
2022-02-02,72.98,72.99,70.51,70.51,41466
2022-02-03,70.99,71.32,70.2,70.3,29701
2022-02-04,70.9,71.14,68.51,68.92,89328
2022-02-07,69.8,70.41,69.0,69.6,41783
2022-02-08,69.99,70.5,69.6,70.5,69033
2022-02-09,70.61,71.4,70.2,70.25,53646
2022-02-10,70.6,70.69,69.6,69.8,44234
2022-02-11,70.38,70.38,68.78,68.8,69643
2022-02-14,68.69,69.1,67.44,67.74,73090
2022-02-15,68.78,69.59,66.77,67.15,95204
2022-02-16,68.48,71.0,67.71,68.52,105250
2022-02-17,68.48,68.48,66.87,67.6,62587
2022-02-18,67.6,68.35,66.01,66.1,110676
2022-02-21,66.5,66.99,60.77,60.77,168186
2022-02-22,60.0,60.89,49.03,58.61,286670
2022-02-24,52.3,52.75,30.0,39.31,257829
2022-02-25,39.32,47.91,39.32,45.37,130712
2022-03-28,44.8,45.35,36.38,38.34,130013
2022-03-29,38.55,41.0,38.0,39.6,88090
2022-03-30,40.03,45.5,39.92,43.19,81023
2022-03-31,44.96,53.95,43.31,52.91,307102
2022-04-01,53.99,66.6,53.93,58.57,377786
2022-04-04,58.61,59.74,53.65,57.35,479682
2022-04-05,56.45,57.0,51.61,54.0,163434
2022-04-06,50.99,53.66,50.45,52.78,90231
2022-04-07,52.9,53.49,51.29,51.95,60406
2022-04-08,51.99,52.55,50.46,51.03,57593
2022-04-11,51.03,58.0,51.03,52.01,253819
2022-04-12,52.49,53.3,50.05,52.04,77142
2022-04-13,53.28,53.28,50.97,51.62,46551
2022-04-14,51.73,52.2,50.0,50.02,95859
