datetime,open,high,low,close,volume
2009-12-11,9.87,13.5,9.65,12.4,115558
2009-12-14,12.9,17.08,12.6,17.08,161265
2009-12-15,18.87,20.5,17.56,20.5,73173
2009-12-16,24.6,24.6,17.66,20.0,243808
2009-12-17,19.5,21.5,16.81,20.0,102767
2009-12-18,20.85,22.5,19.45,21.65,105997
2009-12-21,22.0,22.98,21.5,22.42,58911
2009-12-22,22.42,22.5,21.33,21.4,27403
2009-12-23,21.67,21.67,19.11,19.99,32362
2009-12-24,19.91,20.3,18.62,18.62,22891
2009-12-25,18.51,19.22,18.0,18.5,24166
2009-12-28,18.5,18.93,18.1,18.17,9329
2009-12-29,18.25,18.26,17.14,17.78,12096
2009-12-30,17.91,18.5,17.2,18.47,8095
2009-12-31,18.11,18.63,18.07,18.38,1051
2010-01-11,18.5,19.0,17.8,17.9,8653
2010-01-12,18.0,18.0,17.11,17.65,5699
2010-01-13,17.65,17.65,17.0,17.27,6987
2010-01-14,17.28,17.35,16.09,16.24,13397
2010-01-15,16.24,16.43,15.41,15.61,12530
2010-01-18,15.61,15.61,14.46,14.5,27829
2010-01-19,14.5,14.59,13.2,13.5,19993
2010-01-20,13.4,16.13,13.28,16.12,79338
2010-01-21,16.93,18.29,15.3,15.4,86360
2010-01-22,14.99,15.4,14.39,15.0,27419
2010-01-25,14.77,17.2,14.3,16.47,49877
2010-01-26,16.1,16.4,15.26,15.75,13028
2010-01-27,15.76,16.19,15.55,15.65,8055
2010-01-28,15.81,16.11,15.68,15.8,7868
2010-01-29,15.8,16.85,15.37,16.0,18136
2010-02-01,16.0,16.61,15.5,15.98,6020
2010-02-02,15.92,16.3,15.75,15.85,5237
2010-02-03,15.85,16.13,15.7,15.74,7858
2010-02-04,15.78,15.96,14.49,14.81,11061
2010-02-05,14.49,15.29,14.36,15.0,7780
2010-02-08,15.0,15.4,14.71,15.15,5886
2010-02-09,15.11,15.17,14.51,15.0,3053
2010-02-10,14.99,15.03,14.48,14.66,3134
2010-02-11,14.63,14.75,14.3,14.49,3428
2010-02-12,14.49,14.57,13.87,14.39,4413
2010-02-15,14.4,14.4,13.88,14.24,2222
2010-02-16,14.16,14.6,14.02,14.48,2704
2010-02-17,14.5,14.6,14.31,14.41,1469
2010-02-18,14.32,14.32,13.51,13.86,4093
2010-02-19,13.9,14.0,13.52,13.9,2545
