datetime,open,high,low,close,volume
2020-12-14,68.0,69.0,66.5,67.9,169018
2020-12-15,67.98,68.51,66.88,67.8,31179
2020-12-16,68.4,68.55,66.6,66.87,52089
2020-12-17,67.59,67.7,65.5,65.8,23027
2020-12-18,65.02,66.49,65.0,65.51,8459
2020-12-21,66.02,66.4,64.1,64.5,17741
2020-12-22,65.1,65.9,63.48,63.51,12961
2020-12-23,63.53,64.9,62.55,64.49,7594
2020-12-24,64.49,64.51,61.9,62.75,36766
2020-12-25,62.51,64.4,62.51,64.25,13780
2020-12-28,64.4,64.4,62.26,62.42,35498
2020-12-29,62.66,63.9,62.36,63.39,7740
2020-12-30,63.12,64.0,62.47,63.99,4653
2021-01-04,63.33,65.23,63.3,64.01,8003
2021-01-05,64.02,64.96,63.9,64.93,6613
2021-01-06,64.96,66.35,64.0,64.41,9832
2021-01-08,64.13,65.0,63.9,64.32,6396
2021-01-11,65.0,65.88,62.99,64.88,23923
2021-01-12,64.4,66.3,64.4,65.67,11332
2021-01-13,66.0,66.6,65.52,65.97,5190
2021-01-14,66.61,67.4,65.51,66.77,6292
2021-01-15,66.26,67.5,64.87,64.98,9332
2021-01-18,65.36,67.5,64.24,65.88,9291
2021-01-19,65.01,65.9,65.0,65.4,2525
2021-01-20,65.64,65.64,64.5,64.96,4896
2021-01-21,64.82,65.46,63.6,64.07,10056
2021-01-22,64.19,65.3,63.71,64.49,5040
2021-01-25,65.15,65.3,64.08,64.7,8685
2021-01-26,64.65,65.39,64.63,64.8,4144
2021-01-27,65.4,66.0,64.63,64.64,7716
2021-01-28,65.89,66.06,64.63,64.74,3607
2021-01-29,64.95,65.78,64.3,65.03,4082
2021-02-01,65.04,65.36,64.51,64.98,2108
2021-02-02,64.68,65.9,64.68,65.6,3826
2021-02-03,65.8,65.99,64.79,65.02,3399
2021-02-04,65.64,65.64,63.55,64.25,11634
2021-02-05,65.0,65.0,64.0,64.19,5523
2021-02-08,64.19,64.95,63.75,63.99,8394
2021-02-09,64.7,64.7,62.89,62.99,15601
2021-02-10,63.04,63.72,61.92,62.09,27007
2021-02-11,62.09,62.49,59.74,60.0,64944
2021-02-12,60.28,60.55,57.5,59.54,37161
2021-02-15,59.98,61.1,59.24,60.45,29454
2021-02-16,61.0,61.09,59.5,59.97,20455
2021-02-17,59.92,60.35,59.24,59.49,9619
2021-02-18,60.18,61.11,56.71,57.0,36091
2021-02-19,57.49,58.3,55.64,56.67,30249
