datetime,open,high,low,close,volume
2005-12-26 12:00:00,0.11,0.11,0.11,0.11,17
2005-12-26 18:00:00,0.39,0.39,0.39,0.39,0
2006-01-10 14:00:00,0.1,0.1,0.1,0.1,0
2006-01-10 16:00:00,0.19,0.2,0.19,0.2,0
2006-01-10 18:00:00,0.3,0.3,0.3,0.3,0
2006-01-19 18:00:00,0.08,0.08,0.08,0.08,0
2006-02-10 18:00:00,0.14,0.14,0.14,0.14,0
2006-02-13 11:00:00,0.28,0.29,0.28,0.28,0
2006-02-13 12:00:00,0.28,0.29,0.28,0.29,2
2006-02-16 12:00:00,0.29,0.29,0.29,0.29,0
2006-02-17 18:00:00,0.24,0.24,0.14,0.14,0
2006-02-22 15:00:00,0.63,0.63,0.63,0.63,0
2006-02-22 17:00:00,0.63,0.63,0.63,0.63,2
2006-02-27 11:00:00,0.55,0.55,0.55,0.55,1
2006-02-27 18:00:00,0.57,0.57,0.57,0.57,0
2006-02-28 16:00:00,0.4,0.4,0.4,0.4,5
2006-03-06 18:00:00,0.33,0.33,0.25,0.25,2
2006-03-07 13:00:00,0.3,0.3,0.3,0.3,1
2006-03-07 16:00:00,0.25,0.25,0.25,0.25,0
2006-03-15 13:00:00,0.39,0.39,0.26,0.3,86
2006-03-15 14:00:00,0.26,0.26,0.22,0.22,30
2006-03-15 16:00:00,0.35,0.35,0.35,0.35,0
2006-03-15 17:00:00,0.35,0.35,0.35,0.35,0
2006-03-17 16:00:00,0.26,0.34,0.26,0.34,0
2006-03-17 17:00:00,0.35,0.35,0.35,0.35,0
2006-03-17 18:00:00,0.35,0.35,0.35,0.35,0
2006-03-20 13:00:00,0.3,0.35,0.3,0.35,0
2006-03-20 14:00:00,0.35,0.35,0.35,0.35,0
2006-03-22 11:00:00,0.34,0.35,0.34,0.35,0
2006-03-23 18:00:00,0.31,0.31,0.31,0.31,0
2006-03-24 15:00:00,0.3,0.3,0.3,0.3,0
2006-03-27 16:00:00,0.34,0.34,0.34,0.34,1
2006-03-27 18:00:00,0.28,0.28,0.28,0.28,0
2006-03-30 10:00:00,0.34,0.34,0.34,0.34,0
2006-04-03 12:00:00,0.35,0.35,0.35,0.35,0
2006-04-03 13:00:00,0.35,0.35,0.34,0.34,0
2006-04-03 14:00:00,0.34,0.47,0.34,0.47,0
2006-04-05 14:00:00,0.35,0.35,0.35,0.35,0
2006-04-05 17:00:00,0.35,0.35,0.35,0.35,0
2006-04-13 15:00:00,0.35,0.35,0.35,0.35,0
2006-04-19 14:00:00,0.35,0.35,0.35,0.35,0
2006-04-19 15:00:00,0.35,0.35,0.35,0.35,0
2006-04-19 16:00:00,0.17,0.17,0.17,0.17,0
2006-04-19 17:00:00,0.18,0.2,0.13,0.176,0
2006-04-19 18:00:00,0.178,0.254,0.178,0.254,0
2006-04-20 12:00:00,0.29,0.29,0.29,0.29,0
2006-04-20 13:00:00,0.29,0.29,0.29,0.29,0
2006-04-20 15:00:00,0.218,0.218,0.217,0.217,0
2006-04-21 11:00:00,0.217,0.217,0.217,0.217,0
2006-04-21 15:00:00,0.249,0.249,0.249,0.249,0
2006-04-21 17:00:00,0.349,0.349,0.349,0.349,0
2006-04-26 18:00:00,0.22,0.22,0.22,0.22,0
2006-05-02 11:00:00,0.246,0.246,0.225,0.225,0
2006-05-02 12:00:00,0.245,0.259,0.245,0.259,0
2006-05-02 13:00:00,0.226,0.248,0.226,0.248,0
2006-05-02 17:00:00,0.246,0.247,0.246,0.247,0
2006-05-06 11:00:00,0.29,0.29,0.2,0.2,0
2006-05-06 12:00:00,0.203,0.22,0.203,0.22,0
2006-05-06 14:00:00,0.239,0.239,0.239,0.239,0
2006-05-06 15:00:00,0.226,0.226,0.226,0.226,0
2006-05-06 18:00:00,0.222,0.222,0.22,0.22,0
2006-05-11 18:00:00,0.191,0.209,0.191,0.209,0
2006-05-12 14:00:00,0.27,0.27,0.27,0.27,0
2006-05-15 12:00:00,0.235,0.268,0.17,0.17,0
2006-05-15 17:00:00,0.25,0.25,0.25,0.25,0
2006-05-16 17:00:00,0.2,0.2,0.2,0.2,0
2006-05-16 18:00:00,0.2,0.2,0.2,0.2,0
2006-05-17 17:00:00,0.19,0.19,0.19,0.19,0
2006-05-18 12:00:00,0.2,0.2,0.2,0.2,0
2006-05-18 15:00:00,0.21,0.214,0.21,0.214,0
2006-05-18 16:00:00,0.217,0.219,0.217,0.217,0
2006-05-19 11:00:00,0.217,0.217,0.217,0.217,0
2006-05-19 16:00:00,0.24,0.24,0.24,0.24,0
2006-05-19 17:00:00,0.17,0.17,0.17,0.17,0
2006-05-22 13:00:00,0.17,0.17,0.17,0.17,0
2006-05-23 13:00:00,0.169,0.169,0.169,0.169,0
2006-05-23 16:00:00,0.169,0.169,0.169,0.169,0
2006-05-25 15:00:00,0.169,0.169,0.169,0.169,0
2006-05-25 18:00:00,0.169,0.169,0.169,0.169,15
2006-05-26 16:00:00,0.169,0.169,0.169,0.169,0
2006-05-29 17:00:00,0.194,0.194,0.194,0.194,0
2006-05-31 13:00:00,0.2,0.2,0.2,0.2,0
2006-05-31 14:00:00,0.18,0.18,0.18,0.18,0
2006-05-31 15:00:00,0.18,0.18,0.18,0.18,0
2006-05-31 17:00:00,0.18,0.18,0.17,0.17,0
2006-05-31 18:00:00,0.17,0.17,0.17,0.17,0
2006-06-01 15:00:00,0.2,0.33,0.2,0.33,24
2006-06-01 17:00:00,0.3,0.3,0.3,0.3,0
2006-06-01 18:00:00,0.3,0.3,0.3,0.3,0
2006-06-19 11:00:00,0.3,0.3,0.3,0.3,0
2006-06-19 12:00:00,0.3,0.3,0.3,0.3,0
2006-06-21 18:00:00,0.3,0.3,0.3,0.3,0
2006-07-14 15:00:00,0.169,0.169,0.169,0.169,0
2006-07-14 17:00:00,0.169,0.169,0.169,0.169,0
2006-07-14 18:00:00,0.169,0.169,0.169,0.169,0
2006-07-17 14:00:00,0.169,0.169,0.169,0.169,0
2006-07-20 18:00:00,0.169,0.169,0.169,0.169,0
2006-07-25 12:00:00,0.25,0.25,0.25,0.25,0
2006-07-26 15:00:00,0.256,0.299,0.256,0.299,0
2006-07-26 18:00:00,0.297,0.297,0.297,0.297,0
2006-07-27 11:00:00,0.3,0.3,0.3,0.3,0
2006-08-01 11:00:00,0.55,0.55,0.55,0.55,0
2006-08-01 13:00:00,0.54,0.54,0.54,0.54,0
2006-08-01 17:00:00,0.399,0.399,0.399,0.399,0
2006-08-03 15:00:00,0.299,0.299,0.299,0.299,0
2006-08-03 16:00:00,0.299,0.299,0.299,0.299,0
2006-08-03 17:00:00,0.299,0.299,0.299,0.299,0
2006-08-09 11:00:00,0.05,0.05,0.05,0.05,0
2006-08-10 10:00:00,0.054,0.054,0.054,0.054,90
2006-08-15 18:00:00,0.2,0.2,0.2,0.2,0
2006-08-16 11:00:00,0.25,0.25,0.25,0.25,0
2006-08-16 12:00:00,0.25,0.25,0.25,0.25,0
2006-08-16 18:00:00,0.249,0.25,0.15,0.15,5
2006-08-18 16:00:00,0.171,0.212,0.171,0.212,0
2006-08-18 17:00:00,0.212,0.212,0.212,0.212,0
2006-08-18 18:00:00,0.211,0.211,0.211,0.211,0
2006-08-21 13:00:00,0.249,5.555,0.249,0.5,11
2006-08-22 12:00:00,0.35,0.35,0.35,0.35,0
2006-08-22 14:00:00,0.349,0.4,0.349,0.4,0
2006-08-25 18:00:00,0.34,0.39,0.315,0.315,360
2006-08-28 15:00:00,0.36,0.36,0.36,0.36,40
2006-08-29 12:00:00,0.36,0.36,0.36,0.36,0
2006-08-29 16:00:00,0.361,0.361,0.36,0.36,0
2006-08-29 17:00:00,0.352,0.359,0.35,0.359,0
2006-08-29 18:00:00,0.399,0.399,0.399,0.399,0
2006-08-30 11:00:00,0.35,0.35,0.35,0.35,0
2006-08-30 17:00:00,0.301,0.301,0.3,0.3,0
2006-08-30 18:00:00,0.31,0.31,0.3,0.304,0
2006-08-31 15:00:00,0.266,0.266,0.24,0.24,1
2006-08-31 16:00:00,0.25,0.25,0.24,0.24,0
2006-08-31 17:00:00,0.24,0.299,0.24,0.299,0
2006-09-01 13:00:00,0.21,0.21,0.21,0.21,5
2006-09-04 12:00:00,0.22,0.396,0.2,0.396,0
2006-09-04 17:00:00,0.2,0.2,0.2,0.2,0
2006-09-04 18:00:00,0.2,0.279,0.2,0.279,1
2006-09-05 12:00:00,0.3,0.3,0.3,0.3,0
2006-09-05 14:00:00,0.299,0.299,0.299,0.299,5
2006-09-05 17:00:00,0.255,0.255,0.255,0.255,0
2006-09-06 14:00:00,0.279,0.279,0.279,0.279,0
2006-09-06 15:00:00,0.261,0.261,0.26,0.26,0
2006-09-06 16:00:00,0.255,0.255,0.254,0.254,4
2006-09-06 17:00:00,0.254,0.276,0.254,0.276,0
2006-09-06 18:00:00,0.277,0.277,0.277,0.277,0
2006-09-07 12:00:00,0.278,0.278,0.26,0.26,1
2006-09-07 16:00:00,0.279,0.499,0.279,0.499,7
2006-09-07 17:00:00,0.444,0.444,0.39,0.39,0
2006-09-07 18:00:00,0.39,0.39,0.388,0.388,0
2006-09-08 10:00:00,0.49,0.49,0.49,0.49,0
2006-09-08 11:00:00,0.49,3.0,0.4,0.7,0
2006-09-08 12:00:00,0.55,0.679,0.417,0.679,0
2006-09-08 13:00:00,0.68,0.68,0.407,0.407,4
2006-09-08 14:00:00,0.4,0.4,0.4,0.4,0
2006-09-08 15:00:00,0.4,0.537,0.309,0.537,5
2006-09-08 16:00:00,0.49,0.498,0.49,0.498,0
2006-09-08 17:00:00,0.492,0.492,0.492,0.492,0
2006-09-08 18:00:00,0.49,0.496,0.46,0.46,0
2006-09-11 10:00:00,0.488,0.9,0.487,0.487,1
2006-09-11 11:00:00,0.446,0.46,0.334,0.334,13
2006-09-11 12:00:00,0.4,0.485,0.336,0.484,1
2006-09-11 13:00:00,0.483,0.484,0.337,0.45,10
2006-09-11 14:00:00,0.403,0.403,0.337,0.354,4
2006-09-11 15:00:00,0.36,0.36,0.35,0.35,0
2006-09-11 16:00:00,0.35,0.35,0.33,0.33,3
2006-09-12 10:00:00,0.37,0.37,0.34,0.34,0
2006-09-12 12:00:00,0.33,0.33,0.33,0.33,0
2006-09-12 15:00:00,0.344,0.349,0.344,0.349,0
2006-09-12 16:00:00,0.348,0.355,0.348,0.35,12
2006-09-13 13:00:00,0.331,0.331,0.33,0.33,2
2006-09-13 14:00:00,0.349,0.349,0.349,0.349,0
2006-09-13 17:00:00,0.349,0.349,0.349,0.349,0
2006-09-13 18:00:00,0.349,0.349,0.349,0.349,0
2006-09-14 10:00:00,0.398,0.398,0.398,0.398,0
2006-09-14 11:00:00,0.339,0.339,0.335,0.337,1
2006-09-14 13:00:00,0.34,0.34,0.336,0.336,0
2006-09-14 18:00:00,0.337,0.337,0.3,0.3,1
2006-09-15 17:00:00,0.33,0.33,0.33,0.33,0
2006-09-18 11:00:00,0.34,0.39,0.331,0.39,4
2006-09-18 13:00:00,0.389,0.389,0.389,0.389,0
2006-09-18 14:00:00,0.37,0.37,0.37,0.37,0
2006-09-18 16:00:00,0.373,0.373,0.373,0.373,1
2006-09-18 17:00:00,0.336,0.336,0.335,0.335,0
2006-09-18 18:00:00,0.341,0.341,0.337,0.337,0
2006-09-19 13:00:00,0.35,0.35,0.335,0.335,0
2006-09-19 17:00:00,0.345,0.345,0.34,0.34,0
2006-09-20 11:00:00,0.338,0.34,0.336,0.34,0
2006-09-20 12:00:00,0.344,0.388,0.344,0.369,0
2006-09-20 13:00:00,0.35,0.352,0.337,0.352,0
2006-09-20 14:00:00,0.336,0.336,0.335,0.336,0
2006-09-20 15:00:00,0.311,0.311,0.281,0.281,0
2006-09-20 17:00:00,0.32,0.32,0.32,0.32,0
