datetime,open,high,low,close,volume
2013-08-13 17:00:00,1.0,1.0,1.0,1.0,7500
2013-08-15 16:00:00,0.99,0.99,0.99,0.99,5100
2013-08-20 16:00:00,1.0,1.0,1.0,1.0,605000
2013-09-04 15:00:00,1.4,1.4,1.4,1.4,10
2013-09-04 16:00:00,1.5,1.5,1.5,1.5,10
2013-09-04 17:00:00,1.5,1.5,1.5,1.5,30
2013-09-05 13:00:00,1.28,1.28,1.005,1.005,40
2013-09-06 11:00:00,1.21,1.21,1.21,1.21,10
2013-09-06 14:00:00,1.2,1.2,1.1,1.1,120
2013-09-06 15:00:00,1.15,1.295,1.12,1.295,170
2013-09-06 17:00:00,1.2,1.22,1.2,1.22,230
2013-09-09 13:00:00,1.015,1.15,1.015,1.15,200
2013-09-09 17:00:00,1.005,1.005,0.905,0.905,90
2013-09-09 18:00:00,1.085,1.085,1.085,1.085,20
2013-09-10 14:00:00,1.156,1.156,1.156,1.156,10
2013-09-11 11:00:00,1.097,1.097,1.097,1.097,250
2013-09-11 15:00:00,1.167,1.167,1.167,1.167,10
2013-09-12 17:00:00,1.1,1.1,1.1,1.1,10
2013-09-13 15:00:00,1.11,1.11,1.11,1.11,30
2013-09-13 18:00:00,1.11,1.11,1.11,1.11,70
2013-09-16 17:00:00,1.24,1.27,1.24,1.27,170
2013-09-24 15:00:00,1.0,1.0,1.0,1.0,12060
2013-09-26 15:00:00,1.05,1.05,1.05,1.05,1000
2013-09-26 18:00:00,1.21,1.395,1.21,1.25,1730
2013-09-27 10:00:00,1.5,1.65,1.5,1.65,40
2013-09-27 11:00:00,1.4,1.4,1.4,1.4,10
2013-09-27 13:00:00,1.5,1.655,1.5,1.655,540
2013-09-27 14:00:00,1.655,1.745,1.655,1.745,80
2013-09-27 15:00:00,1.745,1.99,1.745,1.99,110
2013-09-27 16:00:00,1.79,1.79,1.74,1.79,500
2013-09-27 17:00:00,1.79,1.79,1.79,1.79,500
2013-09-27 18:00:00,1.8399999999999999,1.8399999999999999,1.8399999999999999,1.8399999999999999,10
2013-09-30 10:00:00,2.39,2.39,2.39,2.39,30
2013-09-30 11:00:00,1.8,1.8,1.78,1.78,200
2013-09-30 14:00:00,1.78,1.78,1.78,1.78,320
2013-09-30 18:00:00,1.78,1.78,1.78,1.78,100
2013-10-01 11:00:00,1.9,1.9,1.9,1.9,40
2013-10-01 12:00:00,1.8,1.8,1.8,1.8,500
2013-10-01 13:00:00,2.0,2.0,2.0,2.0,20
2013-10-01 14:00:00,2.0,2.0,2.0,2.0,530
2013-10-01 17:00:00,1.88,1.88,1.855,1.855,40
2013-10-01 18:00:00,1.855,1.855,1.855,1.855,1500
2013-10-02 13:00:00,1.88,1.88,1.88,1.88,10
2013-10-02 15:00:00,1.88,1.88,1.88,1.88,20
2013-10-03 18:00:00,2.1,2.1,2.1,2.1,9890
2013-10-04 12:00:00,2.1,2.2,2.1,2.2,90
2013-10-04 17:00:00,2.16,2.16,2.1,2.1,730
2013-10-08 12:00:00,2.4,2.45,2.4,2.45,5000
