datetime,open,high,low,close,volume
2014-12-01 15:00:00,320.0,320.0,320.0,320.0,400
2014-12-02 10:30:00,305.0,305.0,305.0,305.0,10000
2014-12-04 17:30:00,330.0,330.0,330.0,330.0,10000
2014-12-10 14:30:00,350.0,350.0,350.0,350.0,30
2014-12-11 14:30:00,212.2,212.2,212.2,212.2,1
2014-12-19 12:00:00,330.0,330.0,330.0,330.0,4000
2014-12-19 14:00:00,400.0,400.0,400.0,400.0,1
2014-12-19 15:00:00,447.0,447.0,447.0,447.0,1
2014-12-19 16:30:00,345.0,345.0,330.0,330.0,2312
2014-12-19 17:00:00,350.0,350.0,350.0,350.0,10
2014-12-22 10:00:00,300.0,300.0,300.0,300.0,3
2014-12-22 11:00:00,380.0,380.0,380.0,380.0,4
2014-12-22 12:00:00,310.0,310.0,310.0,310.0,5999
2014-12-22 12:30:00,300.0,320.0,300.0,300.0,11
2014-12-22 13:30:00,320.0,320.0,300.0,300.0,1003
2014-12-22 14:30:00,310.0,310.0,300.0,300.0,301
2014-12-22 16:00:00,303.0,303.0,300.0,300.0,10
2014-12-22 16:30:00,295.1,295.1,295.0,295.0,172
2014-12-22 17:30:00,295.0,295.0,295.0,295.0,30
2014-12-22 18:00:00,290.0,290.0,290.0,290.0,231
2014-12-23 17:30:00,290.0,290.0,290.0,290.0,46
2014-12-23 18:30:00,290.0,290.0,290.0,290.0,1000
2014-12-25 11:00:00,285.0,285.0,285.0,285.0,150
2014-12-25 12:00:00,285.0,285.0,285.0,285.0,850
2014-12-25 14:30:00,285.0,285.0,285.0,285.0,1
2014-12-25 15:00:00,280.0,280.0,280.0,280.0,350
2014-12-26 10:30:00,280.0,280.0,280.0,280.0,1000
2014-12-26 13:00:00,285.0,285.0,285.0,285.0,5
2014-12-26 16:30:00,270.6,270.6,270.6,270.6,1
2014-12-26 17:00:00,277.0,277.0,271.0,271.0,20001
2014-12-29 10:30:00,280.0,280.0,280.0,280.0,1
2014-12-30 10:00:00,290.0,290.0,290.0,290.0,1
2014-12-30 13:30:00,290.0,310.0,290.0,310.0,2000
2014-12-30 14:30:00,299.0,300.0,299.0,300.0,1000
2014-12-30 15:00:00,300.0,300.0,300.0,300.0,601
2014-12-30 16:30:00,285.0,285.0,280.0,280.0,1000
2015-01-05 14:00:00,321.0,321.0,321.0,321.0,9
2015-01-05 16:30:00,350.0,350.0,280.0,280.0,3
2015-01-06 14:30:00,320.0,330.0,320.0,330.0,22
2015-01-06 15:00:00,330.0,330.0,330.0,330.0,1
2015-01-06 15:30:00,330.0,340.0,295.0,300.0,356
2015-01-06 17:00:00,338.1,338.1,338.1,338.1,1
2015-01-06 18:00:00,310.0,310.0,310.0,310.0,1
2015-01-08 10:00:00,300.0,300.0,300.0,300.0,2
2015-01-08 12:00:00,285.0,355.0,285.0,290.0,260
2015-01-08 13:30:00,314.5,360.0,290.0,290.0,248
2015-01-08 14:30:00,310.0,310.0,310.0,310.0,2
2015-01-08 15:30:00,310.0,310.0,310.0,310.0,47
2015-01-08 18:30:00,330.0,335.0,330.0,335.0,20
2015-01-09 10:30:00,300.0,300.0,300.0,300.0,2
2015-01-09 13:30:00,325.0,345.0,300.0,300.0,20
2015-01-09 15:30:00,305.0,305.0,305.0,305.0,1
2015-01-09 18:00:00,329.0,345.0,306.0,306.0,7
2015-01-12 10:30:00,290.1,290.1,290.1,290.1,3
2015-01-12 15:30:00,303.0,303.0,303.0,303.0,6
2015-01-13 12:00:00,290.2,325.0,290.2,325.0,13
2015-01-13 13:30:00,300.0,300.0,300.0,300.0,1
2015-01-13 18:00:00,320.0,320.0,320.0,320.0,3
2015-01-13 18:30:00,320.0,320.0,320.0,320.0,9
2015-01-14 10:00:00,325.0,335.0,296.0,296.0,23
2015-01-14 11:00:00,315.0,315.0,315.0,315.0,1
2015-01-14 11:30:00,320.0,320.0,320.0,320.0,1
2015-01-14 15:30:00,320.0,320.0,320.0,320.0,1
2015-01-14 17:30:00,325.0,325.0,295.0,295.0,38
2015-01-14 18:00:00,315.0,315.0,315.0,315.0,3
2015-01-15 15:30:00,300.1,300.1,300.1,300.1,2
2015-01-15 17:00:00,315.0,320.0,315.0,320.0,100
2015-01-15 18:00:00,305.0,305.0,305.0,305.0,202
2015-01-16 10:30:00,305.1,305.1,305.1,305.1,100
2015-01-16 14:30:00,315.0,315.0,315.0,315.0,179
2015-01-16 16:00:00,305.1,310.0,305.1,310.0,291
2015-01-16 17:30:00,308.0,308.0,308.0,308.0,1
2015-01-20 11:00:00,315.0,315.0,315.0,315.0,857
2015-01-20 13:00:00,300.1,300.1,300.1,300.1,10
2015-01-20 13:30:00,309.0,310.0,309.0,310.0,113
2015-01-20 17:30:00,310.0,310.0,310.0,310.0,52
2015-01-21 10:00:00,295.0,320.0,295.0,320.0,5001
2015-01-21 16:00:00,320.0,320.0,320.0,320.0,100
2015-01-22 11:30:00,320.0,330.1,317.5,317.5,1762
2015-01-22 12:00:00,320.0,320.0,320.0,320.0,100
2015-01-22 12:30:00,320.0,320.0,320.0,320.0,300
2015-01-22 15:30:00,325.0,325.0,325.0,325.0,800
2015-01-22 16:00:00,325.0,325.0,325.0,325.0,50
2015-01-22 16:30:00,325.0,325.0,325.0,325.0,20
2015-01-22 17:00:00,325.0,325.0,325.0,325.0,930
2015-01-22 17:30:00,325.0,325.0,320.0,320.0,522
2015-01-23 12:00:00,325.0,325.0,325.0,325.0,1
2015-01-26 11:00:00,320.0,320.0,320.0,320.0,10
2015-01-26 17:00:00,312.0,312.0,312.0,312.0,1
2015-01-26 18:00:00,313.0,320.0,313.0,320.0,14969
2015-01-27 11:30:00,340.0,340.0,340.0,340.0,4
2015-01-27 13:00:00,312.0,312.0,312.0,312.0,2
2015-01-27 16:30:00,330.0,345.0,330.0,330.0,42
2015-01-28 17:00:00,340.0,340.0,340.0,340.0,1
2015-01-30 15:00:00,335.0,335.0,335.0,335.0,1
2015-01-30 16:00:00,335.0,335.0,335.0,335.0,1
2015-02-05 16:00:00,369.0,369.0,369.0,369.0,1
2015-02-06 13:00:00,369.0,369.0,369.0,369.0,57
2015-02-06 13:30:00,330.0,330.0,330.0,330.0,1
2015-02-06 14:30:00,340.0,370.0,340.0,340.0,92
2015-02-06 17:00:00,365.0,370.0,354.0,370.0,32059
2015-02-06 18:00:00,377.0,377.0,377.0,377.0,10
2015-02-09 10:30:00,380.0,380.0,380.0,380.0,9
2015-02-09 12:00:00,360.3,360.3,360.3,360.3,1
2015-02-09 13:30:00,379.9,379.9,379.9,379.9,7
2015-02-10 10:30:00,370.0,370.0,370.0,370.0,29
2015-02-10 11:00:00,380.0,380.0,380.0,380.0,100
2015-02-11 10:30:00,380.0,380.0,380.0,380.0,64
2015-02-11 11:30:00,390.0,390.0,380.0,380.0,19
2015-02-12 10:30:00,389.9,390.0,389.9,390.0,19
2015-02-12 11:00:00,390.0,395.0,390.0,395.0,14
2015-02-12 14:30:00,390.0,390.0,390.0,390.0,10
2015-02-13 10:30:00,390.0,390.1,390.0,390.1,11
2015-02-13 11:30:00,390.0,390.0,390.0,390.0,10
2015-02-13 15:30:00,395.0,395.0,395.0,395.0,10
2015-02-13 16:30:00,395.0,395.0,395.0,395.0,90
2015-02-16 11:30:00,404.5,405.0,404.5,405.0,19
2015-02-16 12:00:00,405.0,410.1,405.0,410.1,85
2015-02-16 12:30:00,404.5,405.0,404.5,405.0,20
2015-02-16 13:00:00,391.1,391.1,385.0,385.1,330
2015-02-16 13:30:00,385.1,385.1,385.1,385.1,1
2015-02-16 15:30:00,385.1,385.1,376.0,376.0,135
2015-02-16 16:00:00,390.0,390.1,390.0,390.1,15
2015-02-16 17:00:00,390.0,390.0,390.0,390.0,16
2015-02-16 18:00:00,405.0,405.0,405.0,405.0,1
2015-02-17 12:30:00,405.0,405.0,405.0,405.0,1
2015-02-18 11:00:00,390.0,390.0,390.0,390.0,50
