datetime,open,high,low,close,volume
2004-03-09 10:30:00,20.5,20.5,20.5,20.5,5
2004-03-09 11:00:00,20.5,21.48,20.5,21.48,207
2004-03-09 11:30:00,21.48,22.98,21.48,22.98,108
2004-03-09 12:00:00,22.98,22.98,22.88,22.98,55
2004-03-09 12:30:00,23.48,24.48,23.48,24.48,220
2004-03-09 13:30:00,24.38,24.38,24.38,24.38,5
2004-03-09 14:30:00,23.98,23.98,23.98,23.98,140
2004-03-09 15:30:00,24.28,24.28,24.28,24.28,1
2004-03-09 16:00:00,23.98,23.98,23.98,23.98,5
2004-03-09 16:30:00,23.98,24.08,23.98,24.08,6
2004-03-09 17:00:00,24.22,24.22,23.98,23.98,6
2004-03-09 17:30:00,24.22,24.36,24.22,24.36,60
2004-03-09 18:00:00,23.96,24.2,23.96,24.2,21
2004-03-09 18:30:00,24.2,24.2,23.96,23.96,18
2004-03-10 10:30:00,24.25,24.29,24.01,24.29,28
2004-03-10 11:00:00,23.89,23.89,23.89,23.89,1
2004-03-10 11:30:00,23.79,24.39,23.79,24.39,174
2004-03-10 12:00:00,24.29,24.29,24.29,24.29,12
2004-03-10 12:30:00,24.29,24.33,24.29,24.33,28
2004-03-10 13:00:00,24.33,24.33,24.33,24.33,1
2004-03-10 13:30:00,24.33,24.33,24.33,24.33,50
2004-03-10 14:00:00,24.33,24.37,24.33,24.37,220
2004-03-10 14:30:00,24.37,24.97,24.37,24.97,133
2004-03-10 15:00:00,25.37,29.37,25.37,28.97,231
2004-03-10 15:30:00,28.97,29.17,27.99,29.17,136
2004-03-10 16:00:00,29.17,30.97,28.97,30.87,228
2004-03-10 16:30:00,30.95,35.33,28.95,35.33,147
2004-03-10 17:00:00,33.27,33.73,29.95,32.39,108
2004-03-10 17:30:00,30.95,31.45,29.95,30.45,144
2004-03-10 18:00:00,30.35,30.45,30.35,30.45,31
2004-03-10 18:30:00,30.83,32.33,30.83,32.03,187
2004-03-11 10:30:00,33.0,60.58,33.0,60.58,756
2004-03-11 11:00:00,60.68,62.02,60.68,62.02,69
2004-03-11 11:30:00,62.46,62.94,47.04,58.94,204
2004-03-11 12:00:00,57.94,57.94,50.14,50.14,55
2004-03-11 13:00:00,44.94,52.94,44.94,52.44,136
2004-03-11 13:30:00,52.94,55.16,49.92,50.92,333
2004-03-11 14:00:00,50.48,54.94,48.94,53.94,353
2004-03-11 14:30:00,53.94,53.94,53.44,53.44,60
2004-03-11 15:00:00,53.44,53.44,50.44,52.44,139
2004-03-11 15:30:00,52.44,52.54,50.44,50.44,83
2004-03-11 16:00:00,52.52,53.42,52.52,53.42,122
2004-03-11 16:30:00,53.42,53.52,50.94,50.94,63
2004-03-11 17:00:00,51.14,52.82,50.94,51.12,20
2004-03-11 17:30:00,51.92,53.02,51.92,52.24,127
2004-03-11 18:00:00,51.94,53.02,51.44,52.46,76
2004-03-11 18:30:00,52.94,54.9,52.46,54.9,207
2004-03-12 10:30:00,54.95,71.48,51.0,71.48,1394
2004-03-12 11:00:00,71.48,77.98,69.8,73.76,826
2004-03-12 13:00:00,73.76,74.94,59.98,60.98,968
2004-03-12 13:30:00,60.98,63.86,59.72,61.52,417
2004-03-12 14:00:00,60.02,61.06,60.02,60.06,130
2004-03-12 14:30:00,60.06,60.06,50.08,52.34,751
2004-03-12 15:00:00,52.34,52.38,40.28,43.58,1227
2004-03-12 15:30:00,43.3,43.8,42.3,43.12,332
2004-03-12 16:00:00,43.16,43.16,40.28,42.16,288
2004-03-12 16:30:00,42.66,42.88,40.18,41.16,376
2004-03-12 17:00:00,41.16,41.54,40.26,41.3,68
2004-03-12 17:30:00,41.3,42.14,40.68,41.18,55
2004-03-12 18:00:00,42.12,43.02,41.34,42.72,144
2004-03-12 18:30:00,42.72,43.02,42.08,42.08,91
2004-03-15 10:30:00,39.1,53.46,36.82,50.96,894
2004-03-15 11:00:00,50.96,51.46,41.0,44.98,667
2004-03-15 11:30:00,44.98,47.96,44.98,46.48,395
2004-03-15 12:00:00,46.86,47.88,46.86,46.94,105
2004-03-15 12:30:00,46.92,48.36,46.46,48.36,59
2004-03-15 13:00:00,48.36,48.36,47.2,47.2,36
2004-03-15 13:30:00,47.22,47.9,46.04,47.9,159
2004-03-15 14:00:00,47.9,47.9,47.06,47.06,17
2004-03-15 14:30:00,47.82,47.96,47.68,47.68,107
2004-03-15 15:00:00,47.88,47.88,47.4,47.4,9
2004-03-15 15:30:00,47.4,47.4,47.16,47.3,40
2004-03-15 16:00:00,47.18,47.18,23.7,23.78,4533
2004-03-15 16:30:00,23.78,24.58,22.64,24.46,4200
2004-03-15 17:00:00,24.46,25.68,23.3,23.34,1939
2004-03-15 17:30:00,23.38,24.04,22.96,23.06,2024
2004-03-15 18:00:00,23.06,23.36,22.36,23.26,1251
2004-03-15 18:30:00,23.26,23.54,23.08,23.36,367
2004-03-16 10:30:00,24.5,24.98,22.0,24.34,1325
2004-03-16 11:00:00,24.34,25.96,24.28,25.94,2373
2004-03-16 11:30:00,25.94,25.94,24.28,24.9,1628
2004-03-16 12:00:00,24.9,25.04,24.46,24.74,513
2004-03-16 12:30:00,24.82,24.9,21.42,22.3,4184
2004-03-16 13:00:00,22.3,23.3,21.86,22.1,2762
2004-03-16 13:30:00,22.1,22.22,21.54,22.22,1800
2004-03-16 14:00:00,22.56,22.66,22.02,22.2,323
2004-03-16 14:30:00,22.1,22.26,21.98,22.26,1284
2004-03-16 15:00:00,22.42,22.42,21.94,21.94,677
2004-03-16 15:30:00,21.94,22.04,21.66,22.02,179
2004-03-16 16:00:00,22.02,22.3,21.94,22.2,960
2004-03-16 16:30:00,22.22,22.26,21.94,22.04,250
2004-03-16 17:00:00,22.16,22.3,21.58,21.8,714
2004-03-16 17:30:00,21.86,22.16,21.78,22.04,397
2004-03-16 18:00:00,22.08,22.36,22.0,22.28,3723
2004-03-16 18:30:00,22.26,22.32,22.2,22.2,826
2004-03-17 10:30:00,23.33,23.33,22.13,22.51,923
2004-03-17 11:00:00,22.41,22.49,22.05,22.15,822
2004-03-17 11:30:00,22.15,22.43,22.15,22.31,193
2004-03-17 12:00:00,22.31,22.39,22.29,22.35,99
2004-03-17 12:30:00,22.37,22.45,22.23,22.45,423
2004-03-17 13:00:00,22.39,22.45,22.29,22.31,296
2004-03-17 13:30:00,22.31,22.41,22.25,22.35,895
2004-03-17 14:00:00,22.27,22.35,21.99,21.99,922
2004-03-17 14:30:00,22.29,22.29,21.83,21.99,1383
2004-03-17 15:00:00,22.03,22.05,21.89,21.89,846
2004-03-17 15:30:00,21.99,22.31,21.99,22.09,1621
2004-03-17 16:00:00,22.09,22.19,22.01,22.05,1392
2004-03-17 16:30:00,22.07,22.25,22.07,22.07,1142
2004-03-17 17:00:00,22.11,22.21,22.07,22.21,896
2004-03-17 17:30:00,22.21,22.23,21.95,21.95,1558
2004-03-17 18:00:00,21.95,22.13,21.95,22.13,100
2004-03-17 18:30:00,22.07,22.21,22.07,22.21,412
2004-03-18 10:30:00,22.4,22.4,22.04,22.06,709
2004-03-18 11:00:00,22.06,22.06,21.92,21.94,930
2004-03-18 11:30:00,22.02,22.02,21.92,21.92,784
2004-03-18 12:00:00,21.92,21.98,21.78,21.8,1060
2004-03-18 12:30:00,21.88,22.0,21.8,21.92,185
2004-03-18 13:00:00,21.98,22.02,21.94,22.0,127
2004-03-18 13:30:00,22.0,22.04,21.92,21.98,137
2004-03-18 14:00:00,21.98,22.0,21.88,21.88,89
2004-03-18 14:30:00,21.88,21.88,21.8,21.8,188
2004-03-18 15:00:00,21.8,21.9,21.78,21.9,248
2004-03-18 15:30:00,21.9,21.98,21.76,21.78,654
