datetime,open,high,low,close,volume
2011-12-14 16:00:00,35.0,35.0,35.0,35.0,10
2011-12-20 12:30:00,35.0,35.0,35.0,35.0,140
2011-12-20 18:30:00,35.0,35.0,35.0,35.0,140
2011-12-21 14:30:00,36.0,37.0,36.0,37.0,280
2011-12-22 11:30:00,37.0,37.0,37.0,37.0,40
2011-12-22 13:30:00,37.0,37.0,37.0,37.0,100
2011-12-22 17:00:00,40.0,40.0,40.0,40.0,500
2011-12-26 15:30:00,41.0,41.0,41.0,41.0,10
2011-12-27 14:30:00,41.0,41.0,41.0,41.0,100
2011-12-27 16:30:00,40.0,40.0,40.0,40.0,1000
2011-12-28 12:00:00,38.0,38.0,38.0,38.0,40
2011-12-29 12:30:00,40.0,40.0,40.0,40.0,230
2011-12-30 13:30:00,41.0,41.0,41.0,41.0,200
2012-01-06 10:30:00,41.9,41.9,41.9,41.9,110
2012-01-06 12:00:00,41.9,41.9,41.9,41.9,20
2012-01-06 13:00:00,41.9,41.9,41.9,41.9,40
2012-01-06 14:00:00,41.9,41.9,41.9,41.9,20
2012-01-06 16:00:00,41.9,41.9,41.9,41.9,100
2012-01-06 17:00:00,41.9,41.9,41.9,41.9,100
2012-01-06 17:30:00,41.9,41.9,41.9,41.9,140
2012-01-10 13:30:00,43.0,43.0,43.0,43.0,10
2012-01-10 16:00:00,43.0,43.0,43.0,43.0,10
2012-01-10 18:00:00,43.0,43.0,43.0,43.0,40
2012-01-11 12:30:00,43.0,43.0,43.0,43.0,10
2012-01-11 17:00:00,42.0,42.0,42.0,42.0,10
2012-01-12 12:30:00,43.0,43.0,43.0,43.0,500
2012-01-13 18:00:00,44.0,44.0,44.0,44.0,100
2012-01-16 14:30:00,45.0,45.0,45.0,45.0,40
2012-01-18 13:30:00,43.0,43.0,43.0,43.0,80
2012-01-19 10:30:00,44.0,44.0,44.0,44.0,20
2012-01-20 15:30:00,44.0,44.0,44.0,44.0,10
2012-01-23 10:30:00,44.0,44.0,44.0,44.0,10
2012-01-25 14:00:00,43.0,43.0,43.0,43.0,40
2012-01-27 11:30:00,45.0,45.0,45.0,45.0,10
2012-01-27 16:00:00,45.0,45.0,45.0,45.0,100
2012-01-31 12:30:00,45.0,45.0,45.0,45.0,40
2012-01-31 13:00:00,45.0,45.0,45.0,45.0,120
2012-01-31 14:00:00,45.0,45.0,45.0,45.0,10
2012-01-31 18:30:00,46.0,46.0,46.0,46.0,10
2012-02-01 16:00:00,47.9,47.9,47.9,47.9,20
2012-02-01 16:30:00,47.9,47.9,47.9,47.9,80
2012-02-03 13:00:00,45.5,45.5,45.5,45.5,30
2012-02-03 14:00:00,45.5,45.5,45.5,45.5,30
2012-02-03 15:00:00,45.5,45.5,45.5,45.5,30
2012-02-03 15:30:00,45.5,45.5,45.5,45.5,10
2012-02-09 12:30:00,51.9,51.9,51.9,51.9,10
2012-02-13 12:00:00,51.9,51.9,51.9,51.9,10
2012-02-13 13:00:00,51.9,51.9,51.9,51.9,40
2012-02-13 14:30:00,51.9,51.9,51.9,51.9,20
2012-02-14 12:30:00,52.0,53.8,52.0,53.8,60
2012-02-14 14:30:00,53.8,53.8,53.8,53.8,350
2012-02-14 18:00:00,50.0,50.0,50.0,50.0,10
2012-02-22 18:30:00,49.1,49.1,49.1,49.1,10
2012-02-24 18:00:00,48.0,48.0,48.0,48.0,20
2012-03-05 12:00:00,48.0,48.0,48.0,48.0,10
2012-03-05 18:00:00,49.0,49.0,49.0,49.0,10
2012-03-07 17:00:00,50.0,50.0,50.0,50.0,1010
2012-03-07 18:30:00,52.0,52.0,52.0,52.0,30
2012-03-11 16:00:00,55.0,55.0,55.0,55.0,10
2012-03-11 17:30:00,55.0,55.0,55.0,55.0,10
2012-03-11 18:30:00,47.0,47.0,46.0,46.0,20
2012-03-13 11:00:00,47.1,47.1,47.1,47.1,10
2012-03-20 18:30:00,45.0,45.0,45.0,45.0,10
2012-03-26 18:30:00,46.0,46.0,46.0,46.0,20
2012-03-27 15:00:00,51.0,51.0,51.0,51.0,70
2012-03-27 15:30:00,47.0,47.0,47.0,47.0,10
2012-03-27 16:00:00,47.0,47.0,47.0,47.0,110
2012-04-04 17:00:00,47.5,47.5,47.5,47.5,10
2012-04-06 18:30:00,48.0,48.0,48.0,48.0,40
2012-04-12 13:30:00,49.5,49.5,49.5,49.5,220
2012-04-12 18:00:00,49.1,49.1,49.1,49.1,10
2012-04-17 17:30:00,49.6,49.6,49.6,49.6,10
2012-04-20 12:00:00,54.0,55.0,54.0,55.0,50
2012-04-20 13:30:00,54.0,54.0,54.0,54.0,20
2012-04-20 14:30:00,53.0,54.0,53.0,54.0,130
2012-04-20 17:00:00,54.0,54.0,54.0,54.0,240
2012-04-23 14:00:00,57.0,57.0,57.0,57.0,220
2012-04-23 15:00:00,57.0,59.0,57.0,59.0,840
2012-05-04 17:30:00,45.0,45.0,45.0,45.0,10
2012-05-17 15:00:00,55.0,55.0,50.0,50.0,530
2012-05-24 18:30:00,57.0,57.0,57.0,57.0,230
2012-05-25 18:00:00,49.5,49.5,49.5,49.5,50
2012-05-28 11:00:00,49.0,49.0,49.0,49.0,220
2012-05-30 14:30:00,50.0,50.0,50.0,50.0,40
2012-05-30 15:30:00,50.0,50.0,50.0,50.0,10
2012-05-30 16:30:00,50.0,50.0,49.2,49.2,900
2012-06-01 13:00:00,49.1,49.1,49.1,49.1,10
2012-06-19 13:00:00,56.0,56.0,56.0,56.0,10
2012-06-22 18:00:00,50.0,50.0,50.0,50.0,20
2012-06-26 18:30:00,50.0,50.0,50.0,50.0,500
2012-06-28 16:00:00,52.0,52.0,52.0,52.0,200
2012-06-28 17:00:00,54.8,55.0,54.8,55.0,750
2012-06-29 18:00:00,54.8,54.8,54.8,54.8,10
2012-07-04 11:00:00,54.8,54.8,54.8,54.8,10
2012-07-04 14:00:00,54.8,54.8,54.8,54.8,30
2012-07-04 17:00:00,49.2,49.2,47.2,47.2,950
2012-07-04 17:30:00,47.2,50.2,47.2,50.2,500
2012-07-11 17:30:00,50.0,50.0,50.0,50.0,10
2012-07-11 18:30:00,50.0,50.0,50.0,50.0,70
2012-07-24 18:30:00,50.0,50.0,50.0,50.0,10
2012-07-25 10:00:00,50.0,50.0,50.0,50.0,10
2012-07-26 17:30:00,49.5,49.5,49.5,49.5,150
2012-07-26 18:30:00,49.5,49.5,49.5,49.5,500
2012-07-27 15:00:00,50.0,50.0,50.0,50.0,20
2012-07-30 16:30:00,50.0,50.0,50.0,50.0,20
2012-07-31 14:30:00,50.0,50.0,50.0,50.0,500
2012-08-09 16:30:00,50.0,50.0,50.0,50.0,110
2012-08-09 17:00:00,50.0,50.0,50.0,50.0,190
2012-08-09 17:30:00,50.0,50.0,50.0,50.0,10
2012-08-14 14:00:00,52.0,52.0,52.0,52.0,20
