datetime,open,high,low,close,volume
2008-04-03 16:00:00,60.0,60.0,60.0,60.0,16
2008-04-03 16:30:00,69.0,69.0,69.0,69.0,17
2008-04-04 10:30:00,69.0,69.0,69.0,69.0,0
2008-04-04 12:00:00,69.0,69.0,69.0,69.0,0
2008-04-04 12:30:00,69.0,69.0,69.0,69.0,0
2008-04-04 17:00:00,69.0,69.0,69.0,69.0,0
2008-04-07 11:30:00,69.0,75.0,69.0,75.0,0
2008-04-07 16:30:00,60.0,60.0,60.0,60.0,15
2008-04-08 12:30:00,69.0,69.0,69.0,69.0,1
2008-04-08 16:00:00,65.0,65.0,65.0,65.0,15
2008-04-08 16:30:00,60.5,60.5,60.5,60.5,47
2008-04-09 11:00:00,61.4,61.4,61.4,61.4,0
2008-04-10 11:30:00,65.6,65.6,65.6,65.6,0
2008-04-15 11:00:00,57.0,57.0,55.5,55.5,15
2008-04-15 17:00:00,55.5,55.5,55.5,55.5,3
2008-04-16 13:30:00,55.0,55.0,55.0,55.0,2
2008-04-16 17:30:00,55.0,55.0,55.0,55.0,2
2008-04-18 17:00:00,55.0,55.0,55.0,55.0,0
2008-04-23 12:30:00,55.0,55.0,55.0,55.0,0
2008-04-28 13:30:00,55.4,55.4,55.2,55.2,106
2008-04-29 13:00:00,62.7,62.7,62.7,62.7,0
2008-05-05 16:00:00,55.0,55.0,55.0,55.0,0
2008-05-12 10:30:00,58.0,58.0,58.0,58.0,0
2008-05-15 17:00:00,53.1,53.1,51.1,51.1,34
2008-05-15 17:30:00,51.1,51.1,51.1,51.1,1
2008-05-16 15:00:00,51.0,51.0,51.0,51.0,16
2008-05-19 14:00:00,51.0,51.0,51.0,51.0,10
2008-05-19 16:00:00,52.0,52.0,52.0,52.0,0
2008-05-22 15:00:00,57.0,58.0,57.0,58.0,5
2008-05-22 16:00:00,51.0,51.0,51.0,51.0,2
2008-05-23 16:00:00,51.0,51.0,51.0,51.0,1
2008-05-23 17:30:00,51.0,51.0,51.0,51.0,2
2008-05-26 14:00:00,51.0,51.0,51.0,51.0,0
2008-05-26 17:00:00,55.0,55.0,55.0,55.0,3
2008-05-27 11:30:00,51.0,51.0,51.0,51.0,0
2008-05-27 15:00:00,51.0,51.0,51.0,51.0,5
2008-05-28 11:30:00,53.6,53.6,53.6,53.6,0
2008-05-28 13:00:00,53.6,53.6,53.6,53.6,5
2008-05-28 13:30:00,53.6,53.6,53.6,53.6,16
2008-05-28 15:00:00,55.6,55.6,55.6,55.6,5
2008-05-28 15:30:00,54.6,54.6,54.6,54.6,5
2008-05-28 16:00:00,54.6,54.6,54.6,54.6,1
2008-05-28 17:30:00,54.6,54.6,54.6,54.6,1
2008-05-29 17:00:00,56.0,56.0,55.0,55.0,19
2008-06-03 17:30:00,58.0,58.0,55.0,55.0,101
2008-06-24 17:00:00,51.5,51.5,51.5,51.5,6
2008-06-26 11:30:00,51.5,51.5,51.5,51.5,2
2008-06-26 17:30:00,51.5,51.5,51.0,51.0,11
2008-06-27 10:30:00,51.0,51.0,51.0,51.0,0
2008-06-30 14:30:00,51.5,51.5,51.5,51.5,0
2008-07-08 11:30:00,51.0,51.0,51.0,51.0,2
2008-07-10 16:00:00,51.0,51.0,51.0,51.0,1
2008-07-28 10:30:00,51.0,51.0,51.0,51.0,5
2008-07-30 17:00:00,51.0,51.0,51.0,51.0,0
2008-08-06 15:00:00,56.9,56.9,56.9,56.9,10
2008-08-12 12:00:00,51.0,51.0,51.0,51.0,15
2008-09-10 17:00:00,51.0,51.0,51.0,51.0,0
2008-09-22 13:00:00,51.0,51.0,51.0,51.0,26
2008-09-23 11:00:00,56.0,56.0,56.0,56.0,0
2008-09-23 13:00:00,51.0,51.0,51.0,51.0,0
2008-09-23 16:30:00,51.0,51.0,51.0,51.0,0
2008-09-26 10:30:00,53.0,53.0,53.0,53.0,15
2008-09-29 10:30:00,51.0,51.0,51.0,51.0,0
2008-09-29 13:30:00,51.0,51.0,51.0,51.0,0
2008-10-02 14:00:00,55.0,55.0,55.0,55.0,15
2008-10-23 10:30:00,51.0,51.0,51.0,51.0,1
2008-10-29 12:30:00,15.3,15.3,15.3,15.3,15
2008-10-29 14:00:00,15.3,15.3,15.3,15.3,10
2008-10-29 16:30:00,19.3,19.3,19.3,19.3,11
2008-10-30 14:30:00,20.3,20.3,20.3,20.3,1
2008-10-31 14:00:00,20.3,20.3,20.3,20.3,0
2008-11-11 12:00:00,17.5,17.5,17.0,17.0,469
2008-11-11 13:00:00,16.5,16.5,16.5,16.5,0
