datetime,open,high,low,close,volume
2021-04-28 10:00:00,8.1,8.1,7.905,8.022,216740
2021-04-28 10:30:00,8.021,8.034,7.961,7.974,232277
2021-04-28 11:00:00,7.973,8.009,7.9719999999999995,7.996,89037
2021-04-28 11:30:00,7.996,8.0,7.938,7.938,127174
2021-04-28 12:00:00,7.938,7.976,7.801,7.938,147534
2021-04-28 12:30:00,7.933,7.95,7.862,7.926,42693
2021-04-28 13:00:00,7.926,7.96,7.921,7.922,63399
2021-04-28 13:30:00,7.922,7.95,7.85,7.862,104361
2021-04-28 14:00:00,7.862,7.93,7.85,7.927,76968
2021-04-28 14:30:00,7.927,7.943,7.9,7.926,60445
2021-04-28 15:00:00,7.927,7.952,7.921,7.941,52193
2021-04-28 15:30:00,7.941,7.95,7.92,7.929,57050
2021-04-28 16:00:00,7.929,7.964,7.92,7.92,106382
2021-04-28 16:30:00,7.921,7.9399999999999995,7.92,7.926,84976
2021-04-28 17:00:00,7.926,7.98,7.925,7.947,102445
2021-04-28 17:30:00,7.947,7.98,7.942,7.964,124304
2021-04-28 18:00:00,7.965,7.98,7.941,7.958,135893
2021-04-28 18:30:00,7.958,7.968,7.948,7.968,70131
2021-04-29 10:00:00,8.0,8.0,7.9350000000000005,7.953,52511
2021-04-29 10:30:00,7.953,7.975,7.945,7.954,37146
2021-04-29 11:00:00,7.954,7.964,7.945,7.951,30242
2021-04-29 11:30:00,7.951,7.951,7.945,7.945,23048
2021-04-29 12:00:00,7.946,7.949,7.92,7.946,19977
2021-04-29 12:30:00,7.945,7.946,7.928,7.93,4793
2021-04-29 13:00:00,7.928,7.931,7.911,7.924,24760
2021-04-29 13:30:00,7.921,7.924,7.91,7.92,11975
2021-04-29 14:00:00,7.92,7.96,7.918,7.95,47742
2021-04-29 14:30:00,7.951,7.973,7.945,7.962,35393
2021-04-29 15:00:00,7.962,7.965,7.932,7.9399999999999995,47263
2021-04-29 15:30:00,7.9399999999999995,7.95,7.921,7.941,37391
2021-04-29 16:00:00,7.941,7.945,7.913,7.918,58495
2021-04-29 16:30:00,7.9190000000000005,7.933,7.894,7.897,148184
2021-04-29 17:00:00,7.897,7.92,7.88,7.9,118138
2021-04-29 17:30:00,7.9,7.949,7.9,7.926,73648
2021-04-29 18:00:00,7.925,7.955,7.92,7.954,45117
2021-04-29 18:30:00,7.951,7.957,7.9,7.9,16067
2021-04-30 10:00:00,7.944,7.965,7.85,7.889,20358
2021-04-30 10:30:00,7.889,7.901,7.85,7.899,29274
2021-04-30 11:00:00,7.899,7.92,7.88,7.907,26426
2021-04-30 11:30:00,7.907,7.907,7.882,7.894,23675
2021-04-30 12:00:00,7.894,7.897,7.832,7.858,42765
2021-04-30 12:30:00,7.858,7.86,7.837,7.845,30887
2021-04-30 13:00:00,7.845,7.85,7.839,7.849,35128
2021-04-30 13:30:00,7.849,7.85,7.83,7.84,32637
2021-04-30 14:00:00,7.84,7.84,7.651,7.82,122637
2021-04-30 14:30:00,7.82,7.843,7.8,7.843,43246
2021-04-30 15:00:00,7.843,7.85,7.83,7.85,82690
2021-04-30 15:30:00,7.85,7.85,7.84,7.85,42022
2021-04-30 16:00:00,7.85,7.85,7.82,7.85,43450
2021-04-30 16:30:00,7.85,7.897,7.845,7.889,49722
2021-04-30 17:00:00,7.889,7.89,7.867,7.889,55285
2021-04-30 17:30:00,7.888,7.889,7.853,7.88,51312
2021-04-30 18:00:00,7.879,7.88,7.862,7.877,55053
2021-04-30 18:30:00,7.877,7.88,7.825,7.88,33312
2021-05-04 10:00:00,7.893,7.948,7.88,7.909,42553
2021-05-04 10:30:00,7.91,7.91,7.9,7.91,52263
2021-05-04 11:00:00,7.909,7.91,7.9,7.909,188526
2021-05-04 11:30:00,7.91,7.91,7.909,7.91,55249
2021-05-04 12:00:00,7.91,7.91,7.904,7.905,43639
2021-05-04 12:30:00,7.906,7.91,7.9,7.902,20461
2021-05-04 13:00:00,7.902,7.907,7.893,7.897,16311
2021-05-04 13:30:00,7.897,7.9,7.895,7.898,18854
2021-05-04 14:00:00,7.898,7.9,7.8870000000000005,7.9,46646
2021-05-04 14:30:00,7.9,7.91,7.899,7.91,46014
2021-05-04 15:00:00,7.91,7.91,7.899,7.909,53403
2021-05-04 15:30:00,7.909,7.91,7.901,7.906,46404
2021-05-04 16:00:00,7.909,7.91,7.9,7.91,59835
2021-05-04 16:30:00,7.909,7.91,7.883,7.908,52244
2021-05-04 17:00:00,7.909,7.91,7.885,7.9,48070
2021-05-04 17:30:00,7.9,7.906,7.892,7.904,37152
2021-05-04 18:00:00,7.9030000000000005,7.91,7.894,7.91,37465
2021-05-04 18:30:00,7.91,7.91,7.901,7.91,26752
2021-05-05 10:00:00,7.889,8.0,7.885,7.901,21429
2021-05-05 10:30:00,7.901,7.901,7.882,7.9,11625
2021-05-05 11:00:00,7.9,7.9,7.886,7.894,5333
2021-05-05 11:30:00,7.895,7.899,7.882,7.896,4874
2021-05-05 12:00:00,7.896,7.899,7.894,7.897,4223
2021-05-05 12:30:00,7.898,7.91,7.897,7.909,26392
2021-05-05 13:00:00,7.909,7.9399999999999995,7.909,7.922,9777
2021-05-05 13:30:00,7.922,7.93,7.92,7.929,3780
2021-05-05 14:00:00,7.929,7.997,7.925,7.986,44620
2021-05-05 14:30:00,7.9879999999999995,8.0,7.942,7.979,39022
2021-05-05 15:00:00,7.979,7.98,7.959,7.979,34551
2021-05-05 15:30:00,7.98,7.98,7.941,7.977,49555
2021-05-05 16:00:00,7.979,8.013,7.962,8.006,47874
2021-05-05 16:30:00,8.006,8.007,7.99,7.992,5195
2021-05-05 17:00:00,7.995,8.0,7.992,7.998,6156
2021-05-05 17:30:00,7.998,7.999,7.994,7.999,4398
2021-05-05 18:00:00,7.999,8.0,7.991,8.0,6086
2021-05-05 18:30:00,8.0,8.0,7.991,8.0,112886
2021-05-06 10:00:00,7.998,7.998,7.96,7.985,4555
2021-05-06 10:30:00,7.984,8.0,7.936,7.945,11808
2021-05-06 11:00:00,7.945,7.95,7.908,7.923,8607
2021-05-06 11:30:00,7.92,7.93,7.9,7.921,8369
2021-05-06 12:00:00,7.92,7.95,7.912,7.922,5298
2021-05-06 12:30:00,7.922,7.928,7.915,7.92,7655
2021-05-06 13:00:00,7.921,7.93,7.92,7.92,4925
2021-05-06 13:30:00,7.922,7.945,7.92,7.921,4969
2021-05-06 14:00:00,7.922,7.997,7.922,7.99,25700
2021-05-06 14:30:00,7.992,7.997,7.942,7.9559999999999995,41062
2021-05-06 15:00:00,7.9559999999999995,7.997,7.937,7.996,24055
2021-05-06 15:30:00,7.996,8.0,7.995,8.0,41871
2021-05-06 16:00:00,7.999,8.0,7.999,7.999,12262
2021-05-06 16:30:00,8.0,8.0,7.998,7.998,21007
2021-05-06 17:00:00,7.998,8.0,7.99,8.0,18186
2021-05-06 17:30:00,7.999,8.0,7.959,7.999,22271
2021-05-06 18:00:00,7.999,8.0,7.977,7.994,10702
2021-05-06 18:30:00,7.994,8.0,7.993,8.0,13958
2021-05-07 10:00:00,7.995,8.0,7.95,7.957,4489
2021-05-07 10:30:00,7.957,7.957,7.924,7.955,7785
2021-05-07 11:00:00,7.9559999999999995,7.961,7.932,7.938,2712
2021-05-07 11:30:00,7.942,7.961,7.938,7.954,3191
2021-05-07 12:00:00,7.955,7.9719999999999995,7.945,7.959,1905
2021-05-07 12:30:00,7.96,7.961,7.945,7.952,1520
2021-05-07 13:00:00,7.952,7.961,7.95,7.955,2573
2021-05-07 13:30:00,7.955,7.955,7.945,7.95,2874
2021-05-07 14:00:00,7.95,8.0,7.947,7.996,28022
2021-05-07 14:30:00,7.998,8.02,7.99,8.001,32806
2021-05-07 15:00:00,8.0,8.011,7.998,7.999,19351
2021-05-07 15:30:00,8.0,8.002,7.977,8.002,11895
2021-05-07 16:00:00,8.002,8.002,7.996,7.997,5050
2021-05-07 16:30:00,7.998,8.0,7.991,7.991,5274
2021-05-07 17:00:00,7.991,7.992,7.963,7.981,3818
2021-05-07 17:30:00,7.981,7.9879999999999995,7.96,7.968,2255
2021-05-07 18:00:00,7.968,7.98,7.964,7.97,4004
2021-05-07 18:30:00,7.97,8.0,7.969,8.0,10951
