datetime,open,high,low,close,volume
2006-10-01,652.0,1161.0,652.0,748.0,7898
2006-11-01,750.0,750.0,710.0,733.0,34668
2006-12-01,725.0,788.0,720.0,770.0,41176
2007-01-01,760.0,785.0,721.0,730.0,54424
2007-02-01,733.0,744.0,665.0,688.0,50651
2007-03-01,675.0,691.0,616.0,650.0,46926
2007-04-01,650.0,650.0,600.0,605.0,63603
2007-05-01,608.0,654.0,580.0,600.0,44293
2007-06-01,600.0,615.0,588.0,606.0,37857
2007-07-01,605.0,668.0,601.0,623.0,68648
2007-08-01,615.0,630.0,600.0,620.0,39112
2007-09-01,612.0,660.0,482.0,660.0,23561
2007-10-01,630.0,919.0,594.0,902.0,446938
2007-11-01,900.0,1085.0,875.0,1018.0,258330
2007-12-01,1029.0,1235.0,1001.0,1235.0,120186
2008-01-01,1247.0,1650.0,1156.0,1469.0,207940
2008-02-01,1500.0,2120.0,1500.0,2080.0,227229
2008-03-01,2050.0,2099.0,1650.0,1870.0,214949
2008-04-01,1870.0,2330.0,1810.0,2284.0,265214
2008-05-01,2295.0,2645.0,2262.0,2630.0,233544
2008-06-01,2632.0,2992.0,2601.0,2900.0,308318
2008-07-01,2898.0,3037.0,1900.0,2189.0,619218
2008-08-01,2189.0,2289.0,1599.0,1731.0,193281
2008-09-01,1740.0,1800.0,822.0,1000.0,177988
2008-10-01,1025.0,1090.0,399.0,455.0,190944
2008-11-01,460.0,649.0,207.0,303.0,387894
2008-12-01,304.0,374.0,251.0,300.0,752771
2009-01-01,304.0,370.0,283.0,356.0,519014
2009-02-01,366.0,525.0,360.0,494.0,1148044
2009-03-01,482.0,638.0,465.0,545.0,792756
2009-04-01,548.0,635.0,521.0,619.0,1352801
2009-05-01,624.0,849.0,615.0,845.0,1185349
2009-06-01,855.0,970.0,666.0,712.0,454330
2009-07-01,702.0,799.0,593.0,799.0,437787
2009-08-01,810.0,880.0,750.0,760.0,314058
2009-09-01,771.0,860.0,740.0,822.0,512789
2009-10-01,822.0,1025.0,783.0,859.0,1198763
2009-11-01,855.0,927.0,784.0,863.0,540361
2009-12-01,865.0,914.0,816.0,860.0,420080
2010-01-01,867.0,1050.0,867.0,977.0,784671
2010-02-01,963.0,1100.0,940.0,1099.0,527458
2010-03-01,1120.0,1165.0,1056.0,1091.0,498083
2010-04-01,1088.0,1180.0,960.0,975.0,895483
2010-05-01,979.0,979.0,712.0,790.0,716406
2010-06-01,790.0,850.0,750.0,775.0,673531
2010-07-01,765.0,825.0,745.0,810.0,488256
2010-08-01,811.0,972.0,810.0,901.0,1019464
2010-09-01,900.0,940.0,865.0,920.0,385234
2010-10-01,923.0,947.0,886.0,896.0,656325
2010-11-01,900.0,959.0,885.0,952.0,924836
2010-12-01,955.0,1183.0,954.0,1136.0,1251261
2011-01-01,1140.0,1434.0,1140.0,1376.0,1579162
2011-02-01,1391.0,1414.0,1210.0,1359.0,900311
2011-03-01,1360.0,1385.0,1123.0,1238.0,901540
2011-04-01,1236.0,1329.0,1199.0,1290.0,1549309
2011-05-01,1290.0,1300.0,1175.0,1200.0,932364
2011-06-01,1192.0,1340.0,1173.0,1334.0,584915
2011-07-01,1340.0,1540.0,1315.0,1529.0,713942
2011-08-01,1547.0,1568.0,985.0,1365.0,874143
2011-09-01,1360.0,1395.0,1082.0,1130.0,719428
2011-10-01,1051.0,1299.0,889.0,1256.0,591331
2011-11-01,1255.0,1625.0,1150.0,1588.0,740053
2011-12-01,1575.0,1600.0,1232.0,1331.0,544869
2012-01-01,1339.0,1463.0,1260.0,1399.0,454760
2012-02-01,1395.0,1445.0,1360.0,1365.0,356613
2012-03-01,1365.0,1371.0,1186.0,1240.0,475278
2012-04-01,1250.0,1415.0,1235.0,1335.0,505790
2012-05-01,1339.0,1363.0,1022.0,1070.0,585621
2012-06-01,1068.0,1187.0,1040.0,1166.0,309167
