datetime,open,high,low,close,volume
2012-09-01,349.0,349.0,248.0,265.0,350
2012-10-01,265.0,349.0,250.0,300.0,130
2013-02-01,290.0,406.0,290.0,308.0,50
2013-03-01,304.0,304.0,304.0,304.0,30
2013-04-01,349.0,349.0,251.0,251.0,20
2013-05-01,264.0,298.0,264.0,298.0,20
2013-06-01,288.0,288.0,288.0,288.0,10
2013-08-01,248.0,248.0,248.0,248.0,10
2013-11-01,283.0,300.0,283.0,300.0,30
2013-12-01,300.0,300.0,200.0,200.0,220
2014-01-01,200.0,200.0,200.0,200.0,10
2014-03-01,200.0,200.0,200.0,200.0,20
2014-11-01,300.0,300.0,300.0,300.0,20
2014-12-01,250.0,300.0,250.0,300.0,20
2015-03-01,295.0,295.0,295.0,295.0,10
2015-06-01,201.0,201.0,201.0,201.0,10
2015-08-01,279.0,280.0,180.0,279.0,80
2015-09-01,270.0,350.0,183.0,299.0,3600
2015-10-01,272.0,313.0,272.0,283.0,90
2015-11-01,310.0,348.0,252.0,280.0,1660
2015-12-01,281.0,281.0,260.0,260.0,40
2016-01-01,292.0,292.0,290.0,290.0,20
2016-02-01,300.0,303.0,300.0,303.0,30
2016-03-01,310.0,323.0,305.0,323.0,50
2016-04-01,343.0,343.0,343.0,343.0,10
2016-05-01,310.0,348.0,310.0,348.0,20
2016-08-01,267.0,275.0,267.0,275.0,30
2016-09-01,377.0,785.0,260.0,439.0,910
2016-10-01,437.0,437.0,291.0,370.0,390
2016-11-01,320.0,408.0,320.0,378.0,340
2016-12-01,394.0,618.0,316.0,400.0,800
2017-01-01,401.0,580.0,306.0,500.0,710
2017-02-01,472.0,654.0,430.0,456.0,690
2017-03-01,468.0,494.0,325.0,463.0,640
2017-04-01,415.0,450.0,353.0,437.0,100
2017-05-01,398.0,440.0,277.0,440.0,420
2017-06-01,379.0,440.0,300.0,434.0,70
2017-07-01,350.0,377.0,350.0,377.0,60
2017-08-01,313.0,580.0,313.0,470.0,2320
2017-09-01,413.0,549.0,380.0,520.0,3060
2017-10-01,508.0,549.0,323.0,465.0,6340
2017-11-01,460.0,620.0,400.0,529.0,5220
2017-12-01,528.0,528.0,450.0,506.0,2730
2018-01-01,529.0,650.0,509.0,537.0,160
2018-02-01,516.0,680.0,470.0,500.0,130
2018-03-01,702.0,702.0,460.0,460.0,290
2018-04-01,460.0,460.0,425.0,460.0,210
2018-05-01,276.0,534.0,276.0,430.0,170
2018-06-01,540.0,778.0,363.0,515.0,2314
2018-07-01,579.0,587.0,452.0,499.0,3420
2018-08-01,471.0,529.0,389.0,440.0,140
2018-09-01,430.0,435.0,430.0,430.0,50
2018-10-01,312.0,595.0,290.0,420.0,240
2018-11-01,490.0,490.0,330.0,440.0,80
2018-12-01,490.0,680.0,440.0,490.0,430
2019-01-01,500.0,640.0,370.0,570.0,100
2019-02-01,570.0,1130.0,480.0,600.0,3820
2019-03-01,590.0,1060.0,560.0,740.0,11860
2019-04-01,750.0,780.0,670.0,780.0,660
2019-05-01,720.0,720.0,620.0,660.0,270
2019-06-01,670.0,800.0,530.0,610.0,2590
2019-07-01,600.0,1000.0,580.0,670.0,8530
2019-08-01,680.0,750.0,650.0,670.0,1711
2019-09-01,670.0,720.0,610.0,610.0,3373
2019-10-01,620.0,750.0,580.0,610.0,9265
2019-11-01,610.0,850.0,450.0,640.0,31461
2019-12-01,630.0,650.0,620.0,640.0,2956
2020-01-01,640.0,690.0,630.0,640.0,2727
2020-02-01,640.0,675.0,555.0,605.0,3361
2020-03-01,650.0,665.0,515.0,645.0,2974
2020-04-01,655.0,1025.0,630.0,810.0,46074
2020-05-01,805.0,815.0,725.0,760.0,6853
2020-06-01,770.0,775.0,690.0,695.0,2943
2020-07-01,700.0,740.0,670.0,725.0,1694
2020-08-01,730.0,1000.0,665.0,850.0,31571
2020-09-01,860.0,1245.0,790.0,830.0,62053
2020-10-01,830.0,925.0,795.0,805.0,7047
2020-11-01,805.0,1005.0,795.0,955.0,15101
2020-12-01,960.0,1435.0,925.0,1035.0,70867
2021-01-01,1010.0,1200.0,1005.0,1045.0,9559
2021-02-01,1045.0,1100.0,1035.0,1060.0,5801
2021-03-01,1070.0,1300.0,1040.0,1160.0,28436
2021-04-01,1160.0,1255.0,10.0,10.0,1012520
2021-05-01,10.0,1190.0,10.0,1125.0,1590227
2021-06-01,1120.0,1190.0,1105.0,1120.0,5549
2021-07-01,1110.0,1210.0,1095.0,1200.0,8539
2021-08-01,1200.0,1240.0,1150.0,1210.0,18172
2021-09-01,1240.0,1255.0,1105.0,1125.0,19117
2021-10-01,1120.0,1180.0,1115.0,1145.0,8240
2021-11-01,1150.0,1270.0,1110.0,1155.0,7322
2021-12-01,1160.0,1185.0,945.0,1025.0,11653
2022-01-01,1040.0,1145.0,985.0,1005.0,4070
2022-02-01,1005.0,1095.0,570.0,1030.0,3125
2022-03-01,620.0,970.0,620.0,875.0,2026
2022-04-01,905.0,1215.0,800.0,885.0,9708
2022-05-01,890.0,900.0,875.0,895.0,195
