datetime,open,high,low,close,volume
2011-12-01,900.0,1150.0,650.0,718.0,1530
2012-01-01,720.0,950.0,700.0,900.0,26840
2012-02-01,870.0,920.0,760.0,810.0,16530
2012-03-01,800.0,830.0,710.0,740.0,5630
2012-04-01,788.0,788.0,695.0,740.0,1320
2012-05-01,747.0,750.0,465.0,600.0,33480
2012-06-01,670.0,670.0,526.0,600.0,3190
2012-07-01,620.0,635.0,500.0,600.0,9710
2012-08-01,620.0,635.0,550.0,600.0,2800
2012-09-01,600.0,630.0,520.0,573.0,16180
2012-10-01,520.0,610.0,520.0,590.0,4480
2012-11-01,590.0,600.0,532.0,564.0,830
2012-12-01,588.0,665.0,533.0,660.0,14500
2013-01-01,665.0,685.0,580.0,600.0,13050
2013-02-01,590.0,610.0,520.0,609.0,1940
2013-03-01,600.0,600.0,510.0,540.0,1500
2013-04-01,535.0,560.0,360.0,560.0,8060
2013-05-01,549.0,565.0,420.0,549.0,2360
2013-06-01,463.0,500.0,441.0,475.0,2240
2013-07-01,478.0,515.0,430.0,480.0,1460
2013-08-01,465.0,529.0,422.0,455.0,3160
2013-09-01,462.0,500.0,390.0,410.0,12260
2013-10-01,405.0,413.0,366.0,368.0,1730
2013-11-01,370.0,506.0,360.0,380.0,8790
2013-12-01,366.0,405.0,352.0,363.0,10190
2014-01-01,365.0,390.0,351.0,372.0,6130
2014-02-01,363.0,399.0,357.0,371.0,1320
2014-03-01,355.0,375.0,307.0,331.0,6100
2014-04-01,331.0,355.0,308.0,353.0,4230
2014-05-01,306.0,355.0,306.0,320.0,270
2014-06-01,325.0,362.0,310.0,312.0,600
2014-07-01,315.0,354.0,305.0,335.0,230
2014-08-01,335.0,349.0,293.0,315.0,1120
2014-09-01,295.0,347.0,286.0,329.0,500
2014-10-01,305.0,325.0,301.0,310.0,750
2014-11-01,330.0,544.0,330.0,410.0,7040
2014-12-01,410.0,527.0,333.0,509.0,3790
2015-01-01,499.0,635.0,404.0,595.0,5580
2015-02-01,597.0,800.0,597.0,704.0,4700
2015-03-01,749.0,1000.0,508.0,800.0,3030
2015-04-01,800.0,1070.0,800.0,800.0,55050
2015-05-01,835.0,999.0,750.0,999.0,2780
2015-06-01,900.0,900.0,801.0,818.0,510
2015-07-01,830.0,993.0,821.0,993.0,310
2015-08-01,993.0,1249.0,827.0,960.0,3810
2015-09-01,964.0,1237.0,890.0,1000.0,4050
2015-10-01,971.0,1199.0,721.0,1094.0,7400
2015-11-01,1055.0,1235.0,1035.0,1075.0,1110
2015-12-01,1075.0,1075.0,900.0,985.0,8660
2016-01-01,1055.0,1245.0,965.0,1190.0,3620
2016-02-01,1165.0,1295.0,1105.0,1175.0,3310
2016-03-01,1195.0,1375.0,1115.0,1220.0,5545
2016-04-01,1200.0,1330.0,1145.0,1210.0,6470
2016-05-01,1180.0,1300.0,1180.0,1215.0,2030
2016-06-01,1240.0,1340.0,1010.0,1210.0,2838
2016-07-01,1205.0,1345.0,1160.0,1315.0,6444
