datetime,open,high,low,close,volume
2017-02-01,85.0,85.84,83.76,84.94,1710168
2017-03-01,84.9,89.99,75.07,88.15,1139976
2017-04-01,88.99,99.94,83.92,90.37,352439
2017-05-01,90.9,98.8,83.06,92.3,482369
2017-06-01,92.5,104.16,91.17,93.95,1043017
2017-07-01,94.41,94.41,86.52,90.36,278161
2017-08-01,91.1,99.95,90.05,99.8,421178
2017-09-01,98.5,105.0,92.0,102.83,466049
2017-10-01,103.85,104.1,97.63,101.58,159855
2017-11-01,101.1,124.97,100.01,108.71,360375
2017-12-01,108.65,108.65,87.06,95.92,1384747
2018-01-01,96.4,101.18,92.21,92.53,432422
2018-02-01,92.75,93.39,88.43,90.48,403693
2018-03-01,90.65,112.82,88.98,96.39,680952
2018-04-01,95.6,97.04,85.22,93.4,1533027
2018-05-01,93.0,97.55,91.47,94.94,595798
2018-06-01,94.6,95.33,91.27,91.98,575045
2018-07-01,92.0,93.02,89.27,89.75,483633
2018-08-01,89.7,90.75,84.05,89.95,306544
2018-09-01,90.55,94.96,90.0,92.9,645828
2018-10-01,92.85,93.45,85.68,89.5,486886
2018-11-01,89.22,111.1,89.02,93.5,413920
2018-12-01,93.16,95.1,89.0,90.44,845733
2019-01-01,90.96,93.26,90.22,90.9,518638
2019-02-01,90.8,91.5,86.64,88.92,546369
2019-03-01,90.0,91.0,87.5,88.88,765884
2019-04-01,88.96,89.8,87.6,88.44,559437
2019-05-01,88.16,90.36,84.6,84.7,912049
2019-06-01,84.62,87.28,84.16,85.8,674781
2019-07-01,85.9,92.38,84.8,89.68,1242228
2019-08-01,89.34,91.0,86.08,90.2,855016
2019-09-01,90.48,91.48,88.54,88.92,569414
2019-10-01,88.98,97.74,88.86,95.9,933354
2019-11-01,96.16,100.4,91.8,94.62,5666805
2019-12-01,94.88,102.0,93.74,100.0,6280013
2020-01-01,100.68,119.88,98.7,115.04,5277598
2020-02-01,114.84,120.56,89.08,111.8,2974878
2020-03-01,114.3,118.9,70.52,91.02,10013939
2020-04-01,88.08,102.84,86.08,87.8,6988819
2020-05-01,87.46,99.8,83.0,99.02,5745891
2020-06-01,99.5,105.2,95.9,100.6,11451405
2020-07-01,101.2,118.72,100.74,116.9,5894618
2020-08-01,116.64,126.24,114.32,116.76,5675038
2020-09-01,116.98,119.5,109.06,117.06,15956258
2020-10-01,117.74,121.16,108.1,109.74,5396899
2020-11-01,111.02,151.42,109.52,143.6,12653443
2020-12-01,141.6,151.48,134.24,136.2,23682843
2021-01-01,136.1,143.5,130.06,141.24,8377654
2021-02-01,142.3,147.48,138.2,141.92,3836144
2021-03-01,143.9,145.5,133.5,142.3,6767910
2021-04-01,143.1,161.96,138.42,149.78,7822641
2021-05-01,149.66,156.82,146.3,152.28,4403663
2021-06-01,152.48,156.5,147.52,151.02,4481724
2021-07-01,151.7,152.08,136.9,140.18,4310413
2021-08-01,140.04,141.0,135.0,138.58,4419074
2021-09-01,138.56,139.24,128.82,130.36,5895942
2021-10-01,130.36,138.88,126.72,136.5,5747007
2021-11-01,137.02,145.18,131.0,138.8,6174337
2021-12-01,139.46,140.94,110.9,124.74,6380230
2022-01-01,125.26,127.6,98.32,103.12,10878577
2022-02-01,103.18,116.66,42.32,84.34,20089427
2022-03-01,76.24,92.0,69.4,87.5,1551626
2022-04-01,88.8,92.84,70.94,77.04,2067026
2022-05-01,77.18,78.36,74.44,74.46,122373
