datetime,open,high,low,close,volume
2003-01-01,120.0,120.0,120.0,120.0,1255
2003-02-01,121.0,143.0,121.0,125.0,41423
2003-03-01,125.0,140.0,125.0,127.0,21761
2003-04-01,125.0,135.0,123.0,125.0,18209
2003-05-01,125.0,155.0,125.0,140.0,21996
2003-06-01,155.0,155.0,130.0,135.0,21906
2003-07-01,131.0,146.0,130.0,145.0,25497
2003-08-01,144.0,211.0,144.0,204.0,36121
2003-09-01,200.0,230.0,194.0,208.0,20850
2003-10-01,206.0,250.0,206.0,234.0,25715
2003-11-01,235.0,248.0,200.0,215.0,9455
2003-12-01,211.0,267.0,211.0,260.0,29276
2004-01-01,250.0,275.0,241.0,270.0,8852
2004-02-01,270.0,330.0,270.0,330.0,20371
2004-03-01,315.0,370.0,315.0,325.0,38539
2004-04-01,338.0,338.0,240.0,270.0,34021
2004-05-01,265.0,385.0,235.0,255.0,20162
2004-06-01,264.0,285.0,241.0,248.0,17325
2004-07-01,250.0,263.0,235.0,245.0,28765
2004-08-01,250.0,258.0,230.0,258.0,15757
2004-09-01,255.0,275.0,252.0,275.0,24684
2004-10-01,275.0,290.0,268.0,277.0,59731
2004-11-01,278.0,283.0,260.0,262.0,42771
2004-12-01,260.0,273.0,247.0,271.0,31815
2005-01-01,278.0,295.0,266.0,282.0,49414
2005-02-01,284.0,315.0,268.0,304.0,58452
2005-03-01,312.0,315.0,285.0,294.0,50257
2005-04-01,286.0,305.0,279.0,282.0,35100
2005-05-01,277.0,295.0,251.0,288.0,26803
2005-06-01,287.0,298.0,260.0,274.0,35088
2005-07-01,262.0,299.0,260.0,286.0,84179
2005-08-01,285.0,354.0,280.0,338.0,123306
2005-09-01,340.0,410.0,336.0,357.0,47014
2005-10-01,357.0,360.0,335.0,347.0,33248
2005-11-01,347.0,368.0,340.0,363.0,57773
2005-12-01,362.0,419.0,348.0,418.0,87123
2006-01-01,429.0,500.0,405.0,488.0,59627
2006-02-01,472.0,507.0,455.0,480.0,60222
2006-03-01,500.0,500.0,460.0,485.0,50749
2006-04-01,502.0,520.0,455.0,485.0,138812
2006-05-01,466.0,488.0,415.0,454.0,42108
2006-06-01,430.0,460.0,420.0,445.0,63625
2006-07-01,443.0,480.0,420.0,474.0,20402
2006-08-01,480.0,522.0,460.0,480.0,35689
2006-09-01,480.0,518.0,475.0,515.0,53228
2006-10-01,495.0,525.0,491.0,493.0,22251
2006-11-01,495.0,525.0,480.0,510.0,36086
2006-12-01,528.0,614.0,505.0,614.0,39658
2007-01-01,576.0,630.0,570.0,601.0,21660
