datetime,open,high,low,close,volume
1999-06-01,0.675,1.18,0.627,1.085,111187
1999-07-01,1.12,1.27,0.8,0.83,80270
1999-08-01,0.86,0.9,0.65,0.745,46788
1999-09-01,0.74,0.798,0.552,0.65,33305
1999-10-01,0.66,0.77,0.645,0.717,31102
1999-11-01,0.708,0.93,0.68,0.772,71426
1999-12-01,0.762,1.03,0.671,0.975,105400
2000-01-01,1.09,1.75,1.0,1.34,257781
2000-02-01,1.434,1.678,1.3,1.45,318380
2000-03-01,1.479,2.037,1.45,1.838,579009
2000-04-01,1.8399999999999999,1.855,1.52,1.8,250294
2000-05-01,1.79,1.835,1.0,1.33,205913
2000-06-01,1.3479999999999999,1.45,0.99,1.095,153304
2000-07-01,1.09,1.201,1.041,1.166,107421
2000-08-01,1.19,1.4,1.185,1.306,231826
2000-09-01,1.335,1.355,0.947,1.015,174745
2000-10-01,1.005,1.099,0.777,0.891,269675
2000-11-01,0.919,0.948,0.645,0.648,183968
2000-12-01,0.65,0.79,0.592,0.691,325417
2001-01-01,0.678,0.984,0.621,0.97,337932
2001-02-01,0.965,1.145,0.897,0.986,447393
2001-03-01,0.947,1.16,0.922,0.972,386727
2001-04-01,0.985,0.985,0.823,0.947,280618
2001-05-01,0.965,1.282,0.93,1.196,906380
2001-06-01,1.191,1.262,1.115,1.1360000000000001,684650
2001-07-01,1.1400000000000001,1.209,0.889,0.924,666097
2001-08-01,0.939,1.083,0.844,1.01,841166
2001-09-01,1.015,1.043,0.811,0.93,1032265
2001-10-01,0.94,0.976,0.866,0.943,889243
2001-11-01,0.943,1.217,0.935,1.056,1604513
2001-12-01,1.063,1.266,1.045,1.245,1574819
2002-01-01,1.254,1.508,1.25,1.3439999999999999,2023097
2002-02-01,1.3639999999999999,1.381,1.145,1.223,1264753
2002-03-01,1.225,1.408,1.222,1.329,1794575
2002-04-01,1.315,1.43,1.275,1.308,1934707
2002-05-01,1.318,1.362,1.073,1.145,1361502
2002-06-01,1.155,1.214,0.945,0.965,1085644
2002-07-01,0.975,1.034,0.822,0.83,1432350
2002-08-01,0.84,0.857,0.712,0.82,1655692
2002-09-01,0.815,0.98,0.793,0.898,2053355
2002-10-01,0.903,1.041,0.896,1.035,1459144
2002-11-01,1.026,1.112,0.993,1.081,1389962
2002-12-01,1.084,1.099,0.985,1.002,720943
2003-01-01,1.008,1.137,0.967,1.113,1408072
2003-02-01,1.115,1.341,1.112,1.341,2019041
2003-03-01,1.3479999999999999,1.742,1.342,1.5819999999999999,5682801
2003-04-01,1.587,2.196,1.412,2.15,5115589
2003-05-01,2.161,2.305,1.9,2.111,3719546
2003-06-01,2.122,2.62,2.031,2.221,2445990
2003-07-01,2.221,2.255,1.642,1.933,2103808
2003-08-01,1.94,2.189,1.813,2.113,1921333
2003-09-01,2.127,2.209,1.94,2.071,2391310
2003-10-01,2.067,2.465,1.8199999999999998,2.034,4783180
2003-11-01,2.069,2.179,1.692,1.8980000000000001,1903683
2003-12-01,1.9,2.03,1.8,1.958,1548480
2004-01-01,1.963,2.185,1.963,2.099,1937267
2004-02-01,2.1,2.424,2.065,2.319,2639373
2004-03-01,2.331,2.438,2.26,2.33,1955193
2004-04-01,2.338,2.76,2.2,2.2800000000000002,3447026
2004-05-01,2.32,2.5,2.09,2.37,1097897
2004-06-01,2.37,2.46,2.144,2.23,1080790
2004-07-01,2.321,2.777,1.939,2.6,2435557
2004-08-01,2.6,3.444,2.304,3.34,2218362
2004-09-01,3.295,4.439,3.211,4.395,1676849
2004-10-01,4.4,10.3,3.7,4.646,728975
2004-11-01,4.66,5.134,4.0,4.16,388543
2004-12-01,4.17,4.335,3.872,4.1,223167
2005-01-01,4.0,4.265,3.951,4.19,75434
2005-02-01,4.2,4.24,3.775,3.791,122264
2005-03-01,3.8,3.825,2.5,3.2,392702
2005-04-01,2.895,3.33,2.2,2.535,177905
2005-05-01,2.535,2.739,2.29,2.35,102891
2005-06-01,2.35,2.383,2.085,2.253,316760
2005-07-01,2.25,2.48,2.194,2.4,252843
2005-08-01,2.41,2.442,2.205,2.335,183019
2005-09-01,2.326,3.58,2.307,3.09,810172
2005-10-01,3.109,4.138,3.021,3.618,688227
2005-11-01,3.65,3.95,3.333,3.519,324379
2005-12-01,3.519,4.698,3.519,4.115,497702
2006-01-01,4.2,4.899,3.9699999999999998,4.253,317944
2006-02-01,4.25,6.0,3.721,5.431,905075
2006-03-01,5.45,5.88,4.65,4.871,199250
2006-04-01,4.89,5.32,4.881,5.102,176871
2006-05-01,5.102,6.68,4.96,5.95,246576
