datetime,open,high,low,close,volume
2013-06-01,292.6,300.0,220.0,224.9,66260
2013-07-01,227.0,325.0,227.0,322.6,481774
2013-08-01,320.7,476.0,285.0,392.5,163367
2013-09-01,389.5,406.9,332.6,344.0,389163
2013-10-01,339.7,362.4,269.4,308.0,940837
2013-11-01,309.0,316.0,266.0,291.0,757275
2013-12-01,291.0,318.0,255.3,309.2,1445294
2014-01-01,311.4,360.8,279.7,333.9,1129310
2014-02-01,335.3,413.6,317.4,381.2,569382
2014-03-01,385.0,484.3,328.7,366.7,834272
2014-04-01,361.2,390.0,335.0,335.1,333136
2014-05-01,337.8,357.0,289.4,309.0,616117
2014-06-01,309.0,338.5,302.6,328.1,752589
2014-07-01,330.0,354.0,306.1,309.0,417011
2014-08-01,309.0,334.0,295.0,326.9,508595
2014-09-01,328.0,340.9,295.2,329.0,1433633
2014-10-01,325.0,373.5,299.0,360.0,1808387
2014-11-01,358.0,475.0,356.0,461.0,592370
2014-12-01,460.0,730.0,440.5,510.0,876358
2015-01-01,511.0,644.5,499.0,638.0,413509
2015-02-01,638.5,657.5,525.5,541.5,663624
2015-03-01,542.0,555.0,458.0,498.0,440225
2015-04-01,497.5,499.0,417.0,429.0,482144
2015-05-01,426.5,465.5,406.5,438.5,723444
2015-06-01,441.5,495.0,438.0,453.0,341551
2015-07-01,454.0,455.0,396.5,434.5,653603
2015-08-01,430.0,534.5,419.5,491.5,1445171
2015-09-01,491.5,577.0,475.5,566.0,994268
2015-10-01,566.5,589.5,546.0,565.5,424741
2015-11-01,562.5,584.0,527.5,535.5,455647
2015-12-01,535.0,636.0,520.0,618.0,612388
2016-01-01,612.5,638.0,578.5,620.0,357258
2016-02-01,624.0,725.0,621.0,689.0,602415
2016-03-01,689.0,748.0,645.0,655.5,689805
2016-04-01,653.0,681.5,638.0,667.5,299639
2016-05-01,670.0,805.0,635.5,766.0,501459
2016-06-01,765.0,899.0,765.0,881.5,279884
2016-07-01,892.5,996.0,860.5,971.5,278766
2016-08-01,978.0,1009.5,804.5,914.0,262793
2016-09-01,925.0,938.0,781.5,795.0,910768
2016-10-01,789.0,790.0,644.0,687.0,1575310
2016-11-01,691.0,767.5,589.5,608.5,2652787
2016-12-01,606.5,650.0,572.0,638.5,4880936
2017-01-01,639.0,709.0,636.0,692.0,2706376
2017-02-01,692.0,735.5,637.5,691.0,1806766
2017-03-01,685.0,758.0,636.5,698.5,1663766
2017-04-01,697.0,819.5,691.5,754.0,1620907
2017-05-01,747.0,800.0,710.5,741.5,1519378
2017-06-01,742.0,753.0,653.5,667.0,1570245
2017-07-01,661.5,732.0,652.0,732.0,1793703
2017-08-01,732.9,745.4,662.1,674.4,3487319
2017-09-01,674.4,685.6,625.0,649.8,5454417
2017-10-01,649.1,696.0,640.4,675.6,3210535
2017-11-01,672.8,729.5,662.0,703.8,2690197
2017-12-01,710.2,722.8,652.0,706.6,2124642
2018-01-01,710.0,729.8,654.0,665.7,2716430
2018-02-01,665.9,667.2,592.0,594.0,4699197
2018-03-01,591.5,632.6,581.8,591.7,4857603
2018-04-01,591.5,636.0,504.5,631.3,6198858
2018-05-01,625.2,631.9,557.9,572.0,3105145
2018-06-01,570.3,574.9,536.1,553.2,3411904
2018-07-01,555.0,577.3,533.5,545.0,4719264
2018-08-01,546.8,583.0,540.2,573.2,4781498
2018-09-01,570.0,572.9,524.2,526.2,5606153
2018-10-01,529.0,640.0,515.5,608.0,7965745
2018-11-01,609.8,695.0,602.5,667.3,28988457
2018-12-01,665.0,750.0,661.0,731.2,6052007
2019-01-01,736.0,756.4,717.1,746.9,2747211
2019-02-01,747.7,778.0,717.1,778.0,4272613
2019-03-01,771.0,771.0,725.0,737.9,3442236
2019-04-01,735.2,743.0,655.7,678.4,4390584
2019-05-01,676.1,700.5,649.8,700.5,7645334
2019-06-01,700.1,807.5,700.0,802.8,4779944
2019-07-01,793.8,827.6,756.4,770.3,7235535
2019-08-01,765.8,986.3,747.6,964.7,10336473
2019-09-01,965.0,978.0,890.1,912.7,9006160
2019-10-01,910.0,1056.0,885.0,1052.0,7262907
2019-11-01,1048.1,1063.7,941.4,965.8,6742694
2019-12-01,964.8,1021.2,931.1,971.0,6242170
2020-01-01,976.2,1082.2,943.0,1082.2,6873214
2020-02-01,1086.7,1175.0,980.1,1025.1,10252199
2020-03-01,1055.1,1398.7,907.3,1354.4,23712520
2020-04-01,1345.0,1597.8,1270.0,1535.6,21938176
2020-05-01,1536.0,1560.8,1383.6,1413.5,15105664
2020-06-01,1435.2,1437.6,1200.0,1392.8,20721151
2020-07-01,1383.0,1873.0,1343.0,1849.8,25443632
2020-08-01,1859.4,2084.5,1786.3,2004.9,20044930
2020-09-01,2035.0,2061.3,1584.2,1680.0,36279863
2020-10-01,1694.7,1819.8,1530.0,1672.3,21084609
2020-11-01,1687.8,1979.1,1567.0,1593.0,37772544
2020-12-01,1604.5,1758.0,1589.0,1735.1,27365533
2021-01-01,1756.5,1869.8,1618.0,1640.1,31500932
2021-02-01,1690.5,1778.0,1477.0,1503.0,33934613
2021-03-01,1517.0,1567.7,1445.5,1484.0,28727876
2021-04-01,1485.4,1730.0,1485.4,1566.1,39670570
2021-05-01,1589.8,1807.0,1581.6,1746.6,51324572
2021-06-01,1760.0,1802.0,1557.0,1598.2,28755891
2021-07-01,1599.0,1666.0,1523.5,1592.4,20267392
2021-08-01,1590.0,1612.3,1461.8,1472.5,23797645
2021-09-01,1472.7,1488.0,1199.6,1247.2,39454498
2021-10-01,1245.0,1382.0,1208.8,1317.0,41779370
2021-11-01,1323.2,1488.9,1300.2,1356.8,41227706
2021-12-01,1367.0,1374.8,1200.0,1311.9,27726514
2022-01-01,1313.5,1330.5,1093.0,1108.7,40329356
2022-02-01,1111.0,1257.9,680.2,837.0,54463757
2022-03-01,853.0,1038.7,760.0,973.0,3009347
2022-04-01,976.0,999.0,680.0,721.5,8218279
2022-05-01,723.9,769.9,690.0,691.0,638988
