datetime,open,high,low,close,volume
2021-03-01,88.0,120.95,69.84,89.69,52698
2021-04-01,90.3,94.22,83.5,83.65,27841
2021-05-01,83.55,85.0,75.9,81.95,15797
2021-06-01,80.25,109.7,80.25,84.1,38685
2021-07-01,83.95,88.9,81.9,85.0,9850
2021-08-01,86.3,86.4,80.05,83.6,9853
2021-09-01,84.3,85.45,78.0,81.8,97637
2021-10-01,81.0,108.0,78.0,81.2,180147
2021-11-01,81.25,100.0,76.8,77.7,385420
2021-12-01,78.55,79.95,72.0,78.45,68533
2022-01-01,76.8,78.95,74.05,77.05,103875
2022-02-01,77.05,80.0,45.0,62.0,39661
2022-03-01,70.0,83.0,69.0,79.7,71406
2022-04-01,80.55,81.95,44.85,45.3,1795310
2022-05-01,47.0,48.0,37.0,37.65,1248988
