datetime,open,high,low,close,volume
2001-12-01,14.7,15.9,14.2,15.8,5153400
2002-01-01,15.7,18.8,15.2,15.6,19031500
2002-02-01,15.7,16.8,15.0,15.7,13663900
2002-03-01,15.7,22.2,15.7,21.4,60941900
2002-04-01,21.2,26.8,19.7,25.2,80005700
2002-05-01,25.0,27.0,22.7,23.6,58067300
2002-06-01,24.5,25.3,19.5,21.9,29759100
2002-07-01,21.8,22.1,18.7,18.9,24424300
2002-08-01,19.3,21.7,17.2,21.3,15169300
2002-09-01,21.3,25.3,20.7,24.8,28798400
2002-10-01,24.7,27.0,24.4,25.9,16240500
2002-11-01,25.9,26.1,23.4,24.7,10772900
2002-12-01,24.7,25.6,23.4,25.0,9327500
2003-01-01,24.6,25.0,22.6,24.5,6593800
2003-02-01,24.3,26.8,23.6,26.6,13597300
2003-03-01,26.6,29.4,25.9,26.4,11974400
2003-04-01,26.7,29.3,25.8,27.0,16439600
2003-05-01,27.1,35.2,26.7,33.0,21649200
2003-06-01,32.9,38.0,27.3,28.8,44562800
2003-07-01,28.6,29.5,23.5,28.3,37379500
2003-08-01,28.2,35.2,27.5,34.8,22827300
2003-09-01,35.1,35.6,31.6,33.4,25493100
2003-10-01,33.5,41.3,29.2,31.4,47146500
2003-11-01,31.8,33.9,26.8,30.2,26823700
2003-12-01,30.2,33.7,29.5,32.9,27076400
2004-01-01,33.2,38.7,31.9,36.8,44943000
2004-02-01,36.3,38.0,30.2,36.9,34495800
2004-03-01,37.4,40.5,35.3,39.1,54998100
2004-04-01,39.5,43.1,36.7,37.1,44022400
2004-05-01,38.0,39.1,33.3,37.2,19800000
2004-06-01,36.6,39.5,33.0,38.6,19358100
2004-07-01,38.6,39.1,30.0,31.9,19832300
2004-08-01,31.9,39.2,31.7,38.9,23536200
2004-09-01,38.6,47.1,38.0,46.2,31683200
2004-10-01,46.2,56.8,45.8,49.4,32394500
2004-11-01,50.0,51.5,41.5,42.7,20782400
2004-12-01,42.2,44.4,36.6,41.0,16106800
2005-01-01,39.8,45.4,38.4,44.6,16486200
2005-02-01,44.6,50.2,38.3,50.2,23653200
2005-03-01,49.8,50.9,43.9,44.8,35306900
2005-04-01,45.0,50.4,44.8,46.5,25340600
2005-05-01,46.8,48.3,43.0,48.3,15754100
2005-06-01,48.4,53.2,47.8,52.9,33849300
2005-07-01,52.9,59.9,52.6,59.1,29096000
2005-08-01,59.0,72.0,57.9,70.8,32616500
2005-09-01,70.7,92.4,66.3,91.0,35145800
2005-10-01,91.0,117.9,76.0,91.7,46202000
2005-11-01,92.0,100.5,88.8,97.4,42569000
2005-12-01,98.0,101.7,93.0,95.3,18870200
2006-01-01,103.9,129.5,100.2,121.5,24457500
2006-02-01,121.2,180.0,118.8,159.0,32791600
2006-03-01,159.5,181.0,140.1,148.0,43255000
2006-04-01,147.5,169.4,143.6,158.7,36595674
2006-05-01,161.0,167.8,107.6,117.0,28957315
2006-06-01,118.0,137.9,93.1,105.3,42220972
2006-07-01,105.6,139.8,105.1,134.0,115206862
2006-08-01,134.9,161.0,130.3,140.6,69204546
2006-09-01,141.0,143.8,106.5,113.5,80123905
2006-10-01,115.0,130.9,107.3,123.9,98867268
2006-11-01,124.2,134.5,121.3,129.0,100675802
2006-12-01,129.0,131.5,119.0,122.0,85051265
2007-01-01,119.0,119.0,107.5,115.4,55179357
2007-02-01,117.0,122.9,108.2,115.7,74477313
2007-03-01,114.9,126.7,100.1,121.9,109049433
2007-04-01,122.1,132.5,116.7,122.0,101916577
2007-05-01,122.0,124.7,108.1,114.3,61615980
2007-06-01,114.8,125.5,113.7,118.0,52795030
2007-07-01,118.1,141.0,117.8,127.9,143915566
2007-08-01,124.2,130.5,118.6,129.2,85495783
2007-09-01,129.0,140.9,122.6,138.8,79624612
2007-10-01,138.3,157.3,133.7,152.5,151327159
2007-11-01,155.0,155.9,136.3,146.0,123139596
2007-12-01,145.7,154.1,140.0,148.0,92391525
2008-01-01,151.3,160.4,111.0,118.6,104592019
2008-02-01,121.7,152.3,117.0,150.1,89895100
2008-03-01,147.3,154.2,139.3,152.4,73984680
2008-04-01,152.4,155.8,141.5,152.0,53787135
2008-05-01,153.1,193.8,151.5,189.4,71938188
2008-06-01,189.0,189.0,173.0,176.2,36683713
2008-07-01,177.5,179.4,134.2,140.1,42238216
2008-08-01,138.9,146.8,120.2,129.0,48324096
2008-09-01,127.5,130.9,65.0,90.5,65594457
2008-10-01,93.0,93.8,26.2,40.7,74340727
2008-11-01,50.0,63.1,35.5,46.2,47361597
2008-12-01,45.6,63.5,40.0,55.3,54508267
2009-01-01,56.3,62.0,46.7,59.0,32008506
2009-02-01,58.0,80.0,55.6,66.8,40592582
2009-03-01,64.5,102.0,62.3,79.8,63200678
2009-04-01,80.4,106.6,77.8,100.2,41716763
2009-05-01,105.0,150.0,102.2,146.9,45218454
2009-06-01,150.0,153.5,95.6,126.5,53692962
2009-07-01,125.8,130.0,93.2,128.5,75769097
2009-08-01,129.9,135.0,111.4,126.6,45547596
2009-09-01,127.6,136.0,117.2,126.2,68070582
2009-10-01,127.6,145.6,121.5,125.8,53539067
2009-11-01,125.9,148.9,122.6,138.3,38884446
2009-12-01,139.8,148.5,133.5,139.9,34281233
2010-01-01,142.0,147.2,135.5,144.0,20830483
2010-02-01,142.2,144.0,134.7,141.0,23999833
2010-03-01,141.6,148.8,140.0,145.9,32095665
2010-04-01,146.1,148.7,141.4,145.0,36129588
2010-05-01,145.6,147.1,119.6,140.2,35830623
2010-06-01,138.8,147.1,128.0,140.0,30658829
2010-07-01,137.8,148.0,135.7,146.9,22213681
2010-08-01,148.0,148.9,136.1,142.0,22129992
2010-09-01,142.1,147.6,140.5,146.6,21302623
2010-10-01,146.2,152.8,144.0,148.1,25836734
2010-11-01,148.1,153.5,146.1,148.4,19020004
2010-12-01,148.2,155.0,144.0,148.7,25126686
2011-01-01,148.4,167.0,148.3,161.9,27772798
2011-02-01,162.5,175.7,159.9,174.0,26507739
2011-03-01,175.2,188.3,170.6,183.1,30225840
2011-04-01,182.5,197.0,171.4,179.0,27990950
2011-05-01,177.3,182.0,151.8,162.0,39377030
2011-06-01,161.9,180.1,155.4,179.4,36555600
2011-07-01,179.7,199.6,176.5,184.2,36560100
2011-08-01,187.0,189.6,143.0,157.5,55107840
2011-09-01,158.0,164.5,120.2,135.5,54113590
2011-10-01,132.0,158.0,122.2,151.3,51488350
2011-11-01,149.9,170.0,139.5,164.1,46901910
2011-12-01,166.9,169.9,143.2,158.4,44765040
2012-01-01,159.0,189.0,159.0,177.6,38146320
2012-02-01,176.8,194.4,170.5,194.4,38412640
2012-03-01,193.5,205.2,185.1,196.4,38289430
2012-04-01,198.4,202.6,174.3,180.8,38095970
2012-05-01,182.6,187.8,145.0,165.7,42615910
2012-06-01,166.0,188.0,158.7,180.2,35999760
2012-07-01,180.0,202.6,178.7,197.4,45946330
2012-08-01,196.1,207.0,194.3,195.8,34940350
2012-09-01,196.2,215.6,194.0,201.3,39144940
2012-10-01,201.0,209.9,195.4,197.5,28660780
2012-11-01,196.5,203.8,189.8,195.1,24871380
2012-12-01,197.2,219.8,196.1,218.0,30135530
2013-01-01,220.5,225.6,215.8,222.0,23190560
2013-02-01,222.0,223.4,200.3,200.3,21203590
2013-03-01,201.1,216.5,194.5,206.9,31495740
2013-04-01,205.3,209.9,174.0,199.2,30195810
2013-05-01,199.9,213.8,180.2,180.5,28732600
2013-06-01,180.4,196.5,165.1,196.5,36601110
2013-07-01,196.0,219.0,189.7,202.6,28916710
2013-08-01,204.0,213.4,198.5,208.7,25791700
2013-09-01,209.5,226.0,205.0,212.9,36632030
2013-10-01,212.2,223.5,208.0,220.6,29013930
2013-11-01,220.9,223.0,202.2,203.1,28847760
2013-12-01,203.5,212.4,194.5,208.2,29469080
2014-01-01,205.8,205.8,193.2,195.5,32302030
2014-02-01,196.0,216.6,188.7,211.2,41994930
2014-03-01,205.0,214.5,180.5,200.0,62640750
2014-04-01,200.4,220.8,195.2,203.4,46345070
2014-05-01,203.0,222.7,200.0,202.1,31692420
2014-06-01,204.2,231.0,204.2,221.9,34252870
2014-07-01,220.9,234.8,211.1,212.9,37729820
2014-08-01,212.1,235.4,204.6,228.0,36133700
2014-09-01,230.3,248.0,226.0,232.0,44932060
2014-10-01,232.0,259.8,215.3,259.8,46652980
2014-11-01,257.8,264.3,243.1,248.7,33637060
2014-12-01,247.0,267.1,208.9,228.5,58757280
2015-01-01,228.5,311.0,225.4,270.2,45015680
2015-02-01,275.5,354.4,272.0,316.0,44041830
2015-03-01,318.9,344.7,265.1,287.0,45083080
2015-04-01,284.6,313.0,283.1,292.4,41212680
2015-05-01,293.9,309.9,280.2,280.2,23375130
2015-06-01,286.8,301.7,285.2,296.5,26729420
2015-07-01,296.2,301.9,274.7,301.9,36629740
2015-08-01,299.2,323.0,275.7,323.0,41870340
2015-09-01,321.5,333.0,294.0,308.6,36008680
2015-10-01,309.5,345.0,298.7,328.8,37994740
2015-11-01,328.6,355.5,314.1,314.1,30228230
2015-12-01,317.4,325.9,302.1,317.6,39947510
2016-01-01,317.6,339.6,277.5,339.6,37352270
2016-02-01,337.9,342.2,309.4,323.3,36293380
2016-03-01,323.4,365.6,322.0,361.0,45476980
2016-04-01,358.9,361.8,328.3,341.0,43049570
2016-05-01,334.1,340.7,300.0,301.8,30431540
2016-06-01,302.2,335.7,301.5,331.5,31709000
2016-07-01,330.5,332.0,305.9,317.5,27472060
2016-08-01,319.5,337.9,311.0,317.8,25860430
2016-09-01,318.9,331.7,310.2,320.3,25520620
2016-10-01,321.1,355.0,318.6,355.0,24765630
2016-11-01,354.9,404.8,347.5,388.3,38956980
2016-12-01,391.6,427.7,385.0,427.0,36081350
2017-01-01,426.5,448.7,398.6,406.7,23138150
2017-02-01,407.3,413.2,340.0,341.0,28183620
2017-03-01,341.3,373.6,338.2,347.7,41680370
2017-04-01,349.0,378.3,321.8,377.0,30199360
2017-05-01,376.2,400.8,361.0,384.5,34706910
2017-06-01,386.4,388.0,349.5,375.6,36085200
2017-07-01,376.9,393.8,361.2,390.1,26967070
2017-08-01,392.6,401.0,373.1,388.0,23036850
2017-09-01,386.2,414.2,383.1,411.3,27505130
2017-10-01,410.5,439.0,402.5,436.0,22979830
2017-11-01,439.0,500.0,434.2,456.7,31867570
2017-12-01,457.8,520.1,452.3,478.8,34345210
2018-01-01,478.2,587.9,474.1,565.2,36966450
2018-02-01,567.4,609.3,534.5,594.0,38665930
2018-03-01,588.9,624.8,585.0,611.6,36476340
2018-04-01,611.1,685.3,575.6,671.1,40192225
2018-05-01,669.7,697.6,647.8,666.5,36374650
2018-06-01,669.4,681.5,636.9,676.0,33583480
2018-07-01,674.7,721.4,668.7,721.4,24890650
2018-08-01,719.8,800.8,717.4,783.1,25710960
2018-09-01,785.6,837.0,776.0,835.4,28308580
2018-10-01,839.2,847.1,741.8,784.4,23950150
2018-11-01,780.1,824.0,687.6,712.7,26370750
2018-12-01,721.5,782.4,649.4,737.9,25829099
2019-01-01,737.9,814.9,708.1,806.9,29167140
2019-02-01,805.2,815.0,755.7,776.1,22634060
2019-03-01,779.6,783.1,716.6,755.0,22777030
2019-04-01,755.6,777.3,726.4,757.5,22834910
2019-05-01,757.5,769.7,666.0,748.5,47514730
2019-06-01,746.8,791.0,740.5,774.9,32455220
2019-07-01,780.0,784.3,716.1,743.2,37669460
2019-08-01,738.6,758.8,702.2,743.1,42546520
2019-09-01,744.0,768.2,687.4,687.4,45499405
2019-10-01,689.0,764.0,671.2,748.2,35807653
2019-11-01,747.2,799.7,738.5,740.4,34204352
2019-12-01,744.0,798.2,733.6,759.7,37746862
2020-01-01,767.0,837.4,761.0,761.0,43107827
2020-02-01,757.0,775.3,625.1,671.6,55355418
2020-03-01,695.8,705.2,372.0,552.6,147895200
2020-04-01,538.0,629.5,455.5,550.0,155476560
2020-05-01,540.6,575.4,508.2,532.0,102322400
2020-06-01,544.2,599.4,501.2,556.3,109726710
2020-07-01,562.4,579.8,534.2,554.7,51703369
2020-08-01,552.7,616.4,541.5,547.8,66898697
2020-09-01,549.9,557.5,448.7,463.6,112334256
2020-10-01,465.6,486.7,395.5,412.6,107698947
2020-11-01,409.6,541.0,404.3,492.3,166888406
2020-12-01,494.1,527.2,485.3,513.7,111221919
2021-01-01,516.3,558.0,488.8,489.3,95919106
2021-02-01,492.7,547.3,486.3,522.5,91779769
2021-03-01,527.3,633.9,524.0,594.2,128646972
2021-04-01,597.0,608.3,498.9,506.5,123082351
2021-05-01,508.0,520.5,479.2,501.1,98850612
2021-06-01,504.4,547.0,502.6,531.3,108025562
2021-07-01,533.0,551.7,473.7,488.4,94975626
2021-08-01,490.4,516.6,482.5,485.1,89978406
2021-09-01,486.9,546.6,474.0,527.3,113779333
2021-10-01,524.9,587.0,522.8,540.0,105048902
2021-11-01,540.2,561.4,458.0,473.3,94260437
2021-12-01,476.4,505.9,427.0,502.0,84415491
2022-01-01,505.0,518.2,436.0,499.7,105407809
2022-02-01,501.8,509.8,232.9,353.0,102716437
2022-03-01,390.0,442.8,361.8,411.8,8639607
2022-04-01,413.6,434.8,319.5,386.2,15004731
2022-05-01,386.5,390.0,361.7,381.9,975322
