datetime,open,high,low,close,volume
2007-10-01,10.0,10.0,10.0,10.0,11
2007-11-01,10.0,10.0,8.25,8.31,1026
2007-12-01,9.0,9.0,6.0,7.1,1372
2008-01-01,7.0,7.0,6.8,6.8,1354
2008-02-01,5.0,7.1,5.0,6.0,2719
2008-03-01,6.7,6.7,5.0,5.92,99
2008-04-01,5.05,6.5,5.05,5.98,615
2008-05-01,5.35,6.5,5.25,6.0,132
2008-06-01,5.85,7.0,5.6,6.0,782
2008-07-01,6.0,6.0,5.5,5.5,65
2008-08-01,6.0,6.0,4.8,4.8,197
2008-09-01,5.0,5.0,2.7199999999999998,3.4,2092
2008-10-01,3.5,3.5,3.2,3.3,709
2008-11-01,3.3,3.3,2.7,2.8,581
2008-12-01,3.0,3.0,2.99,3.0,651
2009-02-01,1.99,2.5,1.99,2.49,1130
2009-03-01,2.4,2.4,2.4,2.4,379
2009-04-01,2.4,2.4,1.8900000000000001,2.4,165
2009-05-01,2.0,2.4,2.0,2.2,381
2009-06-01,2.4,2.5,2.01,2.5,685
2009-07-01,2.5,2.5,2.2,2.5,2122
2009-08-01,2.26,2.4,2.02,2.4,26
2009-09-01,2.2,3.57,2.2,3.4699999999999998,33162
2009-10-01,3.5,5.18,3.4,4.03,61170
2009-11-01,4.2,4.24,2.6,4.05,13959
2009-12-01,4.14,4.21,3.8,4.1,20662
2010-01-01,4.17,4.26,4.0,4.2,2729
2010-02-01,4.2,4.99,4.0,4.5600000000000005,3355
2010-03-01,4.58,4.82,3.92,4.63,3941
2010-04-01,4.51,5.43,4.5,5.35,4718
2010-05-01,5.45,5.51,4.0,4.31,3620
2010-06-01,4.3,5.4,2.83,4.96,8929
2010-07-01,5.0,5.75,4.8,5.75,4082
2010-08-01,5.46,7.77,5.3,6.99,196
2010-09-01,7.77,9.75,5.22,5.5,8998
2010-10-01,5.41,5.8,5.2,5.65,13819
2010-11-01,5.45,5.82,5.2,5.51,10823
2010-12-01,5.5600000000000005,5.88,5.0,5.55,11235
2011-01-01,5.52,7.0,5.27,6.52,10366
2011-02-01,6.28,6.82,5.4,5.7,2877
2011-03-01,5.5600000000000005,6.1,4.4,5.5,1670
2011-04-01,4.78,5.5,3.56,4.3,3180
2011-05-01,4.31,4.99,4.0,4.87,4490
2011-06-01,4.88,5.06,4.1,4.7,4670
2011-07-01,4.97,5.0,4.28,4.8,3130
2011-08-01,4.6,5.0,3.2,5.0,13580
2011-09-01,4.41,5.1,3.36,4.7,24820
2011-10-01,4.5,5.24,4.32,5.0,3490
2011-11-01,5.2,5.2,3.99,5.0,8750
2011-12-01,4.38,5.06,3.87,5.04,13420
2012-01-01,5.25,5.35,4.26,4.5,7350
2012-02-01,4.7,4.9,4.12,4.34,2800
2012-03-01,4.16,4.49,4.0,4.08,3080
2012-04-01,4.11,4.4,4.0,4.3,17680
2012-05-01,4.0,4.59,3.52,4.58,9100
2012-06-01,4.5,4.5,3.81,4.2,29830
2012-07-01,4.0,4.0,3.56,3.56,1490
2012-08-01,3.7800000000000002,4.2,3.7800000000000002,4.08,6080
2012-09-01,4.1,4.5,4.0,4.5,6080
2012-10-01,4.8,4.8,4.1,4.6,3670
2012-11-01,4.6,4.99,4.0,4.25,2300
2012-12-01,4.25,4.9,4.25,4.4,3850
2013-01-01,4.5,5.54,4.36,4.44,20830
2013-02-01,4.46,5.0,4.46,4.5,2670
2013-03-01,4.55,5.0,4.17,4.5,7490
2013-04-01,4.5,4.99,4.31,4.51,19570
2013-05-01,4.6,4.98,4.12,4.5,2080
