datetime,open,high,low,close,volume
2020-09-20,1870.0,1952.2,1850.0,1870.0,136288
2020-09-27,1889.8,2108.0,1859.6,1884.0,92861
2020-10-04,1880.0,1929.8,1800.2,1835.4,188703
2020-10-11,1825.2,1849.0,1775.2,1809.2,97737
2020-10-18,1780.4,1813.8,1749.4,1750.4,24806
2020-10-25,1750.4,1831.2,1740.4,1824.0,140188
2020-11-01,1830.6,1881.4,1809.2,1838.0,92564
2020-11-08,1835.4,2010.8,1827.0,1993.2,109025
2020-11-15,1992.4,2019.8,1875.2,1889.4,76228
2020-11-22,1889.4,1889.8,1833.2,1867.2,48871
2020-11-29,1869.6,1905.8,1860.0,1883.2,37023
2020-12-06,1867.4,2088.0,1831.0,2085.0,74671
2020-12-13,2084.6,2216.6,2032.8,2105.0,67522
2020-12-20,2118.6,2392.2,2084.0,2328.6,54201
2020-12-27,2302.0,2626.8,2225.0,2265.0,16178
2021-01-03,2300.0,2300.0,2125.2,2165.4,30225
2021-01-10,2128.0,2208.4,2012.0,2100.0,54231
2021-01-17,2108.0,2245.4,1988.0,2240.4,56271
2021-01-24,2200.0,2398.4,2162.4,2353.0,49404
2021-01-31,2301.6,2442.0,2291.2,2405.2,29809
2021-02-07,2440.2,2520.0,2289.4,2289.8,22734
2021-02-14,2310.0,2418.0,2252.6,2335.0,35369
2021-02-21,2350.0,2679.0,2334.4,2634.8,43762
2021-02-28,2610.0,2750.0,2405.0,2464.0,40494
2021-03-07,2699.0,2699.0,2283.2,2552.4,35535
2021-03-14,2550.0,2753.6,2370.0,2729.6,89451
2021-03-21,2730.0,2781.8,2511.0,2582.6,35282
2021-03-28,2599.4,2651.4,2499.8,2644.8,17551
2021-04-04,2644.8,2840.2,2599.8,2724.6,27055
2021-04-11,2614.2,2945.4,2599.8,2812.2,45312
2021-04-18,2767.0,2950.0,2620.8,2701.8,48377
2021-04-25,2703.4,3300.0,2684.0,3124.8,44275
2021-05-02,3020.0,3496.5,3020.0,3080.0,66629
2021-05-09,3099.0,3142.0,2707.0,2858.5,88311
2021-05-16,2932.0,3010.0,2784.0,2915.5,33621
2021-05-23,2977.5,3088.5,2900.5,3035.0,26124
2021-05-30,3033.0,3115.0,2614.5,2707.0,145696
2021-06-06,2723.5,2797.5,2606.0,2697.0,72212
2021-06-13,2713.0,2835.5,2633.0,2791.0,49623
2021-06-20,2791.0,2886.5,2684.5,2780.5,74483
2021-06-27,2779.5,3198.0,2762.5,3159.0,53819
2021-07-04,3162.0,3450.0,3057.5,3350.5,60366
2021-07-11,3367.0,3750.0,2981.5,3246.5,115116
2021-07-18,3269.5,3347.5,3142.5,3347.5,83162
2021-07-25,3308.5,3346.0,3056.0,3128.0,42847
2021-08-01,3124.0,3246.0,3020.0,3231.0,71240
2021-08-08,3231.0,3830.0,3196.0,3547.0,57200
2021-08-15,3562.0,4075.0,3562.0,3789.0,113490
2021-08-22,3736.0,4021.0,3707.0,3949.0,61959
2021-08-29,3978.0,4160.0,3847.0,4027.0,73152
2021-09-05,4021.0,4085.0,3789.0,3888.0,39356
2021-09-12,3918.0,4068.0,3806.0,3831.0,79196
2021-09-19,3888.0,3890.0,3628.0,3696.0,52811
2021-09-26,3710.0,3752.0,3465.0,3628.0,68143
2021-10-03,3627.0,4171.0,3519.0,4012.0,128170
2021-10-10,4000.0,4084.0,3779.0,3920.0,70716
2021-10-17,3956.0,4111.0,3662.0,4036.0,109869
2021-10-24,4098.0,4308.0,3741.0,3776.0,109362
2021-10-31,3830.0,4010.0,3671.0,3756.0,58117
2021-11-07,3766.0,4291.0,3733.0,4178.0,91996
2021-11-14,4190.0,4952.0,4184.0,4539.0,144399
2021-11-21,4528.0,4555.0,3815.0,3955.0,134543
2021-11-28,4040.0,4322.0,3883.0,3887.0,282393
2021-12-05,3945.0,4100.0,3632.0,4084.0,146381
2021-12-12,4093.0,4150.0,3300.0,3722.0,262108
2021-12-19,3800.0,3964.0,3668.0,3812.0,137397
2021-12-26,3888.0,3963.0,3751.0,3889.0,86927
2022-01-02,3898.0,4002.0,3338.0,3458.0,155224
2022-01-09,3475.0,3635.0,3335.0,3566.0,218711
2022-01-16,3409.0,3796.0,2683.0,2694.0,446979
2022-01-23,2759.0,3360.0,2597.0,3306.0,305590
2022-01-30,3390.0,3698.0,3286.0,3530.0,152335
2022-02-06,3531.0,3797.0,3245.0,3256.0,104471
2022-02-13,3340.0,3797.0,3004.0,3028.0,202088
2022-02-20,3017.0,3279.0,1400.0,1549.0,196239
2022-03-27,1497.0,2808.0,1220.0,2299.0,121506
2022-04-03,2394.0,2498.0,1740.0,2163.0,58739
2022-04-10,2202.0,2300.0,1761.0,1860.0,13193
2022-04-17,1889.0,1916.0,1625.0,1720.0,12989
2022-04-24,1701.0,1899.0,1450.0,1682.0,15883
2022-05-01,1706.0,1725.0,1473.0,1496.0,7935
