datetime,open,high,low,close,volume
2011-12-18,0.9,0.9,0.52,0.52,50
2011-12-25,0.9,0.9,0.9,0.9,600
2012-01-01,0.72,0.9,0.72,0.9,110
2012-01-08,0.99,1.0,0.61,0.8,490
2012-01-15,0.71,1.26,0.71,1.0,360
2012-01-22,0.85,1.25,0.85,1.0,760
2012-01-29,1.0,1.25,1.0,1.0,120
2012-02-05,0.86,1.0,0.86,1.0,260
2012-02-19,0.95,1.05,0.76,1.0,1510
2012-02-26,0.99,1.0,0.81,0.81,280
2012-03-04,1.0,1.47,0.8,0.95,12040
2012-03-11,1.04,1.15,0.8,1.03,1930
2012-03-18,0.95,1.0,0.9,0.97,210
2012-03-25,0.93,1.0,0.9,0.95,410
2012-04-01,0.95,1.0,0.95,0.96,50
2012-04-08,0.94,0.99,0.92,0.92,50
2012-04-15,0.9,0.95,0.82,0.95,70
2012-04-22,0.86,0.95,0.86,0.95,110
2012-05-13,0.9,0.9,0.7,0.7,180
2012-05-20,0.88,0.88,0.63,0.63,120
2012-05-27,0.8,0.85,0.8,0.85,260
2012-06-03,0.76,0.85,0.76,0.85,290
2012-06-10,0.85,0.85,0.8,0.85,320
2012-06-17,0.85,0.9,0.76,0.83,1030
2012-06-24,0.77,0.82,0.72,0.8,7630
2012-07-01,0.8,0.83,0.8,0.83,190
2012-07-08,0.83,0.85,0.79,0.84,1690
2012-07-15,0.83,0.85,0.82,0.85,80
2012-07-22,0.9,0.9,0.82,0.86,370
2012-07-29,0.92,0.95,0.92,0.94,90
2012-08-05,0.95,0.95,0.91,0.92,270
2012-08-12,0.92,0.95,0.84,0.88,1150
2012-08-19,0.87,0.95,0.76,0.92,3070
2012-08-26,0.88,0.88,0.86,0.88,70
2012-09-02,0.87,0.95,0.86,0.95,1060
2012-09-09,0.93,0.95,0.86,0.95,370
2012-09-16,0.95,0.95,0.88,0.88,1460
2012-09-23,0.88,0.92,0.87,0.9,950
2012-09-30,0.92,0.93,0.92,0.93,60
2012-10-07,0.92,0.94,0.91,0.94,710
2012-10-14,0.94,0.95,0.91,0.91,740
2012-10-21,0.91,0.94,0.82,0.94,4730
2012-10-28,0.93,0.94,0.92,0.93,2290
2012-11-04,0.93,0.93,0.91,0.91,870
2012-11-11,0.93,0.93,0.87,0.92,810
2012-11-18,0.93,0.95,0.93,0.95,1800
2012-11-25,0.95,0.95,0.95,0.95,420
2012-12-02,0.95,0.95,0.94,0.94,300
2012-12-09,0.94,0.97,0.94,0.95,350
2012-12-16,0.95,0.96,0.94,0.94,260
2013-01-06,0.95,0.95,0.95,0.95,10
2013-01-13,0.95,0.97,0.95,0.96,1080
2013-01-20,0.97,0.97,0.96,0.96,550
2013-01-27,0.97,0.97,0.95,0.95,700
2013-02-03,0.97,0.97,0.97,0.97,440
2013-02-10,0.97,0.97,0.94,0.96,320
2013-02-17,0.95,0.95,0.95,0.95,750
2013-02-24,0.96,0.97,0.95,0.95,250
2013-03-03,0.95,0.97,0.95,0.96,1760
2013-03-10,0.97,0.97,0.96,0.97,2000
2013-03-17,0.96,0.96,0.93,0.96,3810
2013-03-24,0.97,1.3,0.97,1.13,5830
2013-03-31,1.05,1.19,0.96,1.04,330
2013-04-07,0.97,0.97,0.97,0.97,70
2013-04-14,0.97,0.97,0.95,0.97,230
2013-04-21,1.05,1.1,1.0,1.03,520
2013-05-05,1.04,1.04,1.04,1.04,20
2013-05-12,1.0,1.0,1.0,1.0,50
2013-05-19,1.1,1.1,1.0,1.0,70
2013-05-26,1.1,1.31,1.0,1.0,1890
2013-06-02,1.0,1.0,1.0,1.0,10
2013-06-09,1.04,1.04,1.04,1.04,2300
2013-06-16,1.0,1.0,1.0,1.0,10
2013-06-23,1.0,1.0,1.0,1.0,50
2013-07-07,1.0,1.0,0.97,0.97,90
2013-07-14,0.98,1.04,0.98,1.04,1000
2013-07-21,0.95,0.95,0.95,0.95,10
2013-07-28,0.95,0.95,0.95,0.95,40
2013-08-04,0.95,1.04,0.95,1.04,230
2013-08-18,0.8,0.97,0.8,0.9,2750
2013-08-25,0.85,1.05,0.85,0.98,70
2013-09-01,0.75,1.05,0.75,1.05,20
2013-09-08,1.0,1.0,1.0,1.0,140
2013-09-22,0.8,0.88,0.8,0.84,3670
2013-09-29,0.84,0.88,0.84,0.85,510
2013-10-06,0.9,1.0,0.9,0.95,3200
2013-10-13,1.06,1.06,1.0,1.0,1280
2013-10-27,0.95,0.95,0.95,0.95,80
2013-11-03,1.0,1.0,1.0,1.0,10
2013-11-10,1.05,1.05,1.05,1.05,30
2013-11-17,0.88,0.88,0.8,0.85,80
2013-11-24,0.99,0.99,0.99,0.99,10
2013-12-01,1.0,1.0,1.0,1.0,10
2013-12-08,1.0,1.0,1.0,1.0,10
2013-12-15,1.0,1.02,1.0,1.02,1310
2013-12-29,1.0,1.0,1.0,1.0,1210
2014-01-19,0.91,0.96,0.9,0.9,30
2014-01-26,1.0,1.15,0.92,1.0,9190
2014-02-02,0.93,0.93,0.93,0.93,40
2014-03-02,1.05,1.05,1.05,1.05,2480
2014-03-09,1.1,1.1,1.0,1.0,240
2014-03-23,1.1,1.1,1.1,1.1,10
2014-04-06,1.3,1.4,1.3,1.4,30
2014-04-13,1.12,1.4,1.0,1.4,30
2014-05-04,1.4,1.4,1.4,1.4,20
2014-05-11,1.3,1.3,1.3,1.3,10
2014-05-18,1.4,1.4,1.4,1.4,10
2014-06-22,1.0,1.0,0.85,0.96,710
2014-06-29,0.98,0.98,0.98,0.98,140
2014-08-17,1.2,1.2,1.2,1.2,40
2014-09-14,0.95,0.95,0.95,0.95,10
2014-11-30,0.85,1.0,0.85,1.0,1050
2014-12-07,0.91,1.05,0.91,1.05,1450
2015-01-04,1.35,1.35,1.35,1.35,10
2015-02-01,0.81,1.04,0.8,0.91,580
2015-02-08,0.91,0.99,0.91,0.94,240
2015-02-15,0.99,1.4,0.99,1.31,1480
2015-02-22,1.67,1.67,0.81,1.15,2800
2015-03-01,1.0,1.05,1.0,1.02,60
2015-03-08,0.93,0.93,0.93,0.93,10
2015-03-15,0.95,1.0,0.94,1.0,450
2015-03-22,1.0,1.0,1.0,1.0,50
2015-03-29,1.1,1.17,1.09,1.17,180
2015-04-05,1.01,1.15,1.01,1.15,220
2015-04-12,1.19,1.19,1.1400000000000001,1.15,50
2015-04-26,1.16,1.24,1.05,1.24,1670
2015-05-03,1.2,1.2,1.2,1.2,20
2015-05-10,1.1,1.53,1.01,1.13,290
2015-06-14,1.05,1.15,1.05,1.15,70
2015-06-21,1.04,1.04,1.0,1.0,50
2015-06-28,0.95,0.95,0.95,0.95,10
2015-07-12,1.0,1.01,1.0,1.01,300
2015-07-19,1.08,1.4,1.06,1.15,120
2015-07-26,1.06,1.12,1.06,1.12,20
2015-08-02,1.11,1.11,1.11,1.11,20
2015-08-09,1.16,1.16,1.1,1.1,30
2015-08-16,1.06,1.33,1.02,1.33,550
2015-08-23,1.17,1.19,1.16,1.19,70
2015-08-30,1.1,1.21,1.1,1.21,20
2015-09-06,1.2,1.3,1.19,1.28,50
2015-09-13,1.1,1.28,1.01,1.15,550
2015-09-20,1.08,1.1,1.06,1.08,70
2015-09-27,1.11,1.1400000000000001,1.05,1.05,80
2015-10-04,1.04,1.04,1.04,1.04,10
2015-10-11,1.09,1.09,1.09,1.09,10
2015-10-18,1.05,1.06,1.02,1.06,40
2015-11-01,1.08,1.2,1.0,1.15,330
2015-11-08,1.15,1.15,1.02,1.04,710
2015-11-15,1.1,1.1400000000000001,1.1,1.1400000000000001,20
2015-11-29,1.07,1.2,1.06,1.12,290
2015-12-06,1.11,1.13,1.03,1.09,680
2015-12-13,1.06,1.08,1.06,1.06,40
2015-12-20,1.05,1.05,1.05,1.05,10
2015-12-27,1.07,1.07,1.07,1.07,10
2016-01-03,1.02,1.02,1.02,1.02,10
2016-01-10,1.06,1.15,1.06,1.15,430
2016-01-17,1.15,1.18,1.07,1.1400000000000001,160
2016-01-24,1.1400000000000001,1.17,1.13,1.17,120
2016-01-31,1.1400000000000001,1.17,1.1400000000000001,1.17,60
2016-02-07,1.15,1.15,1.13,1.1400000000000001,30
2016-02-14,1.15,1.52,1.13,1.5,1110
2016-02-21,1.53,1.53,1.2,1.28,880
2016-02-28,1.26,1.9100000000000001,1.2,1.38,10590
2016-03-06,1.35,1.37,1.11,1.23,2600
2016-03-13,1.23,1.24,1.18,1.23,310
2016-03-20,1.21,1.26,1.12,1.25,1590
