datetime,open,high,low,close,volume
2012-01-08,0.6,0.7,0.6,0.7,30
2012-01-15,0.75,0.75,0.75,0.75,10
2012-03-04,0.775,0.775,0.775,0.775,10
2012-04-15,1.0,1.0,1.0,1.0,20
2012-05-06,0.65,0.65,0.65,0.65,10
2012-05-20,0.65,0.65,0.65,0.65,10
2012-06-17,0.7,0.7,0.7,0.7,10
2012-07-29,0.5,0.5,0.45,0.45,20
2012-08-05,0.45,0.45,0.45,0.45,20
2012-08-12,0.45,0.45,0.4,0.4,150
2012-08-26,0.27,0.35,0.27,0.35,50
2012-09-02,0.21,0.28,0.21,0.28,20
2012-09-16,0.3,0.3,0.3,0.3,60
2012-09-23,0.36,0.36,0.36,0.36,20
2012-10-07,0.5,0.5,0.191,0.311,220
2012-10-14,0.47,0.922,0.47,0.922,90
2012-10-21,0.557,0.598,0.28,0.4,360
2012-10-28,0.307,0.63,0.307,0.4,200
2012-11-04,0.475,0.5,0.4,0.4,50
2012-11-11,0.38,0.39,0.234,0.234,50
2012-11-18,0.34,0.455,0.34,0.45,310
2012-11-25,0.413,0.413,0.413,0.413,30
2012-12-02,0.4,0.4,0.4,0.4,20
2012-12-09,0.333,0.36,0.333,0.36,40
2012-12-16,0.216,0.45,0.216,0.405,80
2012-12-23,0.425,0.425,0.41,0.415,60
2013-01-27,0.37,0.37,0.345,0.345,30
2013-02-03,0.283,0.393,0.283,0.321,60
2013-02-10,0.31,0.33,0.27,0.315,110
2013-02-17,0.25,0.27,0.25,0.27,100
2013-02-24,0.251,0.347,0.22,0.337,130
2013-03-03,0.23,0.35,0.23,0.35,30
2013-03-17,0.25,0.29,0.25,0.29,100
2013-03-31,0.233,0.49,0.228,0.49,290
2013-04-07,0.686,0.96,0.42,0.58,530
2013-04-14,0.518,0.518,0.4,0.4,40
2013-04-21,0.51,0.51,0.51,0.51,10
2013-06-30,0.45,0.45,0.45,0.45,50
2013-08-04,0.3,0.3,0.3,0.3,30
2013-08-11,0.28,0.32,0.28,0.32,20
2013-08-25,0.283,0.332,0.283,0.332,40
2013-10-13,0.33,0.33,0.33,0.33,10
2013-12-01,0.396,0.396,0.396,0.396,10
2014-03-23,0.318,0.318,0.318,0.318,10
2014-07-13,0.4,0.44,0.4,0.44,20
2014-08-31,0.5,0.5,0.5,0.5,10
2014-09-14,0.5,0.5,0.5,0.5,10
2014-10-05,0.44,0.44,0.44,0.44,10
2014-10-12,0.281,0.281,0.281,0.281,10
2014-10-19,0.281,0.281,0.281,0.281,10
2014-10-26,0.393,0.4,0.393,0.4,20
2014-11-02,0.48,0.48,0.48,0.48,10
2014-11-09,0.434,0.434,0.434,0.434,10
2014-11-16,0.434,0.434,0.434,0.434,10
2014-11-30,0.306,0.393,0.303,0.393,40
2014-12-07,0.395,0.489,0.395,0.489,20
2014-12-14,0.3,0.3,0.3,0.3,10
2015-01-04,0.459,0.459,0.459,0.459,10
2015-01-18,0.45,0.45,0.45,0.45,10
2015-01-25,0.62,0.62,0.425,0.425,60
2015-02-01,0.57,0.57,0.415,0.415,60
2015-02-08,0.303,0.448,0.303,0.448,40
2015-02-15,0.306,0.436,0.306,0.4,100
2015-02-22,0.4,0.512,0.4,0.512,110
2015-03-01,0.505,0.505,0.5,0.5,20
2015-03-29,0.502,0.879,0.502,0.824,120
2015-04-05,0.8,0.8,0.38,0.69,250
2015-04-12,0.698,0.965,0.413,0.59,370
2015-04-19,0.686,0.686,0.686,0.686,10
2015-04-26,0.6,0.6,0.6,0.6,20
2015-05-03,0.7,0.7,0.6,0.6,110
2015-05-10,0.6,0.6,0.58,0.58,20
2015-05-17,0.57,0.575,0.57,0.57,30
2015-05-24,0.578,0.578,0.578,0.578,10
2015-05-31,0.55,0.55,0.55,0.55,10
2015-06-14,0.443,0.443,0.443,0.443,10
2015-06-21,0.405,0.435,0.405,0.435,20
2015-07-05,0.578,0.892,0.578,0.817,130
2015-07-12,0.832,1.078,0.832,1.057,120
2015-07-19,1.099,1.109,1.099,1.109,60
2015-08-02,1.1,1.1,1.1,1.1,50
2015-08-09,1.1,1.1,1.1,1.1,40
2015-08-16,0.669,0.669,0.669,0.669,10
2015-08-23,0.937,1.1,0.937,1.1,100
2015-08-30,1.2,1.2,1.2,1.2,10
2015-09-06,1.3,2.385,1.3,2.285,1020
2015-09-13,2.985,3.387,2.105,2.499,330
2015-09-20,2.5,2.5,2.499,2.499,120
2015-10-04,2.2,2.2,1.705,1.705,250
2015-10-11,1.101,1.9849999999999999,1.1,1.9,90
2015-11-01,1.55,1.55,1.5,1.5,100
2015-11-08,1.8,1.85,1.1,1.1,340
2015-11-15,1.26,1.55,1.02,1.5,670
2015-11-22,1.81,1.97,1.44,1.5,360
2015-11-29,1.4,1.46,1.37,1.37,90
2015-12-06,1.45,1.55,1.21,1.25,1160
2015-12-13,1.21,1.6800000000000002,1.2,1.49,730
2015-12-20,1.5,1.5,1.24,1.4,340
2015-12-27,1.37,1.49,1.15,1.42,150
2016-01-03,1.4,1.5,1.4,1.5,20
2016-01-10,1.45,1.47,1.32,1.38,150
2016-01-17,1.34,1.46,1.27,1.46,60
2016-01-24,1.49,1.49,1.3900000000000001,1.43,140
2016-01-31,1.49,1.5,1.4,1.48,60
2016-02-07,1.45,1.48,1.3,1.33,180
2016-02-14,1.41,1.41,1.41,1.41,10
2016-02-21,1.34,1.38,1.34,1.35,40
2016-02-28,1.47,1.48,1.3599999999999999,1.4,50
2016-03-06,1.3599999999999999,1.3900000000000001,1.35,1.35,50
2016-03-13,1.35,1.58,1.35,1.5,310
2016-03-20,1.48,1.65,1.32,1.65,235
2016-03-27,1.52,1.5699999999999998,1.45,1.45,150
2016-04-03,1.42,1.58,1.41,1.48,190
2016-04-10,1.5899999999999999,1.5899999999999999,1.28,1.51,410
2016-04-17,1.58,1.58,1.41,1.44,50
2016-04-24,1.41,1.44,1.3,1.44,130
2016-05-01,1.44,1.44,1.44,1.44,10
2016-05-08,1.3599999999999999,1.3599999999999999,1.3599999999999999,1.3599999999999999,10
2016-05-15,1.47,1.5,1.47,1.5,40
2016-05-29,1.32,1.44,1.32,1.44,20
2016-06-05,1.42,1.42,1.25,1.38,14
2016-06-12,1.4,1.99,1.27,1.58,343
2016-06-19,1.5,1.5,1.31,1.31,19
2016-06-26,1.32,1.63,1.23,1.35,44
2016-07-03,1.4,1.47,1.37,1.38,8
2016-07-10,1.41,1.5699999999999998,1.29,1.3900000000000001,177
2016-07-17,1.37,1.37,1.3,1.3599999999999999,87
2016-07-24,1.3599999999999999,1.79,1.35,1.41,185
2016-07-31,1.43,1.51,0.96,1.4,197
2016-08-07,1.41,1.49,1.35,1.4,57
2016-08-14,1.41,1.42,1.35,1.4,41
2016-08-21,1.41,1.44,1.35,1.3900000000000001,23
2016-08-28,1.37,2.11,1.28,2.11,1477
2016-09-04,2.88,3.61,1.77,2.5,5069
2016-09-11,2.41,2.81,2.21,2.44,902
2016-09-18,2.4699999999999998,3.79,2.21,3.3,2163
2016-09-25,3.45,7.57,3.42,6.47,5149
2016-10-02,7.25,7.88,5.72,5.9,2810
2016-10-09,5.65,5.96,4.41,4.8,2485
2016-10-16,4.88,5.73,4.8,4.93,1241
2016-10-23,4.84,6.0,4.8,5.09,1518
2016-10-30,5.01,5.79,4.8,4.97,700
2016-11-06,4.93,5.11,4.48,4.64,596
2016-11-13,4.77,5.96,4.4,5.0,1407
2016-11-20,4.8100000000000005,5.09,4.65,4.89,482
2016-11-27,4.92,4.92,4.5,4.68,258
2016-12-04,4.68,4.85,4.5,4.65,278
2016-12-11,4.7,5.75,4.57,5.12,889
2016-12-18,5.17,5.4,4.66,5.3,379
2016-12-25,5.29,5.33,4.88,5.07,156
2017-01-01,4.88,5.11,4.68,4.87,130
2017-01-08,5.08,5.08,4.8,4.9,71
2017-01-15,4.86,5.09,4.8,4.9,67
2017-01-22,4.98,5.4,4.95,5.1,270
2017-01-29,5.18,5.27,4.88,5.27,61
2017-02-05,5.29,5.3,4.87,5.04,56
2017-02-12,4.82,5.17,4.8100000000000005,5.17,113
2017-02-19,5.18,6.15,4.99,5.25,161
2017-02-26,5.68,5.68,4.8,5.19,86
2017-03-05,4.84,5.39,4.82,5.19,64
2017-03-12,5.19,5.19,4.8,4.88,19
2017-03-19,4.83,5.07,4.71,4.8100000000000005,76
2017-03-26,4.97,4.97,4.52,4.55,70
2017-04-02,4.6,4.8100000000000005,4.42,4.5,31
2017-04-09,4.26,4.5,3.81,4.0,198
2017-04-16,4.29,4.29,3.73,4.03,36
2017-04-23,3.99,4.0,3.6,4.0,83
2017-04-30,3.84,4.0,3.77,3.91,52
2017-05-07,3.92,3.92,3.74,3.74,21
2017-05-14,3.68,4.0,3.31,3.9,50
2017-05-21,3.74,4.32,3.42,3.91,240
2017-05-28,3.89,3.9,3.4,3.67,137
2017-06-04,3.7,3.9,3.65,3.66,18
2017-06-11,3.5,4.33,3.5,3.61,6
2017-06-18,3.6,3.7,3.43,3.7,11
2017-06-25,3.98,3.98,3.4,3.9,32
2017-07-02,3.66,4.5,3.4,3.86,136
2017-07-09,3.83,4.0,3.71,3.73,58
2017-07-16,3.87,3.88,3.7,3.88,26
2017-07-23,3.91,4.07,3.52,3.64,74
2017-07-30,3.79,4.3,3.62,3.75,219
2017-08-06,3.62,3.93,3.6,3.63,46
2017-08-13,3.64,3.88,2.4699999999999998,3.7,109
2017-08-20,3.7,3.7,3.21,3.3,142
2017-08-27,3.22,3.41,3.1,3.19,120
2017-09-03,3.11,6.43,3.1,6.43,3671
2017-09-10,7.07,8.98,5.73,6.45,3768
2017-09-17,6.89,6.89,5.95,6.45,577
2017-09-24,8.22,8.22,5.89,6.0,578
2017-10-01,6.01,6.01,4.72,4.95,621
2017-10-08,4.97,5.21,4.7,5.01,330
2017-10-15,5.15,6.0,4.84,5.19,747
2017-10-22,5.18,5.45,4.99,5.1,226
2017-10-29,4.97,5.2,4.82,5.04,209
2017-11-05,5.16,5.17,4.85,4.99,114
2017-11-12,4.99,5.38,4.3,4.6,485
2017-11-19,4.6899999999999995,4.9,4.5,4.5,407
2017-11-26,4.64,4.64,4.47,4.47,75
2017-12-03,4.32,4.6,4.32,4.55,136
2017-12-10,4.51,4.6,4.03,4.22,315
2017-12-17,4.24,5.33,4.01,4.84,946
2017-12-24,4.8,4.9399999999999995,4.38,4.5,528
2017-12-31,4.5,4.79,4.5,4.59,36
2018-01-07,4.67,4.73,4.23,4.37,245
2018-01-14,4.41,4.53,4.22,4.3,263
2018-01-21,4.18,4.37,4.11,4.22,325
2018-01-28,4.22,5.71,3.86,5.29,2455
2018-02-04,5.2,5.23,4.25,4.62,1852
2018-02-11,4.63,4.84,4.31,4.57,850
2018-02-18,4.57,5.5,4.48,4.74,663
2018-02-25,4.98,4.98,4.5,4.71,363
2018-03-04,4.89,5.2,4.5,4.71,420
2018-03-11,4.72,4.89,4.6,4.8,151
2018-03-18,4.92,5.1,4.55,4.87,229
2018-03-25,4.73,5.05,4.7,4.8,422
2018-04-01,4.82,4.95,4.7,4.89,238
2018-04-08,4.88,4.9,4.05,4.5600000000000005,342
2018-04-15,4.59,4.6899999999999995,4.1,4.51,280
2018-04-22,4.28,4.61,4.2,4.26,444
2018-04-29,4.38,4.55,4.29,4.3,136
2018-05-06,4.3,4.52,4.13,4.46,260
2018-05-13,4.36,4.55,4.2,4.3,137
2018-05-20,4.2,4.39,4.2,4.36,60
2018-05-27,4.33,4.4,4.2,4.31,75
2018-06-03,4.31,4.36,4.19,4.25,99
2018-06-10,4.22,4.22,4.1,4.1,58
2018-06-17,4.16,5.2,3.5300000000000002,4.66,446
2018-06-24,5.0,5.0,3.81,4.16,553
2018-07-01,4.05,4.4,3.8,4.1,229
2018-07-08,4.12,4.35,4.01,4.25,155
2018-07-15,4.3,4.66,4.2,4.4,151
2018-07-22,4.3,4.6,4.3,4.46,189
2018-07-29,4.36,4.87,4.31,4.87,280
2018-08-05,4.84,5.5,4.8,5.09,835
2018-08-12,4.8,5.33,4.5,4.8,408
2018-08-19,4.98,5.1,4.65,4.9,172
2018-08-26,4.8,5.2,4.55,5.14,138
2018-09-02,5.22,5.22,4.8,5.1,214
2018-09-09,5.1,7.48,4.64,4.95,5193
2018-09-16,4.99,5.07,4.66,4.86,576
2018-09-23,4.9,6.9399999999999995,4.77,6.01,5158
2018-09-30,5.95,6.28,5.11,5.39,2251
2018-10-07,5.4,5.57,5.09,5.19,538
2018-10-14,5.17,5.19,4.8,4.86,503
2018-10-21,4.96,5.79,4.6,5.08,1559
2018-10-28,5.15,5.37,4.71,4.9,1022
2018-11-04,4.83,5.19,4.83,4.9,299
2018-11-11,4.9399999999999995,5.36,4.84,4.99,701
2018-11-18,4.98,5.17,4.84,4.9,304
2018-11-25,4.87,4.98,4.83,4.98,219
2018-12-02,4.97,5.1,4.86,4.96,160
2018-12-09,4.9399999999999995,5.03,4.83,4.88,250
2018-12-16,4.82,4.88,4.71,4.78,225
2018-12-23,4.72,4.75,4.6,4.6899999999999995,223
2018-12-30,4.88,4.88,4.67,4.77,37
2019-01-06,4.78,4.89,4.7,4.79,209
2019-01-13,4.77,4.89,4.6899999999999995,4.85,148
2019-01-20,4.84,4.85,4.74,4.85,94
2019-01-27,4.83,4.87,4.68,4.795,97
2019-02-03,4.745,6.99,4.745,5.59,8361
