datetime,open,high,low,close,volume
2020-11-09,490.0,490.0,463.4,466.1,8024
2020-11-10,473.0,473.0,450.6,454.3,4487
2020-11-11,454.1,477.1,452.0,477.1,3714
2020-11-12,485.0,487.6,472.0,480.4,4550
2020-11-13,488.0,488.9,482.2,486.1,1932
2020-11-16,490.3,491.0,475.65,475.65,2874
2020-11-17,475.0,484.3,471.2,472.0,1452
2020-11-18,474.65,475.95,469.65,471.05,1802
2020-11-19,474.4,474.6,470.7,472.5,800
2020-11-20,480.0,480.0,469.4,473.9,452
2020-11-23,470.0,479.9,470.0,471.0,548
2020-11-24,470.55,472.55,469.95,471.25,537
2020-11-25,470.0,470.9,469.2,470.1,956
2020-11-26,470.0,470.0,464.6,465.2,1094
2020-11-27,465.2,473.9,464.9,470.3,812
2020-11-30,470.65,473.9,466.5,469.1,627
2020-12-01,464.05,472.2,464.0,470.2,697
2020-12-02,468.1,470.1,467.0,467.0,306
2020-12-03,464.75,467.75,455.15,455.35,1505
2020-12-04,467.05,472.0,456.3,458.0,1320
2020-12-07,469.7,469.7,457.15,458.25,1125
2020-12-08,465.65,465.65,455.15,455.15,613
2020-12-09,462.65,462.65,455.85,456.25,576
2020-12-10,458.7,458.75,452.65,455.85,915
2020-12-11,458.3,458.3,450.0,455.9,995
2020-12-14,455.7,460.3,450.6,457.4,1853
2020-12-15,462.05,466.45,458.95,466.25,593
2020-12-16,468.75,468.75,455.55,456.55,1092
2020-12-17,456.0,458.2,446.9,449.9,2694
2020-12-18,449.6,451.5,449.2,451.4,362
2020-12-21,450.0,451.6,448.0,451.3,461
2020-12-22,449.25,452.25,446.25,451.15,1010
2020-12-23,455.7,455.7,451.0,451.3,240
2020-12-24,451.8,452.2,447.0,451.0,803
2020-12-25,450.0,453.6,447.6,451.8,271
2020-12-28,452.95,452.95,449.35,451.45,485
2020-12-29,457.8,461.95,447.4,451.1,1368
2020-12-30,451.6,459.8,451.6,456.8,693
2021-01-04,453.95,459.95,450.55,459.95,1456
2021-01-05,457.85,468.75,452.95,462.35,1123
2021-01-06,454.2,468.5,454.2,461.3,2492
2021-01-08,462.8,468.2,462.8,465.8,421
2021-01-11,465.5,471.7,465.1,471.7,1255
2021-01-12,460.3,474.8,455.1,467.7,1106
2021-01-13,475.0,475.0,464.2,464.2,449
2021-01-14,465.3,472.8,462.6,464.1,636
2021-01-15,464.75,466.8,460.6,463.7,656
2021-01-18,461.25,467.95,461.05,464.95,580
2021-01-19,470.55,493.75,460.05,490.35,11220
