datetime,open,high,low,close,volume
2014-12-07,751.0,999.0,751.0,997.0,234610
2014-12-14,1010.0,1083.0,755.0,900.0,669426
2014-12-21,901.0,948.0,842.0,940.0,468572
2014-12-28,937.0,962.0,887.0,922.0,129189
2015-02-01,1276.0,1291.0,1245.0,1255.0,257943
2015-02-08,1260.0,1299.0,1233.0,1292.0,287793
2015-02-15,1300.0,1315.0,1208.0,1241.0,125251
2015-02-22,1220.0,1256.0,1175.0,1231.0,118591
2015-03-01,1236.0,1303.0,1220.0,1294.0,162313
2015-03-08,1287.0,1295.0,1200.0,1240.0,213114
2015-03-15,1240.0,1405.0,1219.0,1396.0,368089
2015-03-22,1383.0,1399.0,1240.0,1320.0,327144
2015-03-29,1365.0,1367.0,1308.0,1313.0,171711
2015-04-05,1318.0,1382.0,1318.0,1348.0,225124
2015-04-12,1350.0,1480.0,1350.0,1440.0,300206
2015-04-19,1446.0,1635.0,1435.0,1532.0,344081
2015-04-26,1487.0,1708.0,1469.0,1708.0,166744
2015-05-03,1673.0,1764.0,1620.0,1669.0,189940
2015-05-10,1667.0,1707.0,1546.0,1585.0,38065
2015-05-17,1579.0,1660.0,1442.0,1498.0,99587
2015-05-24,1499.0,1549.0,1494.0,1514.0,46404
2015-05-31,1549.0,1577.0,1485.0,1510.0,68564
2015-06-07,1514.0,1542.0,1410.0,1434.0,57303
2015-06-14,1420.0,1487.0,1402.0,1445.0,118772
2015-06-21,1445.0,1469.0,1370.0,1415.0,100314
2015-06-28,1393.0,1435.0,1371.0,1395.0,75707
2015-07-05,1383.0,1400.0,1336.0,1358.0,104995
2015-07-12,1375.0,1386.0,1265.0,1297.0,244976
2015-07-19,1310.0,1331.0,1276.0,1315.0,142347
2015-07-26,1318.0,1365.0,1294.0,1342.0,109482
2015-08-02,1348.0,1375.0,1343.0,1369.0,73126
2015-08-09,1359.0,1384.0,1350.0,1370.0,93776
2015-08-16,1374.0,1380.0,1322.0,1350.0,78456
2015-08-23,1301.0,1363.0,1278.0,1357.0,230188
2015-08-30,1343.0,1425.0,1336.0,1405.0,162269
2015-09-06,1411.0,1470.0,1395.0,1470.0,107744
2015-09-13,1470.0,1520.0,1430.0,1520.0,567569
2015-09-20,1520.0,1525.0,1441.0,1455.0,148593
2015-09-27,1436.0,1461.0,1411.0,1449.0,88333
2015-10-04,1463.0,1519.0,1443.0,1474.0,73940
2015-10-11,1484.0,1520.0,1471.0,1496.0,45166
2015-10-18,1492.0,1557.0,1487.0,1549.0,51554
2015-10-25,1550.0,1640.0,1535.0,1591.0,49882
2015-11-01,1601.0,1661.0,1591.0,1649.0,38471
2015-11-08,1649.5,1683.0,1620.0,1622.0,59313
2015-11-15,1629.5,1668.0,1571.0,1650.0,132913
