datetime,open,high,low,close,volume
2014-12-07,1145.0,1465.0,1145.0,1429.0,270177
2014-12-14,1435.0,1520.0,954.0,1273.0,797004
2014-12-21,1280.0,1350.0,1176.0,1265.0,164216
2014-12-28,1271.0,1285.0,1192.0,1250.0,97286
2015-02-01,1608.0,1713.0,1542.0,1647.0,209762
2015-02-08,1650.0,1790.0,1650.0,1778.0,338417
2015-02-15,1777.0,1818.0,1617.0,1656.0,291620
2015-02-22,1633.0,1685.0,1574.0,1670.0,140879
2015-03-01,1688.0,1795.0,1638.0,1795.0,324782
2015-03-08,1768.0,1798.0,1705.0,1753.0,218951
2015-03-15,1742.0,1955.0,1711.0,1943.0,787802
2015-03-22,1921.0,1926.0,1724.0,1840.0,404815
2015-03-29,1910.0,1910.0,1825.0,1857.0,269900
2015-04-05,1872.0,1966.0,1845.0,1927.0,254252
2015-04-12,1989.0,2119.0,1940.0,2117.0,208506
2015-04-19,2105.0,2292.0,2082.0,2138.0,257240
2015-04-26,2137.0,2167.0,1990.0,2124.0,138750
2015-05-03,2221.0,2400.0,2147.0,2244.0,165105
2015-05-10,2240.0,2300.0,2061.0,2154.0,50718
2015-05-17,2140.0,2147.0,1917.0,2020.0,119065
2015-05-24,2039.0,2070.0,1971.0,2004.0,61670
2015-05-31,2047.0,2060.0,1901.0,1965.0,76528
2015-06-07,1979.0,1979.0,1815.0,1887.0,63962
2015-06-14,1878.0,2195.0,1803.0,1926.0,166002
2015-06-21,1965.0,1983.0,1884.0,1890.0,39143
2015-06-28,1885.0,1938.0,1863.0,1901.0,31305
2015-07-05,1882.0,1938.0,1831.0,1875.0,147890
2015-07-12,1893.0,1929.0,1830.0,1881.0,120351
2015-07-19,1893.0,1905.0,1875.0,1895.0,85915
2015-07-26,1895.0,1904.0,1832.0,1900.0,48072
2015-08-02,1903.0,1935.0,1870.0,1906.0,63553
2015-08-09,1901.0,1921.0,1852.0,1892.0,75219
2015-08-16,1892.0,1895.0,1817.0,1851.0,40946
2015-08-23,1817.0,1980.0,1705.0,1770.0,137701
2015-08-30,1773.0,1795.0,1755.0,1769.0,75394
2015-09-06,1770.0,1803.0,1760.0,1803.0,93447
2015-09-13,1811.0,1816.0,1770.0,1790.0,101485
2015-09-20,1791.0,1805.0,1705.0,1705.0,108162
2015-09-27,1713.0,1740.0,1705.0,1719.0,97024
2015-10-04,1735.0,1805.0,1717.0,1788.0,338718
2015-10-11,1788.0,1836.0,1782.0,1802.0,107303
2015-10-18,1799.0,1827.0,1710.0,1803.0,110980
2015-10-25,1793.0,1935.0,1790.0,1920.0,70662
2015-11-01,1928.0,2001.0,1922.0,1998.0,63403
2015-11-08,1997.0,1997.0,1900.0,1903.0,71218
2015-11-15,1889.0,1940.0,1889.0,1912.0,72595
2015-11-22,1920.0,2037.0,1905.0,1957.0,280484
2015-11-29,1969.0,2098.0,1950.0,2088.0,136044
2015-12-06,2097.0,2130.0,2050.0,2090.0,219018
2015-12-13,2098.0,2098.0,1930.0,1930.0,178404
2015-12-20,1949.0,2012.0,1935.0,1999.0,100726
2015-12-27,1991.0,2006.0,1963.0,1988.0,47830
2016-01-03,1985.0,2100.0,1976.0,2100.0,45577
2016-01-10,2055.0,2090.0,1918.0,1959.0,90191
2016-01-17,1949.0,2065.0,1900.0,2000.0,68762
2016-01-24,2000.0,2020.0,1968.0,2016.0,58298
2016-01-31,2016.0,2224.0,2000.0,2193.0,135343
2016-02-07,2218.0,2299.0,2068.0,2170.0,117826
2016-02-14,2238.0,2574.0,2207.0,2511.0,469247
2016-02-21,2518.0,2578.0,2410.0,2538.0,137095
2016-02-28,2540.0,2900.0,2535.0,2640.0,186024
2016-03-06,2660.0,2800.0,2603.0,2603.0,138457
2016-03-13,2610.0,2694.0,2554.0,2694.0,304007
2016-03-20,2666.0,2680.0,2582.0,2583.0,96921
2016-03-27,2629.0,2631.0,2539.0,2555.0,115338
2016-04-03,2551.0,2630.0,2537.0,2578.0,110097
2016-04-10,2592.0,2920.0,2567.0,2900.0,383936
2016-04-17,2870.0,2918.0,2801.0,2890.0,228210
2016-04-24,2871.0,2949.0,2845.0,2879.0,107792
2016-05-01,2869.0,3056.0,2855.0,2894.0,51449
2016-05-08,2871.0,2948.0,2751.0,2816.0,56945
2016-05-15,2786.0,3097.0,2760.0,2951.0,392921
2016-05-22,2922.0,2998.0,2855.0,2913.0,246648
2016-05-29,2940.0,2961.0,2885.0,2941.0,76700
2016-06-05,2930.0,2974.0,2910.0,2954.0,62956
2016-06-12,2937.0,3025.0,2918.0,3025.0,84732
2016-06-19,2991.0,3026.0,2810.0,2900.0,143577
2016-06-26,2906.0,2978.0,2890.0,2900.0,100623
2016-07-03,2910.0,2939.0,2735.0,2764.0,150366
2016-07-10,2771.0,2920.0,2675.0,2705.0,249249
2016-07-17,2688.0,2790.0,2605.0,2790.0,302079
2016-07-24,2780.0,2898.0,2761.0,2895.0,396140
2016-07-31,2900.0,3140.0,2516.0,3070.0,763235
2016-08-07,3085.0,3166.0,3056.0,3155.0,244989
2016-08-14,3165.0,3178.0,2654.0,2920.0,1066015
2016-08-21,2901.0,3068.0,2871.0,3024.0,346338
2016-08-28,3025.0,3300.0,3005.0,3270.0,571388
2016-09-04,3261.0,3292.0,3181.0,3197.0,271189
2016-09-11,3187.0,3187.0,3010.0,3010.0,163004
2016-09-18,3017.0,3167.0,3011.0,3111.0,78223
2016-09-25,3130.0,3132.0,3041.0,3123.0,86831
2016-10-02,3297.0,3399.0,3080.0,3169.0,846019
2016-10-09,3175.0,3251.0,2810.0,2903.0,730002
2016-10-16,2841.0,3045.0,2841.0,2906.0,447443
2016-10-23,2905.0,3325.0,2690.0,3264.0,881933
2016-10-30,3455.0,3490.0,3277.0,3306.0,1221412
2016-11-06,3312.0,3496.0,3276.0,3482.0,1088097
2016-11-13,3500.0,3541.0,3391.0,3534.0,1176384
2016-11-20,3535.0,3565.0,3531.0,3563.0,1210114
2016-11-27,3563.0,3579.0,3545.0,3558.0,1246092
2016-12-04,3558.0,3561.0,3556.0,3558.0,453393
2016-12-11,3560.0,3561.0,3541.0,3554.0,1333089
2016-12-18,3554.0,3579.0,3517.0,3570.0,2267325
2016-12-25,3575.0,3600.0,3560.0,3589.0,563372
2017-01-01,3615.0,3617.0,3593.0,3605.0,28247
2017-01-08,3611.0,3619.0,3596.0,3600.0,658744
2017-01-15,3600.0,3650.0,3587.0,3643.0,769116
2017-01-22,3643.0,3691.0,3404.0,3675.0,304025
2017-01-29,3653.0,4798.0,3575.0,3750.0,86569
2017-02-05,3799.0,3799.0,3438.0,3597.0,58908
2017-02-12,3613.0,3627.0,3407.0,3430.0,26749
2017-02-19,3450.0,3515.0,3307.0,3325.0,11553
2017-02-26,3349.0,3501.0,3231.0,3449.0,21244
2017-03-05,3428.0,3887.0,3354.0,3604.0,48719
2017-03-12,3569.0,3779.0,3240.0,3305.0,101292
2017-03-19,3329.0,3694.0,3287.0,3663.0,18592
2017-03-26,3629.0,4046.0,3502.0,3604.0,18704
2017-04-02,3585.0,3752.0,3499.0,3590.0,18071
2017-04-09,3551.0,3671.0,3056.0,3225.0,67374
2017-04-16,3217.0,3441.0,3189.0,3216.0,13839
