datetime,open,high,low,close,volume
2021-04-18,5.01,7.33,5.01,7.33,2084
2021-04-25,8.06,11.78,8.06,11.78,668
2021-05-02,12.95,17.22,12.95,17.22,180
2021-05-09,18.93,25.17,18.93,25.17,1203
2021-05-16,27.67,33.46,26.62,27.35,807
2021-05-23,29.74,29.74,21.5,24.79,970
2021-05-30,24.88,25.0,22.0,22.5,398
2021-06-06,21.66,23.88,17.4,20.7,565
2021-06-13,20.7,22.0,18.36,20.88,314
2021-06-20,19.7,22.5,19.7,21.0,208
2021-06-27,21.88,22.5,20.8,21.68,137
2021-07-04,21.6,22.32,20.4,21.0,182
2021-07-11,21.2,22.0,20.0,20.6,126
2021-07-18,20.05,20.98,19.0,19.04,121
2021-07-25,20.3,21.18,19.5,20.03,193
2021-08-01,20.75,21.75,19.6,21.75,362
2021-08-08,21.95,23.3,21.1,21.5,239
2021-08-15,19.6,23.4,19.6,21.85,212
2021-08-22,22.15,22.8,21.5,22.05,116
2021-08-29,21.75,22.6,21.5,22.2,788
2021-09-05,22.4,22.6,21.65,21.7,1056
2021-09-12,22.05,22.4,21.55,21.95,990
2021-09-19,21.9,22.8,21.2,22.4,1224
2021-09-26,22.6,22.85,20.6,21.0,2692
2021-10-03,21.15,22.0,19.15,20.65,6825
2021-10-10,20.5,21.05,20.0,20.2,5017
2021-10-17,20.2,20.65,20.0,20.3,2846
2021-10-24,20.4,20.4,19.6,19.75,1223
2021-10-31,19.85,20.25,19.6,19.9,784
2021-11-07,19.95,20.55,19.05,20.0,2387
2021-11-14,19.85,20.95,19.6,19.6,2276
2021-11-21,19.6,20.0,19.05,19.15,473
2021-11-28,19.4,20.05,19.15,19.65,367
2021-12-05,19.3,19.4,18.45,19.05,405
2021-12-12,19.0,19.35,18.0,18.8,793
2021-12-19,19.2,19.95,18.15,19.25,740
2021-12-26,19.3,19.5,18.25,18.85,621
2022-01-02,18.9,20.1,18.85,19.3,507
2022-01-09,19.3,21.3,18.7,18.95,3592
2022-01-16,19.4,19.8,18.25,18.85,1068
2022-01-23,18.9,19.05,18.0,18.75,505
2022-01-30,19.2,19.65,18.55,18.85,444
2022-02-06,18.9,19.05,18.6,18.6,261
2022-02-13,18.8,19.1,18.4,18.7,540
2022-02-20,18.75,18.75,12.15,14.05,1898
2022-03-27,14.0,15.3,10.55,14.2,2366
2022-04-03,15.55,19.25,14.8,16.1,5095
2022-04-10,16.1,17.35,14.8,15.75,2929
2022-04-17,16.15,17.25,14.15,14.65,2964
2022-04-24,15.25,15.35,13.8,14.6,1600
