datetime,open,high,low,close,volume
2014-12-14,781.0,890.0,780.0,890.0,31
2014-12-21,900.0,900.0,900.0,900.0,6
2014-12-28,939.0,939.0,900.0,900.0,35
2015-02-01,840.0,840.0,840.0,840.0,4
2015-02-15,810.0,810.0,810.0,810.0,3
2015-02-22,817.0,845.0,800.0,840.0,101
2015-03-01,810.0,866.0,810.0,849.0,211
2015-03-08,811.0,811.0,810.0,810.0,11
2015-03-22,810.0,810.0,800.0,800.0,38
2015-03-29,830.0,830.0,795.0,795.0,124
2015-04-05,800.0,945.0,757.0,945.0,114
2015-04-12,900.0,950.0,850.0,950.0,46
2015-04-19,993.0,1185.0,870.0,1015.0,298
2015-04-26,979.0,1395.0,979.0,1170.0,698
2015-05-03,1333.0,1499.0,1318.0,1499.0,100
2015-05-10,1293.0,1620.0,1293.0,1594.0,144
2015-05-17,1581.0,1581.0,1551.0,1551.0,31
2015-05-24,1500.0,1510.0,1330.0,1500.0,81
2015-05-31,1330.0,1500.0,1330.0,1400.0,9
2015-06-07,1335.0,1335.0,1300.0,1325.0,68
2015-06-21,1200.0,1200.0,1165.0,1195.0,8
2015-06-28,1170.0,1209.0,1170.0,1190.0,17
2015-07-05,1199.0,1199.0,1161.0,1191.0,15
2015-07-19,1205.0,1205.0,1205.0,1205.0,9
2015-07-26,1131.0,1140.0,1131.0,1140.0,20
2015-08-02,1145.0,1145.0,1145.0,1145.0,3
2015-08-09,1005.0,1295.0,1005.0,1295.0,5
2015-08-23,1130.0,1310.0,915.0,1310.0,36
2015-08-30,1285.0,1285.0,1285.0,1285.0,8
2015-09-06,1250.0,1250.0,1235.0,1235.0,21
2015-09-13,1285.0,1330.0,1285.0,1285.0,26
2015-09-20,1270.0,1270.0,1255.0,1255.0,10
2015-09-27,1290.0,1325.0,1290.0,1325.0,45
2015-10-04,1355.0,1355.0,1300.0,1320.0,120
2015-10-11,1345.0,1345.0,1315.0,1315.0,19
2015-10-18,1340.0,1355.0,1315.0,1355.0,35
2015-10-25,1360.0,1415.0,1310.0,1325.0,40
2015-11-01,1350.0,1350.0,1300.0,1305.0,9
2015-11-08,1335.0,1575.0,1275.0,1400.0,201
2015-11-15,1400.0,1965.0,1400.0,1780.0,535
2015-11-22,1755.0,2065.0,1715.0,2000.0,371
2015-11-29,1975.0,2000.0,1800.0,1995.0,97
2015-12-06,1980.0,2000.0,1870.0,1985.0,128
2015-12-13,1995.0,2050.0,1920.0,1945.0,55
2015-12-20,1960.0,1960.0,1930.0,1930.0,9
2015-12-27,1985.0,2115.0,1940.0,1985.0,108
2016-01-03,2255.0,3770.0,2230.0,2760.0,358
2016-01-10,2630.0,2830.0,2215.0,2505.0,125
2016-01-17,2525.0,2555.0,2300.0,2425.0,21
2016-01-24,2410.0,2435.0,2160.0,2300.0,175
2016-01-31,2350.0,2580.0,2315.0,2495.0,36
2016-02-07,2470.0,3300.0,2380.0,2660.0,354
2016-02-14,2680.0,2890.0,2305.0,2680.0,63
2016-02-21,2670.0,3000.0,2520.0,2565.0,133
2016-02-28,2610.0,2610.0,2430.0,2525.0,39
2016-03-06,2575.0,2860.0,2575.0,2705.0,124
2016-03-13,2680.0,2775.0,2645.0,2775.0,36
2016-03-20,2865.0,2920.0,2480.0,2480.0,484
2016-03-27,2540.0,2540.0,1900.0,2040.0,1178
2016-04-03,2120.0,2330.0,1990.0,2060.0,787
2016-04-10,2055.0,2435.0,1900.0,1995.0,2512
2016-04-17,2010.0,2340.0,1950.0,1995.0,1549
2016-04-24,1965.0,1990.0,1890.0,1895.0,516
2016-05-01,1890.0,1890.0,1710.0,1790.0,1582
2016-05-08,1820.0,1830.0,1760.0,1770.0,1944
2016-05-15,1800.0,1840.0,1700.0,1770.0,258
2016-05-22,1770.0,1860.0,1710.0,1710.0,167
2016-05-29,1730.0,1730.0,1510.0,1610.0,235
2016-06-05,1570.0,1680.0,1480.0,1600.0,217
2016-06-12,1560.0,1560.0,1330.0,1450.0,87
2016-06-19,1390.0,1500.0,1240.0,1480.0,124
2016-06-26,1450.0,1600.0,1380.0,1520.0,189
