datetime,open,high,low,close,volume
2014-12-14,300.0,300.0,230.0,230.0,54
2014-12-21,275.0,275.0,205.0,259.0,24
2015-02-01,276.0,276.0,250.0,250.0,7
2015-02-08,300.0,302.0,251.0,280.0,151
2015-02-15,271.0,316.0,260.0,301.0,87
2015-02-22,295.0,328.0,295.0,300.0,29
2015-03-01,337.0,339.0,300.0,305.0,111
2015-03-08,305.0,310.0,275.0,275.0,43
2015-03-15,280.0,280.0,267.0,274.0,56
2015-03-22,275.0,300.0,274.0,290.0,80
2015-03-29,275.0,300.0,270.0,300.0,59
2015-04-05,300.0,300.0,261.0,280.0,5
2015-04-19,265.0,270.0,257.0,264.0,11
2015-04-26,272.0,297.0,272.0,297.0,8
2015-05-03,290.0,290.0,280.0,290.0,5
2015-05-10,290.0,300.0,266.0,280.0,12
2015-05-17,270.0,288.0,270.0,288.0,12
2015-05-24,288.0,288.0,288.0,288.0,3
2015-05-31,268.0,321.0,268.0,321.0,62
2015-06-14,300.0,320.0,300.0,320.0,454
2015-06-21,326.0,326.0,326.0,326.0,4
2015-06-28,289.0,399.0,289.0,399.0,16
2015-07-05,309.0,374.0,298.0,330.0,20
2015-07-19,339.0,339.0,339.0,339.0,3
2015-07-26,340.0,369.0,310.0,369.0,17
2015-08-02,306.0,396.0,272.0,320.0,22
2015-08-23,308.0,330.0,293.0,330.0,13
2015-08-30,360.0,360.0,310.0,310.0,38
2015-09-06,323.0,400.0,297.0,400.0,105
2015-09-13,373.0,373.0,372.0,372.0,4
2015-09-20,396.0,396.0,365.0,379.0,8
2015-09-27,345.0,379.0,301.0,340.0,26
2015-10-04,341.0,354.0,301.0,311.0,60
2015-10-11,318.0,319.0,296.0,296.0,88
2015-10-18,300.0,365.0,295.0,330.0,148
2015-10-25,327.0,350.0,320.0,323.0,51
2015-11-01,329.0,364.0,311.0,311.0,136
2015-11-08,321.0,340.0,321.0,328.0,16
2015-11-15,329.0,332.0,316.0,320.0,28
2015-11-22,324.0,324.0,322.0,322.0,6
2015-11-29,321.0,321.0,317.0,317.0,10
2015-12-06,307.0,315.0,304.0,304.0,52
2015-12-13,307.0,307.0,307.0,307.0,3
2015-12-20,313.0,317.0,313.0,317.0,12
2015-12-27,308.0,352.0,306.0,332.0,38
2016-01-03,339.0,381.0,317.0,330.0,37
2016-01-10,331.0,331.0,276.0,309.0,68
2016-01-17,305.0,316.0,305.0,316.0,10
2016-01-24,317.0,328.0,313.0,328.0,27
2016-01-31,330.0,344.0,330.0,344.0,23
2016-02-07,337.0,340.0,330.0,340.0,16
2016-02-14,333.0,333.0,311.0,326.0,12
2016-02-21,327.0,332.0,327.0,332.0,7
2016-02-28,337.0,337.0,329.0,329.0,5
2016-03-06,328.0,328.0,311.0,318.0,30
2016-03-13,325.0,354.0,324.0,344.0,74
2016-03-20,337.0,340.0,310.0,324.0,58
2016-03-27,333.0,400.0,330.0,357.0,63
2016-04-03,364.0,409.0,356.0,387.0,53
2016-04-10,394.0,485.0,377.0,479.0,105
2016-04-17,427.0,427.0,357.0,391.0,93
2016-04-24,383.0,427.0,350.0,401.0,47
2016-05-01,403.0,407.0,403.0,407.0,9
2016-05-08,410.0,430.0,398.0,410.0,32
2016-05-22,400.0,400.0,371.0,388.0,26
2016-05-29,367.0,398.0,360.0,370.0,16
2016-06-05,399.0,428.0,398.0,407.0,17
2016-06-12,408.0,458.0,397.0,410.0,44
2016-06-19,402.0,402.0,400.0,400.0,30
2016-06-26,390.0,397.0,382.0,397.0,5
2016-07-03,397.0,397.0,315.0,360.0,56
2016-07-10,360.0,394.0,337.0,360.0,56
2016-07-17,361.0,385.0,358.0,360.0,147
2016-07-24,360.0,400.0,359.0,370.0,109
2016-07-31,371.0,417.0,357.0,375.0,159
2016-08-07,384.0,404.0,370.0,379.0,84
2016-08-14,379.0,380.0,376.0,378.0,34
2016-08-21,378.0,412.0,378.0,409.0,113
2016-08-28,401.0,428.0,401.0,423.0,116
2016-09-04,410.0,410.0,399.0,399.0,11
2016-09-18,392.0,398.0,392.0,398.0,4
2016-09-25,408.0,423.0,400.0,409.0,17
2016-10-02,387.0,414.0,378.0,410.0,13
2016-10-09,412.0,417.0,412.0,417.0,12
2016-10-16,417.0,417.0,415.0,415.0,6
2016-10-23,400.0,400.0,380.0,390.0,16
2016-10-30,392.0,392.0,392.0,392.0,4
2016-11-06,390.0,390.0,390.0,390.0,6
2016-11-13,398.0,399.0,393.0,399.0,27
2016-11-20,404.0,404.0,397.0,397.0,84
2016-11-27,408.0,414.0,393.0,403.0,75
2016-12-04,404.0,413.0,404.0,410.0,112
2016-12-11,414.0,510.0,411.0,465.0,476
2016-12-18,462.0,462.0,414.0,420.0,143
2016-12-25,416.0,464.0,410.0,440.0,78
2017-01-01,430.0,461.0,430.0,442.0,12
2017-01-08,448.0,448.0,436.0,443.0,25
2017-01-15,426.0,449.0,425.0,430.0,69
2017-01-22,444.0,484.0,439.0,475.0,73
2017-01-29,475.0,479.0,460.0,460.0,31
2017-02-05,448.0,630.0,424.0,486.0,171
2017-02-12,485.0,510.0,435.0,460.0,107
2017-02-19,460.0,493.0,430.0,451.0,239
2017-02-26,440.0,442.0,400.0,438.0,79
2017-03-05,427.0,427.0,345.0,380.0,107
2017-03-12,379.0,410.0,370.0,394.0,45
2017-03-19,404.0,413.0,330.0,392.0,295
2017-03-26,383.0,383.0,355.0,378.0,59
2017-04-02,376.0,390.0,374.0,389.0,20
2017-04-09,380.0,380.0,357.0,370.0,25
2017-04-16,368.0,381.0,360.0,381.0,14
2017-04-23,384.0,394.0,367.0,387.0,31
2017-04-30,390.0,448.0,350.0,407.0,697
2017-05-07,407.0,424.0,407.0,420.0,42
2017-05-14,417.0,417.0,368.0,368.0,229
2017-05-21,375.0,375.0,328.0,339.0,152
2017-05-28,336.0,352.0,310.0,337.0,124
2017-06-04,344.0,344.0,331.0,336.0,37
2017-06-11,338.0,343.0,324.0,324.0,45
2017-06-18,329.0,337.0,320.0,337.0,81
2017-06-25,333.0,338.0,329.0,330.0,41
2017-07-02,330.0,338.0,329.0,337.0,38
