datetime,open,high,low,close,volume
2014-12-07,439.0,439.0,332.0,420.0,6
2014-12-14,274.0,366.0,256.0,347.0,116
2014-12-21,258.0,330.0,252.0,256.0,95
2015-02-01,305.0,321.0,290.0,290.0,14
2015-02-08,299.0,409.0,247.0,370.0,150
2015-02-15,310.0,376.0,310.0,358.0,35
2015-02-22,316.0,353.0,316.0,353.0,7
2015-03-01,377.0,500.0,336.0,380.0,661
2015-03-08,400.0,490.0,351.0,405.0,375
2015-03-15,409.0,469.0,362.0,362.0,29
2015-03-22,370.0,370.0,367.0,367.0,11
2015-03-29,415.0,475.0,351.0,371.0,184
2015-04-05,351.0,394.0,350.0,383.0,173
2015-04-12,385.0,385.0,385.0,385.0,3
2015-04-19,350.0,393.0,350.0,350.0,67
2015-04-26,353.0,380.0,285.0,355.0,30
2015-05-03,365.0,400.0,365.0,400.0,96
2015-05-17,333.0,379.0,333.0,335.0,19
2015-05-24,264.0,378.0,262.0,375.0,40
2015-05-31,379.0,379.0,379.0,379.0,3
2015-06-07,380.0,380.0,380.0,380.0,3
2015-06-14,414.0,414.0,413.0,413.0,8
2015-06-28,312.0,388.0,290.0,304.0,71
2015-07-05,278.0,328.0,238.0,270.0,71
2015-07-12,298.0,298.0,298.0,298.0,3
2015-07-19,279.0,337.0,279.0,337.0,11
2015-07-26,300.0,399.0,252.0,300.0,339
2015-08-02,300.0,319.0,300.0,319.0,19
2015-08-09,319.0,320.0,319.0,320.0,38
2015-08-16,325.0,330.0,300.0,330.0,97
2015-08-23,303.0,320.0,303.0,310.0,106
2015-08-30,310.0,310.0,303.0,310.0,85
2015-09-06,310.0,310.0,290.0,290.0,75
2015-09-13,300.0,330.0,280.0,300.0,171
2015-09-20,300.0,340.0,300.0,320.0,180
2015-09-27,315.0,335.0,303.0,335.0,47
2015-10-04,336.0,336.0,313.0,313.0,13
2015-10-11,301.0,301.0,301.0,301.0,27
2015-10-18,300.0,300.0,300.0,300.0,6
2015-10-25,300.0,300.0,300.0,300.0,18
2015-11-01,319.0,350.0,319.0,321.0,35
2015-11-08,320.0,400.0,320.0,340.0,33
2015-11-15,340.0,365.0,340.0,350.0,93
2015-11-22,377.0,730.0,353.0,698.0,643
2015-11-29,798.0,799.0,417.0,459.0,2291
2015-12-06,445.0,468.0,445.0,449.0,42
2015-12-13,448.0,448.0,386.0,423.0,67
2015-12-20,436.0,465.0,412.0,444.0,23
2015-12-27,432.0,432.0,325.0,380.0,538
2016-01-03,372.0,372.0,369.0,372.0,10
2016-01-10,380.0,383.0,340.0,358.0,68
2016-01-17,369.0,377.0,342.0,377.0,38
2016-01-24,364.0,378.0,316.0,360.0,128
2016-01-31,368.0,698.0,363.0,648.0,2492
2016-02-07,660.0,1139.0,622.0,1065.0,7082
2016-02-14,1108.0,2202.0,915.0,1350.0,7872
2016-02-21,1441.0,1500.0,1092.0,1300.0,3247
2016-02-28,1335.0,1398.0,1199.0,1231.0,1717
2016-03-06,1298.0,1298.0,1150.0,1212.0,247
2016-03-13,1164.0,1164.0,892.0,979.0,576
2016-03-20,996.0,1023.0,941.0,941.0,138
2016-03-27,945.0,945.0,805.0,841.0,157
2016-04-03,864.0,883.0,751.0,883.0,120
2016-04-10,856.0,884.0,760.0,842.0,53
2016-04-17,843.0,1298.0,735.0,1000.0,1604
2016-04-24,978.0,978.0,785.0,811.0,443
2016-05-01,860.0,900.0,765.0,795.0,150
2016-05-08,785.0,850.0,685.0,810.0,311
2016-05-15,780.0,795.0,670.0,700.0,159
2016-05-22,700.0,740.0,575.0,640.0,508
2016-05-29,640.0,1040.0,640.0,820.0,2819
2016-06-05,780.0,815.0,725.0,735.0,38
