datetime,open,high,low,close,volume
2013-01-20,0.0251,0.0256,0.0251,0.0256,3
2014-12-07,0.0084,0.0086,0.008,0.0081,97269
2014-12-14,0.0078,0.0078,0.0063,0.0069,440870
2015-02-01,0.7148,0.759,0.7148,0.7515,55544
2015-02-08,0.7825,0.9213,0.7515,0.8943,490698
2015-02-15,0.9018,0.9393,0.8408,0.8774,478807
2015-02-22,0.8738,0.9488,0.8403,0.9188,942237
2015-03-01,0.921,0.9893,0.8972,0.9668,702544
2015-03-08,0.9693,0.9693,0.9103,0.9113,246668
2015-03-15,0.9081,0.9388,0.8489,0.8564,354862
2015-03-22,0.8495,0.9305,0.8405,0.924,426625
2015-03-29,0.929,1.1475,0.929,1.1059,657708
2015-04-05,1.1075,1.2185,1.107,1.115,678260
2015-04-12,1.109,1.1785,1.0322,1.1465,516042
2015-04-19,1.1505,1.1697,1.1187,1.1505,167548
2015-04-26,1.1472,1.2061,1.1395,1.1961,347176
2015-05-03,1.2165,1.275,1.183,1.231,405946
2015-05-10,1.2389999999999999,1.2974999999999999,1.2095,1.231,314485
2015-05-17,1.236,1.237,1.1400000000000001,1.198,303788
2015-05-24,1.1915,1.2885,1.1915,1.2415,334250
2015-05-31,1.236,1.249,1.15,1.152,306207
2015-06-07,1.161,1.19,1.0765,1.1185,335188
2015-06-14,1.1195,1.21,1.101,1.18,434403
2015-06-21,1.1895,1.21,1.166,1.21,145026
2015-06-28,1.2005,1.23,1.1835,1.195,121902
2015-07-05,1.1905000000000001,1.1975,1.1205,1.158,238743
2015-07-12,1.17,1.21,1.1400000000000001,1.1955,200686
2015-07-19,1.181,1.2005,1.141,1.157,177536
2015-07-26,1.147,1.159,1.1,1.1335,259055
2015-08-02,1.133,1.141,1.111,1.129,95731
2015-08-09,1.13,1.1465,1.12,1.1355,86769
2015-08-16,1.1325,1.1355,1.045,1.05,150391
2015-08-23,1.05,1.1355,0.986,1.107,257339
2015-08-30,1.1125,1.151,1.0725,1.102,177884
2015-09-06,1.09,1.119,1.08,1.1135,88387
2015-09-13,1.109,1.116,1.0505,1.051,746267
2015-09-20,1.056,1.079,1.036,1.062,150355
2015-09-27,1.065,1.0795,1.043,1.069,53907
2015-10-04,1.067,1.1415,1.0615,1.1360000000000001,248881
2015-10-11,1.1360000000000001,1.19,1.102,1.181,216984
2015-10-18,1.187,1.23,1.172,1.2,319412
2015-10-25,1.1975,1.22,1.1705,1.22,155612
2015-11-01,1.215,1.2665,1.206,1.2185,137012
2015-11-08,1.2285,1.25,1.157,1.216,103422
2015-11-15,1.21,1.2585,1.19,1.205,267502
2015-11-22,1.2,1.2295,1.1375,1.1825,374179
2015-11-29,1.1835,1.2,1.1175,1.125,617327
2015-12-06,1.1215,1.1475,1.096,1.097,214179
2015-12-13,1.1,1.1295,1.0685,1.107,356671
2015-12-20,1.0995,1.1,1.016,1.0575,429387
2015-12-27,1.058,1.114,1.05,1.106,250391
2016-01-03,1.1395,1.4304999999999999,1.121,1.42,927079
2016-01-10,1.396,1.4125,1.238,1.2610000000000001,491526
2016-01-17,1.2695,1.37,1.221,1.3155000000000001,303397
2016-01-24,1.3155000000000001,1.405,1.2905,1.34,322219
2016-01-31,1.349,1.452,1.3165,1.425,320435
2016-02-07,1.4304999999999999,1.4325,1.3559999999999999,1.3995,184890
2016-02-14,1.409,1.5390000000000001,1.383,1.4875,458013
2016-02-21,1.4895,1.5585,1.436,1.5385,333614
2016-02-28,1.538,1.619,1.525,1.605,448979
2016-03-06,1.605,1.6595,1.5775000000000001,1.608,292985
2016-03-13,1.5905,1.7029999999999998,1.5705,1.617,359252
2016-03-20,1.641,1.77,1.6315,1.77,313935
2016-03-27,1.7810000000000001,1.845,1.732,1.83,323472
2016-04-03,1.83,1.8399999999999999,1.721,1.763,355810
2016-04-10,1.7650000000000001,1.8399999999999999,1.7405,1.766,401229
2016-04-17,1.7495,1.8225,1.6,1.8199999999999998,500785
2016-04-24,1.8199999999999998,1.8495,1.7905,1.7974999999999999,408043
2016-05-01,1.79,1.806,1.76,1.7865,216696
2016-05-08,1.794,1.8090000000000002,1.6635,1.72,356516
2016-05-15,1.791,1.9304999999999999,1.778,1.92,1148637
2016-05-22,1.9195,1.95,1.9,1.9445000000000001,340803
2016-05-29,1.9449999999999998,2.15,1.9205,2.15,561925
2016-06-05,2.159,2.2395,2.1055,2.195,762418
2016-06-12,2.22,2.4875,2.1825,2.4875,766200
2016-06-19,2.469,2.6,2.445,2.58,540521
2016-06-26,2.602,2.605,2.2755,2.4699999999999998,981544
2016-07-03,2.49,2.5855,2.415,2.5605,508049
2016-07-10,2.576,2.88,2.5365,2.635,475978
2016-07-17,2.6175,2.7295,2.5555,2.633,307091
2016-07-24,2.6565,2.7295,2.552,2.614,281162
2016-07-31,2.6195,2.648,2.5220000000000002,2.5225,190042
2016-08-07,2.5300000000000002,2.653,2.461,2.6,220241
2016-08-14,2.621,2.6885,2.561,2.6215,270628
2016-08-21,2.621,2.901,2.616,2.8895,360219
2016-08-28,2.88,2.975,2.7824999999999998,2.9050000000000002,440951
2016-09-04,2.9050000000000002,3.2,2.898,3.1645,545373
2016-09-11,3.25,3.287,2.99,3.069,1703209
2016-09-18,3.099,3.22,2.9245,3.1995,544247
2016-09-25,3.2045,3.22,3.104,3.1905,216179
2016-10-02,3.19,3.403,3.164,3.36,1033121
2016-10-09,3.365,3.419,3.1705,3.243,1067943
2016-10-16,3.2275,3.356,3.1755,3.181,610913
2016-10-23,3.17,3.3695,3.0215,3.36,1019019
2016-10-30,3.37,3.4859999999999998,3.309,3.435,277550
2016-11-06,3.45,3.7,3.394,3.6,537612
2016-11-13,3.6390000000000002,3.9985,3.6045,3.9945,1172511
2016-11-20,3.999,4.075,3.771,3.7995,1298556
2016-11-27,3.81,3.95,3.6645,3.6710000000000003,3792663
2016-12-04,3.6785,3.8775,3.4055,3.849,1095752
2016-12-11,3.851,3.87,3.7235,3.725,843837
2016-12-18,3.749,3.85,3.677,3.76,517557
2016-12-25,3.75,3.844,3.725,3.844,353273
2017-01-01,3.8449999999999998,4.2995,3.8305,4.251,638668
2017-01-08,4.251,4.28,3.98,4.025,957045
2017-01-15,4.029,4.0485,3.7199999999999998,3.747,1032906
2017-01-22,3.747,4.0,3.71,3.9505,635664
2017-01-29,3.9665,4.148,3.934,4.01,761339
2017-02-05,4.02,4.1095,3.895,3.99,820521
2017-02-12,4.0,4.031,3.8,3.873,642914
2017-02-19,3.877,3.8935,3.7,3.8,383337
2017-02-26,3.8,4.0255,3.0435,3.71,1420767
2017-03-05,3.7199999999999998,3.7800000000000002,3.45,3.6,759145
2017-03-12,3.6,3.9925,3.58,3.9925,835645
2017-03-19,3.9925,4.14,3.902,4.133,634656
2017-03-26,4.115,4.163,3.976,4.0125,550624
2017-04-02,4.01,4.2085,3.961,4.107,478284
2017-04-09,4.075,4.12,3.8465,3.951,794179
2017-04-16,3.94,4.032,3.7664999999999997,3.9695,614930
2017-04-23,3.9695,4.07,3.9074999999999998,4.05,444108
2017-04-30,4.0785,4.17,3.8609999999999998,3.98,294989
2017-05-07,4.041,4.1335,4.0075,4.1,276994
2017-05-14,4.1,4.138,3.82,3.9,311006
2017-05-21,3.935,4.101,3.7615,4.1,411905
2017-05-28,4.1,4.1085,3.875,3.945,343724
2017-06-04,3.9699999999999998,4.0,3.806,3.9875,205844
2017-06-11,4.0,4.084,3.693,3.693,1076311
2017-06-18,3.588,3.9095,3.561,3.892,689950
2017-06-25,3.892,3.973,3.791,3.833,502291
2017-07-02,3.849,3.9,3.7035,3.75,398537
2017-07-09,3.74,3.864,3.71,3.8195,398800
2017-07-16,3.8105,3.915,3.73,3.802,379064
2017-07-23,3.8,3.86,3.727,3.73,307672
2017-07-30,3.7455,3.87,3.7119999999999997,3.8375,344069
2017-08-06,3.797,3.918,3.7439999999999998,3.7960000000000003,362162
2017-08-13,3.793,3.8935,3.7815,3.8449999999999998,340331
2017-08-20,3.8449999999999998,3.879,3.827,3.854,204395
2017-08-27,3.8515,3.93,3.794,3.874,408715
2017-09-03,3.867,3.898,3.798,3.89,335108
2017-09-10,3.8905,3.9585,3.85,3.94,449120
2017-09-17,3.915,3.9365,3.806,3.835,368071
2017-09-24,3.8129999999999997,3.84,3.709,3.7119999999999997,425775
2017-10-01,3.724,3.795,3.701,3.749,241969
2017-10-08,3.749,3.774,3.717,3.7439999999999998,276368
2017-10-15,3.733,3.7695,3.652,3.68,336018
2017-10-22,3.68,3.708,3.5629999999999997,3.6525,304733
2017-10-29,3.651,3.651,3.456,3.4865,327830
2017-11-05,3.5025,3.67,3.5025,3.6235,284810
2017-11-12,3.6414999999999997,3.657,3.5220000000000002,3.5235,295542
2017-11-19,3.533,3.7,3.49,3.6055,225576
2017-11-26,3.61,3.73,3.567,3.73,285862
2017-12-03,3.7275,3.729,3.48,3.508,250126
2017-12-10,3.5140000000000002,3.6275,3.5060000000000002,3.5925000000000002,273816
2017-12-17,3.6,3.62,3.271,3.34,332554
2017-12-24,3.3495,3.42,3.224,3.4,224586
2017-12-31,3.42,3.585,3.3555,3.544,136032
2018-01-07,3.56,3.561,3.3805,3.44,382777
2018-01-14,3.456,3.555,3.3885,3.541,281898
2018-01-21,3.5595,3.7645,3.5460000000000003,3.7575,534116
2018-01-28,3.7575,3.8689999999999998,3.7135,3.8245,308619
2018-02-04,3.793,3.8285,3.6414999999999997,3.6975,352649
2018-02-11,3.7105,3.826,3.62,3.792,289595
2018-02-18,3.792,3.8209999999999997,3.6585,3.7875,299834
2018-02-25,3.8,3.8445,3.6545,3.7165,583313
2018-03-04,3.719,3.82,3.692,3.818,338560
2018-03-11,3.787,3.84,3.5705,3.7984999999999998,1130500
2018-03-18,3.747,3.839,3.6870000000000003,3.7345,511939
2018-03-25,3.735,3.8305,3.68,3.82,518373
2018-04-01,3.824,3.9885,3.8015,3.93,611800
2018-04-08,3.925,3.963,3.6065,3.75,854711
2018-04-15,3.7565,4.0,3.7355,3.91,497041
2018-04-22,3.908,3.9805,3.8405,3.936,347710
