datetime,open,high,low,close,volume
2014-12-07,3380.0,3740.0,3380.0,3740.0,5
2014-12-14,4050.0,4520.0,3400.0,3770.0,30
2014-12-21,3240.0,3710.0,3240.0,3600.0,49
2014-12-28,3690.0,3710.0,3690.0,3710.0,8
2015-02-01,2850.0,3050.0,2850.0,2900.0,224
2015-02-08,2940.0,3800.0,2830.0,3590.0,1258
2015-02-15,3780.0,4300.0,3390.0,3800.0,273
2015-02-22,3850.0,3890.0,3400.0,3780.0,368
2015-03-01,3800.0,6820.0,3430.0,4430.0,2738
2015-03-08,4480.0,4800.0,3700.0,3750.0,792
2015-03-15,3560.0,3890.0,3530.0,3650.0,287
2015-03-22,3740.0,3800.0,3150.0,3370.0,236
2015-03-29,3370.0,3790.0,3240.0,3550.0,249
2015-04-05,3670.0,4650.0,3480.0,3900.0,268
2015-04-12,3710.0,4070.0,3580.0,3700.0,169
2015-04-19,3620.0,3700.0,3390.0,3600.0,274
2015-04-26,3890.0,5010.0,3450.0,4100.0,2522
2015-05-03,4150.0,4200.0,3500.0,3790.0,887
2015-05-10,3750.0,4040.0,3500.0,3750.0,561
2015-05-17,3630.0,4040.0,3610.0,3690.0,128
2015-05-24,3890.0,4140.0,3600.0,3840.0,159
2015-05-31,3820.0,4040.0,3760.0,3930.0,62
2015-06-07,3920.0,3990.0,3800.0,3990.0,67
2015-06-14,3740.0,4120.0,3730.0,3930.0,460
2015-06-21,4120.0,4130.0,3750.0,3930.0,79
2015-06-28,3760.0,3830.0,3530.0,3680.0,275
2015-07-05,3650.0,3700.0,3520.0,3580.0,136
2015-07-12,3610.0,3720.0,3610.0,3700.0,83
2015-07-19,3710.0,5500.0,3710.0,4100.0,2161
2015-07-26,4010.0,4300.0,3840.0,3950.0,831
2015-08-02,3900.0,4020.0,3780.0,4000.0,591
2015-08-09,4050.0,4280.0,3920.0,4010.0,658
2015-08-16,4030.0,4300.0,4030.0,4100.0,2307
2015-08-23,4010.0,4290.0,3930.0,4130.0,259
2015-08-30,4040.0,4240.0,4000.0,4240.0,354
2015-09-06,4120.0,4280.0,4070.0,4150.0,71
2015-09-13,4190.0,4220.0,4100.0,4120.0,113
2015-09-20,4100.0,4250.0,4000.0,4040.0,430
2015-09-27,3980.0,4090.0,3950.0,4030.0,271
2015-10-04,4040.0,4180.0,4020.0,4100.0,142
2015-10-11,4200.0,4680.0,4110.0,4210.0,174
2015-10-18,4280.0,4640.0,4160.0,4640.0,149
2015-10-25,4600.0,4600.0,4450.0,4590.0,68
2015-11-01,4490.0,4700.0,4350.0,4700.0,104
2015-11-08,4470.0,4670.0,4210.0,4390.0,58
