datetime,open,high,low,close,volume
2014-12-07,39.2,39.9,36.3,39.0,809
2014-12-14,38.0,41.3,35.4,39.7,472
2014-12-21,39.1,40.4,38.6,38.6,23
2015-02-01,36.9,37.8,36.8,37.8,16
2015-02-15,39.6,45.0,39.6,42.9,99
2015-02-22,42.0,42.2,40.0,40.0,57
2015-03-01,39.4,40.0,39.0,39.0,223
2015-03-08,40.9,45.0,40.8,44.9,218
2015-03-15,43.3,47.8,43.2,47.8,61
2015-03-22,46.5,47.5,43.0,47.5,68
2015-03-29,43.9,47.3,43.0,46.7,228
2015-04-05,46.8,49.0,43.0,45.5,131
2015-04-12,44.5,45.3,40.2,45.3,149
2015-04-19,42.5,45.4,42.3,44.0,146
2015-04-26,43.6,45.6,42.8,43.5,44
2015-05-03,43.5,44.3,42.2,43.0,270
2015-05-10,42.2,42.9,42.2,42.9,6
2015-05-17,41.2,42.8,39.5,42.5,671
2015-05-24,40.2,47.2,40.1,47.1,519
2015-05-31,47.2,49.0,45.0,48.4,1287
2015-06-07,48.4,48.5,46.8,46.8,213
2015-06-14,47.7,49.2,47.1,48.0,31
2015-06-21,48.0,50.0,47.0,50.0,64
2015-06-28,50.4,50.4,48.6,49.6,30
2015-07-05,47.8,50.8,42.5,42.6,180
2015-07-12,43.9,43.9,42.1,43.0,61
2015-07-19,43.9,43.9,41.3,41.4,207
2015-07-26,41.5,43.6,41.5,43.0,355
2015-08-02,43.4,47.5,42.7,44.4,125
2015-08-09,44.5,52.0,44.5,52.0,313
2015-08-16,51.3,51.3,47.0,49.8,443
2015-08-23,49.8,62.0,46.9,48.4,296
2015-08-30,47.0,50.0,47.0,48.1,107
2015-09-06,49.0,49.8,48.0,49.5,156
2015-09-13,49.2,56.3,49.2,51.5,838
2015-09-20,51.5,52.1,48.1,48.1,23
2015-09-27,48.1,48.1,45.0,46.6,83
2015-10-04,46.6,47.1,45.0,45.0,128
2015-10-11,46.5,46.6,46.1,46.1,83
2015-10-18,46.2,46.2,45.0,46.1,22
2015-10-25,46.3,48.3,45.2,46.2,77
2015-11-01,46.1,46.1,46.1,46.1,28
2015-11-08,48.2,48.4,46.1,46.1,32
2015-11-15,46.9,48.1,46.9,48.1,39
2015-11-22,48.2,48.2,28.3,44.5,489
2015-11-29,44.8,46.7,44.8,44.8,257
2015-12-06,44.7,45.4,43.7,44.7,37
2015-12-13,45.5,45.6,35.3,45.6,339
2015-12-20,45.3,48.3,45.3,48.1,454
2015-12-27,47.5,48.5,45.0,47.6,268
2016-01-03,47.1,48.3,47.1,47.4,142
2016-01-10,46.8,46.8,45.2,46.0,182
2016-01-17,45.2,45.6,43.2,45.6,260
2016-01-24,45.9,46.8,45.1,45.1,73
2016-01-31,46.2,46.4,44.6,46.4,86
2016-02-07,45.5,46.4,45.5,46.4,8
2016-02-14,47.4,49.7,45.9,48.8,206
2016-02-21,49.5,49.6,47.9,48.8,45
2016-02-28,49.4,50.3,49.3,49.7,804
2016-03-06,49.1,50.0,49.0,49.5,397
2016-03-13,48.8,50.0,48.3,50.0,142
2016-03-20,50.0,52.4,50.0,50.7,296
2016-03-27,50.7,51.1,49.2,50.9,115
2016-04-03,51.0,51.0,51.0,51.0,53
2016-04-10,50.3,51.5,50.3,51.5,326
2016-04-17,50.0,50.5,49.2,50.5,143
