datetime,open,high,low,close,volume
2014-12-07,4.59,4.59,4.58,4.59,607661
2014-12-14,4.59,4.7,4.59,4.7,445120
2014-12-21,4.52,4.72,4.52,4.62,124
2014-12-28,4.9,5.03,4.7,5.03,258
2015-02-08,5.25,5.25,5.16,5.16,104
2015-02-22,5.1,5.1,5.05,5.05,12
2015-03-01,5.06,5.06,5.06,5.06,3
2015-03-08,4.9,4.95,4.85,4.85,10
2015-03-15,4.89,4.91,4.89,4.9,7
2015-03-22,4.95,4.95,4.9,4.9,12
2015-03-29,5.02,5.04,5.02,5.04,4
2015-04-19,5.02,5.05,5.02,5.04,17
2015-04-26,5.21,5.21,5.14,5.16,1464004
2015-05-03,5.15,5.25,5.15,5.24,391504
2015-05-17,5.25,5.25,5.23,5.25,9
2015-05-24,4.96,5.25,4.89,5.25,41
2015-05-31,5.17,5.25,5.05,5.24,762040
2015-06-07,5.27,5.27,5.24,5.24,8
2015-06-14,5.24,5.25,5.24,5.24,381303
2015-06-21,5.23,5.26,5.22,5.26,909886
2015-06-28,5.24,5.27,5.24,5.25,872467
2015-07-19,5.22,5.25,5.22,5.25,78
2015-07-26,5.25,5.25,5.25,5.25,3
2015-08-02,5.31,5.31,5.24,5.24,7
2015-08-09,5.24,5.25,5.21,5.22,9
2015-08-23,5.25,5.25,5.25,5.25,3
2015-08-30,5.26,5.35,5.26,5.35,37
2015-09-06,5.35,5.36,5.35,5.36,7
2015-09-27,5.27,5.27,5.2,5.25,15
2015-10-04,5.26,5.26,5.26,5.26,1
2015-10-11,5.25,5.26,5.05,5.05,6
2015-10-18,5.26,5.36,5.26,5.36,71
2015-10-25,5.27,5.4,5.16,5.26,47
2015-11-01,5.35,5.43,5.29,5.41,766734
2015-11-08,5.32,5.32,5.25,5.25,73
2015-11-15,5.42,5.43,5.31,5.43,13
2015-11-22,5.44,5.44,5.44,5.44,278901
2015-11-29,5.44,5.52,5.19,5.4,55
2015-12-06,5.52,5.53,5.43,5.45,102108
2015-12-13,5.5600000000000005,5.6,5.5600000000000005,5.6,182
2015-12-20,5.59,5.6,5.59,5.59,70
2015-12-27,5.46,5.55,5.4,5.54,188
2016-01-10,5.46,5.46,5.46,5.46,28
2016-01-17,5.58,5.6899999999999995,5.46,5.5600000000000005,161
2016-01-24,5.6899999999999995,5.6899999999999995,5.54,5.66,48
2016-01-31,5.6899999999999995,5.6899999999999995,5.5600000000000005,5.5600000000000005,9
2016-02-07,5.55,5.55,5.42,5.55,244
2016-02-21,5.63,5.63,5.63,5.63,15
2016-02-28,5.52,5.57,5.51,5.57,11
2016-03-06,5.5,5.5,5.5,5.5,20
2016-03-13,5.5,5.5,5.1,5.15,132
2016-03-20,5.14,5.18,5.14,5.18,106
2016-03-27,5.27,5.53,5.25,5.51,1002
2016-04-03,5.52,5.5600000000000005,5.5,5.53,1380
2016-04-10,5.53,5.62,5.52,5.62,1296
2016-04-17,5.63,5.67,5.54,5.67,663880
2016-04-24,5.65,5.65,0.38,0.43,56469
2016-05-01,0.441,0.441,0.375,0.377,134637
2016-05-08,0.377,0.384,0.374,0.375,18106
2016-05-15,0.379,0.379,0.376,0.378,29881
2016-05-22,0.376,0.379,0.372,0.377,34852
2016-05-29,0.376,0.381,0.375,0.375,5151148
2016-06-05,0.376,0.395,0.376,0.382,8225278
2016-06-12,0.386,0.388,0.382,0.385,17347
2016-06-19,0.386,0.387,0.381,0.381,31631
2016-06-26,0.383,0.393,0.381,0.386,66362
2016-07-03,0.384,0.387,0.384,0.387,75698
2016-07-10,0.383,0.398,0.383,0.389,61237
2016-07-17,0.389,0.393,0.385,0.389,71264
2016-07-24,0.393,0.397,0.385,0.39,93391
