datetime,open,high,low,close,volume
2014-12-07,82.6,109.0,81.0,105.0,1580
2014-12-14,122.8,122.8,64.1,95.9,3119
2014-12-21,94.0,97.0,71.1,86.1,146
2014-12-28,87.9,95.0,77.3,94.4,59
2015-02-01,74.2,75.1,74.0,74.0,47
2015-02-08,76.8,87.4,76.8,86.0,859
2015-02-15,85.0,88.6,79.0,84.5,612
2015-02-22,83.4,89.9,80.0,82.0,448
2015-03-01,84.1,94.6,81.1,84.0,1934
2015-03-08,85.0,92.6,83.0,90.0,635
2015-03-15,89.0,98.1,87.0,94.3,1224
2015-03-22,93.0,95.0,84.8,89.0,1291
2015-03-29,92.9,97.8,86.0,93.7,679
2015-04-05,97.7,99.9,87.5,93.4,582
2015-04-12,91.0,93.0,79.0,81.4,1004
2015-04-19,81.7,90.0,80.0,89.5,668
2015-04-26,89.5,93.0,79.3,89.9,1991
2015-05-03,80.5,90.0,80.5,86.0,72
2015-05-10,87.0,92.7,86.7,92.7,295
2015-05-17,89.3,109.0,86.3,99.2,890
2015-05-24,108.6,108.6,94.9,94.9,240
2015-05-31,91.9,97.9,85.1,94.8,1193
2015-06-07,92.2,102.4,91.5,100.5,774
2015-06-14,92.9,103.1,80.1,99.2,132
2015-06-21,103.6,103.6,87.0,89.6,448
2015-06-28,87.1,87.1,75.1,78.7,828
2015-07-05,80.1,95.0,75.9,92.8,1547
2015-07-12,92.8,98.5,87.2,94.7,96
2015-07-19,88.0,94.6,86.9,94.6,499
2015-07-26,94.9,100.0,94.0,99.5,276
2015-08-02,99.4,99.4,65.7,94.7,446
2015-08-09,86.4,91.0,80.0,85.0,874
2015-08-16,86.2,94.7,75.9,85.7,1000
2015-08-23,94.0,94.0,79.8,88.2,644
2015-08-30,81.6,94.0,81.4,94.0,57
2015-09-06,83.1,92.6,75.3,83.4,495
2015-09-13,84.7,87.6,80.0,84.5,778
2015-09-20,84.6,88.0,81.8,82.9,291
2015-09-27,81.9,87.8,81.7,85.0,261
2015-10-04,82.7,85.3,76.8,78.0,744
2015-10-11,78.7,80.2,68.2,79.0,185
2015-10-18,75.8,79.5,70.0,76.6,1215
2015-10-25,75.9,80.0,72.0,75.0,1052
2015-11-01,75.0,76.0,73.1,74.5,342
2015-11-08,73.0,76.8,65.0,72.9,688
2015-11-15,73.0,75.0,68.0,72.0,528
2015-11-22,72.2,73.7,71.4,72.0,157
2015-11-29,73.0,74.0,71.8,73.2,125
2015-12-06,72.1,72.7,65.0,65.2,667
2015-12-13,65.0,67.5,61.0,64.1,595
2015-12-20,64.1,64.1,46.0,59.9,1649
2015-12-27,58.7,61.0,51.0,57.4,940
2016-01-03,56.9,57.7,53.2,57.0,265
2016-01-10,56.9,57.1,46.7,52.1,1355
2016-01-17,49.6,74.8,45.7,65.7,2362
2016-01-24,66.1,71.2,56.5,57.4,752
2016-01-31,58.2,62.3,58.0,62.3,224
2016-02-07,60.2,61.1,57.0,58.6,545
2016-02-14,58.1,67.3,57.2,66.0,3174
2016-02-21,66.0,68.0,58.7,64.5,352
2016-02-28,64.8,65.0,61.9,64.9,171
2016-03-06,65.0,65.5,62.2,64.9,304
2016-03-13,64.9,78.9,64.9,71.1,1396
