datetime,open,high,low,close,volume
2014-12-07,64.1,65.1,62.1,64.2,2939
2014-12-14,64.1,64.7,55.0,59.3,29275
2014-12-21,59.5,62.0,56.1,56.6,8932
2014-12-28,57.4,58.1,55.7,57.0,4354
2015-02-01,56.7,58.6,56.1,58.2,6183
2015-02-08,58.1,62.7,57.0,62.0,23579
2015-02-15,61.6,62.6,60.2,61.7,11136
2015-02-22,60.5,61.4,59.2,61.1,6560
2015-03-01,61.2,64.2,61.0,62.0,16391
2015-03-08,61.5,62.8,59.3,59.5,4031
2015-03-15,59.3,59.8,57.1,57.8,5777
2015-03-22,57.8,59.3,56.4,56.6,8459
2015-03-29,56.7,59.5,56.6,59.0,7967
2015-04-05,59.2,59.6,57.1,58.2,8542
2015-04-12,57.5,59.9,57.5,58.7,6628
2015-04-19,58.5,59.2,55.0,58.9,16899
2015-04-26,58.9,59.1,58.3,58.6,4386
2015-05-03,59.0,59.2,57.8,58.0,9101
2015-05-10,58.0,58.2,57.4,57.8,6628
2015-05-17,58.0,58.1,56.6,56.7,6555
2015-05-24,57.0,58.2,56.5,58.0,4354
2015-05-31,58.0,61.2,57.7,61.0,45755
2015-06-07,61.2,67.1,60.4,64.1,65411
2015-06-14,64.1,65.0,62.5,63.1,6911
2015-06-21,63.5,63.7,62.7,62.8,6406
2015-06-28,62.7,63.8,58.1,59.1,22666
2015-07-05,58.6,58.6,57.4,57.6,12038
2015-07-12,57.6,58.1,56.5,57.1,6225
2015-07-19,57.1,57.1,55.7,55.7,7537
2015-07-26,55.9,56.4,54.9,55.5,15265
2015-08-02,55.7,57.0,54.9,55.5,14785
2015-08-09,55.6,58.3,55.4,57.5,37262
2015-08-16,57.4,57.9,55.6,55.9,8532
2015-08-23,55.5,57.0,54.8,56.9,13796
2015-08-30,56.9,57.1,54.9,56.3,4909
2015-09-06,56.9,58.6,55.8,57.6,16100
2015-09-13,57.9,61.6,57.4,59.1,54547
2015-09-20,58.8,59.9,58.3,59.0,17008
2015-09-27,59.0,59.2,55.0,58.0,25080
2015-10-04,58.0,59.5,57.5,58.0,10178
2015-10-11,58.0,59.5,57.8,58.8,6558
2015-10-18,58.8,62.8,58.5,62.8,11200
2015-10-25,62.0,63.1,60.2,61.3,9336
2015-11-01,61.1,63.5,60.5,62.5,6897
2015-11-08,62.75,63.6,59.8,59.95,5443
2015-11-15,59.9,64.4,59.6,62.95,17771
2015-11-22,63.3,64.85,62.4,63.25,16299
2015-11-29,63.0,65.2,62.85,64.15,11964
2015-12-06,64.5,66.35,62.8,63.5,14771
2015-12-13,63.5,67.6,63.5,66.6,26348
2015-12-20,66.6,67.05,64.5,66.0,4746
2015-12-27,65.7,70.0,65.4,69.05,5156
2016-01-03,69.2,69.2,67.1,68.15,719
2016-01-10,67.5,68.4,63.15,63.55,8747
2016-01-17,63.3,66.8,62.6,65.8,6282
2016-01-24,66.0,66.3,64.25,65.0,5609
2016-01-31,65.8,66.5,64.3,64.5,194821
2016-02-07,64.7,65.65,63.65,64.0,5558
2016-02-14,64.95,65.5,63.6,64.85,14685
2016-02-21,64.85,65.85,64.0,64.9,7962
