datetime,open,high,low,close,volume
2014-12-07,650.0,750.0,650.0,750.0,9
2014-12-14,675.0,675.0,675.0,675.0,2
2014-12-21,700.0,750.0,455.0,700.0,2234
2014-12-28,975.0,975.0,760.0,760.0,50
2015-02-01,680.0,875.0,680.0,875.0,12
2015-02-08,900.0,930.0,680.0,930.0,70
2015-02-15,935.0,935.0,700.0,700.0,229
2015-02-22,700.0,700.0,700.0,700.0,121
2015-03-22,705.0,714.0,705.0,714.0,4
2015-04-05,785.0,862.0,785.0,862.0,11
2015-04-12,870.0,900.0,710.0,710.0,98
2015-05-10,790.0,790.0,790.0,790.0,3
2015-06-07,700.0,785.0,700.0,785.0,6
2015-06-14,750.0,750.0,675.0,699.0,10
2015-06-21,698.0,720.0,698.0,720.0,29
2015-06-28,685.0,900.0,675.0,900.0,81
2015-07-05,850.0,850.0,850.0,850.0,3
2015-07-12,780.0,780.0,749.0,749.0,6
2015-07-19,750.0,750.0,750.0,750.0,12
2015-07-26,717.0,717.0,699.0,699.0,13
2015-08-02,690.0,700.0,670.0,670.0,26
2015-08-09,660.0,660.0,660.0,660.0,3
2015-08-23,655.0,655.0,655.0,655.0,5
2015-08-30,709.0,709.0,420.0,420.0,42
2015-09-13,650.0,650.0,650.0,650.0,3
2015-09-20,700.0,700.0,650.0,672.0,12
2015-09-27,680.0,899.0,650.0,702.0,66
2015-10-04,700.0,700.0,699.0,699.0,6
2015-10-11,698.0,698.0,697.0,697.0,4
2015-10-25,729.0,730.0,650.0,698.0,54
2015-11-01,645.0,658.0,645.0,650.0,46
2015-11-08,650.0,650.0,650.0,650.0,3
2015-11-15,652.0,652.0,651.0,652.0,10
2015-11-22,646.0,646.0,646.0,646.0,28
2015-11-29,649.0,650.0,640.0,640.0,373
2015-12-06,630.0,664.0,630.0,660.0,40
2015-12-13,652.0,715.0,649.0,678.0,587
2015-12-20,698.0,698.0,650.0,650.0,67
2015-12-27,650.0,651.0,650.0,650.0,15
2016-01-10,650.0,659.0,620.0,620.0,8
2016-01-17,600.0,665.0,583.0,630.0,19
2016-01-24,620.0,628.0,620.0,628.0,7
2016-01-31,630.0,630.0,630.0,630.0,3
2016-02-07,650.0,709.0,596.0,696.0,170
2016-02-14,700.0,700.0,649.0,649.0,5
2016-02-21,626.0,650.0,626.0,650.0,4
2016-02-28,635.0,696.0,635.0,638.0,21
2016-03-06,673.0,674.0,656.0,656.0,9
2016-03-13,640.0,655.0,631.0,655.0,11
2016-03-27,678.0,724.0,665.0,678.0,17
2016-04-03,665.0,698.0,646.0,667.0,47
2016-04-10,679.0,766.0,679.0,766.0,44
2016-04-17,700.0,710.0,675.0,702.0,34
2016-05-01,677.0,708.0,677.0,708.0,9
2016-05-08,699.0,700.0,675.0,680.0,28
2016-05-15,699.0,699.0,678.0,678.0,6
2016-05-22,698.0,698.0,675.0,687.0,16
2016-05-29,693.0,693.0,693.0,693.0,3
2016-06-05,698.0,700.0,670.0,698.0,13
2016-06-12,698.0,715.0,670.0,697.0,20
2016-06-19,710.0,725.0,710.0,725.0,6
2016-06-26,727.0,727.0,652.0,713.0,38
2016-07-10,684.0,723.0,670.0,683.0,21
2016-07-17,656.0,679.0,655.0,659.0,17
2016-07-24,659.0,659.0,650.0,650.0,141
2016-07-31,661.0,661.0,661.0,661.0,9
2016-08-07,651.0,658.0,620.0,658.0,18
2016-08-14,661.0,661.0,661.0,661.0,3
2016-08-21,641.0,661.0,640.0,660.0,14
2016-08-28,647.0,647.0,647.0,647.0,4
2016-09-11,646.0,672.0,646.0,672.0,12
2016-09-18,650.0,650.0,650.0,650.0,3
2016-09-25,641.0,676.0,625.0,653.0,21
2016-10-02,635.0,647.0,600.0,647.0,19
2016-10-09,617.0,624.0,608.0,622.0,157
2016-10-16,608.0,625.0,603.0,625.0,14
2016-10-23,601.0,615.0,504.0,615.0,322
2016-10-30,614.0,623.0,608.0,623.0,60
2016-11-06,607.0,627.0,607.0,627.0,9
2016-11-20,615.0,628.0,611.0,611.0,63
2016-11-27,619.0,619.0,605.0,619.0,46
2016-12-04,620.0,648.0,610.0,637.0,110
2016-12-11,620.0,640.0,615.0,619.0,213
2016-12-18,628.0,628.0,611.0,623.0,10
2016-12-25,627.0,627.0,601.0,612.0,42
2017-01-01,617.0,617.0,617.0,617.0,3
2017-01-15,622.0,622.0,622.0,622.0,3
2017-01-22,605.0,622.0,605.0,606.0,19
2017-01-29,605.0,625.0,605.0,605.0,125
2017-02-05,619.0,625.0,615.0,625.0,179
2017-02-12,617.0,650.0,617.0,650.0,86
2017-02-19,660.0,778.0,650.0,764.0,324
2017-02-26,727.0,745.0,623.0,639.0,91
2017-03-05,632.0,720.0,630.0,634.0,272
2017-03-12,633.0,635.0,633.0,635.0,21
2017-03-19,635.0,635.0,635.0,635.0,90
2017-03-26,654.0,699.0,600.0,648.0,50
2017-04-02,650.0,664.0,650.0,664.0,53
2017-04-09,603.0,603.0,603.0,603.0,3
2017-04-16,603.0,750.0,600.0,652.0,33
2017-04-30,610.0,700.0,610.0,700.0,80
2017-05-07,699.0,699.0,699.0,699.0,3
2017-06-04,613.0,626.0,600.0,626.0,9
2017-06-11,600.0,610.0,600.0,610.0,4
2017-06-18,527.0,595.0,501.0,560.0,48
2017-06-25,550.0,554.0,525.0,547.0,21
2017-07-02,567.0,569.0,564.0,564.0,11
2017-07-23,550.0,594.0,550.0,594.0,85
2017-07-30,625.0,625.0,533.0,600.0,12
2017-08-06,600.0,600.0,600.0,600.0,3
2017-08-13,541.0,609.0,541.0,570.0,7
2017-09-03,527.0,625.0,527.0,625.0,7
