datetime,open,high,low,close,volume
2014-12-14,10.0,11.2,7.5,10.0,69
2015-02-22,14.0,14.0,11.5,11.5,10
2015-03-08,13.0,13.0,13.0,13.0,9
2015-03-15,11.1,11.1,11.1,11.1,4
2015-03-29,12.0,12.0,8.2,11.8,12
2015-04-12,10.0,10.0,10.0,10.0,81
2015-04-26,12.0,12.0,12.0,12.0,405
2015-05-03,12.0,12.0,12.0,12.0,3
2015-05-17,12.3,14.5,12.3,14.5,12
2015-05-31,14.0,15.1,13.0,15.0,3670
2015-06-07,15.0,15.5,14.0,14.0,4024
2015-06-14,14.5,15.0,14.3,15.0,175
2015-06-21,15.0,15.0,14.0,14.0,4
2015-06-28,14.0,14.0,14.0,14.0,102
2015-07-05,14.0,14.0,14.0,14.0,105
2015-08-16,16.0,16.0,14.1,14.1,27
2015-08-23,15.3,15.3,14.1,14.1,23
2015-09-06,17.1,17.2,17.0,17.2,255
2015-09-13,18.5,18.5,18.5,18.5,3
2015-09-20,18.5,21.0,18.5,21.0,34
2015-10-25,19.1,19.1,19.1,19.1,61
2015-11-08,19.1,19.1,19.1,19.1,26
2015-11-22,19.6,19.6,18.3,18.3,4
2015-11-29,19.2,19.8,19.1,19.1,89
2015-12-06,19.1,19.1,19.1,19.1,3
2015-12-13,18.5,18.5,15.5,17.9,15
2015-12-20,16.5,18.4,16.5,17.0,38
2015-12-27,16.9,19.5,16.9,17.1,88
2016-01-03,17.0,17.0,15.1,15.1,8
2016-01-10,18.5,19.5,16.1,16.7,27
2016-01-17,17.1,17.4,17.1,17.1,12
2016-01-24,17.6,20.4,17.0,20.4,7
2016-01-31,20.3,20.5,20.3,20.4,294
2016-02-07,20.3,20.3,20.3,20.3,30
2016-02-14,20.3,20.4,20.3,20.3,68
2016-02-21,20.8,20.8,20.0,20.7,474
2016-02-28,20.2,20.8,20.2,20.8,89
2016-03-06,20.7,20.7,20.2,20.6,435
2016-03-13,20.4,20.7,20.4,20.7,2242
2016-03-20,20.5,20.7,20.5,20.7,699
2016-04-03,20.7,20.8,20.7,20.8,1001
2016-04-24,21.7,22.0,17.7,22.0,20
2016-05-01,21.8,21.8,19.0,19.4,9
2016-05-08,22.2,22.2,22.2,22.2,4
2016-05-22,21.8,21.8,19.5,20.5,30
2016-06-05,21.1,21.1,21.1,21.1,3
2016-06-12,21.0,21.1,21.0,21.1,19
2016-06-19,22.0,23.0,22.0,23.0,7
2016-06-26,24.5,30.4,19.3,29.4,17
2016-07-03,22.0,31.0,18.0,30.0,7
2016-07-10,24.0,24.5,24.0,24.5,4
2016-07-17,24.8,24.8,24.8,24.8,3
2016-07-24,19.6,25.7,19.6,25.7,7
2016-08-14,25.2,31.4,25.2,30.6,10
2016-08-28,24.5,27.0,24.5,27.0,5
2016-09-04,24.7,24.7,19.5,23.0,91
2016-09-11,23.0,23.0,22.0,23.0,37
2016-09-18,23.0,32.4,21.0,25.7,120
2016-09-25,26.3,26.3,23.0,24.5,30
2016-10-02,26.2,26.2,19.1,23.2,16
2016-10-09,23.7,25.0,23.1,25.0,7
2016-10-16,23.0,23.4,23.0,23.4,10
2016-10-23,22.8,24.8,22.8,24.8,5
2016-10-30,23.0,23.4,23.0,23.4,4
2016-11-06,22.8,25.7,19.7,23.1,12
2016-11-13,26.7,26.7,23.7,24.2,20
2016-11-27,26.4,27.1,26.0,26.7,35
2016-12-04,27.8,27.8,27.8,27.8,3
2016-12-11,27.0,27.0,24.0,24.0,16
2016-12-18,24.0,27.7,24.0,27.7,6
2016-12-25,28.5,28.5,28.5,28.5,3
2017-01-01,29.0,29.0,29.0,29.0,3
2017-01-08,29.0,29.0,29.0,29.0,9
2017-01-15,29.7,29.7,29.7,29.7,3
2017-01-22,30.0,30.0,25.0,26.1,30
2017-01-29,26.1,26.1,26.0,26.0,38
2017-02-19,24.1,24.1,24.0,24.0,15
2017-03-19,21.4,23.1,21.0,23.1,14
2017-03-26,24.0,24.0,24.0,24.0,31
2017-04-09,26.0,26.0,19.5,19.5,300
2017-04-16,19.5,19.5,19.0,19.1,124
2017-05-14,18.5,18.7,18.5,18.7,12
2017-05-21,18.7,18.7,16.4,16.4,6
2017-05-28,16.4,17.0,14.3,17.0,9
2017-06-11,14.5,17.0,14.5,17.0,38
2017-06-18,16.5,28.0,14.7,22.5,138
2017-06-25,25.7,25.7,17.3,19.8,87
2017-07-02,20.0,20.0,19.0,19.5,6
2017-07-09,19.0,19.0,18.4,18.4,17
2017-07-16,19.0,19.0,19.0,19.0,3
2017-07-23,19.0,19.0,17.1,17.1,4
2017-07-30,17.8,17.9,17.0,17.1,57
2017-08-06,17.4,17.9,17.4,17.9,5
2017-08-20,17.9,17.9,17.9,17.9,4
2017-08-27,18.0,18.0,17.2,17.3,33
2017-09-03,16.0,17.2,15.2,17.2,26
2017-09-10,16.9,20.5,16.9,18.2,55
2017-09-17,17.9,20.2,16.6,17.0,33
2017-09-24,17.8,20.8,17.8,18.8,141
2017-10-01,18.9,24.0,18.9,21.4,284
2017-10-08,22.4,23.0,21.5,22.6,213
2017-10-15,22.6,25.5,22.0,24.4,152
2017-10-22,26.1,26.1,22.6,24.3,85
2017-10-29,24.3,25.9,24.1,24.5,56
2017-11-05,23.0,26.0,22.5,26.0,207
2017-11-12,24.0,24.0,18.2,20.4,139
2017-11-19,21.5,21.9,20.1,21.0,11
2017-11-26,18.6,20.5,18.6,20.5,16
2017-12-03,18.3,20.0,14.5,18.5,58
2017-12-10,18.5,18.5,18.5,18.5,3
2017-12-17,15.8,21.3,15.6,20.2,94
2017-12-31,20.4,20.4,19.0,19.5,4
2018-01-07,20.9,20.9,20.0,20.5,10
2018-01-14,21.0,21.0,20.4,20.4,6
2018-01-21,21.4,21.8,17.5,20.5,60
2018-01-28,18.9,19.5,18.7,19.0,24
2018-02-04,18.3,19.1,18.2,18.7,11
2018-02-11,18.1,19.1,17.8,19.1,16
2018-02-18,19.8,22.1,18.7,19.5,37
2018-02-25,19.5,19.5,19.5,19.5,3
2018-03-04,17.9,19.0,17.9,18.2,6
2018-03-11,18.2,18.2,17.5,17.5,14
2018-03-18,18.0,18.7,16.5,17.5,58
2018-03-25,18.5,21.5,18.0,20.0,74
2018-04-01,20.5,20.5,20.5,20.5,3
2018-04-08,18.0,20.2,17.9,20.2,8
2018-04-15,20.5,20.8,20.0,20.8,7
