datetime,open,high,low,close,volume
2010-04-06,1500.0,1685.0,1415.5,1594.97,570
2010-04-07,1689.0,1690.0,1499.44,1645.99,908
2010-04-08,1520.0,1649.99,1421.49,1480.0,438
2010-04-09,1318.0,1510.01,1317.92,1380.0,148
2010-04-12,1338.0,1455.0,1317.91,1455.0,243
2010-04-13,1475.0,1490.0,1457.0,1490.0,73
2010-04-14,1450.03,1530.99,1399.99,1480.0,366
2010-04-15,1414.01,1430.0,1410.0,1430.0,123
2010-04-16,1331.3,1370.0,1317.99,1360.0,7
2010-04-19,1318.0,1360.0,1317.91,1360.0,128
2010-04-20,1350.0,1351.0,1350.0,1351.0,3
2010-04-21,1350.0,1416.5,1350.0,1350.0,3
2010-04-22,1395.9,1450.0,1395.9,1401.09,84
2010-04-23,1317.92,1317.92,1315.15,1315.15,109
2010-04-26,1315.15,1350.0,1188.0,1188.0,33
2010-04-27,1200.02,1200.02,1200.0,1200.0,6
2010-04-28,1190.0,1215.87,1105.99,1215.87,129
2010-04-29,1203.44,1203.44,1150.0,1191.52,104
2010-04-30,1150.01,1150.01,1150.01,1150.01,2
2010-05-04,1179.73,1179.73,1050.0,1067.99,82
2010-05-05,1078.67,1190.16,1068.32,1096.22,101
2010-05-06,1100.0,1100.0,1022.01,1100.0,81
2010-05-07,1110.0,1140.0,1100.0,1100.0,9
2010-05-11,1155.0,1250.0,1154.5,1250.0,24
2010-05-12,1234.28,1328.01,1168.74,1290.55,73
2010-05-13,1285.35,1311.18,1230.0,1230.0,33
2010-05-14,1140.08,1140.08,1140.08,1140.08,5
2010-05-17,1137.04,1252.7,1025.0,1252.7,98
2010-05-18,1244.0,1252.7,1244.0,1252.7,62
2010-05-19,1240.0,1744.75,1045.0,1459.99,764
2010-05-20,1449.99,1515.15,1281.02,1497.94,60
2010-05-21,1500.0,1515.14,1293.67,1376.8,41
2010-05-24,1291.0,1359.8,1291.0,1359.8,5
2010-05-25,1390.86,1390.86,1022.0,1071.01,66
2010-05-26,1269.97,1310.0,1250.0,1250.0,24
2010-05-27,1300.0,1310.0,1300.0,1310.0,2
2010-05-28,1309.75,1379.0,1300.07,1379.0,37
2010-05-31,1389.99,1453.88,1389.99,1453.88,24
2010-06-01,1487.0,1487.0,1400.0,1450.0,15
2010-06-02,1487.99,1487.99,1483.0,1483.0,2
2010-06-03,1494.0,1550.0,1241.04,1480.0,116
2010-06-04,1500.0,1500.0,1258.07,1497.57,125
2010-06-07,1550.0,1550.0,1317.5,1317.5,2
2010-06-08,1377.05,1377.05,1280.0,1350.0,11
2010-06-09,1411.02,1411.02,1322.14,1345.0,22
2010-06-10,1365.99,1366.0,1365.99,1366.0,2
2010-06-11,1449.99,1449.99,1260.04,1444.0,33
2010-06-15,1364.0,1380.0,1364.0,1380.0,14
2010-06-16,1500.0,1500.0,1109.0,1484.0,354
2010-06-17,1454.91,1454.91,1223.0,1400.0,165
2010-06-18,1250.0,1392.97,1250.0,1355.06,1324
2010-06-21,1368.81,1450.0,1282.0,1382.78,46
2010-06-22,1371.97,1371.97,1371.97,1371.97,4
2010-06-23,1384.33,1385.69,1384.33,1385.69,2
2010-06-25,1373.35,1373.35,1371.97,1371.97,2
2010-06-28,1358.39,1358.39,1300.0,1318.44,14
2010-06-30,1331.62,1400.0,1268.37,1290.05,7
2010-07-02,1323.74,1329.57,1323.74,1329.57,7
2010-07-05,1349.0,1350.0,1349.0,1350.0,10
2010-07-07,1243.63,1349.5,1243.63,1349.5,2
2010-07-08,1287.59,1345.0,1280.0,1341.38,7
2010-07-09,1340.0,1340.0,1280.0,1327.49,13
2010-07-12,1339.76,1339.76,1226.1,1315.58,16
2010-07-13,1316.79,1316.79,1277.73,1277.73,9
2010-07-15,1318.44,1318.44,1266.99,1300.0,265
2010-07-16,1305.39,1305.39,1270.0,1270.0,7
2010-07-19,1262.5,1263.76,1260.0,1263.76,19
2010-07-20,1240.77,1240.77,1240.77,1240.77,1
2010-07-22,1219.29,1247.72,1020.0,1200.0,75
2010-07-23,1211.85,1300.0,1211.85,1220.0,62
2010-07-26,1269.0,1279.0,1254.45,1254.45,6
2010-07-29,1242.03,1300.0,1059.03,1300.0,133
2010-07-30,1242.03,1267.02,1242.03,1267.02,3
2010-08-02,1267.0,1267.0,1267.0,1267.0,1
2010-08-04,1279.7,1279.7,1279.7,1279.7,1
2010-08-05,1268.3,1309.0,1268.3,1309.0,12
2010-08-06,1292.51,1292.51,1145.0,1279.72,18
2010-08-09,1291.24,1340.0,1291.24,1300.0,102
2010-08-10,1306.88,1345.95,1250.05,1335.5,75
2010-08-11,1342.0,1358.62,1342.0,1355.0,21
2010-08-12,1350.0,1350.0,1293.98,1293.98,7
2010-08-13,1292.68,1314.68,1267.21,1314.68,6
2010-08-16,1292.68,1292.68,1288.21,1288.21,6
2010-08-17,1279.88,1283.0,1279.88,1283.0,2
2010-08-18,1270.0,1270.0,1250.0,1263.36,50
2010-08-19,1242.24,1250.0,1242.24,1250.0,12
2010-08-20,1229.94,1229.94,1200.0,1210.0,52
2010-08-23,1210.0,1214.0,1210.0,1214.0,37
2010-08-24,1200.0,1200.0,1200.0,1200.0,2
2010-08-25,1210.0,1210.0,1190.0,1190.0,3
2010-08-26,1180.02,1199.9,1180.01,1180.01,4
2010-08-27,1175.0,1250.0,1130.0,1218.13,172
2010-08-30,1230.32,1418.0,1230.32,1390.98,468
2010-08-31,1378.51,1378.51,1300.01,1359.09,7
2010-09-01,1362.09,1391.02,1362.09,1391.02,12
2010-09-02,1392.0,1489.0,1392.0,1447.85,66
2010-09-03,1434.78,1434.78,1361.13,1405.25,21
2010-09-06,1391.34,1392.0,1378.28,1378.28,11
2010-09-07,1405.25,1447.92,1391.0,1447.92,11
2010-09-08,1433.6,1792.83,1405.0,1477.17,238
2010-09-09,1490.48,1643.0,1401.14,1401.2,83
2010-09-10,1405.71,1405.71,1405.71,1405.71,1
2010-09-13,1392.0,1392.0,1392.0,1392.0,1
2010-09-14,1391.79,1391.79,1391.79,1391.79,1
2010-09-15,1404.99,1405.0,1404.99,1405.0,2
2010-09-16,1398.8,1400.0,1380.0,1400.0,52
2010-09-17,1370.0,1370.0,1370.0,1370.0,18
2010-09-20,1405.71,1405.71,1391.79,1391.79,2
2010-09-21,1405.72,1775.0,1405.72,1462.93,74
2010-09-22,1476.85,1477.58,1476.85,1476.91,74
2010-09-23,1487.0,1507.27,1448.46,1492.38,89
2010-09-24,1507.32,1522.38,1492.4,1505.0,109
2010-09-27,1507.33,1507.33,1500.0,1500.0,51
2010-09-28,1505.0,1505.0,1500.0,1500.0,35
2010-09-29,1522.41,1522.41,1522.41,1522.41,1
2010-09-30,1520.0,1520.0,1510.0,1510.0,16
2010-10-01,1508.85,1755.0,1315.0,1520.0,78
2010-10-04,1517.0,1517.0,1517.0,1517.0,1
2010-10-05,1522.41,1531.0,1522.41,1531.0,6
2010-10-06,1535.0,1550.0,1535.0,1550.0,6
2010-10-07,1523.94,1670.0,1522.41,1670.0,69
2010-10-08,1518.07,1637.35,1415.04,1515.0,520
