datetime,open,high,low,close,volume
2010-02-03,0.933,0.945,0.85,0.9,124410
2010-02-04,0.95,1.1,0.85,0.91,605600
2010-02-05,0.915,0.953,0.812,0.885,378410
2010-02-08,0.911,0.92,0.82,0.82,42520
2010-02-09,0.825,0.89,0.765,0.78,178100
2010-02-10,0.796,0.808,0.745,0.795,40510
2010-02-11,0.795,0.795,0.567,0.764,25920
2010-02-12,0.767,0.768,0.632,0.69,27510
2010-02-15,0.689,0.715,0.68,0.69,44660
2010-02-16,0.699,0.701,0.656,0.692,30510
2010-02-17,0.689,0.689,0.58,0.608,428400
2010-02-18,0.609,0.612,0.556,0.588,163130
2010-02-19,0.575,0.702,0.55,0.629,751840
2010-02-24,0.624,0.735,0.615,0.685,637450
2010-02-25,0.677,0.7,0.642,0.67,115940
2010-02-26,0.663,0.675,0.57,0.635,939020
2010-02-27,0.631,0.66,0.602,0.623,114610
2010-03-01,0.652,0.652,0.59,0.618,140310
2010-03-02,0.664,0.664,0.602,0.611,428290
2010-03-03,0.656,0.656,0.602,0.616,65560
2010-03-04,0.659,0.659,0.602,0.615,40940
2010-03-05,0.662,0.662,0.603,0.618,75840
2010-03-09,0.664,0.664,0.603,0.622,54820
2010-03-10,0.644,0.644,0.608,0.62,107360
2010-03-11,0.615,0.64,0.615,0.633,233900
2010-03-12,0.633,0.643,0.597,0.599,1032950
2010-03-15,0.603,0.635,0.6,0.604,1220200
2010-03-16,0.605,0.615,0.597,0.602,539440
2010-03-17,0.607,0.614,0.59,0.609,483790
2010-03-18,0.518,0.611,0.518,0.598,261300
2010-03-19,0.56,0.58,0.547,0.553,6032240
2010-03-22,0.553,0.565,0.532,0.539,3834790
2010-03-23,0.547,0.547,0.514,0.52,3252060
2010-03-24,0.442,0.549,0.442,0.525,8882390
2010-03-25,0.564,0.564,0.518,0.527,2773630
2010-03-26,0.545,0.545,0.516,0.53,3237440
2010-03-29,0.512,0.54,0.51,0.519,11561670
2010-03-30,0.515,0.519,0.507,0.513,3770140
2010-03-31,0.517,0.517,0.505,0.507,2306590
2010-04-01,0.512,0.515,0.505,0.506,2798730
2010-04-02,0.51,0.51,0.5,0.507,3205490
2010-04-05,0.555,0.555,0.503,0.509,1416170
2010-04-06,0.583,0.583,0.507,0.52,6284220
2010-04-07,0.523,0.523,0.498,0.503,3237610
2010-04-08,0.552,0.552,0.489,0.499,2213060
2010-04-09,0.503,0.509,0.498,0.504,1197670
2010-04-12,0.559,0.559,0.499,0.503,2538510
2010-04-13,0.428,0.506,0.428,0.505,1504680
2010-04-14,0.558,0.558,0.5,0.507,1574160
2010-04-15,0.506,0.514,0.502,0.509,1891790
2010-04-16,0.501,0.538,0.501,0.524,10809090
2010-04-19,0.521,0.522,0.503,0.522,2398210
2010-04-20,0.523,0.529,0.51,0.513,5278700
2010-04-21,0.519,0.519,0.499,0.51,8071520
2010-04-22,0.509,0.51,0.5,0.502,2785220
2010-04-23,0.501,0.516,0.499,0.511,2590700
2010-04-26,0.516,0.532,0.514,0.527,5205810
2010-04-27,0.529,0.549,0.519,0.546,8214150
2010-04-28,0.537,0.537,0.511,0.516,5909880
2010-04-29,0.523,0.525,0.508,0.512,5451150
2010-04-30,0.505,0.513,0.499,0.501,3900630
2010-05-04,0.505,0.505,0.475,0.48,3206530
2010-05-05,0.492,0.492,0.454,0.466,2246830
2010-05-06,0.465,0.47,0.455,0.47,914170
2010-05-07,0.451,0.46,0.412,0.422,1741120
2010-05-11,0.451,0.46,0.43,0.441,1935190
2010-05-12,0.396,0.466,0.396,0.458,2669850
2010-05-13,0.528,0.528,0.438,0.443,2555010
2010-05-14,0.5,0.5,0.425,0.435,1973130
2010-05-17,0.423,0.437,0.418,0.431,3548490
2010-05-18,0.513,0.513,0.417,0.441,1230540
2010-05-19,0.441,0.441,0.415,0.424,2144730
2010-05-20,0.506,0.506,0.392,0.395,2756020
2010-05-21,0.425,0.425,0.378,0.401,2439060
2010-05-24,0.477,0.477,0.4,0.408,772200
2010-05-25,0.395,0.398,0.38,0.385,880280
2010-05-26,0.384,0.399,0.384,0.399,1701640
2010-05-27,0.371,0.414,0.371,0.407,1467130
2010-05-28,0.414,0.414,0.401,0.408,443150
2010-05-31,0.403,0.415,0.403,0.414,423560
2010-06-01,0.411,0.476,0.397,0.453,5193440
2010-06-02,0.459,0.459,0.43,0.441,1479600
2010-06-03,0.443,0.515,0.443,0.491,11390940
2010-06-04,0.493,0.538,0.464,0.499,13885900
2010-06-07,0.456,0.499,0.456,0.497,2427070
2010-06-08,0.497,0.512,0.483,0.485,2515920
2010-06-09,0.487,0.497,0.475,0.487,1485720
2010-06-10,0.488,0.492,0.466,0.49,1708640
2010-06-11,0.49,0.49,0.475,0.487,422690
2010-06-15,0.487,0.489,0.475,0.487,572010
2010-06-16,0.485,0.492,0.475,0.488,855150
2010-06-17,0.487,0.489,0.475,0.485,762230
2010-06-18,0.485,0.49,0.477,0.478,692670
2010-06-21,0.49,0.49,0.479,0.485,736350
2010-06-22,0.481,0.488,0.476,0.485,1087040
2010-06-23,0.483,0.485,0.477,0.485,499630
2010-06-24,0.485,0.486,0.47,0.475,633890
2010-06-25,0.475,0.479,0.451,0.457,926370
2010-06-28,0.457,0.468,0.456,0.468,544890
2010-06-29,0.465,0.481,0.441,0.449,1324430
2010-06-30,0.452,0.456,0.428,0.437,1265420
2010-07-01,0.435,0.44,0.413,0.42,1229550
2010-07-02,0.426,0.43,0.415,0.43,615950
2010-07-05,0.443,0.443,0.418,0.424,716220
2010-07-06,0.425,0.436,0.422,0.435,989480
2010-07-07,0.351,0.435,0.351,0.425,706540
2010-07-08,0.429,0.433,0.42,0.425,520060
2010-07-09,0.425,0.429,0.419,0.42,342220
2010-07-12,0.473,0.473,0.421,0.439,1106560
2010-07-13,0.382,0.441,0.382,0.437,524610
2010-07-14,0.439,0.447,0.432,0.435,507550
2010-07-15,0.435,0.442,0.425,0.433,573220
2010-07-16,0.432,0.435,0.421,0.425,346120
2010-07-19,0.423,0.431,0.42,0.426,279970
2010-07-20,0.432,0.433,0.421,0.425,199920
2010-07-21,0.425,0.442,0.423,0.429,1075250
2010-07-22,0.433,0.458,0.429,0.45,2877360
2010-07-23,0.457,0.46,0.442,0.447,730060
2010-07-26,0.449,0.45,0.441,0.446,445760
2010-07-27,0.448,0.448,0.436,0.446,817000
2010-07-28,0.501,0.501,0.44,0.443,1130240
2010-07-29,0.408,0.449,0.408,0.447,621000
2010-07-30,0.443,0.447,0.433,0.438,427650
2010-08-02,0.439,0.452,0.439,0.446,1214000
2010-08-03,0.446,0.47,0.445,0.461,1701250
2010-08-04,0.457,0.46,0.445,0.454,1222340
2010-08-05,0.454,0.459,0.449,0.452,511940
2010-08-06,0.451,0.457,0.445,0.45,364700
2010-08-09,0.455,0.463,0.447,0.46,1190010
2010-08-10,0.456,0.459,0.445,0.451,1262090
2010-08-11,0.447,0.447,0.438,0.442,311150
2010-08-12,0.438,0.442,0.429,0.434,784080
2010-08-13,0.437,0.449,0.435,0.439,487940
2010-08-16,0.439,0.443,0.43,0.435,554060
2010-08-17,0.395,0.439,0.395,0.434,644080
2010-08-18,0.376,0.44,0.376,0.44,620900
2010-08-19,0.438,0.443,0.428,0.43,1164770
2010-08-20,0.375,0.435,0.375,0.431,353960
2010-08-23,0.388,0.433,0.388,0.426,528500
2010-08-24,0.421,0.425,0.415,0.419,588330
2010-08-25,0.419,0.424,0.415,0.42,812300
2010-08-26,0.42,0.424,0.41,0.419,690490
2010-08-27,0.418,0.421,0.414,0.418,537620
2010-08-30,0.421,0.424,0.418,0.42,347010
2010-08-31,0.417,0.43,0.415,0.425,487160
2010-09-01,0.425,0.429,0.417,0.424,1039640
2010-09-02,0.465,0.465,0.42,0.455,8467540
2010-09-03,0.496,0.496,0.447,0.463,3048640
2010-09-06,0.462,0.499,0.458,0.498,7799150
2010-09-07,0.499,0.499,0.47,0.471,2200610
2010-09-08,0.501,0.501,0.465,0.493,3474200
2010-09-09,0.492,0.496,0.479,0.484,1392840
2010-09-10,0.483,0.484,0.475,0.48,506510
2010-09-13,0.542,0.542,0.478,0.488,1726890
2010-09-14,0.484,0.488,0.473,0.48,872740
2010-09-15,0.393,0.48,0.393,0.47,962910
2010-09-16,0.387,0.47,0.387,0.46,743520
2010-09-17,0.457,0.47,0.457,0.465,963350
2010-09-20,0.465,0.466,0.456,0.46,449600
2010-09-21,0.54,0.54,0.453,0.46,1217800
2010-09-22,0.397,0.464,0.397,0.455,1098270
2010-09-23,0.395,0.457,0.395,0.448,1283130
2010-09-24,0.447,0.447,0.439,0.446,435040
2010-09-27,0.45,0.454,0.441,0.453,489680
2010-09-28,0.449,0.451,0.442,0.447,409770
2010-09-29,0.447,0.454,0.441,0.443,242330
2010-09-30,0.445,0.454,0.445,0.451,326120
2010-10-01,0.45,0.454,0.445,0.452,316100
2010-10-04,0.452,0.458,0.448,0.452,410890
2010-10-05,0.453,0.46,0.448,0.458,552270
2010-10-06,0.46,0.47,0.454,0.458,1398810
2010-10-07,0.459,0.465,0.453,0.457,321530
2010-10-08,0.454,0.458,0.445,0.45,412550
2010-10-11,0.45,0.455,0.447,0.452,495690
2010-10-12,0.457,0.457,0.445,0.449,823480
2010-10-13,0.374,0.453,0.374,0.45,540230
2010-10-14,0.45,0.454,0.442,0.445,557150
2010-10-15,0.508,0.508,0.442,0.446,290960
2010-10-18,0.444,0.452,0.442,0.446,647860
