datetime,open,high,low,close,volume
2011-01-11,4060.0,4060.0,3300.0,3350.0,54
2011-01-12,3430.0,4566.0,3350.02,4500.0,123
2011-01-13,4150.0,4640.0,3500.05,3789.99,296
2011-01-14,4100.0,4999.99,3380.01,3598.98,113
2011-01-17,3900.0,3900.0,3006.16,3250.0,136
2011-01-18,3480.0,3480.0,3200.0,3200.0,19
2011-01-19,3200.0,3359.96,2800.02,2870.0,123
2011-01-20,2801.14,2801.14,2260.06,2780.0,78
2011-01-21,2600.0,2625.0,2444.5,2560.0,114
2011-01-24,2500.0,2730.0,2500.0,2580.0,91
2011-01-25,2430.02,2499.0,2350.0,2499.0,52
2011-01-26,2021.02,2560.0,2021.0,2398.99,13
2011-01-27,2299.99,2300.0,2240.0,2270.0,32
2011-01-28,2826.74,2826.74,2250.0,2309.99,24
2011-01-31,2143.03,2429.0,2096.05,2200.0,151
2011-02-02,2000.03,2246.0,2000.03,2246.0,7
2011-02-03,2000.01,2000.01,1825.0,1981.11,97
2011-02-04,2140.0,2140.0,1730.04,1795.02,72
2011-02-07,1650.0,1650.0,1311.0,1349.99,808
2011-02-08,1359.99,1549.99,1190.0,1205.5,658
2011-02-09,1161.02,1242.01,980.0,1174.0,1356
2011-02-10,1170.18,1508.04,1020.07,1274.9,1864
2011-02-11,1397.77,1494.0,1210.0,1487.0,214
2011-02-14,1360.03,1500.0,1290.08,1500.0,51
2011-02-15,1548.0,1600.0,1547.99,1590.0,27
2011-02-16,1599.99,1599.99,1330.0,1366.0,538
2011-02-17,1398.98,1519.94,1345.0,1387.99,400
2011-02-18,1394.44,1450.0,1308.78,1424.94,113
2011-02-21,1350.04,1425.0,1299.99,1325.0,337
2011-02-22,1302.57,1324.99,1200.0,1200.0,184
2011-02-24,1152.01,1205.01,1152.01,1199.99,58
2011-02-25,1152.04,1233.95,1152.0,1161.07,51
2011-02-28,1152.01,1354.99,1152.0,1354.99,241
2011-03-01,1333.3,1378.0,1222.1,1378.0,99
2011-03-02,1240.5,1374.0,1240.5,1311.0,73
2011-03-03,1253.9,1369.7,1253.9,1336.0,48
2011-03-04,1287.5,1381.8,1287.5,1303.3,48
2011-03-05,1303.3,1340.0,1280.0,1302.2,67
2011-03-09,1266.0,1358.7,1265.0,1302.1,136
2011-03-10,1201.0,1368.0,1201.0,1298.1,8
2011-03-11,1201.1,1366.0,1200.0,1366.0,78
2011-03-14,1368.0,1368.0,1250.3,1250.6,45
2011-03-15,1300.0,1319.9,1155.1,1255.6,147
2011-03-16,1161.1,1269.8,1161.1,1186.5,40
2011-03-17,1188.6,1249.6,1188.6,1248.0,8
2011-03-21,1264.0,1498.0,1161.5,1458.0,894
2011-03-22,1455.0,1777.5,900.0,1250.1,578
2011-03-23,1221.1,1295.9,1221.1,1232.2,67
2011-03-24,1231.8,1400.0,1231.8,1300.0,100
2011-03-25,1270.2,1393.8,1265.1,1300.1,54
2011-03-28,1300.0,1300.0,1212.2,1284.6,107
2011-03-29,1297.1,1297.1,1220.1,1295.0,22
2011-03-30,1297.0,1299.1,1223.1,1288.9,35
2011-03-31,1230.1,1320.0,1230.1,1320.0,40
2011-04-01,1320.0,1387.0,1262.1,1383.8,10
2011-04-04,1399.5,1399.5,1301.1,1394.7,18
2011-04-05,1394.6,1394.6,1235.7,1389.9,21
2011-04-06,1384.9,1384.9,1300.0,1382.7,8
2011-04-07,1382.0,1382.0,1270.3,1327.4,16
2011-04-08,1235.3,1320.0,1152.0,1320.0,88
2011-04-11,1320.0,1320.0,1221.0,1250.0,54
2011-04-12,1200.1,1274.9,1180.0,1211.2,319
2011-04-13,1210.0,1740.3,1210.0,1740.3,1102
2011-04-14,2009.6,2189.0,1400.1,1550.0,1790
2011-04-15,1540.0,1700.0,1465.0,1589.4,328
2011-04-18,1500.0,1743.0,1355.1,1493.9,298
2011-04-19,1351.5,1524.0,1302.0,1401.0,93
2011-04-20,1425.3,1500.0,1333.0,1400.0,101
2011-04-21,1450.0,1948.0,1450.0,1800.0,977
2011-04-22,1899.8,2200.0,1540.0,1565.0,1600
2011-04-25,1674.9,1838.0,1555.0,1695.0,768
2011-04-26,1713.0,1749.7,1605.6,1611.0,168
2011-04-27,1694.8,1930.5,1600.0,1734.9,378
2011-04-28,1943.6,2060.0,1700.3,1898.9,513
2011-04-29,1890.1,2099.9,1656.3,1711.9,625
2011-05-03,1641.1,1813.0,1601.2,1697.8,234
2011-05-04,1579.0,1631.8,1502.0,1600.0,170
2011-05-05,1512.0,1550.0,1205.5,1293.9,293
2011-05-06,1255.1,1649.9,1255.0,1302.0,909
2011-05-10,1397.5,1463.5,1280.0,1329.7,214
2011-05-11,1306.0,1348.0,1200.0,1290.0,72
2011-05-12,1230.0,1430.0,1210.0,1311.6,170
2011-05-13,1215.3,1268.8,1130.0,1247.0,500
2011-05-16,1201.1,1289.9,1200.0,1289.9,32
2011-05-17,1299.8,1299.8,1130.0,1174.6,251
2011-05-18,1218.0,1382.9,1150.0,1170.0,448
2011-05-19,1175.1,1334.5,1175.1,1299.7,208
2011-05-20,1235.1,1375.0,1200.0,1300.0,386
2011-05-23,1300.1,1750.0,1224.2,1499.4,1269
2011-05-24,1539.7,1593.9,1309.9,1350.0,503
2011-05-25,1378.9,1485.0,1307.2,1320.1,256
2011-05-26,1337.4,1520.0,1275.0,1330.4,411
2011-05-27,1350.0,1388.9,1330.2,1333.0,43
2011-05-30,1300.0,1439.0,1300.0,1355.3,190
2011-05-31,1366.1,1414.0,1334.0,1380.0,194
2011-06-01,1350.3,1448.8,1301.9,1360.1,145
2011-06-02,1381.6,1904.1,1300.0,1539.9,2363
2011-06-03,1570.1,1630.0,1450.0,1546.3,480
2011-06-06,1571.5,1635.6,1471.1,1531.1,234
2011-06-07,1645.7,1645.7,1500.1,1562.2,67
2011-06-08,1600.0,1600.0,1401.6,1546.9,531
2011-06-09,1578.0,1578.0,1455.3,1500.0,136
2011-06-10,1509.7,1579.0,1450.0,1470.2,207
2011-06-14,1498.9,1532.3,1450.1,1469.9,59
2011-06-15,1499.8,1514.9,1400.0,1498.5,148
2011-06-16,1479.9,1479.9,1375.0,1422.4,86
2011-06-17,1436.4,1489.7,1401.4,1403.3,17
2011-06-20,1468.2,1480.0,1380.0,1480.0,250
2011-06-21,1401.5,1469.9,1401.3,1458.4,147
2011-06-22,1458.5,1458.5,1400.0,1405.1,66
2011-06-23,1380.1,1389.9,1311.0,1311.0,94
2011-06-24,1348.0,1386.2,1311.1,1367.7,14
2011-06-27,1312.5,1315.0,1312.5,1315.0,2
2011-06-28,1336.9,1420.0,1336.9,1400.0,86
2011-06-29,1449.9,1449.9,1370.5,1377.4,19
2011-06-30,1449.8,1449.8,1300.0,1338.8,86
2011-07-01,1275.0,1359.5,1275.0,1337.6,42
2011-07-04,1331.9,1448.2,1331.9,1410.4,95
2011-07-05,1428.5,1428.5,1400.0,1415.0,70
2011-07-06,1368.9,1448.8,1368.9,1400.0,44
2011-07-07,1420.0,1525.0,1420.0,1450.4,257
2011-07-08,1416.1,1480.0,1402.5,1450.1,52
2011-07-11,1496.9,1496.9,1368.0,1399.8,49
2011-07-12,1399.1,1450.0,1386.0,1390.7,525
2011-07-13,1390.4,1403.1,1380.0,1400.0,24
2011-07-14,1390.5,1418.0,1355.5,1385.6,89
2011-07-15,1391.9,1429.9,1366.2,1394.5,64
2011-07-18,1395.2,1449.9,1395.2,1430.6,40
2011-07-19,1400.6,1459.7,1360.0,1410.0,61
2011-07-20,1410.0,1410.0,1340.1,1379.5,101
2011-07-21,1399.6,1399.6,1327.4,1390.1,66
2011-07-22,1404.9,1404.9,1360.6,1399.9,9
2011-07-25,1343.1,1399.7,1343.1,1378.5,35
2011-07-26,1351.1,1351.1,1325.1,1331.4,33
2011-07-27,1325.1,1349.0,1311.0,1337.4,158
2011-07-28,1305.0,1366.7,1305.0,1334.6,19
2011-07-29,1392.0,1392.0,1305.0,1328.1,97
2011-08-01,1377.9,1377.9,1359.8,1359.8,2
2011-08-02,1379.9,1379.9,1325.3,1325.3,21
2011-08-03,1377.9,1400.0,1308.1,1320.0,56
2011-08-04,1340.0,1349.8,1250.0,1325.4,265
2011-08-05,1233.3,1279.8,1131.0,1199.9,165
2011-08-08,1102.8,1217.9,1101.0,1217.9,91
2011-08-09,1055.8,1095.2,1002.7,1069.7,171
2011-08-10,1065.1,1087.5,1032.4,1032.4,28
2011-08-11,1050.0,1051.0,999.0,1010.0,65
2011-08-12,1030.0,1099.9,999.9,1080.0,112
2011-08-15,1098.8,1099.9,1040.0,1056.0,72
2011-08-16,1020.1,1137.8,990.0,1032.0,176
2011-08-17,1029.8,1049.9,1029.2,1029.2,11
2011-08-18,1025.2,1049.9,1000.0,1000.1,83
2011-08-19,1002.4,1002.4,867.0,910.0,228
2011-08-22,899.9,950.0,851.1,950.0,48
2011-08-23,910.3,950.1,850.0,914.9,84
2011-08-24,950.0,988.8,906.5,906.5,5
2011-08-25,925.4,980.0,900.5,950.2,83
2011-08-26,989.8,989.8,936.1,978.7,27
2011-08-29,950.1,997.5,950.0,997.5,20
2011-08-30,970.3,1052.0,970.3,1052.0,3
2011-08-31,1000.0,1072.0,1000.0,1072.0,3
2011-09-01,1000.1,1073.0,1000.0,1025.1,17
2011-09-02,1001.1,1005.0,1001.0,1005.0,17
2011-09-05,947.1,1077.7,947.1,1069.9,54
2011-09-06,1060.0,1060.0,1060.0,1060.0,1
2011-09-07,946.9,1191.1,946.9,1100.0,136
2011-09-08,1100.0,1196.9,1071.8,1181.4,65
2011-09-09,1080.1,1099.9,1041.0,1097.4,73
2011-09-12,1044.1,1044.1,1044.0,1044.0,5
2011-09-13,1000.0,1020.0,1000.0,1000.0,7
2011-09-14,1030.1,1144.9,1000.2,1089.9,119
2011-09-15,1089.9,1145.6,1055.0,1097.8,104
2011-09-19,1035.9,1074.9,1032.0,1074.9,5
2011-09-20,1119.0,1199.9,1065.0,1125.0,115
2011-09-21,1080.0,1080.0,1080.0,1080.0,7
2011-09-22,1037.9,1136.1,1006.0,1006.0,19
2011-09-23,1005.6,1005.6,825.0,935.3,58
2011-09-26,831.0,875.1,800.0,840.1,122
2011-09-27,906.6,1146.0,895.0,895.1,250
2011-09-28,899.0,929.7,888.0,929.7,5
2011-09-29,910.2,936.5,849.1,936.0,116
2011-09-30,879.1,880.1,855.0,855.0,35
2011-10-03,855.6,899.9,831.0,899.8,20
2011-10-04,860.0,869.9,850.0,869.9,19
2011-10-06,831.1,895.0,831.1,894.9,29
2011-10-07,911.0,911.0,889.9,900.2,29
2011-10-10,930.3,993.6,930.3,993.6,13
2011-10-11,1000.0,1000.0,999.9,999.9,31
2011-10-12,998.8,998.8,902.8,902.8,16
2011-10-13,902.5,947.8,900.0,947.8,19
2011-10-14,898.0,998.1,898.0,998.1,23
2011-10-17,909.0,960.0,909.0,960.0,21
2011-10-18,945.0,945.0,905.9,944.9,4
2011-10-19,1030.0,1030.0,949.9,949.9,32
2011-10-20,891.7,929.0,855.0,921.5,56
2011-10-21,940.6,1020.0,921.9,932.9,103
2011-10-24,929.9,929.9,929.9,929.9,6
2011-10-25,907.0,918.0,907.0,907.3,4
2011-10-28,930.0,995.0,930.0,995.0,2
2011-10-31,939.9,939.9,939.9,939.9,5
2011-11-01,902.4,929.9,902.4,902.4,10
2011-11-02,708.5,1260.0,708.5,941.1,636
2011-11-03,1056.0,1056.0,900.0,945.0,29
2011-11-07,910.0,930.0,855.0,914.0,57
2011-11-08,920.0,920.0,861.4,904.7,17
2011-11-09,855.0,900.0,855.0,864.3,55
2011-11-10,942.2,942.2,880.4,942.1,3
2011-11-11,942.3,942.3,942.3,942.3,1
2011-11-14,960.0,960.0,900.0,900.0,43
2011-11-15,900.0,919.8,900.0,900.0,8
2011-11-16,900.0,919.1,900.0,900.0,12
2011-11-17,900.1,972.8,899.9,929.8,69
2011-11-18,910.0,937.7,910.0,937.7,17
2011-11-21,900.2,900.2,831.1,894.9,26
2011-11-22,840.0,894.9,840.0,893.9,17
2011-11-23,887.0,890.0,885.0,885.0,4
2011-11-24,870.0,870.0,870.0,870.0,7
2011-11-25,855.4,900.0,855.1,900.0,6
2011-11-28,898.0,921.9,855.4,899.9,19
2011-11-29,868.0,900.0,868.0,870.1,5
2011-11-30,897.5,917.4,882.4,917.4,28
2011-12-01,855.3,900.0,855.0,900.0,14
2011-12-02,855.1,900.0,855.1,899.5,18
2011-12-05,879.1,879.1,855.1,855.1,29
2011-12-06,901.9,901.9,901.9,901.9,1
2011-12-07,887.9,888.0,887.9,888.0,6
2011-12-08,890.0,931.0,885.1,885.1,48
2011-12-09,929.9,929.9,929.9,929.9,1
2011-12-12,927.9,1070.9,900.0,900.0,25
2011-12-13,900.1,920.1,900.0,900.0,7
2011-12-14,934.9,934.9,934.9,934.9,1
2011-12-15,873.1,940.5,873.0,940.5,12
2011-12-16,950.1,1270.0,807.1,1100.0,259
2011-12-19,1148.6,1148.7,1148.6,1148.7,2
2011-12-20,1079.3,1149.9,1079.3,1149.9,2
