datetime,open,high,low,close,volume
2010-01-11,132.9,134.0,131.7,133.52,2451
2010-01-12,133.0,133.89,130.15,131.0,2330
2010-01-13,130.31,130.31,126.0,128.6,8089
2010-01-14,130.0,130.0,128.0,129.88,4440
2010-01-15,130.03,152.0,130.03,138.5,17207
2010-01-18,139.0,156.54,137.59,154.96,14699
2010-01-19,155.22,164.96,150.22,158.99,15063
2010-01-20,159.46,163.32,147.13,149.59,8509
2010-01-21,154.44,158.0,147.0,152.35,6418
2010-01-22,152.63,152.63,141.0,143.72,6871
2010-01-25,144.03,144.14,137.0,142.94,6331
2010-01-26,142.94,143.03,137.0,139.7,1462
2010-01-27,139.47,145.19,138.12,144.0,3445
2010-01-28,144.83,155.0,144.83,149.84,5003
2010-01-29,149.0,151.96,139.98,146.96,4138
2010-02-01,145.26,149.0,143.0,147.65,1227
2010-02-02,147.8,152.0,147.0,149.99,2996
2010-02-03,150.29,152.5,149.1,150.2,3740
2010-02-04,146.83,150.09,143.26,144.97,5824
2010-02-05,141.75,142.95,137.75,140.45,2003
2010-02-08,141.96,142.48,136.61,138.98,3967
2010-02-09,140.79,140.79,137.61,139.48,884
2010-02-10,139.76,140.99,136.62,137.9,2033
2010-02-11,140.64,140.64,138.0,139.0,2503
2010-02-12,139.2,140.82,136.72,137.89,2624
2010-02-15,143.54,143.54,137.43,139.88,1211
2010-02-16,139.98,143.15,139.52,142.98,4750
2010-02-17,143.46,143.99,142.12,142.98,1502
2010-02-18,142.42,142.42,138.5,139.98,1412
2010-02-19,139.09,139.91,137.05,139.49,4251
2010-02-24,139.63,141.99,138.0,138.49,1179
2010-02-25,138.33,138.99,135.12,136.47,2271
2010-02-26,138.04,138.04,134.91,136.8,1124
2010-02-27,137.0,138.92,136.99,138.0,1519
2010-03-01,138.52,141.3,137.3,139.46,1783
2010-03-02,139.6,140.88,137.0,138.9,2856
2010-03-03,139.58,149.22,139.58,147.4,11538
2010-03-04,153.87,153.87,143.23,147.5,2991
2010-03-05,147.73,149.98,147.2,148.18,1371
2010-03-09,150.0,150.01,145.0,148.5,1611
2010-03-10,148.84,157.0,147.02,154.0,6951
2010-03-11,152.43,156.89,152.43,154.68,3748
2010-03-12,155.28,162.5,154.11,158.97,10327
2010-03-15,158.5,175.0,158.5,164.0,19393
2010-03-16,163.15,174.35,163.15,168.64,13992
2010-03-17,169.11,172.61,162.07,165.98,9033
2010-03-18,165.24,169.0,163.0,168.39,9609
2010-03-19,167.28,168.39,164.61,165.98,5845
2010-03-22,165.23,165.23,159.8,163.37,8119
2010-03-23,163.66,163.66,160.14,162.97,1906
2010-03-24,162.01,165.0,161.01,163.4,3851
2010-03-25,163.26,169.5,161.8,164.84,5813
2010-03-26,164.8,168.63,163.5,168.28,2480
2010-03-29,171.0,177.0,166.07,174.98,8970
2010-03-30,175.0,178.93,169.51,177.49,13810
2010-03-31,177.06,199.55,176.73,198.01,28243
2010-04-01,201.3,265.9,198.0,263.0,61453
2010-04-02,270.27,320.0,253.0,277.0,90874
2010-04-05,278.75,279.0,246.0,261.32,36813
2010-04-06,261.32,264.68,250.01,264.68,12180
2010-04-07,264.7,279.0,250.05,251.52,14930
2010-04-08,251.06,257.0,244.5,254.51,5396
2010-04-09,254.99,264.98,252.1,260.67,8723
2010-04-12,260.0,260.0,246.44,248.6,8542
2010-04-13,249.5,249.5,235.5,236.19,8054
2010-04-14,237.01,248.8,231.0,238.0,14859
2010-04-15,239.0,246.89,230.0,240.0,24291
2010-04-16,240.0,244.7,230.13,236.99,6442
2010-04-19,235.13,235.13,220.0,224.89,7440
2010-04-20,225.15,228.93,223.02,223.5,7248
2010-04-21,226.0,251.88,224.18,251.87,37662
2010-04-22,252.99,262.0,235.5,238.0,24596
2010-04-23,236.72,241.37,236.02,239.0,3035
2010-04-26,241.0,246.0,238.26,239.99,4202
2010-04-27,237.99,239.98,226.5,231.66,3324
2010-04-28,230.05,230.05,216.0,224.5,4807
2010-04-29,224.8,249.5,223.0,239.78,15478
2010-04-30,239.92,247.83,233.02,239.9,12107
2010-05-04,239.99,243.99,225.12,225.17,4499
2010-05-05,225.0,228.48,217.0,222.99,5221
2010-05-06,222.49,225.46,215.0,219.95,2559
2010-05-07,205.5,214.5,197.0,207.17,7679
2010-05-11,217.0,218.85,205.55,209.87,4987
2010-05-12,209.69,218.31,205.21,216.96,3374
2010-05-13,253.04,253.04,207.19,211.6,4987
2010-05-14,211.17,214.87,200.68,201.94,2891
