datetime,open,high,low,close,volume
2008-12-04,500.0,500.0,360.0,360.0,16
2008-12-05,360.0,389.99,251.0,389.99,9
2008-12-08,275.0,389.01,275.0,360.0,1
2008-12-09,362.0,380.0,362.0,380.0,1
2008-12-10,369.99,370.0,369.99,370.0,1
2008-12-19,252.12,252.12,230.0,240.0,13
2008-12-22,240.0,240.0,213.0,213.0,14
2008-12-23,220.0,220.0,200.0,200.0,14
2008-12-24,219.9,219.9,185.02,190.0,12
2008-12-25,190.0,190.0,170.0,175.0,42
2008-12-26,175.0,175.0,170.0,175.0,2
2008-12-29,175.0,180.0,175.0,180.0,3
2008-12-30,178.0,199.0,175.0,185.0,20
2008-12-31,185.0,185.0,185.0,185.0,1
2009-01-12,180.0,180.0,174.0,174.0,8
2009-01-13,174.0,174.0,160.02,174.0,4
2009-01-14,180.0,180.0,180.0,180.0,0
2009-01-15,160.02,178.07,150.01,178.07,5
2009-01-19,166.01,166.01,165.0,165.0,3
2009-01-20,155.0,155.0,122.0,124.01,1
2009-01-21,114.99,139.0,110.01,139.0,5
2009-01-22,164.5,165.0,164.23,164.23,5
2009-01-26,164.99,165.0,164.99,165.0,0
2009-01-27,165.0,165.0,165.0,165.0,0
2009-01-28,140.25,159.99,100.0,107.0,141
2009-01-29,108.5,119.99,90.0,90.0,126
2009-01-30,90.0,92.0,90.0,90.0,22
2009-02-02,90.0,92.0,90.0,92.0,39
2009-02-03,94.9,94.9,85.01,85.4,22
2009-02-04,85.23,119.56,85.23,119.56,233
2009-02-05,110.0,111.01,108.99,110.0,61
2009-02-06,115.0,115.0,110.0,114.99,7
2009-02-09,115.0,124.9,114.0,119.0,24
2009-02-10,120.8,123.22,112.0,119.48,18
2009-02-11,118.17,129.39,109.99,109.99,71
2009-02-12,110.0,114.9,104.57,113.0,78
2009-02-13,113.0,118.8,113.0,113.23,10
2009-02-16,117.5,120.0,115.0,120.0,52
2009-02-17,121.0,134.99,111.44,115.13,153
2009-02-18,118.62,125.0,115.0,120.0,12
2009-02-19,122.21,127.0,121.0,121.0,6
2009-02-20,119.82,124.8,115.0,122.0,24
2009-02-24,122.99,122.99,73.2,107.0,136
2009-02-25,121.0,121.0,106.0,110.5,64
2009-02-26,111.75,112.86,110.7,112.86,4
2009-02-27,113.99,121.0,113.99,118.62,46
2009-03-02,119.81,145.0,119.81,143.8,93
2009-03-03,143.0,182.7,136.5,168.99,359
2009-03-04,183.5,190.0,135.02,170.0,258
2009-03-05,167.96,197.0,167.0,172.27,84
2009-03-06,172.27,194.06,172.27,179.26,47
2009-03-10,197.34,197.34,161.56,195.0,25
2009-03-11,200.0,200.0,175.0,183.0,45
2009-03-12,178.0,187.0,164.0,181.92,108
2009-03-13,178.35,178.35,165.0,177.33,38
2009-03-16,177.33,177.33,172.0,174.99,29
2009-03-17,171.0,173.83,168.0,170.41,50
2009-03-18,169.0,172.0,169.0,172.0,18
2009-03-19,172.0,182.0,172.0,175.57,27
2009-03-20,175.57,182.97,173.83,180.8,30
2009-03-23,180.9,219.8,180.9,206.04,50
2009-03-24,217.82,217.82,186.17,200.0,85
2009-03-25,205.0,279.16,205.0,250.0,226
2009-03-26,234.5,278.98,234.5,273.0,26
2009-03-27,275.0,295.0,250.0,255.0,54
2009-03-30,260.0,309.99,252.0,275.0,50
2009-03-31,280.78,300.0,260.12,286.39,27
2009-04-01,280.0,286.4,269.87,269.89,77
2009-04-02,280.78,286.39,275.28,275.3,16
2009-04-03,290.0,298.99,279.41,296.49,95
2009-04-06,296.0,335.0,289.99,289.99,132
2009-04-07,298.86,298.86,273.94,282.99,7
2009-04-08,290.7,298.0,255.0,279.41,30
2009-04-09,290.0,290.0,260.0,285.0,72
2009-04-10,289.98,289.98,282.7,285.0,32
2009-04-13,290.0,300.0,280.0,285.44,234
2009-04-14,286.44,286.44,280.0,286.43,5
2009-04-15,286.45,286.45,274.68,285.89,16
2009-04-16,288.23,288.23,271.97,283.0,10
2009-04-17,283.0,286.44,280.23,286.44,21
2009-04-20,283.0,285.7,263.0,270.0,27
2009-04-21,269.5,277.95,220.0,263.0,100
