datetime,open,high,low,close,volume
2011-01-09,4060.0,4999.99,3300.0,3598.98,586
2011-01-16,3900.0,3900.0,2260.06,2560.0,470
2011-01-23,2500.0,2826.74,2021.0,2309.99,212
2011-01-30,2143.03,2429.0,1730.04,1795.02,327
2011-02-06,1650.0,1650.0,980.0,1487.0,4900
2011-02-13,1360.03,1600.0,1290.08,1424.94,1129
2011-02-20,1350.04,1425.0,1152.0,1161.07,630
2011-02-27,1152.01,1381.8,1152.0,1302.2,576
2011-03-06,1266.0,1368.0,1200.0,1366.0,222
2011-03-13,1368.0,1368.0,1155.1,1248.0,240
2011-03-20,1264.0,1777.5,900.0,1300.1,1693
2011-03-27,1300.0,1387.0,1212.2,1383.8,214
2011-04-03,1399.5,1399.5,1152.0,1320.0,151
2011-04-10,1320.0,2189.0,1180.0,1589.4,3593
2011-04-17,1500.0,2200.0,1302.0,1565.0,3069
2011-04-24,1674.9,2099.9,1555.0,1711.9,2452
2011-05-01,1641.1,1813.0,1205.5,1302.0,1606
2011-05-08,1397.5,1463.5,1130.0,1247.0,956
2011-05-15,1201.1,1382.9,1130.0,1300.0,1325
2011-05-22,1300.1,1750.0,1224.2,1333.0,2482
2011-05-29,1300.0,1904.1,1300.0,1546.3,3372
2011-06-05,1571.5,1645.7,1401.6,1470.2,1175
2011-06-12,1498.9,1532.3,1375.0,1403.3,310
2011-06-19,1468.2,1480.0,1311.0,1367.7,571
2011-06-26,1312.5,1449.9,1275.0,1337.6,235
2011-07-03,1331.9,1525.0,1331.9,1450.1,518
2011-07-10,1496.9,1496.9,1355.5,1394.5,751
2011-07-17,1395.2,1459.7,1327.4,1399.9,277
2011-07-24,1343.1,1399.7,1305.0,1328.1,342
2011-07-31,1377.9,1400.0,1131.0,1199.9,509
2011-08-07,1102.8,1217.9,999.0,1080.0,467
2011-08-14,1098.8,1137.8,867.0,910.0,570
2011-08-21,899.9,989.8,850.0,978.7,247
2011-08-28,950.1,1073.0,950.0,1005.0,60
2011-09-04,947.1,1196.9,946.9,1097.4,329
2011-09-11,1044.1,1145.6,1000.0,1097.8,235
2011-09-18,1035.9,1199.9,825.0,935.3,204
2011-09-25,831.0,1146.0,800.0,855.0,528
2011-10-02,855.6,911.0,831.0,900.2,97
2011-10-09,930.3,1000.0,898.0,998.1,102
2011-10-16,909.0,1030.0,855.0,932.9,216
2011-10-23,929.9,995.0,907.0,995.0,12
2011-10-30,939.9,1260.0,708.5,945.0,680
2011-11-06,910.0,942.3,855.0,942.3,133
2011-11-13,960.0,972.8,899.9,937.7,149
2011-11-20,900.2,900.2,831.1,900.0,60
2011-11-27,898.0,921.9,855.0,899.5,84
2011-12-04,879.1,931.0,855.1,929.9,85
2011-12-11,927.9,1270.0,807.1,1100.0,304
2011-12-18,1148.6,1220.5,982.0,982.0,145
2011-12-25,982.0,1077.0,918.0,1077.0,343
2012-01-01,1119.9,1176.8,1000.9,1119.7,123
2012-01-08,1130.4,1178.9,1001.2,1059.9,154
2012-01-15,1000.2,1092.2,1000.2,1039.9,50
2012-01-22,1011.2,1030.0,980.0,980.0,43
2012-01-29,1000.0,1009.9,960.0,960.0,28
2012-02-05,988.7,998.9,924.0,952.0,195
2012-02-12,970.0,1136.8,965.2,1021.2,471
2012-02-19,1029.9,1179.0,1020.0,1101.0,527
2012-02-26,1196.9,1196.9,1010.0,1010.0,326
2012-03-04,1077.1,1128.8,1005.0,1030.0,161
2012-03-11,1016.0,1044.0,963.0,1010.0,149
2012-03-18,1047.4,1158.1,945.0,990.0,694
2012-03-25,1039.7,1159.9,1020.0,1125.0,218
2012-04-01,1140.0,1179.0,1065.0,1100.1,550
2012-04-08,1100.0,1149.0,1050.0,1140.0,195
2012-04-15,1149.0,1394.9,1120.0,1236.0,538
2012-04-22,1229.9,1289.9,1200.0,1248.0,180
2012-04-29,1259.7,1259.7,1259.7,1259.7,1
2012-05-06,1177.1,1260.0,1177.1,1203.0,124
2012-05-13,1182.1,1246.9,1020.0,1080.0,285
