datetime,open,high,low,close,volume
2000-01-02 00:00:00,2.35,2.7,2.35,2.635,12473
2000-01-09 00:00:00,2.85,3.394,2.65,3.3,44442
2000-01-16 00:00:00,3.3,3.39,2.8,3.2,49367
2000-01-23 00:00:00,3.25,3.25,2.751,2.751,21516
2000-01-30 00:00:00,2.67,2.67,2.35,2.58,77930
2000-02-06 00:00:00,2.69,2.79,2.4,2.49,80187
2000-02-13 00:00:00,2.5,2.657,2.015,2.07,138252
2000-02-20 00:00:00,2.053,2.166,2.001,2.04,57944
2000-02-27 00:00:00,2.0,2.2,1.86,2.186,121884
2000-03-05 00:00:00,2.27,2.799,2.202,2.757,233373
2000-03-12 00:00:00,2.645,2.93,2.56,2.702,188066
2000-03-19 00:00:00,2.69,2.89,2.591,2.875,130098
2000-03-25 23:00:00,3.0,3.219,2.6,2.73,154291
2000-04-02 00:00:00,2.741,2.79,2.5,2.62,97026
2000-04-09 00:00:00,2.601,2.736,2.601,2.65,66877
2000-04-16 00:00:00,2.57,2.699,2.4,2.699,42126
2000-04-23 00:00:00,2.64,2.8,2.5,2.77,65528
2000-04-30 00:00:00,2.75,2.771,2.65,2.746,9874
2000-05-07 00:00:00,2.74,2.78,2.54,2.556,34126
2000-05-14 00:00:00,2.55,2.56,2.02,2.1,72086
2000-05-21 00:00:00,2.01,2.065,1.049,1.935,79201
2000-05-28 00:00:00,1.88,2.2,1.88,2.2,26704
2000-06-04 00:00:00,2.198,2.24,1.84,2.176,45457
2000-06-11 00:00:00,2.06,2.23,2.016,2.15,16105
2000-06-18 00:00:00,2.071,2.2,1.96,2.045,21562
2000-06-25 00:00:00,2.045,2.09,1.85,2.01,8296
2000-07-02 00:00:00,1.98,2.6,1.98,2.579,51343
2000-07-09 00:00:00,2.6,2.66,2.4,2.64,53806
2000-07-16 00:00:00,2.63,2.78,2.63,2.746,92486
2000-07-23 00:00:00,2.74,3.563,2.655,2.82,47810
2000-07-30 00:00:00,2.751,2.82,2.661,2.72,20998
2000-08-06 00:00:00,2.79,2.79,2.64,2.72,21507
2000-08-13 00:00:00,2.74,2.76,2.651,2.695,15151
2000-08-20 00:00:00,2.63,2.71,2.57,2.703,15352
2000-08-27 00:00:00,2.65,2.77,2.61,2.709,49425
2000-09-03 00:00:00,2.67,3.2,2.635,2.976,114219
2000-09-10 00:00:00,2.902,3.17,2.81,3.03,85276
2000-09-17 00:00:00,2.9,3.13,2.631,2.657,52076
2000-09-24 00:00:00,2.77,3.1,2.77,3.002,27214
2000-10-01 00:00:00,2.9,3.05,2.9,2.93,20967
2000-10-08 00:00:00,2.932,2.94,2.771,2.9,12838
2000-10-15 00:00:00,2.871,3.079,2.87,3.0,22224
2000-10-22 00:00:00,3.02,3.06,3.0,3.055,8467
2000-10-29 01:00:00,3.04,3.375,3.006,3.18,34103
2000-11-05 00:00:00,3.0,3.097,2.93,3.095,23362
2000-11-12 00:00:00,3.01,3.12,3.0,3.04,39321
2000-11-19 00:00:00,3.03,3.3,3.0,3.09,16158
2000-11-26 00:00:00,3.14,3.155,2.81,2.81,6234
2000-12-03 00:00:00,2.8,3.12,2.8,2.95,15538
2000-12-10 00:00:00,3.0,3.0,2.37,2.37,1924
2000-12-17 00:00:00,2.5,2.5,1.9,2.2,10914
2000-12-24 00:00:00,2.05,2.3,2.05,2.15,4272
2000-12-31 00:00:00,1.9,2.04,1.86,1.975,9415
2001-01-07 00:00:00,1.96,2.61,1.932,2.08,3291
2001-01-14 00:00:00,2.1,2.39,2.04,2.39,2969
2001-01-21 00:00:00,2.28,2.51,2.12,2.5,2530
2001-01-28 00:00:00,2.44,2.49,2.19,2.4,2748
2001-02-04 00:00:00,2.32,2.59,2.311,2.351,1759
