datetime,open,high,low,close,volume
2013-02-10,58.15,58.15,51.23,55.0,608255
2013-02-17,55.0,56.6,53.89,54.4,772180
2013-02-24,54.76,54.8,52.5,52.5,708247
2013-03-03,52.5,54.2,52.3,53.76,428869
2013-03-10,53.98,55.24,53.27,55.0,1939436
2013-03-17,52.9,53.43,49.41,51.5,442922
2013-03-24,52.38,52.38,48.8,51.95,182175
2013-03-31,50.18,50.18,47.42,48.5,68706
2013-04-07,48.67,48.88,45.0,45.45,181617
2013-04-14,45.5,46.2,42.57,43.38,522902
2013-04-21,43.99,44.95,43.5,44.69,314285
2013-04-28,44.91,45.75,43.75,45.75,85388
2013-05-05,45.29,49.9,45.29,49.33,259298
2013-05-12,49.27,50.29,48.63,50.09,230118
2013-05-19,49.99,55.06,45.25,53.3,436823
2013-05-26,53.29,55.0,52.8,55.0,225870
2013-06-02,53.46,54.78,52.45,53.51,388023
2013-06-09,53.69,53.71,51.49,51.56,169862
2013-06-16,51.57,54.0,49.78,49.78,411738
2013-06-23,50.49,54.76,49.79,54.76,771097
2013-06-30,53.48,54.23,53.43,53.85,238018
2013-07-07,53.89,54.97,53.26,53.9,261875
2013-07-14,53.99,54.28,53.28,53.85,230720
2013-07-21,53.71,54.5,53.64,54.43,304564
2013-07-28,54.43,62.3,54.3,59.0,637216
2013-08-04,67.72,67.72,55.12,56.1,347849
2013-08-11,56.43,57.33,55.93,56.2,377361
2013-08-18,56.15,57.71,55.95,57.3,346217
2013-08-25,57.28,63.0,57.0,61.0,448246
2013-09-01,61.27,67.25,60.76,65.0,822797
2013-09-08,65.61,66.7,63.07,65.0,890071
2013-09-15,65.68,67.4,62.57,63.05,1475607
2013-09-22,63.23,64.65,59.36,61.0,1077804
2013-09-29,60.51,65.95,60.42,65.86,699662
2013-10-06,65.67,67.62,64.19,67.5,889491
2013-10-13,66.81,69.99,66.05,68.1,913878
2013-10-20,67.87,69.21,65.59,65.97,4855322
2013-10-27,66.0,66.14,60.9,61.24,2395044
2013-11-03,61.92,63.26,60.6,61.5,5690490
2013-11-10,61.93,65.75,61.04,64.92,3109849
2013-11-17,65.04,67.56,64.3,67.04,2885677
2013-11-24,67.0,67.97,64.9,66.57,5112473
2013-12-01,66.93,66.96,61.48,63.3,2481847
2013-12-08,63.74,65.39,62.43,65.39,1829925
2013-12-15,64.0,64.0,61.63,63.8,1614706
2013-12-22,63.39,65.92,62.28,64.26,2416519
2013-12-29,64.24,65.2,63.74,64.75,558494
2014-01-05,63.2,65.43,62.55,65.3,868646
2014-01-12,65.25,65.46,64.05,64.5,838550
2014-01-19,64.28,65.07,62.0,62.0,939642
2014-01-26,62.0,63.8,60.15,61.8,1876153
2014-02-02,61.61,65.14,59.78,63.54,1100917
2014-02-09,63.75,65.79,62.51,65.79,892462
2014-02-16,66.45,66.45,63.95,65.27,1892565
2014-02-23,65.3,65.7,62.0,62.85,3267331
2014-03-02,61.0,61.99,53.0,56.9,4568091
2014-03-09,56.83,56.99,42.74,49.5,3359861
2014-03-16,48.85,60.4,48.85,54.97,3635397
2014-03-23,55.61,59.94,55.33,58.0,1980104
2014-03-30,58.06,59.97,57.19,58.6,1347750
2014-04-06,58.05,63.0,55.03,61.67,2568711
2014-04-13,59.93,61.4,53.77,57.0,2097182
2014-04-20,57.34,57.43,53.16,53.9,1569922
2014-04-27,52.68,55.27,51.49,53.59,2453714
2014-05-04,53.08,58.85,52.53,58.03,1632113
2014-05-11,58.49,60.15,56.61,58.21,1434469
2014-05-18,58.82,62.0,57.85,62.0,1674487
2014-05-25,61.93,65.75,60.07,65.75,3074505
2014-06-01,65.58,66.19,61.3,65.34,2791045
2014-06-08,65.35,65.95,63.02,65.65,784636
2014-06-15,65.01,68.8,64.0,68.31,1888618
2014-06-22,70.0,70.93,65.28,66.17,2187346
2014-06-29,66.38,68.85,61.64,64.54,8978687
2014-07-06,65.01,66.77,61.12,62.12,3441970
2014-07-13,62.1,62.5,59.58,60.93,2529245
2014-07-20,60.5,62.05,58.11,58.7,2717407
2014-07-27,58.83,59.13,55.12,57.48,3440135
2014-08-03,57.77,60.13,53.72,58.5,2392473
2014-08-10,59.5,61.0,58.33,60.6,3119499
2014-08-17,60.6,65.5,60.52,64.25,2540555
2014-08-24,64.2,67.42,62.05,63.5,3508913
2014-08-31,63.05,65.37,60.05,64.22,4496125
2014-09-07,63.88,64.68,61.01,61.95,2102602
2014-09-14,61.95,62.45,59.52,59.58,7035118
2014-09-21,59.64,61.47,57.61,59.98,5550245
2014-09-28,59.9,60.4,57.57,59.0,2532295
2014-10-05,59.24,62.28,58.0,58.7,2540606
2014-10-12,58.06,60.44,58.06,58.9,2294639
2014-10-19,58.18,59.19,57.16,58.2,2441394
2014-10-26,58.7,58.95,57.25,58.0,4800875
2014-11-02,58.0,60.75,56.61,59.28,3080144
2014-11-09,58.93,60.45,57.34,57.6,2193224
2014-11-16,57.55,63.5,56.79,63.5,3645892
2014-11-23,63.4,64.31,58.0,59.83,3914203
2014-11-30,59.79,63.45,58.15,62.37,4292636
2014-12-07,62.4,63.5,58.7,61.97,3405346
2014-12-14,61.31,63.5,55.9,62.0,4529125
2014-12-21,61.63,62.92,60.65,61.95,1644663
2014-12-28,61.65,62.75,59.06,59.06,1936522
2015-01-04,59.5,64.7,59.5,60.14,1106491
2015-01-11,60.73,62.73,58.51,62.5,2077782
2015-01-18,62.5,69.75,61.8,69.11,4224543
2015-01-25,68.25,71.0,66.05,70.0,2492314
2015-02-01,70.28,74.8,68.72,74.8,2517294
2015-02-08,74.65,78.0,68.23,72.5,5453773
2015-02-15,72.51,78.4,71.5,75.69,2503311
2015-02-22,73.08,78.93,72.72,76.9,2723508
2015-03-01,76.21,78.04,68.72,69.0,4168523
2015-03-08,68.1,69.98,64.4,67.3,5699275
2015-03-15,67.0,69.5,65.8,65.8,2261301
2015-03-22,66.5,70.32,64.91,66.65,3804802
2015-03-29,66.2,75.75,66.1,74.75,4031834
2015-04-05,74.71,77.76,71.0,73.5,3959150
2015-04-12,73.5,76.7,71.44,73.6,2809067
2015-04-19,74.01,76.47,73.12,75.2,2479326
2015-04-26,75.22,78.5,72.27,77.0,3256941
2015-05-03,77.0,79.77,72.02,73.49,2957119
2015-05-10,73.52,76.32,71.05,72.25,1995405
2015-05-17,74.69,75.69,71.07,75.15,2269193
2015-05-24,74.43,75.77,70.1,72.0,3974553
2015-05-31,72.34,74.2,69.9,72.8,3625070
2015-06-07,72.9,74.29,71.0,71.65,1936342
2015-06-14,70.5,73.01,70.4,71.15,2108924
2015-06-21,71.0,72.1,67.55,69.59,2499012
2015-06-28,69.2,69.82,68.01,68.53,1909329
2015-07-05,67.95,68.3,65.27,66.1,2779348
2015-07-12,66.35,72.47,66.11,71.89,2708397
2015-07-19,71.95,72.02,68.02,68.11,1964256
2015-07-26,68.3,71.69,66.81,70.5,2713870
2015-08-02,70.75,74.69,70.0,74.4,2535656
2015-08-09,74.41,76.8,72.26,76.18,2588505
2015-08-16,75.0,76.74,71.8,71.8,1645967
2015-08-23,70.0,74.57,66.55,74.0,3325416
2015-08-30,73.71,76.8,73.05,76.1,2915280
2015-09-06,76.23,80.89,73.08,80.59,3504361
2015-09-13,80.57,84.48,78.92,80.0,3581042
2015-09-20,80.69,81.7,78.23,80.48,2462005
2015-09-27,80.51,81.16,76.15,77.6,2316411
2015-10-04,78.0,86.45,77.77,85.4,3155172
2015-10-11,85.4,88.71,83.5,85.9,3917644
2015-10-18,85.72,92.8,84.13,92.0,2979652
2015-10-25,92.0,95.68,89.84,89.84,3062780
2015-11-01,90.0,93.57,90.0,90.81,2291285
2015-11-08,90.12,92.4,85.76,87.24,3732975
2015-11-15,86.98,95.78,86.78,92.89,4504418
2015-11-22,93.0,102.23,91.1,97.0,2603073
2015-11-29,96.8,98.67,92.0,93.8,2953736
2015-12-06,93.51,94.45,86.95,90.7,2974097
2015-12-13,90.22,96.83,88.72,94.82,3192793
2015-12-20,94.5,96.88,93.9,94.72,2085327
2015-12-27,94.79,95.13,91.4,91.4,840455
2016-01-03,91.32,94.87,90.12,94.44,1062021
2016-01-10,92.25,97.0,86.59,86.59,3787403
2016-01-17,85.9,92.3,85.2,90.28,5144541
2016-01-24,90.77,96.0,89.32,95.99,3687329
2016-01-31,95.25,100.7,92.2,93.03,8186104
2016-02-07,93.39,94.0,87.79,89.58,4749830
2016-02-14,90.3,92.89,88.75,90.48,4046665
2016-02-21,90.6,97.43,90.57,96.81,4519508
2016-02-28,96.08,99.43,95.71,99.0,4263793
2016-03-06,99.41,103.85,98.3,101.4,3315051
2016-03-13,101.02,108.77,100.6,105.2,8496062
2016-03-20,105.88,106.3,102.66,104.88,3994240
2016-03-27,104.88,105.98,99.2,105.05,5191551
2016-04-03,105.0,105.49,101.34,104.2,2802862
2016-04-10,104.48,106.0,101.65,102.05,3202371
2016-04-17,100.87,112.54,100.58,109.95,4937367
2016-04-24,109.95,110.72,101.13,102.15,4345600
2016-05-01,101.7,107.34,101.5,103.93,1928282
2016-05-08,104.0,107.9,101.6,104.32,4215766
2016-05-15,104.77,105.78,102.1,104.0,2406408
2016-05-22,104.39,106.97,102.55,106.94,3312448
2016-05-29,106.4,111.18,105.6,109.1,3537208
2016-06-05,108.83,113.83,107.66,110.81,3783836
2016-06-12,110.8,115.94,110.76,113.09,3132267
2016-06-19,113.6,119.26,112.21,114.1,2563780
2016-06-26,114.14,116.19,110.7,112.44,1788323
2016-07-03,112.47,115.5,109.88,115.22,2129300
2016-07-10,115.2,120.9,115.0,120.0,2912830
2016-07-17,119.31,120.09,112.76,115.95,2521528
2016-07-24,116.08,118.11,112.34,113.51,2435219
2016-07-31,113.54,116.47,110.6,114.87,2650298
2016-08-07,114.9,123.32,114.8,123.0,3454940
2016-08-14,123.49,129.44,122.99,126.0,3140686
2016-08-21,125.74,131.35,124.15,130.75,1899609
2016-08-28,130.3,132.4,126.01,128.45,1998777
2016-09-04,128.44,130.47,126.48,126.55,1387254
2016-09-11,126.1,127.83,120.82,122.99,2847988
2016-09-18,123.0,131.5,122.5,129.6,2613240
2016-09-25,129.0,129.0,122.52,126.6,2920116
2016-10-02,127.29,128.98,120.2,121.67,3423639
2016-10-09,121.94,125.22,121.27,124.27,2612222
2016-10-16,124.49,124.49,115.0,116.0,2566846
2016-10-23,116.39,119.75,111.75,117.39,3364382
2016-10-30,117.5,117.8,113.75,114.91,2252540
2016-11-06,115.0,118.49,108.24,112.2,6244485
2016-11-13,112.73,113.7,108.52,112.62,6713496
2016-11-20,113.25,119.67,112.17,117.5,4360506
2016-11-27,117.5,121.63,113.75,116.7,4232301
2016-12-04,116.49,122.2,116.27,120.55,3505087
2016-12-11,122.49,129.27,120.72,122.73,5689971
2016-12-18,123.8,125.5,116.51,116.67,2900918
2016-12-25,117.25,125.59,116.16,125.59,1847760
2017-01-01,125.59,130.84,125.12,125.57,2752037
2017-01-08,126.37,137.6,125.02,134.69,5060566
2017-01-15,134.69,135.37,129.11,130.75,3075098
2017-01-22,130.7,139.8,128.55,138.5,2844538
2017-01-29,138.69,138.88,131.24,135.79,2604696
2017-02-05,135.8,136.7,129.0,130.79,2096408
2017-02-12,130.69,132.12,125.2,126.5,3453760
2017-02-19,127.25,127.3,122.5,126.2,2671371
2017-02-26,126.55,130.6,117.91,118.26,5050781
2017-03-05,118.3,119.0,111.67,113.0,6078199
2017-03-12,113.96,116.39,110.1,114.45,5242666
2017-03-19,114.99,119.33,111.22,114.32,6481485
2017-03-26,113.1,115.78,111.4,111.51,3191760
2017-04-02,112.3,116.9,111.62,111.75,4135880
2017-04-09,111.7,111.7,103.75,104.35,5095274
2017-04-16,104.46,111.4,104.36,111.4,4789290
2017-04-23,112.05,116.0,110.73,115.05,4758709
2017-04-30,115.4,119.03,111.6,116.3,3684334
2017-05-07,116.1,117.97,114.07,115.35,2445891
2017-05-14,109.0,109.87,102.13,102.5,4303197
2017-05-21,102.64,104.78,97.58,97.58,4239583
2017-05-28,97.77,102.35,97.02,101.9,4813803
2017-06-04,102.5,106.45,101.53,106.15,5130429
2017-06-11,106.2,108.39,100.1,103.12,5322133
2017-06-18,103.77,108.8,102.9,106.8,3420772
2017-06-25,107.58,109.62,104.11,104.33,3834533
2017-07-02,104.95,109.5,104.62,108.9,3064524
2017-07-09,109.0,115.11,108.75,111.38,3717977
2017-07-16,111.6,114.0,109.2,109.9,3248980
2017-07-23,109.15,111.26,107.15,108.9,3334799
2017-07-30,109.0,111.19,106.8,109.21,2697703
2017-08-06,109.87,115.04,109.52,111.92,3701568
2017-08-13,112.35,116.37,109.02,109.4,3750189
2017-08-20,110.36,110.36,105.75,107.27,3604142
2017-08-27,107.19,107.26,104.56,105.25,3744384
2017-09-03,105.26,113.99,105.23,111.69,4462846
2017-09-10,111.99,114.8,111.25,113.94,3309356
2017-09-17,114.1,117.9,113.5,116.03,3386308
2017-09-24,116.02,117.65,114.09,115.5,3481082
2017-10-01,115.55,120.39,115.48,119.69,4106051
2017-10-08,119.71,120.65,117.05,120.49,3845525
2017-10-15,120.9,122.55,118.45,119.44,5165714
2017-10-22,119.6,121.4,117.23,118.4,4121932
2017-10-29,118.77,120.7,117.18,120.31,3569282
2017-11-05,120.87,128.49,120.67,126.8,5108202
2017-11-12,126.02,127.23,119.5,119.5,6189590
2017-11-19,120.0,130.0,119.01,126.28,4326904
2017-11-26,126.28,127.1,121.36,122.61,3693574
2017-12-03,122.03,123.87,115.66,119.37,4318520
2017-12-10,119.17,124.0,118.0,120.81,3467350
2017-12-17,120.47,121.74,108.09,110.1,4397272
2017-12-24,110.49,110.66,108.01,108.97,1998826
2017-12-31,109.25,110.42,108.0,108.25,2562150
2018-01-07,108.35,115.57,108.25,113.49,5527937
2018-01-14,113.44,114.99,111.05,111.5,3990382
2018-01-21,111.5,116.8,111.5,115.75,4219248
2018-01-28,115.42,119.2,114.26,115.8,3979034
2018-02-04,114.76,116.44,109.52,110.5,3886962
2018-02-11,111.34,112.55,110.08,110.62,3005841
2018-02-18,110.7,114.39,110.34,113.68,2336820
2018-02-25,114.5,116.24,110.92,115.46,2939706
2018-03-04,116.01,121.2,116.01,120.97,3104372
2018-03-11,120.97,121.2,114.76,121.0,3903568
2018-03-18,120.0,120.88,108.58,119.0,3191781
2018-03-25,118.76,118.99,115.98,117.0,2405595
2018-04-01,117.25,117.51,115.67,116.9,1790729
2018-04-08,116.7,117.27,111.1,112.2,6870866
2018-04-15,111.83,117.58,111.4,115.99,4199437
2018-04-22,116.3,120.9,113.65,119.67,4351510
2018-04-29,119.69,121.9,113.5,120.53,2584573
2018-05-06,121.2,123.06,118.25,123.06,2967741
2018-05-13,118.02,119.31,114.35,117.16,4547512
2018-05-20,117.0,117.79,113.15,114.8,2469627
2018-05-27,114.6,115.76,111.47,114.3,3257705
2018-06-03,114.95,115.88,107.58,108.67,3375625
2018-06-10,108.86,111.85,105.84,111.18,2543789
