datetime,open,high,low,close,volume
2006-04-16 00:00:00,63.0,69.8,62.1,65.5,9000
2006-04-23 00:00:00,65.5,68.9,62.1,63.7,18730
2006-04-30 00:00:00,62.6,65.0,62.5,63.2,5250
2006-05-07 00:00:00,63.1,70.1,62.0,66.5,17830
2006-05-14 00:00:00,65.1,68.0,60.0,62.0,10340
2006-05-21 00:00:00,60.0,61.5,48.5,55.9,35960
2006-05-28 00:00:00,58.7,65.0,53.1,64.4,14840
2006-06-04 00:00:00,64.1,64.3,53.0,53.0,10570
2006-06-11 00:00:00,51.0,61.0,49.1,54.0,22860
2006-06-18 00:00:00,53.0,59.0,49.6,51.5,50670
2006-06-25 00:00:00,52.5,65.0,51.5,59.8,31430
2006-07-02 00:00:00,60.0,62.0,58.0,59.1,30730
2006-07-09 00:00:00,62.0,64.9,55.1,58.4,10260
2006-07-16 00:00:00,55.1,59.3,53.2,58.7,15910
2006-07-23 00:00:00,57.2,59.8,57.2,59.0,4940
2006-07-30 00:00:00,61.5,62.0,57.2,59.1,73590
2006-08-06 00:00:00,60.2,60.2,57.2,58.2,42940
2006-08-13 00:00:00,58.0,58.3,55.5,55.7,41590
2006-08-20 00:00:00,55.5,57.4,55.5,56.8,5440
2006-08-27 00:00:00,56.6,58.0,53.0,53.9,88910
2006-09-03 00:00:00,51.9,54.8,50.1,52.5,27480
2006-09-10 00:00:00,52.1,52.9,49.9,50.2,72320
2006-09-17 00:00:00,50.8,52.6,50.3,50.8,58100
2006-09-24 00:00:00,50.0,53.5,48.7,51.5,51930
2006-10-01 00:00:00,51.61,53.5,49.41,51.23,76560
2006-10-08 00:00:00,51.7,53.5,50.7,52.9,43480
2006-10-15 00:00:00,52.65,57.5,52.62,56.39,156640
2006-10-22 00:00:00,57.33,57.8,55.62,57.6,31990
2006-10-29 01:00:00,57.0,57.5,54.35,55.2,44860
2006-11-05 00:00:00,55.0,57.47,55.0,57.08,45180
2006-11-12 00:00:00,56.62,59.49,56.0,58.79,131130
2006-11-19 00:00:00,58.31,58.9,57.11,58.47,26910
2006-11-26 00:00:00,58.06,62.36,58.05,62.0,133490
2006-12-03 00:00:00,62.3,65.51,61.77,63.4,100480
2006-12-10 00:00:00,63.0,64.0,59.4,60.25,63720
2006-12-17 00:00:00,60.05,62.28,60.0,61.16,37670
2006-12-24 00:00:00,60.9,64.1,60.35,63.45,295420
2007-01-07 00:00:00,63.45,63.45,56.11,58.61,60020
2007-01-14 00:00:00,58.66,60.12,57.72,58.3,43750
2007-01-21 00:00:00,58.84,64.79,58.11,63.55,281990
2007-01-28 00:00:00,64.3,68.99,62.12,68.04,90470
2007-02-04 00:00:00,68.5,71.91,66.5,69.61,167120
2007-02-11 00:00:00,68.15,70.39,66.13,68.29,47000
2007-02-18 00:00:00,69.15,74.95,68.01,73.49,73780
2007-02-25 00:00:00,74.94,77.83,66.56,67.25,212390
2007-03-04 00:00:00,67.02,72.0,61.0,71.2,167270
2007-03-11 00:00:00,71.18,72.8,68.0,72.45,148570
2007-03-18 00:00:00,72.5,75.0,70.8,75.0,173940
2007-03-24 23:00:00,74.04,77.0,73.0,75.48,79770
