datetime,open,high,low,close,volume
2008-09-07 00:00:00,1.09,1.09,1.09,1.09,0
2008-11-02 00:00:00,1.09,1.09,1.09,1.09,0
2008-12-21 00:00:00,0.7,0.7,0.7,0.7,0
2009-01-11 00:00:00,0.692,0.692,0.252,0.55,25
2009-02-01 00:00:00,0.35,0.35,0.35,0.35,0
2009-02-22 00:00:00,0.37,0.37,0.37,0.37,0
2009-03-01 00:00:00,0.38,0.38,0.38,0.38,0
2009-03-15 00:00:00,0.35,0.35,0.314,0.342,1
2009-03-28 23:00:00,0.399,0.399,0.399,0.399,0
2009-04-05 00:00:00,0.385,0.4,0.277,0.36,20
2009-04-12 00:00:00,0.39,0.4,0.35,0.35,11
2009-04-19 00:00:00,0.321,0.39,0.301,0.39,22
2009-04-26 00:00:00,0.316,0.4,0.316,0.399,108
2009-05-03 00:00:00,0.366,0.366,0.365,0.366,110
2009-05-10 00:00:00,0.366,0.366,0.35,0.35,10
2009-05-17 00:00:00,0.301,0.367,0.22,0.338,940
2009-05-24 00:00:00,0.34,0.365,0.264,0.304,176
2009-05-31 00:00:00,0.326,0.334,0.29,0.303,29
2009-06-07 00:00:00,0.308,0.376,0.3,0.375,49
2009-06-14 00:00:00,0.304,0.349,0.301,0.301,174
2009-06-21 00:00:00,0.366,0.366,0.366,0.366,0
2009-06-28 00:00:00,0.371,0.371,0.3,0.3,24
2009-07-05 00:00:00,0.282,0.291,0.167,0.28,110
2009-07-19 00:00:00,0.298,0.33,0.298,0.308,129
2009-07-26 00:00:00,0.305,0.33,0.3,0.33,58
2009-08-02 00:00:00,0.302,0.302,0.3,0.3,11
2009-08-09 00:00:00,0.303,0.303,0.303,0.303,0
2009-08-16 00:00:00,0.26,0.343,0.26,0.311,8
2009-08-23 00:00:00,0.31,0.526,0.31,0.4,566
2009-08-30 00:00:00,0.399,0.399,0.3,0.311,298
2009-09-06 00:00:00,0.312,0.33,0.279,0.313,329
2009-09-13 00:00:00,0.32,0.4,0.317,0.347,138
2009-09-20 00:00:00,0.32,0.32,0.312,0.312,10
2009-09-27 00:00:00,0.365,0.365,0.288,0.29,69
2009-10-04 00:00:00,0.329,0.355,0.319,0.329,50
2009-10-11 00:00:00,0.359,0.4,0.359,0.389,31
2009-10-18 00:00:00,0.4,0.4,0.338,0.398,6
2009-10-25 00:00:00,0.407,0.407,0.233,0.295,496
2009-11-01 00:00:00,0.31,0.319,0.31,0.318,29
2009-11-08 00:00:00,0.289,0.333,0.27,0.285,926
2009-11-15 00:00:00,0.285,0.309,0.283,0.306,300
2009-11-22 00:00:00,0.306,0.311,0.263,0.282,57
2009-11-29 00:00:00,0.288,0.298,0.264,0.282,1832
2009-12-06 00:00:00,0.298,0.332,0.262,0.265,3161
2009-12-13 00:00:00,0.285,0.285,0.23,0.27,6816
2009-12-20 00:00:00,0.273,0.303,0.265,0.287,4978
2009-12-27 00:00:00,0.277,0.45,0.27,0.385,5298
2010-01-10 00:00:00,0.349,0.45,0.333,0.416,7534
2010-01-17 00:00:00,0.437,0.65,0.437,0.479,1383
2010-01-24 00:00:00,0.532,0.579,0.444,0.48,329
2010-01-31 00:00:00,0.498,0.52,0.444,0.45,245
2010-02-07 00:00:00,0.445,0.509,0.357,0.493,41
2010-02-14 00:00:00,0.478,0.507,0.425,0.507,282
2010-02-21 00:00:00,0.476,0.485,0.45,0.485,65
2010-02-28 00:00:00,0.488,0.749,0.45,0.616,1253
2010-03-07 00:00:00,0.634,0.683,0.534,0.624,1232
2010-03-14 00:00:00,0.62,0.691,0.611,0.684,581
2010-03-21 00:00:00,0.651,0.688,0.503,0.622,1183
2010-03-28 00:00:00,0.628,0.646,0.586,0.625,953
2010-04-04 00:00:00,0.621,0.634,0.573,0.634,1534
2010-04-11 00:00:00,0.611,0.9,0.611,0.75,3576
2010-04-18 00:00:00,0.768,0.789,0.628,0.713,1123
2010-04-25 00:00:00,0.711,0.753,0.59,0.674,902
