datetime,open,high,low,close,volume
2008-09-07 00:00:00,340.0,350.0,340.0,350.0,2
2008-09-21 00:00:00,400.0,400.0,400.0,400.0,0
2008-09-28 00:00:00,333.2,333.2,333.2,333.2,0
2008-10-26 01:00:00,333.2,333.2,333.2,333.2,0
2008-11-02 00:00:00,333.2,333.2,333.2,333.2,0
2009-01-18 00:00:00,199.92,199.92,199.92,199.92,0
2009-03-15 00:00:00,119.95,119.95,71.97,71.97,45
2009-03-22 00:00:00,71.97,89.98,25.99,70.12,484
2009-03-28 23:00:00,89.96,98.17,50.02,77.0,171
2009-04-05 00:00:00,65.65,76.99,62.5,75.0,31
2009-04-12 00:00:00,70.0,75.98,65.0,75.98,25
2009-04-19 00:00:00,76.99,77.0,60.0,77.0,92
2009-04-26 00:00:00,70.0,79.97,65.06,65.06,133
2009-05-03 00:00:00,79.99,178.37,79.94,83.0,1625
2009-05-10 00:00:00,82.0,106.99,79.01,91.0,1960
2009-05-17 00:00:00,88.0,98.0,88.0,93.0,1570
2009-05-24 00:00:00,90.01,109.23,90.0,91.0,226
2009-05-31 00:00:00,92.5,94.5,90.0,91.87,367
2009-06-07 00:00:00,90.0,94.44,90.0,92.0,82
2009-06-14 00:00:00,93.97,109.5,72.0,86.45,116
2009-06-21 00:00:00,86.45,86.45,81.0,83.0,689
2009-06-28 00:00:00,86.44,86.45,86.44,86.45,1
2009-07-05 00:00:00,76.56,84.76,76.54,84.76,5
2009-07-12 00:00:00,83.9,84.0,52.0,66.5,165
2009-07-19 00:00:00,83.0,92.0,66.55,66.55,3263
2009-07-26 00:00:00,75.0,82.0,70.0,81.98,39
2009-08-09 00:00:00,81.99,114.5,81.99,100.0,9923
2009-08-16 00:00:00,100.0,133.0,76.0,102.0,13357
2009-08-23 00:00:00,102.0,104.74,102.0,102.0,386
2009-08-30 00:00:00,102.0,102.0,95.5,102.0,576
2009-09-06 00:00:00,99.0,101.0,99.0,101.0,80
2009-09-13 00:00:00,101.0,102.0,98.0,100.0,124
2009-09-20 00:00:00,99.0,115.0,99.0,115.0,307
2009-09-27 00:00:00,119.99,121.5,110.0,121.5,4448
2009-10-04 00:00:00,120.0,122.0,115.0,115.0,8
2009-10-11 00:00:00,158.0,158.0,102.0,122.0,1104
2009-10-18 00:00:00,120.0,184.0,120.0,171.5,2938
2009-10-25 00:00:00,157.0,181.0,157.0,172.5,1843
2009-11-01 00:00:00,180.0,180.0,180.0,180.0,1
2009-11-08 00:00:00,180.0,189.9,170.0,189.9,1280
2009-11-15 00:00:00,189.0,189.0,173.1,173.1,3
2009-11-22 00:00:00,189.99,190.0,170.01,184.99,8073
2009-11-29 00:00:00,175.0,185.0,175.0,180.0,22
2009-12-06 00:00:00,190.0,190.0,117.0,175.0,4609
2009-12-13 00:00:00,184.99,190.0,184.99,190.0,34
2009-12-20 00:00:00,190.0,190.0,190.0,190.0,1
2009-12-27 00:00:00,190.0,190.0,177.5,185.0,1087
2010-01-10 00:00:00,190.5,190.5,185.0,190.0,341
2010-01-17 00:00:00,201.0,201.0,185.0,190.0,39
2010-01-24 00:00:00,194.99,200.0,194.99,200.0,1863
2010-01-31 00:00:00,192.01,192.01,192.0,192.0,6
2010-02-07 00:00:00,197.0,198.0,125.7,193.0,1858
2010-02-14 00:00:00,197.99,215.0,193.0,193.0,31
2010-02-21 00:00:00,198.0,249.0,193.17,224.99,2356
2010-02-28 00:00:00,224.99,225.0,197.0,197.04,1097
2010-03-07 00:00:00,195.01,224.99,195.01,195.02,781
2010-03-14 00:00:00,224.97,250.0,205.5,220.0,308
2010-03-21 00:00:00,210.01,219.97,176.0,210.0,4216
2010-03-28 00:00:00,225.0,234.03,215.75,234.03,67
2010-04-04 00:00:00,234.97,240.0,225.0,225.0,22
2010-04-11 00:00:00,220.0,220.0,220.0,220.0,0
2010-04-18 00:00:00,215.01,215.01,210.0,210.0,30
2010-04-25 00:00:00,210.0,219.99,210.0,219.99,60
2010-05-02 00:00:00,220.0,220.0,180.01,190.0,291
2010-05-09 00:00:00,190.0,200.0,185.0,195.0,281
2010-05-23 00:00:00,199.0,199.0,177.02,177.02,0
2010-05-30 00:00:00,200.0,200.0,180.0,200.0,6
2010-06-13 00:00:00,188.0,193.0,188.0,193.0,38
2010-06-20 00:00:00,188.0,188.0,188.0,188.0,4
2010-06-27 00:00:00,193.0,200.0,130.19,193.06,39612
2010-07-25 00:00:00,190.0,195.0,182.0,185.0,229
2010-08-01 00:00:00,180.0,180.0,166.05,166.05,10
2010-08-08 00:00:00,150.01,194.97,150.01,153.67,0
2010-08-22 00:00:00,159.99,160.0,159.99,160.0,10
